name;01;02;03;04;05
ZINC001588388993;-4.536932;-4.719867;-4.4370294;-4.9015656;-5.020333
ZINC001588388996;-4.741932;-4.7128463;-4.545233;-4.913475;-4.8221316
ZINC000043700637;-4.8990364;-4.5992155;-4.5393295;-4.803316;-4.98353
ZINC000043700636;-4.9116206;-4.6188607;-4.54518;-4.8032694;-4.9770083
ZINC000230390542;-4.883553;-4.4105673;-4.375862;-4.0536013;-4.576818
ZINC000035320553;-4.0439534;-4.20536;-4.226403;-4.146359;-4.5567465
ZINC000393674776;-5.212375;-4.596128;-4.597995;-4.4010477;-4.313773
ZINC000393674772;-5.1167784;-4.7000284;-4.6715035;-4.3812127;-4.2622848
ZINC000300769866;-4.791767;-5.0087276;-4.783793;-4.476918;-4.7813587
ZINC000300769864;-5.1788983;-5.3468337;-4.6722507;-4.785273;-4.968916
ZINC001588395546;-5.301015;-5.159993;-4.9992795;-4.772154;-4.5920086
ZINC000717453885;-4.2664547;-4.7280273;-4.9938536;-4.644328;-4.9116073
ZINC000717453887;-4.6220098;-4.707729;-5.402661;-5.030944;-5.16183
ZINC000717453886;-5.239275;-5.5304976;-5.5107865;-5.3947883;-5.2701583
ZINC000306163917;-5.065004;-4.6945477;-4.764639;-4.7231383;-4.9921684
ZINC000613539382;-5.166315;-5.4397035;-6.0183125;-5.7399216;-5.686737
ZINC000613539384;-5.169907;-5.442572;-6.016911;-5.7395744;-5.687748
ZINC000718133525;-5.494048;-5.160756;-5.603208;-5.1409116;-5.362735
ZINC000830551714;-5.0005236;-4.9294205;-4.036931;-4.2723;-4.3585663
ZINC000927210974;-4.938648;-4.6027193;-4.7649183;-4.12839;-4.525925
ZINC000927216633;-4.5827723;-4.6238976;-4.6320124;-4.116368;-4.4599113
ZINC000830986967;-4.9835224;-5.1420674;-4.411123;-4.616546;-4.5266213
ZINC000831658296;-5.146618;-5.3248158;-5.5859795;-5.291551;-5.1940103
ZINC000831658297;-5.146408;-5.32453;-5.5866237;-5.2917895;-5.1935368
ZINC000832405836;-4.0215187;-4.5309544;-4.2861147;-4.08575;-4.3750634
ZINC000832405064;-4.272039;-4.6316524;-4.8319173;-4.5671587;-4.8342214
ZINC000832405063;-4.3420105;-4.6747684;-4.8675895;-4.5703135;-4.83202
ZINC000832405837;-3.7192075;-4.282562;-4.180399;-4.0207033;-4.5026617
ZINC000832753983;-4.8965154;-4.9729943;-4.8234124;-4.680604;-4.729411
ZINC000832748790;-4.8617973;-4.694259;-4.8503304;-4.494274;-5.1291585
ZINC000832748787;-4.6521926;-4.882565;-4.875;-4.345167;-4.8492837
ZINC000306204255;-5.174532;-5.070159;-4.8436985;-4.6014576;-4.803691
ZINC000041044808;-4.700494;-4.761352;-4.658999;-4.3675647;-4.571601
ZINC000039058047;-4.6362123;-4.969437;-4.723372;-4.6442556;-4.537389
ZINC000308501242;-5.137216;-4.970848;-4.7392683;-4.5983624;-4.9499793
ZINC000308358453;-5.512379;-5.0988274;-5.2979336;-5.1952477;-5.4030004
ZINC001588407818;-3.9274073;-4.30196;-3.9013553;-3.858766;-3.85897
ZINC000812786687;-4.6448164;-4.7210183;-4.577423;-4.70794;-4.8045144
ZINC000812786684;-4.644804;-4.7211084;-4.5774074;-4.707987;-4.804575
ZINC000817559146;-5.305547;-5.332124;-5.0295615;-5.154914;-5.4553347
ZINC001262184336;-5.801627;-4.579367;-5.27817;-5.155142;-5.248009
ZINC001262184923;-5.9847474;-4.982562;-5.101977;-5.6501102;-5.7778177
ZINC000398376887;-5.334095;-4.7990117;-4.7945895;-4.686042;-5.195605
ZINC000398376888;-5.3386393;-4.795266;-4.893514;-4.683525;-5.1992927
ZINC000398385785;-5.078448;-5.047885;-4.8356304;-4.834481;-5.109597
ZINC000398385784;-5.099655;-5.028334;-4.939152;-4.8363705;-5.1266794
ZINC000844281147;-4.8480005;-4.211233;-4.550954;-3.8386323;-4.614904
ZINC000717454424;-4.658251;-5.0958157;-5.4198284;-4.842224;-4.8651447
ZINC000934450036;-4.65172;-5.48973;-4.683152;-5.0107474;-4.7546964
ZINC001263840086;-5.076909;-4.7187376;-4.716452;-5.061469;-4.9747267
ZINC001593399219;-5.3517957;-5.074008;-5.255703;-5.0344434;-5.419781
ZINC001593399218;-5.2496104;-5.062769;-5.286356;-5.0745826;-5.3799148
ZINC000718201705;-5.238821;-5.307172;-5.511477;-5.160516;-5.2489142
ZINC000718201708;-5.091241;-5.131613;-5.5438843;-5.065368;-5.3131285
ZINC000718201706;-5.1038857;-5.1404324;-5.380963;-4.994352;-5.3914604
ZINC000718201707;-5.220874;-5.2191358;-5.324711;-5.1116505;-5.2731414
ZINC000898939286;-3.7377138;-4.172511;-4.182515;-3.8887324;-4.2230215
ZINC000306253117;-4.5366898;-4.5658813;-4.5620327;-4.932514;-4.726265
