name;01;02;03;04;05
ZINC000005401602;-4.612714;-4.783942;-4.850316;-4.903879;-4.559933
ZINC000001720096;-4.3499856;-4.3960557;-4.396571;-4.4045463;-4.47263
ZINC000014419494;-3.9618864;-4.269376;-3.7912078;-4.1486645;-4.044025
ZINC000054178953;-5.6895027;-5.705311;-5.534442;-5.680655;-5.1984644
ZINC000002528758;-3.9736454;-4.1970387;-4.108177;-3.9721246;-4.089443
ZINC000006024802;-4.735013;-4.614218;-4.585909;-4.741802;-4.7331667
ZINC000198832141;-5.4672623;-5.70156;-5.4000483;-5.3730974;-5.415532
ZINC000005836055;-5.1815376;-5.635619;-5.356544;-5.2410297;-5.148316
ZINC000006565549;-5.474811;-5.147983;-5.138476;-5.154771;-5.4511356
ZINC000008581243;-4.1777344;-4.3893456;-4.5602875;-4.49674;-4.473905
ZINC000034353182;-4.8921566;-5.0543866;-4.783785;-5.1163325;-4.573753
ZINC000011957152;-4.8553286;-4.792671;-4.957048;-4.979535;-4.8179007
ZINC000015021981;-5.2304783;-4.8504577;-4.7543335;-5.017222;-5.2464614
ZINC000015021983;-5.0126724;-5.3145733;-5.2114906;-5.1527033;-5.309965
ZINC000016939458;-4.5353885;-4.321555;-4.509508;-4.647875;-4.5194836
ZINC000013284845;-4.0030437;-3.8751967;-3.6010187;-3.9748755;-3.76639
ZINC000013547225;-4.218593;-4.3649826;-4.0400534;-4.4039683;-4.1563587
ZINC000013547227;-4.2410727;-4.247382;-4.4366765;-4.239128;-4.3894043
ZINC000085446685;-4.2687106;-4.3242474;-4.3421965;-4.7263756;-4.4210176
ZINC000096524392;-4.197222;-4.3139;-4.521163;-4.1770997;-4.3601274
ZINC000060155731;-4.448224;-4.3426986;-4.5188484;-4.315732;-4.477647
ZINC000002578511;-4.877627;-5.0110703;-5.1022196;-4.983568;-5.0547767
ZINC000017025473;-4.9425817;-4.6218047;-4.8300366;-4.8022265;-4.891371
ZINC000017121533;-5.179053;-4.8875694;-5.1481705;-5.3398914;-5.128477
ZINC000033359057;-4.1388416;-4.469132;-4.2633533;-4.3349004;-4.2074313
ZINC000005478798;-4.6826363;-4.447045;-4.852606;-4.7829514;-4.885753
ZINC000034319405;-4.751461;-4.2637825;-4.3016295;-4.3444815;-4.29134
ZINC000034337620;-5.9216127;-5.3279686;-5.3430934;-5.3882985;-5.128415
ZINC000100216936;-5.1305194;-5.3005815;-5.340925;-5.1201386;-5.358198
ZINC000019686424;-4.5082545;-4.3120904;-4.2092237;-4.1614437;-3.9101534
ZINC000019686426;-4.5181828;-4.6661716;-4.2784843;-4.189099;-4.050217
ZINC000242548890;-4.363302;-3.8167143;-4.1387105;-3.9710422;-4.0510006
ZINC000104203199;-5.0805554;-5.1836305;-5.212768;-5.2335567;-5.1491346
ZINC000104203199;-5.0805554;-5.1836305;-5.212768;-5.2335567;-5.1491346
ZINC000104203196;-5.1618123;-5.247414;-5.0362797;-4.923268;-5.087614
ZINC000104203196;-5.1618123;-5.247414;-5.0362797;-4.923268;-5.087614
ZINC000013284856;-4.1529384;-3.9794765;-4.162645;-4.274976;-3.9634442
ZINC000018183028;-5.2748523;-5.06726;-4.8779693;-4.750415;-5.0266123
ZINC000104203202;-5.363854;-5.1082354;-5.079358;-5.045115;-5.090796
ZINC000036447755;-4.677552;-4.8419538;-4.707747;-4.7977767;-4.6904445
ZINC000039328966;-4.478692;-4.7194843;-4.5543556;-4.6266785;-4.4861183
ZINC000079390757;-4.8024874;-4.779381;-4.750629;-4.9063363;-4.6516633
ZINC000026254162;-5.4036903;-5.255149;-5.006409;-5.142164;-5.0248938
ZINC000026898495;-5.254631;-5.2847085;-5.028547;-5.293089;-5.056851
ZINC000031669902;-4.7043138;-4.549457;-4.494535;-4.65275;-4.766022
ZINC000039281113;-3.8518562;-4.0546994;-4.1843643;-3.946826;-4.167791
ZINC000062712748;-4.182986;-4.1289473;-4.264396;-4.0759945;-4.0281157
ZINC000024181251;-4.362971;-4.274134;-4.66151;-4.4306755;-4.6269293
