name;01;02;03;04;05
ZINC000141491201;-5.501418;-5.4258223;-5.179148;-5.281092;-5.293149
ZINC000007344483;-5.054489;-5.307631;-5.1393623;-5.319186;-5.5628486
ZINC000143246023;-6.0726786;-5.839606;-5.4253297;-5.404429;-5.397976
ZINC000930561170;-4.2819324;-4.622529;-4.6977444;-4.8720236;-4.5533266
ZINC000012506548;-4.8154764;-3.699314;-4.2354155;-4.281856;-4.444423
ZINC000610892916;-5.6560407;-6.486236;-5.81919;-5.7178416;-5.772653
ZINC000610863621;-5.49305;-5.6348715;-5.51499;-5.569883;-5.588974
ZINC000611508231;-6.333865;-6.118648;-5.4747043;-5.946966;-5.7358527
ZINC000031308248;-4.6050572;-5.1413364;-4.79859;-4.7080145;-4.6823373
ZINC000930523698;-5.413377;-6.1721497;-5.7257566;-6.1337333;-5.811249
ZINC000930523697;-5.7954583;-6.1452827;-5.8274326;-6.0210795;-5.7873573
ZINC000930639462;-5.588476;-5.310539;-5.2919683;-5.457;-5.221002
ZINC000930639461;-5.660145;-5.389159;-5.4138813;-5.539199;-5.3204236
ZINC000930596382;-5.420875;-4.938885;-5.8350344;-5.4576387;-5.3771253
ZINC000027655100;-5.369447;-5.406231;-5.2634907;-5.498936;-5.175597
ZINC000027655103;-5.369946;-5.4066787;-5.263191;-5.498026;-5.1756935
ZINC000036420211;-5.028037;-4.744461;-4.4123864;-4.9964933;-5.2726226
ZINC000036472702;-5.905426;-5.755416;-5.901707;-5.8413734;-5.791766
ZINC000929176536;-4.823312;-5.1477733;-4.81578;-5.032086;-4.7995176
ZINC000306199344;-6.0813055;-5.686006;-5.2927527;-5.5939946;-5.3140635
ZINC000929295293;-5.06288;-4.956368;-5.0905395;-4.948091;-4.94313
ZINC000929412385;-5.342106;-5.55548;-5.25709;-5.2184215;-5.28372
ZINC000929321168;-4.9162474;-5.216745;-4.7595506;-5.0157404;-4.6187925
ZINC000929498850;-5.5224657;-6.1196523;-5.6584992;-5.682238;-5.6553645
ZINC000929482015;-5.6431923;-6.0065355;-5.316156;-5.467596;-5.0964108
ZINC000929504124;-4.4881134;-4.879486;-4.6225166;-4.911228;-4.7451024
ZINC000308260718;-4.914287;-5.3437233;-4.854843;-5.0308166;-4.6687827
ZINC000930106594;-5.531787;-5.4357862;-5.007664;-5.312374;-5.274941
ZINC000930106596;-5.270751;-5.287019;-5.010547;-5.3644357;-5.244398
ZINC000930252466;-5.1886854;-5.2886977;-5.5985837;-5.807655;-5.3857555
ZINC000930270873;-4.9629908;-5.2987103;-5.3707094;-5.443715;-5.269518
ZINC000930252467;-5.117546;-5.1307125;-5.5277247;-5.773343;-5.484536
ZINC000307556396;-5.4913626;-5.565316;-5.429645;-5.2451367;-5.4874053
ZINC000930364873;-5.168592;-5.5520988;-5.571468;-5.503148;-5.3234544
ZINC000930287459;-4.8030024;-5.260841;-5.1017947;-5.102366;-4.7805223
ZINC000930288103;-4.46255;-4.43683;-4.1579447;-4.0484715;-4.243606
ZINC000032627888;-4.6951795;-4.984813;-5.104854;-4.8856297;-5.2573466
ZINC000930364872;-5.1538825;-5.542452;-5.0142155;-5.662124;-5.3923945
ZINC000930340482;-4.4722266;-4.820193;-4.4701285;-4.6966224;-4.4827986
ZINC000930821098;-5.0848913;-4.8168316;-4.909138;-4.9360585;-4.953109
ZINC000306221480;-5.4340663;-5.293764;-5.1099186;-5.562346;-5.474782
ZINC000930705856;-5.2101345;-5.5042744;-5.190985;-5.9630003;-5.393568
ZINC000930817717;-5.2917337;-5.2177014;-4.993457;-5.4073105;-5.3291903
ZINC000931016384;-5.18823;-5.622553;-4.947063;-5.3676143;-5.338394
ZINC000032627891;-5.4022646;-4.952484;-5.034602;-5.021848;-5.077203
ZINC000032627896;-4.6952715;-4.984873;-5.10494;-4.885698;-5.257365
ZINC001262274325;-4.322995;-5.0932407;-4.6983337;-4.975729;-4.5457845
ZINC001262490559;-5.0284467;-5.7210827;-5.1372256;-5.6176496;-5.954887
ZINC001262383123;-5.259283;-5.4132676;-5.059248;-5.5226088;-5.30373
ZINC000035608856;-6.461374;-5.8364506;-6.351452;-6.3745117;-6.098592
ZINC000095829910;-5.1483665;-5.262742;-5.1970315;-5.5562162;-5.416893
ZINC000095929545;-5.836887;-5.893137;-5.6159167;-6.377513;-5.824428
ZINC000037389779;-5.7636204;-5.8794518;-5.222724;-5.706756;-5.7170486
ZINC000034925224;-5.866837;-5.64001;-5.101641;-5.5935946;-5.450397
ZINC000891401859;-5.2663946;-5.082391;-5.179247;-5.0280857;-5.219069
ZINC000521400764;-4.905175;-4.7906103;-4.7324224;-5.2429132;-4.7837396
ZINC000045506141;-5.7572;-5.4684014;-5.483778;-5.3057404;-5.447577
ZINC000306283518;-4.775995;-5.1321635;-4.857722;-5.057027;-4.6701508
ZINC000037730036;-5.2777033;-4.886126;-5.2909603;-5.076296;-4.7752852
ZINC000037730037;-5.2904153;-5.0859127;-5.042004;-5.1764135;-4.9286556
ZINC000037730044;-5.2515826;-5.358964;-5.1828747;-5.256706;-4.9500904
ZINC000134027350;-5.33581;-5.790839;-5.343165;-5.3041625;-4.95506
ZINC000134027160;-5.5502996;-5.595092;-5.3818583;-5.3656054;-5.0142674
ZINC000306315715;-4.9857583;-5.0225616;-4.955378;-5.3661165;-5.2150054
ZINC000618910727;-5.747231;-5.33626;-5.5251064;-5.411159;-5.7364335
ZINC000619525470;-6.1146345;-6.415308;-5.7702036;-6.209928;-5.9253316
ZINC000575442313;-5.357591;-5.571046;-5.8357005;-5.875729;-5.649851
ZINC000575442255;-4.9780173;-4.9944353;-4.7989616;-5.0800095;-4.970389
ZINC000040455036;-5.002841;-4.9342976;-5.071896;-5.1073666;-5.1846695
ZINC001324706402;-6.3590555;-6.366655;-6.001406;-6.443673;-6.252486
ZINC000163818426;-5.4083767;-5.3375845;-5.0504117;-5.4454803;-5.394903
ZINC000854429749;-6.4789577;-5.627776;-5.9795337;-6.104745;-6.1095095
ZINC000307975171;-4.8510485;-5.046382;-4.9441547;-4.766957;-4.556937
ZINC000308155873;-5.7325087;-5.959302;-5.4775634;-5.7468085;-5.417587
ZINC000393580203;-4.769703;-4.7084627;-4.740652;-4.2311234;-4.6144238
ZINC000307561332;-5.2461863;-5.7590585;-5.5968637;-5.772899;-5.761115
ZINC000034283418;-5.466548;-5.250527;-5.517117;-5.415485;-5.5990915
ZINC000087841851;-5.186;-5.1998773;-5.0516825;-5.2703643;-5.277459
ZINC000308201688;-4.9903455;-4.5639715;-4.621854;-5.1078997;-5.0575743
ZINC000308404275;-5.238669;-5.088407;-5.458156;-5.139953;-5.4623394
ZINC000308430965;-4.6682744;-4.9103427;-4.898866;-4.741044;-4.678564
ZINC000308430967;-4.6684203;-4.6297383;-4.834402;-4.8644505;-4.782574
ZINC000306442260;-5.0514255;-5.0812635;-4.7540464;-5.5067973;-5.241745
ZINC000035116914;-5.9908247;-5.75188;-5.9690056;-6.101117;-6.031056
ZINC001333821753;-5.686227;-5.522038;-5.438988;-5.3316565;-5.4276547
ZINC001333938646;-5.387343;-5.3428392;-5.6053853;-5.7032843;-5.596868
ZINC001334163107;-5.2412677;-5.057082;-4.9515433;-5.4354773;-5.496731
ZINC001334163108;-5.2835484;-4.9263983;-4.830676;-5.3894653;-5.371528
ZINC001334258250;-4.9228835;-5.265458;-4.438402;-5.177633;-5.288327
ZINC001334784255;-5.678814;-5.449657;-4.930324;-5.3029337;-5.041299
ZINC000091692195;-4.813879;-5.2807074;-4.720161;-5.2190604;-4.8861957
ZINC000206105506;-4.2000074;-4.438127;-4.284306;-4.2685556;-4.2434835
ZINC001335350709;-4.9123416;-4.6321697;-4.4891515;-4.8083863;-5.0444884
ZINC000061679573;-5.820924;-6.4009957;-5.2264237;-5.706822;-5.8891377
ZINC000061679574;-5.8224688;-6.4029555;-5.2226725;-5.706632;-5.8925977
ZINC001335617335;-5.4983754;-5.268936;-5.1432033;-5.2923617;-5.148444
ZINC000091692194;-4.4733987;-4.7287893;-4.647283;-5.2559266;-4.832408
ZINC001335896546;-5.198464;-5.855163;-5.2115045;-5.5630364;-5.657382
ZINC001335910448;-5.554514;-5.619751;-5.855884;-5.444414;-6.310733
ZINC000308368277;-4.912063;-5.214028;-5.0667834;-4.8990073;-5.06925
ZINC001119799419;-5.255322;-5.1053047;-4.680334;-4.9439607;-5.019889
ZINC001336303716;-4.7197433;-4.8010035;-4.597388;-4.9263783;-4.9734306
ZINC001336296199;-5.5973234;-5.723726;-5.583255;-5.780506;-5.528983
ZINC001336304605;-4.589506;-4.965223;-4.921017;-5.1198406;-5.113296
ZINC000085346320;-6.060754;-5.94133;-5.9493856;-5.8819876;-5.9120884
ZINC000085346317;-5.717475;-5.6094904;-5.769019;-6.021679;-5.835167
ZINC001336756203;-5.1865854;-4.83617;-4.70025;-5.400683;-5.075581
ZINC001337286359;-5.7127776;-5.766424;-5.594614;-5.691782;-5.840215
ZINC000216688952;-5.7800303;-5.742741;-5.3893204;-5.517948;-5.7382174
ZINC001337779153;-5.1761594;-5.137862;-5.2852464;-5.3956814;-5.8291464
ZINC001337779156;-5.3454394;-5.3277283;-5.03653;-5.342161;-5.647167
ZINC000040454487;-5.160927;-5.0979414;-5.3739777;-5.402823;-5.543794
ZINC000197331557;-5.4996376;-5.728833;-5.3765607;-5.2545886;-5.4859557
ZINC000388621899;-4.8837843;-5.0947995;-5.2565556;-5.1341553;-5.1490893
ZINC001341391557;-5.557338;-5.3502197;-5.2690563;-5.7917666;-5.4320054
ZINC000388621900;-4.5987678;-5.329452;-5.261604;-5.078089;-5.0453615
ZINC000388621897;-4.5989504;-5.32921;-5.26176;-5.0780563;-5.04535
ZINC000388621901;-4.883622;-5.0947824;-5.2564898;-5.13414;-5.1492133
ZINC001343382174;-5.4718723;-5.674923;-5.204271;-5.7083435;-5.3435235
ZINC000037730042;-5.54583;-5.557954;-5.701322;-5.4619203;-5.015758
ZINC000306375755;-4.7097945;-4.4460015;-4.5902753;-4.6937137;-4.444074
ZINC000070187087;-5.861919;-5.809732;-5.630745;-5.94225;-5.7594604
ZINC000070187235;-5.253225;-5.5211244;-5.3528657;-5.310377;-5.2303505
ZINC000070190617;-5.5349874;-5.6604643;-6.2337756;-5.6513705;-5.3857546
ZINC001346180789;-5.020647;-5.0022697;-4.7218547;-5.265606;-5.2166247
ZINC001346225182;-5.1963825;-4.9693823;-5.21706;-5.6493015;-5.347406
ZINC001346178473;-5.0732045;-4.9869313;-4.8510056;-5.2695885;-5.356622
ZINC000393325567;-4.729447;-4.9469624;-4.6567307;-4.4479156;-4.415361
ZINC000379328352;-6.142231;-5.661413;-5.199017;-5.334435;-5.2809186
ZINC000307414913;-5.804888;-5.6214905;-5.2298837;-5.5699034;-5.6051955
ZINC000306656747;-5.8617635;-5.568511;-5.472837;-5.626403;-5.7139573
ZINC000306656750;-5.880077;-5.4296293;-5.3699903;-5.49037;-5.6222672
ZINC001352803993;-4.6575766;-5.0918226;-4.8330665;-5.4392743;-5.936428
ZINC000070797862;-5.210374;-5.3238974;-5.01565;-5.161764;-5.621367
ZINC001589033683;-5.268188;-5.691578;-5.18023;-5.8169084;-5.6298833
ZINC001589033681;-5.851475;-5.756351;-5.2220416;-5.9015284;-5.647238
ZINC000308188715;-5.7131233;-5.883072;-5.299074;-5.6163206;-5.317336
ZINC001356104118;-4.707328;-5.0508246;-4.8716836;-5.1194515;-4.7676115
ZINC001356103338;-5.23217;-5.0322585;-4.8085065;-5.0965447;-5.2540045
ZINC001356103335;-4.8148413;-5.0682335;-5.1885943;-5.22182;-5.3770537
ZINC001355406170;-4.9725533;-4.9075;-5.044487;-4.976412;-5.2749615
ZINC001356568144;-4.823286;-5.021685;-5.022559;-5.313827;-5.2814198
ZINC001356568145;-4.9477577;-4.8889537;-4.871423;-5.1805115;-5.2555056
ZINC000899861249;-6.2752233;-6.396585;-5.9361563;-6.305943;-5.5169973
ZINC000899887344;-4.8019433;-4.8080654;-4.9630475;-4.8677316;-5.1215696
ZINC000899883902;-5.300851;-5.940084;-5.6629887;-5.5990996;-5.500906
ZINC000899875470;-5.038447;-5.4498997;-4.8194013;-5.1349025;-5.1617904
ZINC000899881560;-5.7334967;-5.7321644;-5.127074;-5.7364664;-5.780216
ZINC000899878717;-5.701899;-5.618691;-5.187418;-5.7693295;-5.599492
ZINC000899883704;-5.382775;-5.4495826;-5.228683;-5.4597464;-5.811942
ZINC000899886840;-5.2388463;-5.1635513;-4.97746;-5.1183443;-4.8404737
ZINC000899881176;-5.475045;-5.42588;-5.4459786;-5.699569;-5.7587624
ZINC000899889364;-5.478591;-5.5044265;-5.1846304;-5.35763;-5.3662004
ZINC000899894289;-5.584858;-5.644767;-5.678305;-6.2753286;-6.3319435
ZINC000899878718;-5.721559;-5.4638667;-5.145966;-5.680713;-5.519249
ZINC000899882174;-4.4338455;-4.8348055;-4.4407516;-4.650984;-4.564661
ZINC000899887353;-4.5954876;-5.042876;-4.40951;-5.1488557;-4.5808115
ZINC000899883448;-5.7717276;-5.4013906;-5.3541675;-5.7739425;-5.9367466
ZINC000899891485;-5.549464;-5.7377644;-5.232643;-5.392826;-5.798133
ZINC000899893044;-4.7262697;-5.05286;-4.6078153;-5.1060553;-4.8594475
ZINC000070838764;-5.3725877;-5.5524206;-5.32594;-5.4814334;-5.5973225
ZINC000308406994;-5.222723;-5.684367;-5.238953;-5.654603;-5.349476
ZINC000308406997;-5.279472;-5.4253736;-5.683055;-5.341629;-4.9111934
ZINC000072232770;-5.77507;-5.7424693;-5.3783717;-5.814807;-5.700037
ZINC000388395298;-4.3854628;-4.618717;-4.4576607;-4.5743284;-3.9794214
ZINC000388452561;-4.288875;-4.2401037;-4.3458858;-4.1344953;-4.549707
ZINC000115610467;-5.619262;-5.4632716;-5.4132395;-5.4905224;-5.599869
ZINC000115610468;-5.620083;-5.463808;-5.4132156;-5.4892263;-5.599976
ZINC000905048961;-5.0819783;-5.360135;-5.1516924;-5.2176733;-5.380946
ZINC001537820992;-5.962923;-5.631063;-5.727959;-5.635153;-5.6465554
ZINC000905133917;-5.5249505;-5.511792;-5.4369154;-5.339369;-5.231587
ZINC000905113207;-4.598667;-5.174528;-5.0613346;-4.9890924;-4.958311
ZINC000905098216;-4.840055;-4.7570605;-4.880417;-5.0288815;-5.280393
ZINC001537820991;-5.9627976;-5.6308875;-5.7279086;-5.6352534;-5.6467705
ZINC000905113206;-4.6781864;-5.047553;-4.996988;-5.122747;-4.881344
ZINC000905133916;-5.6460743;-5.738652;-5.6916995;-5.6999984;-5.393927
ZINC000393354281;-4.534256;-4.8897314;-4.4943433;-4.8230605;-4.6666794
ZINC000905189930;-4.951049;-5.0327826;-5.0178237;-5.0938234;-5.3340926
ZINC000905244291;-4.1238894;-4.3395414;-4.734958;-4.5597396;-4.427139
ZINC000905220577;-4.713432;-4.67636;-4.6273427;-4.918519;-4.868489
ZINC000905226997;-5.148628;-5.163607;-5.376779;-5.320131;-5.3685517
ZINC000905218662;-5.439338;-5.5035396;-5.6576333;-5.95622;-5.664948
ZINC000905219267;-3.9142349;-4.324648;-4.5699596;-4.507754;-4.2079883
ZINC000905226995;-5.3305016;-5.4077244;-5.505499;-5.3915534;-5.575274
ZINC000905257601;-4.452653;-4.2512445;-4.726349;-4.5606484;-4.4929814
ZINC000905261839;-4.8202796;-4.9666724;-4.6389074;-5.016525;-5.3272734
ZINC000905387566;-4.965943;-5.6719637;-5.2237663;-5.4647894;-5.8966703
ZINC000905355444;-4.7842894;-4.3985906;-4.6118965;-4.894016;-4.5285926
ZINC000905416091;-5.768795;-5.923338;-5.4740543;-5.913523;-6.2560725
ZINC000905677635;-4.7517796;-5.038173;-4.9266396;-4.914253;-5.0594134
ZINC000085220980;-4.8426976;-5.0825205;-5.024605;-5.2044187;-4.9440713
ZINC000306597099;-5.1415143;-5.446744;-5.485537;-5.070233;-5.119959
