name;01;02;03;04;05
ZINC000930583479;-5.2723966;-4.574473;-4.3924956;-5.2579155;-4.5218325
ZINC000930538789;-5.003454;-4.9242415;-4.458016;-4.9561;-4.841653
ZINC000307620849;-5.583111;-5.4517093;-5.3630424;-5.85626;-5.547252
ZINC000929312848;-6.0517154;-6.298641;-5.683996;-6.6816626;-6.1152496
ZINC000929312849;-6.4099016;-6.360806;-6.078378;-6.739421;-6.2662997
ZINC000929273081;-4.208246;-4.243229;-4.065609;-4.7715425;-4.449698
ZINC000929312847;-6.5435224;-6.378417;-5.9774103;-6.81526;-6.3473983
ZINC000929343519;-4.8120937;-5.3574414;-4.854004;-5.1207438;-5.1294937
ZINC000929485047;-4.4437137;-4.5047083;-3.9448185;-4.868901;-4.172125
ZINC000929589489;-5.2112594;-5.611377;-5.2387867;-4.947201;-5.2357225
ZINC000929752816;-4.410382;-4.4470873;-4.5227156;-5.212595;-4.7566643
ZINC000929805049;-5.691146;-5.376258;-5.4281716;-5.677121;-5.438595
ZINC000929805047;-4.9632473;-5.1566005;-5.147789;-5.5766916;-5.2622375
ZINC000930161407;-5.0316;-5.6401334;-5.448252;-6.10257;-5.6284556
ZINC000930127533;-5.8928843;-5.7830386;-5.5885563;-5.8633595;-5.7151937
ZINC000930127534;-5.345602;-5.7435455;-5.6343417;-5.7568364;-5.853643
ZINC000930161410;-5.373124;-5.4440265;-5.3073573;-6.037946;-5.4144745
ZINC000930161409;-5.5738583;-5.566816;-5.495145;-6.007533;-5.639945
ZINC000930127535;-5.5963717;-5.68562;-5.634207;-5.770813;-5.389609
ZINC000930161406;-5.659073;-5.6721616;-5.455364;-6.182042;-5.7127256
ZINC000930127536;-5.9658012;-5.8173447;-5.4171906;-5.736583;-5.7312407
ZINC000930268217;-4.9654922;-5.8514543;-5.3680696;-6.1553245;-5.8347225
ZINC000930268218;-4.952261;-5.6190076;-5.2614493;-6.1406884;-5.743248
ZINC000930470651;-5.286957;-5.330513;-4.614545;-5.7699203;-5.409703
ZINC000930327917;-4.7374353;-4.6844707;-4.545995;-5.115087;-4.926886
ZINC000930863934;-5.9279065;-5.191591;-4.837634;-5.712529;-5.21582
ZINC000930863935;-5.257037;-5.1737623;-5.0151057;-5.3026347;-4.9899507
ZINC000931276925;-5.6515675;-5.7044616;-5.277427;-5.886292;-5.755088
ZINC000931266980;-5.5972295;-5.7821136;-4.9244275;-5.744292;-5.655357
ZINC000931383718;-4.854136;-5.109195;-4.8635154;-5.5984836;-5.0343704
ZINC000931383717;-4.910666;-5.0695124;-4.8061357;-5.5849853;-5.0448074
ZINC000931607339;-5.442485;-5.84;-5.671772;-6.1798267;-5.949035
ZINC001262241591;-6.080753;-5.7947817;-6.432369;-6.2624593;-5.876491
ZINC001262241588;-5.817215;-5.80483;-5.924419;-6.1975474;-5.8769927
ZINC001262241589;-5.6988406;-5.8260946;-5.803126;-6.3636847;-5.8644853
ZINC001262241590;-5.6646304;-5.893239;-6.25554;-6.295279;-5.8433666
ZINC000592158866;-5.8870645;-6.112918;-5.593935;-5.5823183;-5.4526577
ZINC001262490258;-6.059925;-5.6669064;-6.001721;-6.406274;-5.5663657
ZINC001262490281;-4.760543;-5.0508437;-5.0614233;-4.952594;-4.7976427
ZINC001262490282;-4.7674212;-5.1749477;-5.1855593;-5.1475763;-5.0038924
ZINC001262491910;-6.0372095;-5.6988873;-5.4630933;-6.2425585;-5.505062
ZINC000932487534;-5.4961586;-5.7240295;-5.5590053;-6.108691;-5.9119263
ZINC000932487533;-5.5469413;-6.081873;-5.295604;-5.768643;-5.748847
ZINC000932487532;-5.5090046;-5.778687;-5.457608;-6.1696234;-5.9687357
ZINC000932487535;-5.6138253;-6.098069;-5.2968955;-5.8335147;-5.8025575
ZINC000095348162;-5.819922;-5.749638;-5.674894;-5.6428337;-5.7423506
ZINC000108283863;-5.9212184;-6.396795;-5.8645835;-6.1105523;-5.8872004
ZINC000108367852;-5.7048864;-5.7657986;-5.7615438;-5.906906;-5.7979903
ZINC000042410445;-5.629058;-5.7156696;-5.510374;-5.6401005;-5.4152236
ZINC000051890500;-6.3284655;-6.3168554;-6.555027;-6.393663;-6.400647
ZINC000051890498;-6.487998;-6.234136;-6.4566865;-6.295245;-6.323555
ZINC000037902501;-6.8307176;-7.1120872;-6.949516;-7.0442724;-6.967072
ZINC000929707124;-5.185321;-5.416652;-4.8730536;-5.3619404;-5.208614
ZINC000929707135;-5.509055;-5.313253;-4.712556;-5.412479;-5.04907
ZINC000019390865;-6.073812;-6.418161;-6.189294;-6.6145577;-6.4845247
ZINC000037902494;-6.5930457;-6.9199433;-6.595461;-6.7650595;-6.931626
ZINC000038810038;-5.76486;-6.373641;-5.765234;-6.233658;-6.1019096
ZINC000033513248;-6.4850235;-6.686384;-6.5589495;-6.479177;-6.715468
ZINC000037730023;-5.559633;-6.422327;-5.9159904;-5.872565;-5.5697794
ZINC000082635429;-6.416255;-6.4500017;-6.3763785;-6.3491516;-6.596214
ZINC000040860006;-6.785641;-6.2509503;-6.2149196;-6.6258717;-6.4752026
ZINC000306432847;-5.516155;-5.617258;-5.310736;-5.933998;-5.70513
ZINC000306432846;-5.930505;-5.766919;-5.4070616;-6.008815;-5.889907
ZINC001332156029;-6.3830204;-6.3834743;-6.268683;-6.7825212;-6.5340033
ZINC001332996743;-5.168422;-5.4842043;-5.520128;-5.967576;-5.565932
ZINC001332996745;-5.392411;-5.7902527;-5.4433703;-5.8023133;-5.819609
ZINC001332996742;-5.5895176;-5.5911226;-5.2799478;-5.814695;-5.608288
ZINC001332996736;-5.244484;-5.5000434;-4.978474;-5.5203204;-5.479826
ZINC001333872744;-5.761535;-5.8804464;-5.8875046;-6.0862813;-5.879237
ZINC001333872742;-5.6902742;-5.6563597;-5.77052;-5.75016;-6.0188856
ZINC001333872747;-5.7859116;-5.875128;-5.8851624;-5.831206;-6.0047903
ZINC001333872745;-5.6192613;-5.5556293;-5.7710195;-5.914283;-5.717222
ZINC001334771771;-5.8450027;-5.4120126;-5.5075417;-6.005987;-5.8711286
ZINC001334808093;-5.759622;-5.933768;-5.5685697;-6.069301;-5.846944
ZINC001334796245;-5.7443767;-5.7150645;-5.7573776;-5.887891;-6.1715646
ZINC001334808080;-5.727302;-5.6894;-5.8630576;-6.186556;-6.037595
ZINC001334808092;-5.797737;-5.1789756;-5.6099157;-5.9717107;-5.756157
ZINC001334808091;-5.8156505;-6.067061;-5.736057;-6.284411;-6.1259446
ZINC001334921442;-5.786037;-5.6409826;-6.138503;-6.319348;-5.6393495
ZINC001335302595;-4.610084;-5.0640364;-4.622492;-4.6280875;-4.865444
ZINC001335361141;-5.478939;-5.208796;-4.732192;-5.1201544;-5.2882175
ZINC001335425686;-5.600147;-5.4489965;-4.9733763;-5.7845035;-5.206838
