name;01;02;03;04;05
ZINC000005298708;-4.628743;-4.8210526;-4.394135;-4.573296;-4.597213
ZINC000005306373;-5.78871;-5.3069334;-5.8038573;-6.2755966;-5.503809
ZINC000002156659;-5.00949;-4.6909432;-4.894353;-4.7521305;-4.894231
ZINC000004342611;-5.526239;-5.7197113;-5.562824;-5.578501;-5.2332206
ZINC000003642177;-4.1593494;-4.2656727;-4.0504117;-3.980628;-4.2928743
ZINC000003869277;-3.908815;-3.806415;-4.0116305;-3.7994945;-3.9182591
ZINC000000895391;-2.9121466;-2.81744;-2.9802463;-2.8240428;-2.9649854
ZINC000038029784;-5.1457334;-5.137921;-4.965027;-4.830467;-4.901253
ZINC000017537935;-4.7776637;-4.918367;-4.60682;-4.564068;-4.6363015
ZINC000004529879;-4.6027274;-4.8203506;-4.9790416;-4.855893;-4.916064
ZINC000004797451;-4.890676;-4.743526;-4.9746137;-4.748324;-4.871434
ZINC000004683023;-4.8205676;-4.6939187;-4.7118025;-4.647654;-4.725401
ZINC000004797446;-4.890676;-4.743526;-4.9746137;-4.748324;-4.871434
ZINC000004557733;-5.0794735;-4.5232673;-4.8265114;-4.4945736;-4.709726
ZINC000083428620;-3.8616831;-4.722608;-4.424988;-4.162898;-4.3150887
ZINC000005133394;-4.2531195;-4.822853;-4.208809;-4.5462418;-4.7055297
ZINC000005178426;-4.9902315;-5.2722898;-5.068558;-4.825775;-4.9377713
ZINC000005185460;-6.3694806;-5.893143;-5.78831;-6.3807216;-6.140771
ZINC000005287048;-4.6036158;-4.2398987;-4.4278197;-4.2551904;-4.4204073
ZINC000005749057;-5.9868455;-5.9183083;-5.5611944;-5.726484;-5.5139675
ZINC000008628006;-5.6349163;-5.3865933;-5.3101735;-5.4109936;-5.362496
ZINC000050916091;-4.5896635;-4.8211207;-4.628894;-4.481563;-4.6598682
ZINC000035720965;-4.8932514;-4.736286;-5.0844507;-4.4954605;-4.887683
ZINC000038292656;-4.8918853;-5.071792;-4.448087;-4.520051;-4.57628
ZINC000009596211;-4.9065666;-4.885998;-4.883758;-4.733607;-4.884605
ZINC000013126609;-4.8945723;-4.8471193;-4.931107;-5.0716286;-5.1878233
ZINC000012243856;-3.2881699;-3.6048665;-3.3353498;-3.4633403;-3.1711988
ZINC000005112407;-4.270679;-3.9469562;-3.8627136;-3.876679;-3.866216
ZINC000100222389;-4.110139;-3.6680222;-3.8692627;-4.0377855;-3.920567
ZINC000127550539;-4.9748936;-4.9075427;-4.6671352;-5.173393;-5.2980103
ZINC000017163898;-4.6559544;-4.5754814;-4.623723;-4.507306;-4.709395
ZINC000000402662;-4.616469;-4.677134;-4.426262;-4.7119026;-4.610817
ZINC000017744655;-4.738778;-5.106093;-5.1728745;-4.9389668;-5.2293706
ZINC000083341879;-5.0227385;-4.818198;-4.6569023;-5.218853;-5.348042
ZINC000000402661;-4.444462;-4.6503253;-4.381693;-4.6253567;-4.4722958
ZINC000263615884;-4.4750433;-4.502105;-4.602592;-4.497452;-4.4822373
ZINC000013477019;-6.1180286;-6.0328803;-5.496502;-5.7056017;-5.368698
ZINC000015022813;-5.22773;-4.8235917;-4.863453;-4.594222;-5.076259
ZINC000015423467;-4.4296713;-4.517897;-4.416284;-4.42013;-4.495955
ZINC000016010450;-4.6824107;-4.413245;-4.4191465;-4.5104914;-4.1679854
ZINC000072339522;-4.7103024;-4.3841553;-4.962411;-4.8883233;-4.7073364
ZINC000033961433;-4.8201056;-4.8061304;-5.042983;-4.954952;-4.942441
ZINC000004579319;-4.6149535;-4.361981;-4.378617;-4.582775;-4.122094
ZINC000039066116;-5.1014233;-4.3636456;-4.676664;-4.495531;-4.699595
ZINC000075852167;-4.6580887;-4.5739517;-4.716143;-4.267528;-4.5290966
ZINC000012362029;-4.4702144;-4.62914;-4.0899897;-4.1715856;-4.1478634
ZINC000042750189;-3.664908;-3.68263;-3.6558714;-3.4291377;-3.6743007
ZINC000012504657;-4.7052894;-4.4315214;-4.752676;-4.2234855;-4.7349977
ZINC000006379009;-4.3661404;-4.302653;-4.2817435;-4.010395;-4.2184386
ZINC000039222704;-3.7500927;-3.9715946;-4.010392;-3.651775;-4.1527634
ZINC000038233794;-4.007768;-4.1414266;-4.045029;-4.1750674;-4.1270127
ZINC000104705288;-4.644728;-4.401955;-4.4404864;-4.693094;-4.3910227
ZINC000104705291;-4.7491245;-4.5168133;-4.4468656;-4.6245165;-4.4593005
ZINC000002164660;-4.813733;-4.830704;-4.9372797;-4.5682383;-4.802163
ZINC000071405375;-5.177644;-5.2762733;-5.1161566;-5.063466;-5.091887
ZINC000000901380;-4.4379253;-4.336906;-4.4320755;-4.542555;-4.3424244
ZINC000019790345;-4.861249;-4.924288;-4.5815153;-4.621865;-4.6998086
ZINC000238399659;-4.2342596;-4.023349;-4.0388246;-4.2204075;-3.7576551
ZINC000012362912;-5.8577952;-4.7798657;-5.8694115;-5.6540775;-5.341978
ZINC000003394372;-5.281084;-5.075381;-5.3587093;-5.1051106;-5.072947
ZINC000001459981;-5.2575083;-5.268677;-5.194242;-5.107714;-5.2511315
ZINC000003394374;-5.329404;-5.1407943;-5.219418;-5.2500653;-5.1195827
ZINC000072190618;-4.763596;-4.574468;-4.541733;-4.8895802;-4.9457664
ZINC000082447371;-4.869177;-4.5957437;-4.694109;-4.583658;-4.7835917
ZINC000004002935;-4.622292;-4.618327;-5.0197906;-4.644178;-4.5802593
ZINC000005615452;-5.0236464;-4.719548;-4.7635264;-4.624199;-4.779695
ZINC000001392195;-4.9467764;-4.6544886;-4.7969575;-4.679279;-4.7339587
ZINC000000016356;-4.921094;-4.6900215;-4.971472;-4.8071995;-4.90865
ZINC000000492965;-4.6075315;-4.62703;-4.86705;-4.7284546;-4.610298
ZINC000000161375;-5.1067796;-5.021572;-4.956738;-4.833708;-4.906343
ZINC000253537474;-5.3281007;-4.8405347;-4.859935;-5.2238717;-4.9373384
ZINC000098181672;-4.898124;-4.5437136;-4.6647844;-4.7217236;-4.594578
ZINC000096526491;-4.450531;-4.2126913;-4.4254227;-4.506467;-4.4915767
ZINC000100097243;-4.4460793;-4.666414;-4.6171784;-4.7503433;-4.639573
ZINC000060060375;-4.2000613;-4.083505;-4.214779;-3.972768;-4.160415
ZINC000085863805;-4.866178;-4.5751762;-4.7600307;-4.6035085;-4.849604
ZINC000004682900;-3.2724059;-3.4033916;-3.5224938;-3.8059494;-3.586174
ZINC000006184825;-4.271385;-4.4553356;-4.466291;-4.623899;-4.189164
ZINC000043224378;-4.8239403;-5.14585;-4.741851;-4.9049315;-5.0334454
ZINC000015828506;-4.1169376;-4.3158307;-4.7505565;-4.427617;-4.427441
ZINC000003672011;-5.7371697;-5.5116544;-5.266529;-5.166343;-5.2091393
ZINC000004270085;-4.3596945;-4.2944016;-4.577109;-4.4479213;-4.3323445
ZINC000017248977;-6.1757116;-5.5104837;-5.6558576;-5.7448797;-5.9356484
ZINC000094968029;-5.109103;-5.1156044;-5.224601;-4.9864726;-5.2496033
ZINC000097100465;-4.4895177;-4.3166285;-4.395027;-4.377366;-4.3300643
ZINC000036456199;-4.5155754;-4.349556;-4.5641003;-4.4169354;-4.675533
ZINC000100796205;-5.197663;-5.3592772;-4.750717;-5.0767517;-5.0297413
ZINC000004723363;-4.455763;-5.1326056;-5.071442;-5.1004553;-5.0625525
ZINC000049597440;-5.5177393;-5.172866;-5.20029;-5.025011;-5.1559763
ZINC000002567303;-4.005577;-3.9104345;-3.9534836;-3.8439007;-3.9519567
ZINC000254290868;-4.455763;-5.1326056;-5.071442;-5.1004553;-5.0625525
ZINC000245190594;-5.2728834;-5.7494974;-5.3387356;-4.7592773;-5.3704
ZINC000001273173;-5.0324197;-5.016066;-5.170449;-4.8621855;-5.1256027
ZINC000001696692;-4.7412777;-4.8632545;-4.7541685;-4.9683557;-4.91204
ZINC000100004408;-4.579154;-4.82144;-4.4793415;-4.3821106;-4.7483797
ZINC000038281922;-3.698182;-3.4248204;-3.7453194;-3.6750436;-3.554133
ZINC000038760485;-4.685792;-4.940129;-4.844198;-4.772229;-4.928897
ZINC000002647845;-4.8565526;-4.4547143;-4.2293987;-4.596331;-4.664747
