name;01;02;03;04;05
ZINC000146979063;-4.046749;-4.0614185;-4.05407;-4.175388;-3.9140165
ZINC000005420206;-5.167471;-4.7455463;-4.8659763;-4.9420013;-4.828816
ZINC000001755751;-4.2664614;-4.2651563;-3.8617427;-3.8433847;-4.1154075
ZINC000002599565;-4.5142303;-4.9000635;-4.828701;-4.9524384;-4.937383
ZINC000003231237;-4.1090193;-4.353952;-3.646516;-3.7900803;-3.7193751
ZINC000004096305;-4.9750824;-5.154704;-5.0190434;-4.817615;-4.933307
ZINC000004096040;-4.9666395;-5.078531;-5.0361505;-4.550277;-4.733158
ZINC000006125814;-4.743184;-4.488565;-4.4266973;-4.4834347;-4.846552
ZINC000087652899;-4.639413;-5.0477037;-4.969524;-4.5365453;-4.589319
ZINC000039082254;-5.664951;-6.1361637;-5.3480473;-5.469157;-5.4274874
ZINC000039048889;-4.9191475;-5.249577;-5.345466;-5.1060963;-5.017606
ZINC000117474648;-4.03716;-4.568078;-4.254092;-4.4104986;-4.0501137
ZINC000006605606;-4.4785933;-4.746755;-4.642512;-4.909903;-4.4811163
ZINC000096577865;-4.7889524;-5.0130596;-4.5087156;-4.219515;-4.1562304
ZINC000032098729;-3.8477437;-3.892901;-3.8270702;-3.6680279;-3.495339
ZINC000037470330;-5.4042997;-6.133505;-5.2676473;-5.3507447;-5.4458413
ZINC000001639901;-3.8638132;-4.0938478;-3.8175793;-3.6924062;-3.839099
ZINC000019439993;-4.807403;-5.3062406;-4.293864;-4.5080276;-4.5110273
ZINC000021951984;-5.516286;-5.792076;-5.5136743;-5.1142273;-5.3762956
ZINC000019798465;-3.9617453;-3.815777;-4.1579494;-3.5009544;-3.4902873
ZINC000020033344;-3.9735878;-3.8066494;-4.043944;-3.6989393;-3.5821917
ZINC000038040460;-4.9263906;-5.2899075;-4.749086;-4.8393335;-4.8516207
ZINC000020033521;-4.211212;-4.5352626;-4.29882;-4.027193;-3.9328728
ZINC000019426639;-5.306912;-5.0402265;-5.0151105;-4.7508926;-5.2424364
ZINC000019426641;-5.244803;-5.3011594;-4.9061484;-4.7961287;-5.270606
ZINC000043204647;-4.354558;-4.86436;-4.515721;-4.4034524;-4.319412
ZINC000051075118;-4.055311;-4.219962;-4.2342544;-3.899704;-3.9912572
ZINC000084991357;-4.4559016;-5.082438;-4.637265;-4.578543;-4.4597216
ZINC000145335993;-4.309647;-4.387119;-4.2097106;-4.080351;-4.218692
ZINC000013115852;-4.3392034;-3.9634535;-3.6988206;-3.9544492;-3.949544
ZINC000019318726;-3.3447888;-2.6417077;-3.3698323;-2.8501272;-3.0881214
ZINC000019435614;-5.274278;-5.758338;-4.769672;-5.156072;-5.518011
ZINC000072233202;-3.835973;-3.5533528;-3.664291;-3.5090694;-3.7129574
ZINC000051075119;-4.055653;-4.2200203;-4.234445;-3.8998642;-3.9914951
ZINC000084991355;-4.5083637;-5.127998;-4.7013717;-4.6263986;-4.464989
ZINC000019702378;-4.8178415;-5.1463356;-4.762298;-4.817424;-5.1000614
ZINC000043204646;-4.354686;-4.8644285;-4.5158153;-4.4035816;-4.3196583
ZINC000019685202;-6.4108644;-6.3274727;-6.006727;-5.898631;-5.958842
ZINC000019736846;-4.0861535;-4.0814996;-4.1003027;-4.170164;-3.929524
ZINC000037471041;-4.4273076;-5.1591225;-5.0660377;-4.8179493;-4.7987165
ZINC000038462343;-4.0736704;-4.107856;-3.95054;-3.8007884;-3.7870724
ZINC000013858991;-3.6681752;-4.0201106;-3.9612925;-3.9614186;-3.6356275
ZINC000020267823;-5.3894215;-5.416967;-5.06523;-5.0207458;-5.0852866
ZINC000083946449;-4.146871;-4.042029;-4.248766;-4.033715;-3.9606647
ZINC000083947752;-5.406743;-5.1902475;-5.1539717;-5.00894;-4.844375
ZINC000083947750;-5.1393833;-4.9341097;-5.056489;-4.649162;-4.7294245
ZINC000021298151;-3.4809866;-3.5801926;-3.3005002;-3.3723857;-3.0587015
ZINC000016667312;-3.3631382;-3.3255763;-3.336394;-3.1257167;-3.3943353
ZINC000004964722;-5.2402005;-5.234987;-5.220411;-4.899948;-5.078511
ZINC000004964721;-4.9816947;-5.0020056;-5.027226;-4.8347244;-4.7550545
ZINC000104597770;-4.7538033;-4.771678;-4.5140057;-4.2961802;-4.4081573
ZINC000019255043;-3.913859;-3.6847286;-3.5275261;-3.7092178;-3.647681
ZINC000100820687;-5.376161;-5.355063;-5.3354445;-5.036214;-5.2868032
ZINC000019430594;-5.4823995;-5.0280304;-5.1706395;-5.3613205;-5.181376
ZINC000034744994;-4.986184;-4.9047523;-5.036471;-4.9681726;-4.276328
ZINC000002384265;-5.176887;-5.2150097;-5.0058937;-5.2655115;-4.957748
ZINC000001886326;-5.136426;-5.112219;-4.9397974;-5.221757;-4.991247
ZINC000001886324;-5.3479595;-5.5651584;-5.245359;-5.3663263;-5.2283297
ZINC000035102044;-4.261039;-4.6561637;-4.17946;-4.426751;-4.07499
