name;01;02;03;04;05
ZINC000001681193;-4.2048054;-4.40175;-4.194021;-4.440012;-4.2850084
ZINC000005340725;-3.8532612;-3.902793;-4.304511;-4.1820426;-4.2578707
ZINC000001718074;-5.5444493;-5.340854;-5.51376;-5.484954;-5.421324
ZINC000001716300;-4.166707;-4.5141516;-4.1953287;-3.9571736;-4.3063807
ZINC000001742622;-5.251322;-5.405218;-5.196412;-5.5880704;-5.2500925
ZINC000001723279;-4.363635;-4.5979776;-4.5149593;-4.622345;-4.6771307
ZINC000005426025;-4.8860645;-5.3326893;-4.9535637;-5.0385256;-4.6711183
ZINC000005446329;-3.2934723;-3.6898847;-3.7075915;-3.7921417;-3.6537151
ZINC000005493062;-4.951657;-5.326066;-5.3454666;-5.0848503;-5.6423616
ZINC000005493061;-4.654767;-4.7100577;-4.9399643;-4.732244;-4.996369
ZINC000002026937;-5.316164;-5.0355067;-5.1295075;-4.713299;-4.906982
ZINC000002143503;-3.8881922;-4.008122;-4.0925517;-4.066918;-4.3997145
ZINC000002170683;-4.377418;-4.521531;-4.244438;-4.4547477;-4.2688513
ZINC000005599954;-4.1404266;-3.9997346;-4.1045766;-4.284252;-3.9538627
ZINC000005741581;-4.3117123;-4.53219;-4.353992;-4.2111197;-4.358045
ZINC000005782069;-4.8233776;-4.4650054;-4.5640435;-4.589231;-4.560884
ZINC000005810833;-3.7807817;-3.5059073;-3.9914072;-4.291683;-3.8223886
ZINC000004097497;-4.371745;-4.485881;-4.4925847;-4.003806;-4.3590517
ZINC000006020860;-3.6399922;-3.7891474;-3.362289;-3.3022482;-3.6174889
ZINC000082266215;-4.1637244;-4.3012347;-4.11179;-3.9884205;-3.912503
ZINC000006160733;-5.5106215;-5.1554737;-5.3320103;-5.6440988;-5.5488515
ZINC000004429902;-4.07234;-3.7958615;-3.5808702;-3.7333667;-3.9170651
ZINC000004804394;-4.009487;-4.1400614;-4.3155775;-4.2265906;-4.290902
ZINC000006426052;-4.742523;-4.725024;-4.415619;-4.9635725;-4.5812593
ZINC000005048874;-4.620372;-4.6425104;-4.6328354;-4.7723656;-4.755747
ZINC000005008954;-4.7834616;-5.308636;-4.9142165;-4.933507;-4.9253244
ZINC000005048380;-3.9723215;-4.139443;-4.336587;-4.0736074;-4.2208
ZINC000006491763;-4.4817038;-4.54926;-4.7040334;-4.792841;-4.671239
ZINC000000895973;-2.2699215;-2.2650769;-2.3093524;-2.1422243;-2.2494178
ZINC000079062025;-3.1551044;-3.0858183;-3.204089;-2.9595184;-3.0930107
ZINC000006658038;-5.011505;-4.7379932;-4.6109085;-4.8062963;-4.640703
ZINC000005104694;-2.8096316;-3.2104657;-3.7271087;-3.220881;-3.40936
ZINC000005201413;-4.0530195;-3.8271625;-3.8265576;-3.4859118;-3.9401684
ZINC000006930187;-4.773083;-4.907448;-4.1925836;-4.4774656;-4.602514
ZINC000005500418;-4.052981;-3.8271768;-3.8266044;-3.4858963;-3.9401696
ZINC000005497337;-4.0316005;-3.8388515;-4.3778267;-4.027383;-4.114658
ZINC000005518113;-4.7166977;-4.6837215;-4.8030663;-4.992016;-5.033178
ZINC000005574064;-4.2284875;-4.0527368;-3.9999702;-3.9294033;-4.157225
ZINC000104567124;-4.245848;-4.1601973;-4.4619813;-4.4905667;-4.394832
ZINC000143363512;-4.1309233;-4.1056166;-4.0367885;-4.108457;-4.0189676
ZINC000005940573;-5.1058393;-4.571969;-4.9270406;-4.7269697;-4.763473
ZINC000006343129;-4.3242636;-4.2413583;-4.6803403;-4.234832;-4.6112947
ZINC000006373448;-5.041167;-5.2209983;-5.120331;-5.1499376;-5.1807537
ZINC000006487723;-4.5360303;-4.213654;-4.171345;-4.3077607;-4.42205
ZINC000096528728;-5.121868;-4.6083407;-4.490929;-4.364283;-4.6459055
ZINC000033961334;-3.0550034;-3.161715;-3.2165968;-2.9966764;-2.9262311
ZINC000070453830;-4.832859;-4.813336;-4.894236;-4.6403165;-4.6344576
ZINC000017129121;-3.9220576;-4.2729616;-3.949623;-4.359923;-4.189693
ZINC000017189047;-4.333047;-3.8683014;-3.8174176;-3.7833223;-4.085585
ZINC000016955531;-4.85088;-4.9432325;-4.449497;-4.527884;-4.8925123
ZINC000107284094;-4.53965;-4.708125;-4.615236;-4.657474;-4.494616
ZINC000034596248;-3.5953345;-3.8896432;-3.7804976;-3.773018;-3.829314
ZINC000018209861;-4.7730856;-4.7804737;-4.774811;-4.7342257;-4.8270903
ZINC000018207792;-4.357959;-3.9501314;-3.8724704;-4.027074;-4.158563
ZINC000034596249;-3.5936172;-3.8266625;-3.7660377;-3.6637888;-3.9360442
ZINC000019431442;-4.5403814;-3.997123;-4.1250215;-4.009532;-4.435896
ZINC000096527948;-4.548745;-4.7730613;-4.2619224;-4.2186837;-4.6332064
ZINC000013525849;-4.990179;-5.0223637;-4.729114;-4.7727733;-4.675
ZINC000039090937;-5.1904125;-5.3410206;-4.755289;-5.021941;-5.012683
ZINC000095096788;-5.1134987;-4.7510858;-4.7662754;-4.9269423;-5.052539
ZINC000095096789;-5.099481;-4.7484913;-4.767373;-4.903562;-5.017676
ZINC000072220883;-4.0079308;-4.0330715;-3.941424;-3.9325233;-3.854796
ZINC000014988152;-4.5101547;-4.581608;-4.6375866;-4.6389556;-4.7219954
ZINC000013831142;-4.161304;-3.9826407;-4.212377;-4.298903;-4.087479
ZINC000005112421;-4.4852705;-4.843873;-4.629768;-4.7193475;-4.53724
ZINC000014988149;-4.6318226;-4.701173;-4.418585;-4.5434623;-4.722481
ZINC000008700257;-4.9435635;-4.787063;-4.5828147;-4.66532;-4.531027
ZINC000032501214;-4.9720907;-5.144379;-4.986758;-4.8164973;-4.830699
ZINC000015950335;-5.8156576;-6.1209774;-5.441567;-5.2531714;-5.1206617
ZINC000096527706;-4.873783;-4.658741;-4.6577454;-4.461897;-4.4438715
ZINC000409015707;-4.5016136;-4.4930115;-4.287621;-4.1770988;-4.157062
ZINC000016922833;-4.156496;-4.6761365;-4.1563687;-4.0244904;-4.448639
ZINC000016951355;-6.4451113;-4.84705;-4.937497;-5.4993873;-5.819444
ZINC000017020888;-4.7748375;-4.731601;-4.7876725;-4.722401;-4.6898603
ZINC000253532471;-4.4648066;-4.237616;-4.437783;-4.4734044;-4.324305
ZINC000017127073;-4.5413265;-4.650117;-4.4862843;-4.3910294;-4.331247
ZINC000017419116;-4.9692454;-4.667709;-4.565238;-4.513263;-4.750724
ZINC000017781592;-4.4032326;-4.5578227;-4.760642;-4.444932;-4.421236
ZINC000016051263;-4.5514064;-5.037373;-4.9075603;-4.7990623;-4.9635425
ZINC000104243134;-4.5514064;-5.037373;-4.9075603;-4.7990623;-4.9635425
ZINC000028297025;-4.2203646;-4.4356976;-4.1335354;-4.216217;-4.486623
ZINC000018168150;-4.819438;-5.1654;-5.0219994;-5.067134;-5.1901336
ZINC000031871326;-3.3971143;-3.6371045;-3.5753796;-3.4877758;-3.4210613
ZINC000031924332;-5.0895743;-5.206402;-4.4521213;-5.18316;-5.120458
ZINC000031871324;-3.4631333;-3.5270247;-3.603177;-3.5077765;-3.5503912
ZINC000104595523;-4.2018194;-4.1560435;-4.2551765;-4.182959;-3.8175535
ZINC000012964085;-4.0241523;-4.3493686;-4.520394;-4.0219617;-4.251884
ZINC000017377757;-4.5639505;-4.336862;-4.7325497;-4.3642755;-4.2677546
ZINC000104201446;-4.781967;-4.892442;-4.8334036;-4.5491185;-5.1494403
ZINC000019167278;-2.732234;-3.2609622;-2.9201274;-3.2154913;-3.1093998
ZINC000095116282;-3.7895157;-3.9278252;-3.6614976;-3.770573;-3.6398792
ZINC000016942341;-4.6774893;-4.7199945;-4.5172243;-4.51663;-4.7650576
