name;01;02;03;04;05
ZINC000005296681;-4.468694;-4.1988697;-4.2676644;-4.264223;-4.3057427
ZINC000005375619;-4.0498366;-3.9630082;-4.210645;-3.9512215;-4.0112
ZINC000001996013;-4.5926127;-4.585785;-4.544086;-4.5062466;-4.4418545
ZINC000002524728;-4.6895323;-4.573599;-4.708962;-4.4171395;-4.373046
ZINC000038220192;-4.631845;-4.6156363;-4.5832562;-4.6914086;-4.6933937
ZINC000005686684;-4.4713683;-4.7153425;-4.455945;-4.832887;-4.721474
ZINC000005686684;-5.208178;-5.0703697;-4.729334;-5.4787183;-5.173798
ZINC000005765084;-4.5720353;-4.4911413;-4.608013;-4.376087;-4.6929774
ZINC000005764944;-3.8873367;-3.4864397;-3.3175442;-3.5754209;-3.790264
ZINC000002585537;-4.5157;-4.3462744;-4.381123;-4.573497;-4.5918
ZINC000002807366;-4.2897344;-4.620863;-4.488724;-4.4546247;-4.513401
ZINC000170598532;-4.886194;-5.25321;-4.6420197;-4.666887;-4.7633533
ZINC000003643073;-4.513158;-4.4227104;-4.5265417;-4.5166335;-4.527645
ZINC000003643073;-4.743869;-4.39083;-4.6272583;-4.7006927;-4.6595187
ZINC000003308067;-5.803285;-5.5880876;-5.4297156;-5.647557;-5.559459
ZINC000006008258;-5.6512485;-5.2292385;-5.0858946;-5.51682;-5.3315372
ZINC000006008258;-4.667606;-4.8673987;-4.87746;-4.9097576;-4.653985
ZINC000006037924;-3.456787;-3.4813473;-3.5666583;-3.343506;-3.3191762
ZINC000009355838;-4.9532294;-5.1187;-4.815388;-4.727301;-5.2115393
ZINC000006171669;-4.6068;-4.4981585;-4.0757093;-4.4269266;-4.214598
ZINC000014980361;-4.9563584;-4.8364153;-5.0615306;-4.827249;-4.9401665
ZINC000004634945;-4.9433537;-4.8925595;-4.776232;-5.104088;-5.3393946
ZINC000004710012;-4.6898484;-4.834324;-4.505194;-4.7196074;-4.821126
ZINC000004710014;-5.0137835;-4.9777417;-4.633066;-4.8956795;-4.7989826
ZINC000006491361;-5.3523407;-5.2336297;-5.168213;-5.31344;-5.374967
ZINC000006491361;-5.356732;-5.236867;-5.176269;-5.321431;-5.3845077
ZINC000006556548;-5.2103333;-5.017071;-4.982073;-4.783271;-4.748245
ZINC000142862437;-3.8156228;-3.602469;-3.7157729;-3.776927;-3.9011633
ZINC000077264708;-4.9058867;-4.6783037;-4.7969904;-4.7002845;-4.5797615
ZINC000007261573;-4.514305;-4.639381;-4.913813;-4.7869663;-4.9405346
