name;01;02;03;04;05
ZINC000001709940;-4.8275833;-5.0521545;-4.670448;-5.0928674;-5.005933
ZINC000001736714;-5.5905533;-5.494729;-5.6389637;-5.515829;-5.59969
ZINC000001747135;-6.4629936;-6.1222672;-6.435214;-6.0999126;-6.3372545
ZINC000001845847;-4.130293;-3.971633;-4.2392325;-4.2502913;-4.3693166
ZINC000005458989;-4.8491464;-4.8429613;-4.9954023;-5.1120443;-5.186065
ZINC000005500424;-4.77857;-5.1080723;-5.009027;-4.8743258;-5.047446
ZINC000002034904;-5.205499;-5.527544;-5.378994;-5.3221064;-5.5653367
ZINC000002505327;-5.0454288;-4.866126;-4.9073534;-5.000799;-5.3030934
ZINC000005675830;-5.2020597;-5.3827953;-5.204556;-5.0962286;-5.4026084
ZINC000003227121;-4.32417;-4.6374283;-4.529318;-4.3341002;-4.542457
ZINC000003165043;-5.1637187;-4.491051;-4.880007;-5.2361007;-4.9656477
ZINC000003308067;-5.8497596;-5.7458816;-5.6625695;-5.882424;-5.893949
ZINC000004228063;-5.0624204;-5.142495;-4.883031;-4.7772794;-5.192224
ZINC000004091440;-5.539578;-5.758463;-5.739477;-5.478353;-5.772822
ZINC000006130017;-4.809139;-5.093888;-4.964079;-5.2960167;-5.3522816
ZINC000004566297;-5.046014;-5.0089326;-4.9895964;-4.9740105;-5.1877775
ZINC000004759984;-4.9477086;-5.019002;-4.716959;-4.4299216;-4.853958
ZINC000006662113;-5.807121;-5.864898;-5.910907;-5.7433977;-5.915077
ZINC000005224798;-5.5765696;-5.7692246;-5.7332253;-5.697808;-5.704081
ZINC000005224855;-5.5769744;-5.7692547;-5.7330594;-5.698296;-5.705179
ZINC000005224771;-5.8491993;-5.8173757;-5.139962;-5.507086;-5.2876654
ZINC000005800069;-5.45678;-5.590277;-5.570183;-5.340305;-5.506007
ZINC000008627857;-5.219813;-5.272114;-4.832085;-5.179016;-4.99053
ZINC000008648824;-5.0704827;-5.0182576;-4.987237;-5.012183;-4.770149
ZINC000003136875;-4.9106913;-5.390161;-5.143462;-4.863811;-5.0976257
ZINC000003121383;-5.154073;-4.690463;-5.025964;-5.25472;-5.070933
