name;01;02;03;04;05
ZINC000039320992;-6.2981925;-6.129494;-5.9030194;-6.3400645;-5.6609545
ZINC000104708940;-6.0884857;-5.8563476;-5.61393;-5.9232388;-5.7308
ZINC000104708936;-5.906389;-6.102894;-5.477127;-5.7617984;-5.480648
ZINC000039320994;-6.490205;-6.3114815;-6.0362377;-6.175731;-5.6204114
ZINC000004226758;-6.3250585;-6.4170136;-6.218459;-6.075685;-6.0230255
ZINC000004226758;-7.0418963;-6.997602;-6.721441;-6.378478;-6.4438615
ZINC000004226758;-7.0431924;-6.995091;-6.7183733;-6.3800516;-6.443708
ZINC000042409480;-6.0093;-5.537607;-5.245325;-5.1213884;-5.0728316
ZINC000006871655;-6.310906;-6.3169336;-6.2790756;-6.345573;-6.3409243
ZINC000104568427;-6.7299666;-6.5695233;-6.6198373;-6.254468;-6.3699923
ZINC000008731057;-5.3022513;-6.003051;-5.6670895;-5.9405627;-5.497995
ZINC000008731062;-5.4071383;-6.0227165;-5.7172623;-5.846176;-5.5582438
ZINC000011885743;-5.9137645;-5.7898593;-5.681785;-5.6836567;-5.374007
ZINC000011885743;-6.628866;-5.9961576;-5.864116;-5.649337;-5.5361786
ZINC000011885744;-6.6884823;-6.025498;-5.923968;-5.683625;-5.5139675
ZINC000011885744;-6.451571;-6.4768114;-5.700062;-5.7098265;-5.5654683
ZINC000018562314;-5.107279;-5.635724;-5.33473;-5.2278256;-4.923229
ZINC000018562314;-5.223989;-5.6569476;-5.4015455;-5.235191;-4.879708
ZINC000050269904;-5.9816213;-5.7841525;-5.4697886;-5.993497;-5.430002
ZINC000242522405;-6.2603693;-6.187437;-5.9224567;-6.337436;-6.043295
ZINC000242522405;-6.5119452;-6.4552;-6.24403;-6.151936;-5.937452
ZINC000036873599;-5.8142853;-6.02606;-5.9505806;-6.3056736;-5.944597
ZINC000095627685;-6.5907626;-6.189835;-5.838185;-5.9515715;-6.0372705
ZINC000096523466;-6.4398804;-6.7443056;-5.8026795;-6.1763206;-5.9400215
ZINC000096523466;-6.1944838;-6.668668;-6.0881195;-5.6209226;-5.997228
ZINC000036873587;-5.5752172;-5.328778;-5.459767;-5.787761;-5.380875
ZINC000017764872;-5.9223704;-5.696461;-5.579304;-5.7498007;-5.5735445
ZINC000019288029;-6.039964;-6.1064124;-5.67982;-6.3047423;-5.9795756
ZINC000019364953;-5.19647;-5.6008916;-5.768445;-5.6661267;-5.5392036
ZINC000019366555;-4.720976;-5.821398;-5.030729;-5.028788;-5.0282097
ZINC000019366555;-5.370727;-5.1080184;-4.861216;-4.870049;-4.8120937
ZINC000019366555;-5.1295347;-5.2238455;-4.6684833;-5.042523;-4.978047
ZINC000019366555;-5.3389144;-5.382096;-4.9531837;-5.0433154;-5.13515
ZINC000019370461;-6.8750467;-6.3362646;-5.9476337;-5.8485417;-5.753482
ZINC000034423380;-6.286007;-6.9614906;-6.41334;-6.5561137;-6.113912
ZINC000019470541;-5.299735;-5.2742186;-4.997219;-4.9328327;-5.2648664
ZINC000034978491;-7.135219;-6.472905;-6.3374434;-6.3915286;-6.04038
ZINC000019723319;-5.6615744;-5.983458;-5.2977777;-5.256172;-5.4816155
ZINC000095627684;-6.589392;-6.189997;-5.8385;-5.9514904;-6.037004
ZINC000036304670;-6.5496693;-6.2980466;-6.196913;-6.4792137;-6.6266346
ZINC000019843293;-5.8533983;-5.842114;-6.155834;-6.000062;-5.617572
ZINC000019843293;-5.9626575;-5.7327147;-5.5176525;-5.85225;-5.538229
ZINC000019843292;-5.954425;-5.7173915;-5.526831;-5.8536286;-5.5589247
ZINC000019843292;-6.1387787;-5.640763;-5.9097176;-5.913007;-5.5003257
ZINC000037267074;-6.7084675;-6.382021;-6.2282243;-6.570248;-6.2674875
ZINC000037267073;-6.9502187;-6.6291866;-6.1270313;-6.4857736;-6.3752165
ZINC000037692297;-6.575319;-6.2422266;-6.3832617;-6.448847;-6.6757584
ZINC000020030419;-5.9652243;-5.943401;-5.4518304;-5.7336626;-5.725712
ZINC000020030423;-6.0598936;-6.0705085;-5.6010523;-5.509694;-5.47221
ZINC000038086859;-5.8013186;-6.0910306;-5.6647754;-5.74608;-5.9096994
ZINC000038086859;-5.6731367;-6.4151;-5.6821036;-5.8034253;-5.6201057
ZINC000038086860;-5.665945;-6.20458;-5.660677;-5.555387;-6.0419583
ZINC000038086860;-5.7501564;-6.4349623;-5.728657;-5.6787763;-5.4956126
ZINC000020194490;-5.985982;-5.9509926;-5.9342327;-6.0255127;-6.2118707
ZINC000020194487;-6.201933;-6.2679214;-5.970976;-6.423995;-6.694231
ZINC000020217789;-6.7411957;-6.4066195;-6.715084;-6.4505067;-6.637192
ZINC000020217788;-5.9828944;-6.1752944;-6.0522013;-6.383495;-6.3027782
ZINC000021986491;-5.819321;-5.1992598;-5.489791;-5.3393064;-5.2905726
ZINC000021986490;-5.704831;-5.3450184;-5.4657197;-5.3594804;-5.178295
ZINC000050269905;-6.0290728;-5.6485634;-5.5226154;-5.897384;-5.541819
ZINC000022169958;-6.5997295;-6.3756037;-6.678166;-6.2091417;-5.4029827
ZINC000079406357;-6.2461176;-6.227521;-5.9735985;-6.3243833;-5.875225
ZINC000022169961;-6.461281;-6.486551;-6.385046;-6.175784;-5.4870286
ZINC000022169955;-6.122894;-6.025379;-6.532397;-5.897687;-5.354382
ZINC000022169955;-6.91313;-6.426759;-6.278746;-6.5647616;-5.5261083
ZINC000079390743;-6.1946;-6.550702;-6.3966074;-6.0071583;-5.8313403
ZINC000022169952;-6.259961;-5.4343863;-6.6633577;-5.7690597;-5.2021203
ZINC000022169952;-6.660436;-6.524488;-6.0002885;-6.515914;-5.566141
ZINC000036873586;-5.8450184;-5.643623;-5.4335384;-5.6074896;-5.265034
ZINC000079390737;-6.525482;-6.2169185;-6.159462;-6.11699;-6.23481
ZINC000079390740;-6.0935607;-7.0219965;-6.2215767;-6.110689;-5.592617
ZINC000068604796;-6.751974;-5.470756;-6.8171635;-6.3441668;-5.935943
