name;01;02;03;04;05
ZINC000039320992;-6.476098;-6.261256;-6.068554;-6.158286;-5.6236005
ZINC000104708940;-6.050431;-6.227431;-5.752345;-5.7987924;-5.51239
ZINC000104708936;-6.0966697;-5.8367534;-5.601017;-5.9202576;-5.7204375
ZINC000039320994;-6.47455;-6.1948266;-6.293365;-6.145826;-5.7169056
ZINC000001716316;-4.1205244;-4.293721;-4.451008;-4.360332;-3.938407
ZINC000218887388;-6.504901;-6.195978;-5.8271995;-5.9835453;-5.8735976
ZINC000141023780;-6.290085;-6.9944506;-6.7814655;-6.440225;-6.6804037
ZINC000218887229;-6.725519;-5.8994975;-6.0234904;-6.263234;-6.0498896
ZINC000019685146;-6.6581807;-6.3295684;-6.1531143;-6.204797;-6.523377
ZINC000005688809;-5.173904;-5.894335;-5.6250563;-5.3301363;-4.6336317
ZINC000001866049;-6.4299436;-6.6364093;-6.625784;-6.8481593;-6.3509054
ZINC000001866052;-6.5001526;-6.304604;-6.180914;-6.479555;-6.074148
ZINC000096509359;-6.313755;-6.8162894;-6.3095665;-6.341893;-6.104772
ZINC000096509373;-5.5191426;-6.1128545;-5.724775;-5.9773884;-5.8052654
ZINC000096509383;-6.4046297;-6.2976046;-5.9187055;-6.366043;-6.04645
ZINC000096509381;-6.0296583;-5.9622145;-5.49555;-6.018358;-6.0263762
ZINC000096509375;-6.0717583;-6.371337;-6.001702;-6.149614;-6.191986
ZINC000095079704;-5.6278067;-5.1332636;-5.370895;-5.1951723;-4.963311
ZINC000096509357;-6.0527973;-6.2759223;-5.8479843;-6.211369;-5.949145
ZINC000005957734;-4.630021;-4.896879;-4.7516294;-4.541646;-4.5899124
ZINC000019685147;-6.7337394;-6.346799;-6.184234;-6.179889;-6.3470674
ZINC000004226758;-6.320683;-6.412897;-6.2186327;-6.0808744;-6.023526
ZINC000001866047;-6.500259;-6.3047953;-6.1809335;-6.4796357;-6.0740347
ZINC000001866050;-6.4300623;-6.636431;-6.6259537;-6.848316;-6.35089
ZINC000096509360;-6.394385;-6.409731;-6.1859922;-6.2634377;-5.7846513
ZINC000096509384;-6.398966;-6.1156883;-5.932144;-6.1034403;-5.8176785
ZINC000096509382;-6.0947533;-6.06825;-5.604204;-6.183593;-5.962991
ZINC000004726925;-6.0966554;-6.1768184;-6.2714434;-6.102027;-6.116006
ZINC000004726927;-5.760808;-6.425118;-6.3691473;-6.0588737;-5.970251
ZINC000096509358;-6.0763917;-6.5455394;-6.0560765;-6.289291;-6.000104
ZINC000096509376;-6.0305395;-6.1605716;-5.6718035;-6.076734;-5.9773197
ZINC000040408671;-6.601104;-6.5879035;-6.1201215;-6.219122;-5.988793
ZINC000096509374;-5.855463;-6.0663514;-5.773016;-6.193249;-5.768632
ZINC000042409480;-6.0094337;-5.537706;-5.245467;-5.1213994;-5.072845
ZINC000040409035;-6.6783123;-6.63409;-6.0712996;-6.60957;-6.277984
ZINC000001589721;-6.469369;-6.6771073;-6.595786;-6.6119075;-7.0770073
ZINC000104568427;-6.5488634;-6.1708474;-6.636917;-6.0460496;-5.986868
ZINC000011804090;-5.257069;-5.3540115;-5.2165933;-6.0291557;-5.461462
ZINC000019369232;-6.940836;-6.916945;-6.7481437;-6.889618;-6.440857
ZINC000019423344;-4.8409276;-5.147243;-4.2721515;-4.8592486;-4.4977617
ZINC000019965411;-5.798431;-5.808645;-5.7568607;-5.862022;-5.7742023
ZINC000019965410;-5.9312882;-5.7079015;-5.7564754;-5.9483433;-5.818858
ZINC000238322266;-6.2813697;-6.5298853;-5.5607214;-5.7788205;-5.478216
ZINC000072210318;-6.6805153;-6.7081814;-6.268338;-6.383891;-6.797977
ZINC000020286761;-6.4571123;-6.559634;-6.38607;-6.4550743;-6.5882645
ZINC000072210316;-7.5329056;-6.9113774;-6.659412;-6.9322395;-6.4112372
ZINC000082488550;-6.051657;-5.6644115;-5.2877107;-5.362262;-5.250627
ZINC000203810826;-5.7313914;-5.785304;-5.5583496;-5.5767593;-5.650158
ZINC000113978852;-6.98126;-6.38156;-6.1871777;-6.3115416;-6.4262342
ZINC000104594569;-6.044033;-6.431041;-6.2534857;-6.4882164;-6.242381
ZINC000104594562;-6.238199;-6.223695;-5.6467247;-5.993376;-5.866589
ZINC000022762986;-7.1277246;-7.5829616;-6.4094257;-6.45553;-6.451458
ZINC000100809311;-6.7866488;-6.985505;-6.5481925;-6.754978;-5.9603205
ZINC000016082683;-6.7527876;-7.2424693;-7.2665224;-6.9244337;-6.845974
ZINC000257316057;-6.5870366;-6.116538;-6.2304554;-6.269603;-6.3306017
ZINC000147131713;-5.5224276;-6.0960045;-6.3395553;-5.758957;-5.565327
ZINC000036873499;-5.5676117;-5.825262;-5.9137564;-5.8387413;-5.7720966
ZINC000036873599;-5.605679;-5.9707527;-6.1911936;-5.7889705;-5.5577593
ZINC000017764872;-6.078617;-5.5343304;-5.326962;-5.5279145;-5.5646687
ZINC000104588448;-5.66942;-5.991559;-5.8227987;-5.5105467;-5.5549154
ZINC000019364953;-5.150355;-5.6060743;-5.436118;-5.207535;-5.114175
ZINC000019367617;-5.15587;-5.582051;-5.423315;-6.0768676;-5.413426
ZINC000072210317;-6.816412;-6.6528425;-6.463046;-6.4723377;-6.422957
ZINC000072210319;-7.110291;-6.9584155;-6.506566;-6.509715;-6.5543365
ZINC000104594567;-6.4958315;-6.43843;-6.1085496;-6.498641;-6.47881
ZINC000104594573;-6.238164;-6.2239876;-5.646727;-5.9933867;-5.8665257
ZINC000034762302;-4.4511285;-4.5964785;-5.495269;-5.3395734;-4.9989057
ZINC000104597236;-6.3310404;-5.910732;-6.2664876;-6.233651;-6.071333
ZINC000019519805;-4.9140553;-5.569901;-4.4672766;-4.3619237;-4.5646763
ZINC000019723319;-6.321468;-5.895812;-5.841319;-5.622587;-5.6531515
ZINC000019755453;-5.247526;-5.129373;-5.3474455;-5.356495;-5.2541213
ZINC000019794299;-6.457487;-6.6178217;-6.4034934;-6.1532874;-5.955408
ZINC000036949163;-6.1297674;-5.94714;-6.0958505;-6.1319513;-5.6102004
ZINC000019852483;-6.606511;-6.322184;-6.324442;-6.23969;-6.289739
ZINC000082637358;-6.448705;-6.3901057;-5.7615304;-6.259022;-6.0577483
ZINC000020071627;-5.838889;-6.0185065;-5.8979;-5.854951;-5.957813
ZINC000020071633;-5.859994;-5.973837;-5.9703546;-6.0350537;-6.1301584
ZINC000020217789;-5.8952947;-5.8656387;-5.954029;-6.0631046;-5.9920893
ZINC000020217788;-5.845831;-6.162199;-6.1838474;-6.0066614;-6.1711626
ZINC000008731113;-5.572037;-6.1487527;-5.5220942;-6.1864185;-5.7128487
ZINC000038973134;-6.3968816;-6.898959;-6.4643583;-6.607119;-6.416556
ZINC000020305906;-6.5064225;-6.2565756;-5.638938;-6.0995536;-6.487862
ZINC000008731114;-6.1560054;-6.6492224;-6.1580496;-6.370873;-5.7469587
ZINC000020305922;-6.157163;-5.9158716;-5.6493363;-5.811676;-6.1197057
ZINC000021986491;-5.515591;-5.4203987;-5.667486;-5.4581532;-5.331209
ZINC000021986490;-5.7121134;-5.4316287;-5.4940786;-5.490218;-5.123742
ZINC000039375619;-6.99753;-6.834163;-7.0143423;-6.8161874;-6.6855154
ZINC000079390745;-6.337703;-6.693774;-6.466351;-6.11029;-6.0836897
ZINC000079406357;-5.9842725;-5.883395;-5.8706384;-6.177816;-5.6638393
ZINC000079390743;-6.087697;-6.8545246;-6.0664034;-5.8545637;-5.6920137
ZINC000040408261;-6.873044;-6.357973;-5.9097605;-6.589831;-5.882592
ZINC000079406363;-5.8565793;-5.693129;-5.777481;-5.953519;-5.9973106
ZINC000022214317;-6.332298;-6.4755898;-5.9251347;-5.632211;-5.5453997
ZINC000079390737;-5.713646;-6.1175575;-5.7131925;-5.659687;-5.4993896
ZINC000079390740;-5.942284;-6.3285856;-5.96043;-5.6052294;-5.7640443
ZINC000022214320;-6.3353195;-5.952828;-5.844757;-5.5442934;-5.6992936
ZINC000068604796;-6.751974;-5.470756;-6.8171635;-6.3441668;-5.935943
ZINC000040448385;-6.4325643;-5.871387;-6.5743017;-6.341602;-6.1695757
ZINC000040448384;-6.751073;-5.8086047;-6.2586155;-6.3301783;-6.159733
ZINC000036873498;-6.136326;-6.6286488;-6.144984;-6.222559;-6.119067
ZINC000036873598;-5.53106;-5.800383;-5.8883204;-5.816071;-5.558707
ZINC000041027567;-6.8660183;-6.888217;-6.8672853;-6.729516;-6.7524357
ZINC000068604798;-6.042334;-4.9747963;-5.109077;-5.3389044;-4.5037947
ZINC000041027568;-6.825146;-6.613221;-6.858088;-6.522953;-6.7642426
ZINC000071618113;-7.1637487;-6.7988544;-6.896535;-7.407978;-7.1294255
ZINC000096054106;-6.0104356;-6.133521;-6.140312;-6.2223997;-6.1163697
ZINC000040408257;-6.658003;-6.3827224;-5.9526443;-6.7256417;-6.005832
ZINC000096054124;-5.9524484;-6.2468886;-6.1533613;-6.1102185;-5.6539817
ZINC000038040476;-6.462767;-5.864257;-5.685613;-6.331464;-5.798085
ZINC000091690550;-5.9687195;-6.010368;-5.8122845;-5.8802524;-5.613884
ZINC000096249173;-6.0517573;-6.4270163;-6.444568;-6.045271;-5.7266
ZINC000096246231;-6.2551064;-6.1752186;-6.482245;-5.817261;-5.7496676
ZINC000021378605;-5.8536754;-6.0891967;-6.3202596;-6.08155;-6.2538276
ZINC000019362176;-5.8693295;-6.567398;-6.279158;-6.580191;-6.4412456
ZINC000022859730;-6.1803102;-5.1696;-6.126302;-6.9357924;-5.5105343
ZINC000021378602;-5.589916;-5.7670546;-5.5368075;-5.420738;-5.615679
ZINC000047843810;-5.8760757;-5.5573287;-5.7634506;-5.6718583;-5.5802727
ZINC000039080521;-6.2186394;-6.294503;-6.077439;-6.374014;-6.0816917
ZINC000044678639;-6.0228815;-6.3546615;-6.6054792;-6.400419;-6.070751
ZINC000040408249;-6.5445566;-6.461905;-6.224824;-6.416675;-5.711169
ZINC000024513126;-5.7349057;-5.837894;-6.3106256;-5.8905683;-6.1716924
ZINC000107736609;-5.7990246;-5.7219334;-6.0771885;-5.8115993;-5.81861
ZINC000040409407;-6.879216;-6.4621964;-6.321926;-6.682915;-5.985738
ZINC000024513120;-5.7014346;-5.9271965;-6.040791;-5.815242;-6.308022
ZINC000024513123;-5.6658626;-6.2649484;-6.5973716;-5.7116027;-5.8317804
ZINC000040408264;-6.7386956;-6.2048817;-5.8802767;-6.5164404;-5.8374505
ZINC000052596647;-6.2569237;-6.597325;-6.1202006;-6.190978;-5.8526926
ZINC000096050971;-6.355477;-5.7581563;-6.047832;-5.6603928;-5.6166863
ZINC000026898262;-6.845087;-6.1841693;-5.833259;-6.2375813;-5.659328
ZINC000096056677;-6.426811;-5.9200206;-6.3245726;-5.835188;-6.1371193
ZINC000026898265;-6.621355;-6.3707404;-6.117903;-6.599512;-5.617891
ZINC000072206935;-6.4001284;-5.5295086;-5.7302303;-5.8446984;-5.640705
ZINC000072206946;-6.217446;-6.2802296;-6.1164;-5.972721;-5.757439
ZINC000072206937;-6.241366;-5.924822;-5.9601192;-5.8313384;-5.456047
ZINC000072206945;-6.216182;-6.2827945;-6.1151834;-5.9699144;-5.756724
ZINC000072206944;-6.6123834;-5.7379417;-6.353952;-5.88782;-5.928121
ZINC000072206936;-6.242477;-5.9268813;-5.960775;-5.829814;-5.4552817
ZINC000034200078;-5.0446105;-5.2644477;-4.94351;-5.113832;-4.8448973
ZINC000034248895;-6.163288;-5.619899;-6.058374;-6.247081;-5.3239746
ZINC000034248897;-5.6838884;-5.3983245;-5.604806;-5.858334;-5.903859
ZINC000034248839;-5.038043;-5.7738724;-5.9666576;-6.100535;-5.7789297
ZINC000034248838;-5.918408;-6.177435;-5.6621413;-6.101431;-5.91422
ZINC000084303631;-6.245344;-6.3465934;-6.1515756;-6.198039;-5.8168244
ZINC000079390738;-6.0227065;-6.459065;-6.11016;-5.927241;-5.4839697
ZINC000082393015;-6.1734247;-6.5837994;-6.066357;-6.1167583;-6.131078
ZINC000082393014;-6.1726665;-6.5839663;-6.068618;-6.117495;-6.1326175
ZINC000088189682;-5.65485;-5.4825077;-5.5506325;-5.6033745;-5.3844876
ZINC000035278963;-6.6661086;-6.230537;-6.1449285;-6.247851;-6.0403366
ZINC000002547222;-5.4342217;-4.814933;-4.8169546;-5.7532763;-4.707351
ZINC000019502812;-5.245442;-5.7232547;-5.789961;-5.7303734;-5.374305
ZINC000095097312;-6.893364;-6.7806964;-6.905985;-6.660268;-6.548112
ZINC000026898015;-5.5381727;-6.841268;-6.406568;-5.8190446;-6.7745748
ZINC000019425239;-5.8528504;-5.896625;-5.258157;-5.7448997;-5.362591
ZINC000095097316;-6.9134216;-6.8342285;-7.4084654;-7.236663;-6.8469515
ZINC000004202665;-5.141551;-5.800257;-5.7282524;-5.9105577;-5.5461125
ZINC000049579624;-5.6184654;-5.4485455;-5.514037;-5.657409;-5.3091483
ZINC000040163982;-5.695725;-5.5458984;-5.3456755;-5.6253953;-5.3273826
ZINC000027732744;-6.322541;-6.0464225;-6.090761;-6.3167777;-5.9145722
ZINC000004213466;-6.7318425;-6.8476787;-6.927638;-6.8605113;-6.7417583
ZINC000003954544;-6.9484334;-7.1542196;-6.5651016;-6.943352;-7.130576
ZINC000040163973;-5.7470064;-5.246944;-5.277089;-5.529272;-5.2862267
ZINC000002599202;-6.9984555;-6.3027825;-6.1153984;-6.100729;-6.3131957
ZINC000005828101;-5.137428;-5.157144;-5.4068284;-5.342171;-4.912019
ZINC000020216995;-6.1707306;-6.0704465;-5.7397127;-6.215053;-6.123846
ZINC000004991663;-5.0804734;-5.330578;-5.2566185;-5.5770473;-4.7020736
ZINC000017289287;-5.263922;-5.2176123;-4.8866134;-5.3567996;-4.8106136
