name;01;02;03;04;05
ZINC000001692680;-5.358055;-5.3212943;-5.297185;-5.302061;-5.5551143
ZINC000005285797;-6.207182;-6.1186337;-5.803818;-5.946512;-6.000801
ZINC000140913987;-5.189165;-4.953909;-5.1810546;-5.465562;-5.1924076
ZINC000002015865;-4.6705422;-5.076455;-4.937269;-4.647199;-4.8943644
ZINC000002169168;-5.734964;-5.602681;-5.52315;-5.8967805;-5.8631835
ZINC000002599001;-5.627296;-5.7794228;-5.6217117;-5.792075;-5.6697817
ZINC000004149782;-5.2069645;-4.871822;-4.864198;-4.952488;-5.1889777
ZINC000006008283;-5.3863564;-5.1017475;-4.754912;-4.9432244;-4.911148
ZINC000004108346;-6.016958;-5.952969;-5.870302;-6.068203;-5.995698
ZINC000004108456;-5.2291403;-5.4270587;-5.6190634;-5.8675737;-5.7129383
ZINC000004311308;-5.024515;-5.2439156;-5.254323;-5.518527;-5.3389416
ZINC000004468969;-6.18586;-6.1422324;-5.623469;-5.306098;-5.5937147
ZINC000059269054;-6.057662;-6.162118;-6.0132117;-6.0558124;-6.165611
ZINC000006645478;-5.1329556;-5.412105;-5.5821853;-5.610395;-5.418712
ZINC000005642224;-5.416371;-5.5179677;-5.4853296;-5.094083;-5.217526
ZINC000005941974;-6.1029463;-5.9023557;-5.5936055;-5.7764325;-5.547843
ZINC000008793616;-5.3036375;-5.6377144;-5.7093263;-5.836188;-5.610452
ZINC000009604742;-5.820801;-5.663693;-5.864914;-5.217593;-5.788343
ZINC000012360011;-5.337405;-5.3565927;-5.2173944;-5.2963114;-5.3829074
ZINC000012357793;-5.857688;-5.398488;-5.5168757;-5.2687855;-5.6998453
ZINC000014983393;-5.4018154;-5.4566445;-5.315724;-5.3689275;-5.363979
ZINC000012372232;-5.539503;-5.404764;-5.162737;-5.058892;-5.2110033
ZINC000088189764;-5.255817;-5.7991714;-5.546576;-5.276648;-5.285076
ZINC000007779462;-5.4678183;-5.847569;-5.644552;-5.3434005;-5.4411383
ZINC000095836847;-5.634013;-5.6428165;-5.257991;-5.201359;-5.3913054
ZINC000014983217;-5.862038;-5.8681507;-5.719277;-5.821869;-5.503644
ZINC000015021964;-5.9736423;-5.6822524;-5.4301186;-5.997786;-5.524457
ZINC000146571604;-5.3574214;-5.429843;-4.6286654;-5.0360003;-5.110938
ZINC000002577989;-5.7913904;-5.7235155;-5.662324;-5.249752;-5.497962
ZINC000016267815;-5.071926;-5.440646;-4.9871936;-5.3976393;-5.470339
ZINC000038844721;-5.6991405;-5.6760325;-5.736411;-5.26835;-5.462003
ZINC000095836826;-5.0735784;-4.838666;-4.719159;-4.7121644;-4.999022
ZINC000004155208;-5.8080683;-5.85752;-5.2038126;-5.2413383;-5.4873757
ZINC000000520553;-5.5514793;-5.7392564;-5.502618;-5.3575106;-5.275628
ZINC000000503525;-5.8512125;-5.7544637;-5.7442055;-5.781182;-5.7141886
ZINC000004343428;-5.395896;-5.393683;-5.307562;-4.8578477;-5.1231003
ZINC000036072263;-5.7094536;-5.6087685;-5.4499884;-5.6884036;-5.6904254
