name;01;02;03;04;05
ZINC000001705754;-5.41267;-5.502885;-5.2116413;-5.387677;-5.3526053
ZINC000005361091;-6.518789;-6.209585;-6.0572076;-6.1115923;-6.032122
ZINC000005425145;-4.746089;-5.139513;-4.6944222;-4.919631;-5.2096615
ZINC000005424441;-4.7790785;-4.9712057;-4.790446;-5.1018186;-5.040777
ZINC000002029309;-5.274594;-5.805359;-5.4856367;-5.9156737;-5.89006
ZINC000005594634;-4.395808;-5.0640597;-4.7581797;-4.678894;-4.9870872
ZINC000005663752;-6.30196;-6.4198503;-5.710589;-6.002803;-5.9568987
ZINC000002579327;-4.5388026;-4.605092;-4.829644;-4.8904138;-4.856741
ZINC000005955199;-3.0828342;-3.507638;-3.558917;-3.248689;-3.1742947
ZINC000004552340;-5.7734556;-4.878642;-4.951873;-6.4392023;-5.6932573
ZINC000006399636;-5.689131;-5.2461033;-5.615576;-5.9756594;-5.7642903
ZINC000004897090;-4.815764;-4.419004;-4.9513307;-4.798316;-4.6026764
ZINC000005117600;-4.1501465;-4.955482;-4.5637856;-4.550187;-4.538815
ZINC000005160837;-5.492915;-5.342457;-5.3053284;-5.389454;-5.3071256
ZINC000006625932;-5.7893863;-5.6458454;-5.543969;-5.556891;-5.6130548
ZINC000005566682;-5.0725737;-5.237692;-4.918751;-5.0828094;-5.0612206
ZINC000005495870;-5.0605807;-5.243918;-4.9104967;-5.074744;-5.056279
ZINC000307401956;-5.004751;-4.919565;-4.643647;-5.287533;-5.071026
ZINC000006161154;-5.494302;-5.3298507;-5.525222;-5.3129954;-5.583889
ZINC000013282336;-4.3521934;-4.856062;-4.803709;-4.854337;-4.6863737
ZINC000013282234;-5.2093287;-5.6140757;-5.851899;-5.5711575;-5.2033377
ZINC000012941791;-4.6695285;-5.134704;-5.1112614;-5.020358;-5.138562
ZINC000013207887;-5.4714;-5.589867;-5.0544825;-5.359332;-5.4647703
ZINC000013216701;-5.211581;-5.343631;-5.1565022;-5.211294;-5.1010504
ZINC000013285601;-4.9240823;-5.2700357;-5.0689254;-5.334625;-5.228347
ZINC000013410797;-5.2858505;-5.57961;-4.994512;-5.2477865;-5.2892795
ZINC000022200307;-5.683379;-6.0089474;-5.728462;-6.0547867;-5.798008
ZINC000015892386;-4.6297407;-5.0991693;-4.99678;-4.888861;-4.8224955
ZINC000005664633;-6.0851774;-6.4048395;-5.527942;-5.696795;-6.0308294
ZINC000095098555;-5.261318;-5.4316936;-4.9051056;-5.1996865;-5.1629443
ZINC000015892382;-5.037489;-5.2167535;-4.6868;-4.975207;-4.9508705
ZINC000017175287;-4.693867;-5.5525846;-5.113177;-5.6426897;-5.6779866
ZINC000017428033;-5.241543;-5.274503;-4.8111277;-5.3377934;-5.21654
ZINC000095098117;-5.1754394;-5.3660793;-5.101205;-5.135094;-5.151142
ZINC000017379871;-5.5905757;-5.2961535;-4.974114;-5.410532;-5.348968
ZINC000001759023;-4.853937;-5.03959;-4.706662;-4.954176;-5.122165
ZINC000001759003;-4.429003;-4.8878207;-4.359134;-4.684784;-4.6734104
ZINC000001759021;-4.973871;-5.411639;-4.5764303;-4.6028967;-4.5011525
ZINC000001670430;-4.5927005;-4.516089;-4.499803;-4.6543045;-4.3800955
ZINC000013523239;-5.026125;-5.2815275;-5.315054;-5.440086;-5.5018816
ZINC000019802573;-5.5645294;-5.6927557;-5.559018;-5.6416287;-5.574458
ZINC000096527800;-5.2349544;-4.9755707;-4.8271646;-5.3453984;-5.1390634
ZINC000019802577;-5.6210036;-5.2782726;-5.627087;-5.719982;-5.5667644
ZINC000072209629;-5.205054;-4.890689;-5.1356297;-4.963016;-4.776338
ZINC000001599388;-5.0866;-5.410804;-5.3162313;-5.245972;-5.5741973
ZINC000095116211;-5.15202;-5.0354095;-5.163542;-4.823673;-4.8624687
ZINC000003852590;-5.5215607;-6.04977;-5.6444106;-5.760896;-5.8971796
ZINC000002532334;-5.503747;-5.8448358;-5.6741204;-5.685069;-5.542205
ZINC000082046595;-5.3784084;-5.3437624;-5.108185;-5.382979;-5.3351827
ZINC000077028169;-4.6396294;-5.124267;-4.662792;-4.6253843;-5.0094194
ZINC000017161123;-5.1857224;-5.5944343;-5.1711526;-5.1354113;-5.444873
ZINC000038234636;-5.3347626;-4.595777;-4.4596276;-5.1794944;-5.019222
ZINC000039287046;-5.4432282;-4.554357;-4.7785616;-4.61848;-4.589157
ZINC000038665627;-6.0251656;-6.0902004;-5.636663;-6.0604234;-5.7479105
ZINC000036624785;-4.6784625;-4.689452;-4.304485;-4.6400604;-4.6966124
ZINC000039052258;-5.1566625;-5.3133283;-5.0109262;-5.1731725;-5.0978
ZINC000004085839;-5.104993;-4.9630885;-5.0473638;-4.854093;-4.8968287
ZINC000020313174;-5.5036206;-5.4701314;-5.407611;-5.1313868;-5.3058906
ZINC000020313100;-5.6400957;-5.1349187;-5.5939803;-5.413383;-5.388051
ZINC000019864860;-5.200382;-4.905587;-5.1333876;-5.163721;-4.935685
ZINC000019537576;-6.325339;-5.964963;-5.9296837;-6.345642;-6.1275787
ZINC000001713370;-5.4066195;-5.1213713;-5.2440805;-5.6373186;-5.3498373
ZINC000005329113;-4.594781;-4.2648478;-4.420068;-4.950561;-4.7760797
ZINC000004758453;-4.791026;-4.5591516;-4.13937;-4.7143025;-4.706524
ZINC000039340155;-4.5599656;-4.718115;-4.5961246;-4.4127374;-4.492863
ZINC000040443140;-5.2429857;-5.3079443;-5.1155286;-5.717053;-5.3807025
ZINC000001759022;-5.123008;-5.411386;-4.5786133;-4.6396317;-4.4723487
ZINC000002042094;-4.258952;-4.516409;-4.2306085;-4.511265;-4.6980953
ZINC000082046840;-5.973738;-4.7475314;-5.2418575;-5.6658616;-5.534209
ZINC000001759019;-4.85364;-5.0394363;-4.7066855;-4.9542565;-5.122228
ZINC000008613689;-5.2788467;-5.2349534;-5.064943;-4.89566;-4.4785337
ZINC000001602661;-5.278882;-5.234904;-5.064962;-4.895727;-4.478514
ZINC000028370082;-4.7138486;-4.7423854;-4.6166887;-5.072299;-5.5252275
ZINC000031925003;-4.663761;-4.9642577;-4.718747;-4.5986667;-4.6376243
ZINC000031925005;-4.7845335;-4.9758654;-4.699903;-4.6106825;-4.6591034
ZINC000616567622;-5.8360233;-5.821289;-5.8743644;-6.137306;-6.065131
ZINC000001565876;-4.270486;-4.3377867;-4.408569;-4.149778;-4.090905
ZINC000032144580;-5.5785646;-4.973229;-5.125446;-5.4479284;-5.230079
ZINC000034565998;-5.051661;-5.234034;-5.0547047;-5.1935115;-5.2667665
ZINC000032914736;-5.1221304;-5.421036;-5.1193743;-5.0835824;-5.076276
ZINC000032914733;-5.474519;-5.054414;-5.2850657;-5.0938773;-5.0617423
ZINC000238334154;-5.294671;-5.59799;-5.206568;-5.127749;-5.2382293
ZINC000001708214;-6.0287247;-6.283384;-6.2089877;-6.1565223;-6.2586803
ZINC000238333852;-5.389852;-5.6526685;-5.10832;-5.2585535;-4.9085584
ZINC000005028392;-5.080798;-5.4263215;-5.258406;-5.573072;-5.4838557
ZINC000096527756;-4.961531;-4.671979;-4.8820057;-5.158746;-5.5216227
ZINC000034079352;-4.9316287;-5.0010633;-4.6916494;-5.162834;-5.153229
ZINC000072482172;-4.7949133;-5.2740827;-4.7036753;-4.7515144;-5.0519805
ZINC000139630733;-5.671141;-5.52151;-5.2671967;-5.545805;-5.428906
ZINC000059386654;-5.082087;-5.0408664;-4.892002;-5.1068907;-4.928776
ZINC000034291197;-4.979088;-4.91064;-4.8514266;-4.7468023;-4.74099
ZINC000238798710;-5.3898644;-5.652688;-5.108282;-5.2585974;-4.9085784
ZINC000238798692;-5.290809;-5.5378284;-5.2668614;-5.123668;-5.253702
ZINC000079061968;-5.255339;-4.9973974;-4.8983955;-5.213418;-5.0912986
ZINC000043669747;-4.840404;-4.333117;-4.345969;-4.8906536;-4.914218
ZINC000003844330;-5.359236;-5.534557;-5.517992;-5.428437;-5.4745674
ZINC000071789961;-4.9768705;-5.1497574;-5.181186;-5.263542;-5.24561
ZINC000005355360;-5.411154;-5.3922353;-5.372133;-5.640973;-5.4106054
ZINC000002023777;-5.8050327;-5.695845;-5.597995;-5.6822414;-5.578008
ZINC000039432597;-5.5195975;-5.469382;-5.327173;-5.5828214;-5.351477
ZINC000032173983;-5.215221;-5.151465;-5.054185;-5.144736;-5.2519264
ZINC000238403389;-4.977505;-4.9970756;-4.6641374;-5.2387376;-5.23299
ZINC000035677524;-5.6350574;-5.577923;-5.19158;-5.806942;-5.5196486
ZINC000034076466;-5.63682;-5.238377;-5.392791;-5.4483852;-5.76368
ZINC000004777502;-6.230603;-6.0863943;-5.951785;-6.435343;-5.8463116
ZINC000026898082;-4.7927747;-5.3576584;-5.034451;-5.682793;-5.2513037
ZINC000045802950;-5.5052705;-5.7492905;-5.661748;-5.6828365;-5.3642235
ZINC000096527753;-5.457792;-4.996032;-4.964776;-5.435498;-5.5523386
ZINC000238653597;-6.1932178;-6.121088;-5.9709177;-5.9625707;-5.796669
ZINC000100174008;-3.449157;-3.668074;-3.4087045;-3.3427517;-3.3748975
ZINC000021792678;-5.706252;-5.5821486;-5.4233866;-5.7051125;-5.437624
ZINC000038338658;-6.2882586;-6.270052;-6.040472;-6.297018;-6.1791825
ZINC000001664892;-6.2680745;-5.897342;-5.3799176;-5.9039307;-5.6042027
ZINC000408715180;-5.028791;-5.1417265;-5.159121;-4.9059534;-5.0059576
ZINC000408716687;-5.3380575;-5.6616426;-5.423435;-5.1581798;-5.37685
ZINC000139984144;-5.1211824;-5.5268044;-4.9321356;-5.0727363;-5.1374207
ZINC000001597130;-4.5953884;-5.031048;-4.633833;-4.5981994;-4.717334
ZINC000095116205;-5.0225787;-5.247381;-5.3197255;-5.224743;-5.258952
ZINC000001685755;-5.6112833;-5.779504;-6.068309;-5.875743;-5.9482074
ZINC000001698040;-4.616193;-4.895414;-4.7123127;-4.6951175;-4.8262315
ZINC000021982058;-4.905243;-5.123717;-4.961337;-5.0712843;-4.917719
ZINC000095116198;-5.000768;-4.8285275;-4.654851;-5.0813575;-5.020033
ZINC000088330333;-5.33702;-5.727121;-5.2585034;-5.4682665;-5.428783
ZINC000067796690;-5.168721;-5.3329697;-5.1745663;-5.158465;-4.934865
ZINC000020568427;-5.5535173;-5.0415797;-4.6260023;-4.586926;-4.996741
ZINC000095116203;-5.4877324;-5.470365;-5.612557;-5.884302;-5.5274167
ZINC000016951360;-4.675502;-4.26324;-4.513194;-3.9672031;-4.535166
ZINC000039134901;-5.162768;-5.315125;-5.2307987;-5.326343;-5.404989
ZINC000008699500;-5.3105;-5.2964215;-5.1927423;-5.1543007;-4.9818754
ZINC000575442251;-4.946815;-5.2169914;-5.253087;-5.495071;-5.2423105
ZINC000039279452;-5.049277;-5.251272;-5.113118;-5.298145;-5.1017942
ZINC000039320103;-5.009823;-4.463795;-4.2042317;-5.0086656;-4.824753
ZINC000039377296;-4.543299;-4.804442;-4.923896;-5.0115166;-4.895887
ZINC000199550443;-5.0726724;-5.0208063;-4.5851946;-4.6938586;-4.482561
ZINC000001695130;-5.1609945;-5.150644;-4.8254523;-4.651367;-5.0486784
ZINC000104282253;-4.817738;-5.1899505;-5.046345;-4.895711;-5.04283
ZINC000038847235;-6.4187155;-6.449354;-6.333585;-6.4604945;-6.3666396
ZINC000005194331;-3.6103942;-3.8829114;-4.0063148;-3.6386714;-3.7608418
ZINC000013282293;-4.9322777;-4.9641037;-4.9946237;-4.87265;-4.9181976
ZINC000000343411;-4.7972116;-4.75038;-4.527806;-4.628863;-4.739494
ZINC000036382728;-4.6931534;-4.869579;-4.8934073;-4.9976573;-4.680192
ZINC000104570006;-4.8584814;-5.1404195;-4.798301;-5.2689657;-5.0818763
ZINC000019387629;-5.8583302;-5.910354;-5.6881504;-5.979951;-5.8993993
ZINC000104571313;-5.0964823;-4.8937197;-5.1757493;-5.2244296;-5.1112514
ZINC000104570075;-5.4369926;-5.152523;-5.127261;-5.5110025;-5.329747
ZINC000071255659;-4.824149;-4.702673;-4.958204;-5.0900903;-4.885221
