name;01;02;03;04;05
ZINC000002169111;-4.5869555;-4.7308693;-4.554959;-4.7441773;-4.9735403
ZINC000100046031;-6.343621;-6.2956467;-5.9782443;-5.997994;-6.1071033
ZINC000225421796;-6.572631;-6.869034;-6.5748534;-6.9831758;-6.9346356
ZINC000005996204;-4.9076686;-4.8289156;-4.5579348;-4.6901283;-4.9209666
ZINC000004101055;-5.097476;-4.941863;-5.0380626;-4.8293996;-4.9186277
ZINC000004240535;-4.536661;-4.2819624;-4.705769;-4.562869;-4.65087
ZINC000005117196;-4.378316;-3.7083287;-4.397952;-3.9832804;-4.234583
ZINC000006665893;-5.293881;-5.309389;-5.2174425;-5.348052;-5.5238085
ZINC000008383208;-2.9423618;-3.449438;-2.8886008;-3.0006971;-2.9865005
ZINC000008703587;-4.2952023;-4.6236625;-4.640587;-4.483622;-4.5554123
ZINC000008294962;-3.6743245;-3.8636382;-3.7710428;-3.7610755;-3.7316847
ZINC000013552228;-4.9547143;-4.475946;-4.601204;-4.2945113;-4.6192193
ZINC000012359504;-4.5592346;-4.4662066;-4.5165;-4.553603;-4.3378096
ZINC000019413989;-4.5533524;-4.7056017;-4.4808273;-4.5545197;-4.839534
ZINC000085479022;-4.673193;-5.0956745;-5.0021577;-4.953999;-4.8106337
ZINC000037874524;-4.422247;-4.5216055;-4.385026;-4.442388;-4.5804367
ZINC000015119659;-4.7671704;-4.582248;-4.709527;-4.679557;-4.5990505
ZINC000113969528;-3.4423966;-3.6206481;-3.8195946;-3.3037145;-3.5068905
ZINC000094986245;-4.212668;-4.311282;-4.426347;-4.3158216;-4.1738424
ZINC000148269124;-5.129112;-5.2022805;-5.1610556;-5.283624;-5.4764304
ZINC000019398189;-4.234711;-4.2329006;-4.3071494;-4.365673;-4.2205195
ZINC000019405992;-4.9178905;-4.6103587;-4.775731;-4.5631056;-4.588218
ZINC000034578645;-4.1520443;-4.2662354;-4.185515;-4.2688;-4.16693
ZINC000088611754;-4.6745896;-4.7752957;-4.4394345;-4.661849;-4.7936425
ZINC000003121577;-4.867143;-4.93891;-5.0177813;-5.0995436;-4.9183755
ZINC000020154915;-4.6251917;-4.7283807;-4.5927167;-4.550886;-4.5103474
ZINC000014951171;-5.463604;-5.7038736;-5.5124655;-5.645787;-5.6263747
ZINC000034354714;-4.5690885;-4.7090445;-4.514099;-4.795508;-4.7351723
ZINC000226795655;-4.3646145;-4.4949036;-4.225357;-4.397319;-4.1182203
ZINC000004580943;-5.1977477;-5.136731;-4.9241056;-5.0939755;-4.9673815
ZINC000004536343;-3.6791544;-3.7044184;-3.1986458;-3.3545284;-3.2867637
ZINC000029763723;-4.2376003;-4.116132;-4.1600323;-4.1871276;-4.3381977
ZINC000085392149;-4.734331;-4.38077;-4.325581;-4.642789;-4.600563
ZINC000006288160;-4.646586;-4.2475944;-4.390888;-4.2993107;-4.3207173
ZINC000001494999;-4.593601;-4.6166;-4.4614773;-4.2475166;-4.331052
ZINC000002566703;-4.817478;-4.969924;-4.752229;-4.66929;-4.68123
ZINC000060138025;-5.0613356;-5.152507;-5.0655003;-4.73351;-4.9880176
ZINC000038476046;-3.9841814;-4.3174157;-4.6420484;-4.3102093;-4.608263
ZINC000003860952;-3.7762535;-4.273025;-3.872336;-4.0066185;-4.2283874
ZINC000003860953;-3.9635713;-4.0179734;-3.7175012;-3.6419616;-4.089698
ZINC000013346562;-5.0192585;-4.882148;-4.630472;-4.464889;-4.537717
ZINC000013910302;-3.9925394;-4.5826073;-4.6356707;-4.4464464;-4.554987
