name;01;02;03;04;05
ZINC000001821124;-3.399476;-3.7569323;-3.8185544;-3.6962726;-3.587867
ZINC000001829421;-5.2491693;-4.964143;-5.0214005;-5.3120604;-5.196082
ZINC000001672501;-4.5619183;-4.925274;-4.239142;-4.768036;-4.2185636
ZINC000005468464;-3.257956;-3.7411876;-4.113241;-3.706316;-4.073055
ZINC000002321945;-3.2717888;-3.6425018;-3.4261417;-3.4513557;-3.4803104
ZINC000002304863;-4.746786;-5.4385595;-4.812357;-4.52318;-4.9649453
ZINC000002146619;-4.162229;-4.505403;-4.260555;-4.462492;-4.3184676
ZINC000002380559;-5.4768133;-5.5332193;-5.122423;-5.134329;-4.9151387
ZINC000002528051;-4.307918;-4.5019073;-4.0176764;-4.354702;-3.947984
ZINC000005735095;-4.742125;-4.941199;-4.4629617;-4.63077;-4.351553
ZINC000145638423;-6.223645;-6.5020776;-5.804824;-6.2614017;-6.1588297
ZINC000002567044;-4.0685167;-4.4620647;-3.9425998;-4.3914986;-4.240162
ZINC000002577764;-4.9622583;-5.0739036;-4.8534207;-5.063158;-4.7658105
ZINC000043761443;-4.572235;-4.648189;-4.643956;-4.614032;-4.929447
ZINC000005922825;-4.2734184;-4.5217543;-4.33658;-4.410619;-4.1689663
ZINC000005925539;-4.273326;-4.5216155;-4.3363194;-4.4105344;-4.168646
ZINC000005591243;-3.40421;-3.5156083;-3.2670364;-3.206756;-3.0967045
ZINC000006020350;-4.152232;-4.466513;-4.2425184;-4.3267426;-4.0400815
ZINC000004284571;-4.930369;-5.180558;-4.9199224;-4.9644184;-4.674441
ZINC000034929104;-4.99849;-4.7179027;-5.15856;-4.261648;-4.406157
ZINC000039953766;-4.9725165;-5.409448;-5.1554475;-5.0679817;-5.3535895
ZINC000039256874;-4.280153;-4.36475;-4.401706;-4.0900664;-3.91824
ZINC000145638639;-6.1770196;-6.5162773;-5.8539095;-6.327942;-6.1814647
ZINC000005186904;-4.121386;-4.2430367;-4.2155433;-3.9710393;-3.821869
ZINC000004599284;-4.2874413;-4.0907345;-4.1835423;-4.1979947;-3.9151697
ZINC000006405917;-4.9771724;-5.1429505;-5.0792913;-5.0964613;-4.663843
ZINC000006413397;-5.1893535;-5.3144555;-5.1904354;-4.8692193;-4.9666533
ZINC000006413033;-5.1398215;-5.549716;-5.275298;-5.2026687;-4.9540787
ZINC000000094120;-4.7214956;-5.2832885;-4.876438;-4.7870793;-4.8502207
ZINC000004721608;-4.220532;-4.16932;-4.2362075;-4.2317595;-4.1048517
ZINC000004642990;-4.3188457;-4.230696;-4.436454;-4.456346;-4.169242
ZINC000032501209;-4.7149034;-4.9540863;-4.979443;-4.608126;-4.742859
ZINC000072231511;-4.949882;-4.8769984;-4.501557;-4.477265;-4.381917
ZINC000033798493;-4.9241867;-5.3701744;-4.969887;-4.7351384;-4.6562943
