name;01;02;03;04;05
ZINC000001728029;-4.613609;-5.130266;-4.994479;-4.882819;-4.796499
ZINC000005731981;-4.624151;-4.6332493;-4.8610115;-4.6383142;-4.5470386
ZINC000031818388;-4.6159225;-4.9681005;-4.7424927;-4.673924;-4.3470373
ZINC000031818393;-4.634728;-4.9621;-4.778527;-4.6220465;-4.386444
ZINC000000094123;-5.137366;-5.3139777;-4.7333217;-4.7123003;-4.910928
ZINC000005086074;-5.096586;-4.8700356;-5.037132;-4.831159;-4.935956
ZINC000008581547;-4.664222;-5.1273527;-4.702529;-4.809446;-4.493919
ZINC000008618388;-3.9123368;-4.277068;-4.1865954;-3.8695202;-4.256524
ZINC000006371863;-3.3726666;-3.8105102;-3.7345376;-3.87162;-3.7687106
ZINC000034883364;-3.7111735;-4.463177;-3.9300423;-3.8832266;-3.717783
ZINC000039058719;-5.1797748;-4.9578285;-4.5946436;-5.150153;-5.291698
ZINC000006384801;-4.1980934;-3.871714;-3.971301;-4.241195;-4.0684366
ZINC000001588666;-4.2990055;-3.908073;-3.9606593;-4.20758;-4.008989
ZINC000039058720;-5.1801267;-4.9581704;-4.594926;-5.150404;-5.2920146
ZINC000013470081;-5.32411;-5.6038246;-5.310647;-5.4253902;-5.598144
ZINC000004898948;-4.784481;-5.0921187;-5.2135763;-5.1169944;-4.7585626
ZINC000073332684;-4.5042734;-4.465621;-4.7204413;-4.546719;-4.4358997
ZINC000002329080;-5.111652;-5.1824017;-4.934033;-4.689814;-4.9057875
ZINC000000523003;-4.7663503;-5.448669;-4.971104;-4.97949;-4.9792633
ZINC000073332685;-4.540197;-4.3108997;-4.8068995;-4.4075747;-4.3433137
ZINC000013563564;-5.0994463;-5.4135365;-5.1384234;-5.114408;-5.147763
ZINC000035946654;-4.5403748;-4.3110194;-4.8070836;-4.407607;-4.3433213
ZINC000083945102;-4.7220445;-5.0853662;-4.863287;-4.937392;-4.962924
ZINC000083946830;-4.5442586;-4.594811;-4.760695;-4.7578225;-4.522428
ZINC000073332691;-4.4842186;-4.434427;-4.747389;-4.6424227;-4.456724
ZINC000017002786;-4.738355;-4.709564;-4.6808777;-4.4977107;-4.597994
ZINC000005521364;-4.776805;-4.6537137;-4.72995;-4.911433;-4.327027
ZINC000033487930;-5.135105;-5.0170035;-4.8704166;-4.8959785;-4.59978
ZINC000016941051;-4.8372774;-4.6491036;-4.61317;-4.6786075;-4.44782
ZINC000034165097;-4.877655;-4.8761187;-4.750358;-4.7201986;-4.5561705
ZINC000034165098;-4.7866254;-5.014635;-4.6073675;-4.6038218;-4.609993
ZINC000019477366;-5.1277714;-5.763804;-5.4059563;-5.5745864;-5.1412883
ZINC000004775885;-3.996911;-4.115447;-3.9564745;-4.1589475;-3.8190248
ZINC000017380652;-4.3551226;-4.461029;-4.4260435;-4.185692;-4.349159
ZINC000020596510;-5.0301895;-5.1341243;-4.911559;-4.7840323;-4.6889734
ZINC000020596511;-4.8085413;-4.932148;-4.9026184;-4.805208;-4.795959
ZINC000095097778;-4.7197447;-4.7221127;-4.7025065;-4.8809505;-4.491397
ZINC000045820950;-5.8821387;-6.0118003;-5.86857;-5.87256;-6.1819673
ZINC000031415418;-4.82868;-5.097555;-4.8030133;-5.1981406;-4.7743883
ZINC000031945977;-5.502013;-5.5379896;-5.1405163;-5.24438;-5.599595
ZINC000004126192;-4.5385456;-4.2118716;-4.242139;-4.2092447;-3.9995914
ZINC000031440272;-4.5060635;-4.433203;-4.5246863;-4.0974374;-4.334709
ZINC000242614827;-5.6483445;-5.9337773;-5.6354218;-5.625142;-5.647647
ZINC000005423643;-4.932385;-4.963743;-5.025379;-5.178194;-4.903264
ZINC000034060360;-4.8228836;-5.054699;-4.694351;-4.6954255;-4.3849525
ZINC000242614828;-6.186737;-6.0260806;-6.208115;-5.962897;-5.9371824
ZINC000098091413;-5.4387903;-5.149515;-5.5067244;-5.1904817;-5.2184763
ZINC000004430403;-4.932204;-4.963604;-5.0255914;-5.1784344;-4.9034324
ZINC000034060361;-4.8233356;-5.055449;-4.6947927;-4.6954937;-4.384379
ZINC000098091411;-5.2412395;-5.119646;-5.373092;-5.2672253;-5.235546
ZINC000019364937;-5.437673;-5.4210196;-4.8403788;-5.051505;-5.0505886
ZINC000038948743;-5.068167;-4.863544;-4.8894506;-4.748519;-4.8559246
ZINC000034239570;-4.7294397;-5.0037646;-5.0072727;-4.7797275;-4.949473
ZINC000034239571;-4.7782197;-4.7071056;-4.8339834;-5.00056;-5.0577207
ZINC000071186748;-5.129192;-4.963933;-5.1584897;-4.956356;-4.9021907
ZINC000082836786;-5.3484974;-5.32965;-5.5775504;-5.3758664;-5.5225
ZINC000038540482;-5.0495234;-5.449022;-4.9677596;-5.284472;-5.0092893
ZINC000035322926;-5.1660757;-5.1180854;-4.4668226;-4.8594027;-4.6336536
ZINC000035322926;-5.233568;-5.0179706;-5.021583;-4.61685;-4.6000423
ZINC000035322929;-5.2339196;-5.0184264;-5.0217505;-4.617045;-4.600223
ZINC000035322929;-5.165635;-5.1175685;-4.466703;-4.8592234;-4.6334696
ZINC000002531002;-6.453536;-6.533361;-6.2052054;-6.4762096;-6.2085752
ZINC000005813478;-5.194291;-5.1878395;-5.3002295;-5.3996005;-5.056878
ZINC000036379891;-4.901921;-5.2894573;-4.986459;-4.762019;-4.55752
ZINC000242728192;-4.5928755;-4.682611;-4.36997;-4.5695724;-4.4528265
ZINC000242538672;-4.8862114;-4.703291;-4.7015815;-4.572057;-4.605862
ZINC000242538667;-4.9790225;-4.6259995;-4.506345;-4.755214;-4.723317
ZINC000242728191;-4.596913;-4.4540133;-4.343812;-4.5363255;-4.3865166
ZINC000217551850;-4.460808;-4.4319997;-4.561885;-4.417953;-4.3054676
ZINC000001716271;-5.564612;-4.710957;-4.857214;-5.043657;-4.2988124
ZINC000217552452;-4.714954;-4.6354856;-4.8563323;-4.621972;-4.69731
ZINC000217552544;-4.903998;-4.780472;-4.840371;-4.7660956;-4.6987295
ZINC000217551928;-4.5370135;-4.5891623;-4.6109624;-4.645235;-4.4496875
ZINC000095097777;-4.27139;-4.592675;-4.518729;-4.474578;-4.12354
ZINC000005631583;-4.468316;-4.2478476;-4.5461397;-4.1866355;-4.700183
ZINC000095093754;-5.0552163;-4.809296;-4.6406436;-4.9447565;-5.1465683
ZINC000061708455;-5.131926;-4.7200994;-4.956713;-4.9073634;-4.917975
ZINC000061708454;-5.265025;-4.861029;-4.868005;-4.862503;-5.092205
ZINC000038203967;-4.7785;-5.1432605;-4.7889776;-4.966785;-5.2303658
ZINC000038203967;-4.7786217;-5.1430426;-4.7889376;-4.9670935;-5.230531
ZINC000083945103;-4.7248125;-5.0867944;-4.8605633;-4.9376345;-4.9650965
ZINC000104696766;-4.6490335;-4.9366813;-4.699368;-4.8468018;-4.642775
ZINC000255991321;-4.8432374;-4.9567795;-4.980611;-4.9024444;-5.0188074
ZINC000013356428;-4.483279;-4.6662936;-4.7152405;-4.820877;-5.003791
ZINC000015020979;-4.8398976;-4.968577;-5.253003;-4.8702726;-4.9486895
ZINC000217532107;-4.2538815;-4.4594555;-4.5586963;-4.207635;-4.3252554
ZINC000101081520;-4.2074966;-4.1408625;-4.4103875;-4.299456;-4.1651297
ZINC000045955357;-4.624843;-4.9965973;-5.0103765;-4.917657;-4.8486166
ZINC000095095873;-5.3446126;-5.1597567;-4.929062;-4.991992;-5.112612
ZINC000100485077;-4.3110323;-4.358996;-4.482991;-4.423776;-4.3065786
ZINC000217532192;-4.6147375;-4.5061836;-4.547395;-4.6427155;-4.4579287
ZINC000045955360;-4.6843033;-4.7861166;-4.9679728;-4.6818867;-4.7193294
ZINC000095095872;-4.844716;-4.8448367;-4.813433;-4.702476;-4.5130424
ZINC000039320996;-4.699973;-4.6775727;-4.3947444;-4.502418;-4.6585145
ZINC000039320998;-4.8274126;-4.7474523;-4.6112413;-4.591263;-4.542515
ZINC000022211742;-4.894917;-4.598779;-4.5838737;-4.616555;-4.5858965
ZINC000022211739;-4.8223557;-4.494707;-4.67099;-4.678204;-4.614996
ZINC000004742645;-4.4965196;-4.1540794;-4.306861;-4.323187;-4.3143506
ZINC000004742645;-4.4345117;-4.189831;-4.474085;-4.647829;-4.250033
ZINC000004742648;-4.5270495;-4.0667458;-4.427141;-4.5718226;-4.1852293
ZINC000004742648;-4.503559;-4.34966;-4.452326;-4.5065804;-4.3013997
ZINC000242687872;-4.7537436;-4.930263;-5.038681;-4.7061357;-4.631987
ZINC000217533201;-5.113587;-4.9991393;-5.2179756;-4.9261208;-4.777413
ZINC000035150071;-4.89287;-5.5450053;-5.162694;-5.2625103;-4.991697
ZINC000035150071;-5.120712;-5.2631226;-5.1240396;-5.2771225;-5.209205
ZINC000035151129;-4.864887;-5.30497;-4.8469415;-5.279434;-5.1982055
ZINC000035151128;-5.1694546;-5.302048;-5.258593;-5.2687182;-5.41714
ZINC000035150072;-5.120717;-5.2632823;-5.124149;-5.277106;-5.2091684
ZINC000035150072;-4.5857897;-5.3091655;-4.8046656;-5.1791196;-5.0535154
ZINC000034959111;-5.395755;-5.24906;-5.2070665;-5.462193;-5.3912506
ZINC000042222638;-5.5808496;-5.318434;-5.141838;-5.358971;-5.2911606
ZINC000042222637;-5.3567715;-5.5999174;-5.0243273;-5.1689982;-5.517231
ZINC000042207407;-4.6222057;-5.2813973;-4.9422164;-4.9899898;-4.883749
ZINC000042207407;-5.1156936;-5.5434823;-5.042394;-5.2930074;-5.080931
ZINC000042207410;-5.1150928;-5.543329;-5.0415854;-5.2911344;-5.079134
ZINC000042207410;-4.8480697;-5.2151794;-4.867585;-5.1475716;-4.707556
ZINC000040442580;-5.3015175;-5.5908175;-4.9482026;-5.070344;-4.8548017
ZINC000095098382;-4.8014855;-4.6616907;-5.0124664;-4.5715213;-4.636282
ZINC000217533120;-4.641742;-4.9590583;-4.8566713;-4.7855377;-4.7492824
ZINC000083946831;-4.5465374;-4.5968857;-4.7607064;-4.755867;-4.5216646
