name;01;02;03;04;05
ZINC000392933468;-6.116323;-6.108542;-5.2011714;-5.457714;-5.520531
ZINC000392933468;-6.106543;-6.0757923;-5.239873;-5.4919004;-5.4795704
ZINC000392933472;-5.9866524;-5.946989;-5.1955867;-5.5948157;-5.6078935
ZINC000392933472;-5.9151764;-5.966525;-5.232962;-5.523796;-5.6274505
ZINC000328139416;-5.5905447;-5.2081585;-4.955125;-5.244571;-4.9895
ZINC000328139416;-5.6124525;-5.1542916;-4.9398923;-5.223491;-5.0242834
ZINC000328232100;-5.8314953;-5.6064363;-4.7672615;-5.590777;-5.2360544
ZINC000328232100;-5.8402224;-5.709345;-4.7814703;-5.544943;-5.2687335
ZINC000036300576;-5.5152907;-5.7153873;-5.030007;-5.3004766;-5.2940583
ZINC000036300576;-5.5182657;-5.718883;-5.032224;-5.300812;-5.2970243
ZINC000328232099;-5.82366;-5.710692;-4.776682;-5.5323563;-5.232351
ZINC000328232099;-5.8244796;-5.606644;-4.7326035;-5.569914;-5.205116
ZINC000821387968;-5.4538;-5.524442;-4.950492;-5.025801;-5.1562824
ZINC000821387969;-5.321483;-4.9586444;-4.9646125;-4.705449;-4.785232
ZINC000395160202;-5.39331;-5.3839545;-5.3704863;-5.574684;-5.221162
ZINC000395160210;-4.9903874;-5.2004366;-4.879516;-5.765361;-5.2908463
ZINC000395142606;-5.576221;-5.3169703;-5.037286;-5.3748417;-5.0264354
ZINC000395142606;-5.702572;-5.247563;-4.809236;-5.430967;-5.1950154
ZINC000395571597;-4.98785;-5.551325;-5.3858624;-5.7468033;-5.2044935
ZINC000131687821;-5.8207903;-5.387878;-5.345839;-5.387658;-5.616402
ZINC000220272846;-5.6517334;-5.9240456;-4.9657726;-5.0640798;-4.813822
ZINC000307994731;-5.5793924;-6.00607;-4.943004;-5.0197973;-4.7942066
ZINC000717762166;-6.025329;-6.1412435;-5.7671976;-5.8212385;-6.1239014
ZINC000717762158;-6.0512257;-6.1280785;-5.795351;-5.8173466;-6.1114554
ZINC000306911027;-5.964823;-6.2971187;-5.8185434;-5.909491;-6.195988
ZINC000306911026;-6.444249;-6.254632;-5.8822246;-5.9100723;-6.3845253
ZINC000234662654;-5.3484116;-5.1150723;-5.1279316;-4.8751483;-4.8852377
ZINC000157774427;-5.741395;-5.685261;-5.4833074;-5.6865683;-5.4414883
ZINC000931279558;-5.346162;-5.0897107;-5.172603;-5.3805065;-4.7082167
ZINC000931439978;-5.7045374;-5.382187;-5.231314;-5.4335847;-5.1453037
ZINC000931439978;-5.6715693;-5.5613666;-5.444363;-5.5842257;-5.1713243
ZINC000931439978;-5.6490374;-5.685784;-5.5754833;-5.4254103;-5.406579
ZINC000685574028;-5.0696306;-4.8181834;-4.9240255;-5.6620784;-5.079902
ZINC000685574028;-5.0145817;-4.8380003;-5.2069693;-5.465696;-5.0195518
ZINC000685574029;-5.218036;-4.685017;-4.8102307;-5.3801513;-4.893755
ZINC000685574029;-5.161774;-4.745404;-4.902073;-5.5227284;-4.877269
ZINC000037249977;-6.0779557;-6.08641;-5.597355;-5.7630577;-5.6528788
ZINC000253182024;-5.453162;-5.5165567;-5.2126164;-5.488755;-5.3789263
ZINC000253182023;-5.529699;-5.595733;-5.492851;-5.716839;-5.3034844
ZINC000070593252;-6.2198734;-6.0079336;-5.81871;-5.9086723;-5.701302
ZINC000070593252;-5.9836326;-5.998011;-5.587014;-5.816327;-5.8251143
ZINC000070593252;-6.2198734;-6.0079336;-5.81871;-5.9086723;-5.701302
ZINC000070593252;-5.9836326;-5.998011;-5.587014;-5.816327;-5.8251143
ZINC000070593251;-6.3258305;-6.170513;-5.7153244;-5.974542;-5.7433763
ZINC000070593251;-5.993595;-5.874238;-5.495941;-5.95857;-5.521891
ZINC000070593251;-6.3258305;-6.170513;-5.7153244;-5.974542;-5.7433763
ZINC000070593251;-5.993595;-5.874238;-5.495941;-5.95857;-5.521891
ZINC000307433030;-6.0552235;-5.738763;-5.4499764;-5.73628;-5.7847495
ZINC000036300575;-5.8047533;-5.663433;-5.2420406;-5.7275395;-5.3890824
ZINC000848992220;-5.7242527;-6.1089993;-5.7107983;-5.945669;-5.6165047
ZINC000070800493;-5.8229675;-5.6584563;-5.519194;-5.8274484;-5.630001
ZINC000848992219;-5.7892857;-6.210327;-5.7291236;-5.9952664;-5.61247
ZINC000848996706;-5.586628;-5.2470055;-4.9171157;-5.3731422;-5.0863404
ZINC000848999340;-5.6551;-5.6868587;-5.1495175;-5.8167458;-5.544556
ZINC000848996656;-4.885343;-5.1565957;-5.4247136;-5.2333884;-5.236357
ZINC000848996657;-4.982695;-5.26419;-5.418824;-5.211639;-5.2845984
ZINC000848996705;-5.7101545;-5.0659933;-4.8235536;-5.326858;-4.93963
ZINC000848997597;-5.280113;-5.441225;-4.7734594;-5.5792184;-5.2338004
ZINC000848997597;-5.3671207;-5.6908712;-4.905597;-5.5971165;-5.2079115
ZINC000849014707;-5.490825;-5.9623647;-5.4116044;-5.6577873;-5.582175
ZINC000849032863;-4.6574607;-4.342564;-4.6453876;-4.7240868;-5.0453467
ZINC000044529452;-6.0170226;-6.0894766;-5.9721246;-5.808912;-5.819883
ZINC000122348644;-6.483094;-6.7094364;-5.991152;-6.343492;-6.433039
