name;01;02;03;04;05
ZINC000168745780;-6.186945;-6.018309;-5.761986;-5.8616624;-5.6767197
ZINC000168745870;-6.4496818;-6.198775;-5.9220557;-5.9147744;-5.6916084
ZINC000389876634;-6.660755;-5.824679;-5.770891;-5.552061;-5.2651978
ZINC000328232100;-5.8402224;-5.709345;-4.7814703;-5.544943;-5.2687335
ZINC000328232099;-5.8244796;-5.606644;-4.7326035;-5.569914;-5.205116
ZINC000715199488;-5.883069;-5.5408154;-5.5862703;-5.828225;-5.8706927
ZINC000821387968;-5.44046;-5.070456;-4.677827;-4.7857823;-4.9349766
ZINC000821387969;-5.098382;-5.0028143;-4.9164634;-4.939414;-4.934001
ZINC000395160202;-5.075332;-4.953379;-4.9053288;-5.1564207;-5.2614794
ZINC000395160210;-4.897114;-5.0262375;-5.1837606;-5.105711;-4.9726934
ZINC000131687821;-6.011951;-5.456514;-5.157649;-5.391159;-5.176313
ZINC000220272846;-5.648046;-6.066705;-5.0726204;-5.228676;-4.633114
ZINC000307994731;-5.3378606;-5.8351717;-4.940698;-5.0486093;-4.685556
ZINC000000013554;-5.672019;-6.2870197;-5.8255877;-5.83646;-5.7112722
ZINC000727241431;-5.0831947;-5.3070126;-5.2379375;-5.203717;-5.1842914
ZINC000727241432;-5.302703;-5.4811354;-5.192623;-5.294379;-5.0740943
ZINC000306911027;-6.4451585;-6.222771;-5.808676;-5.999859;-6.6631927
ZINC000306911026;-6.1208906;-6.276523;-5.9519935;-6.021059;-6.4244366
ZINC000234662654;-5.0673413;-5.063918;-5.066621;-5.0158253;-4.8633866
ZINC000157774708;-6.0043783;-6.262505;-6.2927346;-5.9259415;-5.5741396
ZINC000157774576;-5.968682;-6.335742;-6.1985326;-5.9286203;-5.5478
ZINC000034353353;-4.9552135;-5.411664;-5.488764;-5.6501565;-4.823206
ZINC000931439978;-5.502557;-5.482245;-5.3549466;-5.4519196;-5.170636
ZINC000306872480;-5.5161905;-5.423934;-4.6107903;-5.2807794;-4.943516
ZINC000306864201;-5.5507135;-5.8465576;-5.5176063;-6.2540216;-6.1445403
ZINC000307028706;-6.2634788;-6.358921;-6.1078076;-6.194766;-6.1673574
ZINC000044518330;-6.3373985;-6.1376414;-5.70088;-6.0038567;-5.7365813
ZINC000091692331;-5.517156;-5.7726207;-5.125613;-5.318799;-4.9711256
ZINC000253182024;-5.6164837;-5.5381565;-5.58224;-5.733555;-5.267043
ZINC000253182023;-5.876904;-5.7612395;-5.440351;-5.632082;-5.515953
ZINC000307487508;-5.1838045;-5.2061462;-5.1464634;-5.3027697;-5.189697
ZINC000070593238;-5.7715306;-5.9058046;-5.5902677;-6.047951;-5.5320134
ZINC000070593237;-6.2014914;-6.133934;-5.6964955;-6.1282325;-5.733206
ZINC000307433030;-5.500658;-5.769485;-5.312737;-5.739094;-5.92588
ZINC000306193594;-6.1700435;-5.830943;-5.1778936;-5.709533;-5.4734254
ZINC000848980496;-5.2591734;-5.333019;-5.306612;-5.6977906;-5.466702
ZINC000848980344;-5.285508;-5.2269316;-5.4119697;-5.4981813;-5.356223
ZINC000848981607;-5.7647285;-5.0586166;-5.022066;-5.4205604;-4.7109594
ZINC000848980639;-4.9503393;-5.1969466;-4.882905;-5.47465;-5.0984893
ZINC000848980403;-5.0910487;-5.0746217;-5.0333986;-5.422019;-5.095223
ZINC000036300575;-5.701482;-5.8317986;-5.177865;-5.678618;-5.379162
ZINC000848992220;-6.044628;-6.3981166;-5.4120655;-6.08354;-5.6103497
ZINC000070800493;-5.8832583;-5.638187;-5.6031747;-5.887402;-5.8477383
ZINC000848992219;-5.9319735;-6.0837994;-5.514429;-6.082941;-5.708804
ZINC000125575262;-6.4590974;-6.4359727;-5.788824;-6.4676533;-5.802322
ZINC000052144899;-5.9290504;-5.7023478;-5.3512926;-5.8276687;-5.605627
ZINC000069769926;-6.249089;-6.026369;-5.8398333;-5.631241;-5.6870213
ZINC000069769923;-6.076998;-5.842751;-5.563975;-5.562677;-5.6129594
ZINC000849029988;-5.344321;-5.186976;-5.3050785;-5.718953;-5.3012433
ZINC000849029987;-5.3688374;-5.2379303;-5.3239098;-5.7636223;-5.3483577
ZINC000053203243;-5.4840856;-6.103675;-5.353594;-5.642251;-5.6732273
ZINC000122348644;-6.3299346;-6.8503237;-6.157546;-6.138686;-5.8873906
ZINC000122349235;-6.4326124;-7.018985;-6.172152;-6.321968;-6.204845
ZINC000849214515;-5.826764;-6.0753984;-5.4106283;-5.901594;-6.0918713
ZINC000849214516;-5.785566;-6.233288;-5.441186;-5.8884373;-6.2417016
ZINC000122348826;-6.36935;-6.954917;-6.0990086;-6.0428643;-5.967917
ZINC000070799536;-5.9434056;-6.2498393;-6.016836;-6.0688167;-5.6956487
ZINC000037483681;-5.9812517;-5.9255433;-5.829733;-5.9150753;-5.7689705
ZINC000122349038;-6.5569654;-6.501845;-6.471613;-6.0612936;-5.8007927
ZINC000044529450;-5.7916355;-6.2761555;-5.6224537;-5.570542;-5.4296174
ZINC000013555223;-6.0303507;-5.5196314;-5.1620336;-5.5911703;-5.325456
ZINC000307720709;-6.1120977;-5.891456;-5.595417;-5.7834706;-5.2636423
ZINC000091692325;-6.149781;-6.865603;-6.0315547;-5.8769093;-5.534034
ZINC000091692329;-5.5508137;-6.3679266;-5.7916727;-5.5669727;-5.218629
ZINC000091692330;-5.782318;-6.4217477;-5.936368;-5.4901834;-5.49287
ZINC000091692334;-5.1205397;-5.7920017;-5.6833305;-5.4492416;-5.046604
ZINC000308517978;-6.3479195;-6.147955;-5.7337484;-6.0347075;-6.2200537
ZINC000308527798;-6.07132;-5.703986;-5.419757;-5.418933;-5.5692005
ZINC000202994980;-5.3682384;-5.43382;-5.2309246;-5.577449;-5.4941416
ZINC000306456872;-6.254629;-6.5428314;-6.1567597;-6.149286;-6.386072
ZINC000308561345;-5.911629;-6.463807;-6.2240148;-6.437444;-6.288291
ZINC000631864870;-6.2574067;-6.0480814;-5.6716065;-6.079846;-6.303076
ZINC000695439556;-6.5139637;-6.0961523;-6.0729613;-6.111178;-5.9814234
ZINC000218612628;-5.942981;-6.095914;-5.9564486;-5.926411;-5.6218104
ZINC000695439558;-6.4385486;-6.0180945;-6.0200224;-6.107126;-5.949184
ZINC001340131328;-6.5396028;-7.1256113;-6.2404227;-6.6787047;-6.0858827
ZINC001340131327;-6.7289715;-7.177223;-6.3104;-6.8090405;-6.1601734
ZINC000070593256;-6.8727427;-6.407802;-6.381241;-6.1579266;-5.8238764
ZINC000697393038;-5.1579895;-4.9973364;-5.248343;-5.305962;-5.15361
ZINC000070593255;-6.93918;-6.628221;-6.180226;-6.4680605;-6.0267706
ZINC000070593308;-6.042903;-5.815683;-5.6296344;-6.009829;-5.8580213
ZINC000697393035;-5.1368246;-4.9966736;-5.3565464;-5.515382;-5.3004804
ZINC001341957236;-6.113927;-6.39143;-6.1314163;-5.863202;-5.2727866
ZINC001341957235;-6.276785;-6.627286;-6.0083475;-5.6316414;-5.2511034
ZINC000085283310;-6.0531635;-6.2446837;-6.2015853;-5.9646654;-5.7009754
ZINC000085283305;-5.4362507;-5.596097;-5.3995776;-5.6915383;-5.4895415
ZINC000130280587;-5.9512196;-5.6807694;-5.087179;-5.3653355;-5.1841826
ZINC000200725413;-6.3817067;-5.712036;-5.805204;-6.4652805;-5.917704
ZINC000133221774;-6.0020847;-5.331633;-5.2083387;-5.6507964;-4.950287
ZINC000657793211;-5.718161;-5.7335024;-6.1756554;-5.4855714;-5.724626
ZINC000226336705;-6.0486503;-5.681996;-5.2458935;-6.046848;-5.9411006
ZINC000220752863;-6.4619055;-6.1772475;-5.21465;-5.8082175;-5.3696194
ZINC000306714600;-6.150916;-5.836646;-5.07124;-5.599673;-5.4843884
ZINC000082382631;-5.791473;-6.1858525;-6.30989;-5.9918737;-5.6989436
ZINC000082382629;-5.5525293;-5.656773;-5.657158;-5.9035296;-5.645504
ZINC000082382630;-6.0511622;-6.1658626;-6.144143;-5.995731;-5.741893
ZINC000385258677;-5.4495378;-5.413618;-5.286373;-5.0737605;-5.0666895
ZINC000082849633;-6.124831;-6.3046274;-6.308486;-6.2182837;-5.631531
ZINC000082849632;-6.1739063;-6.2088203;-6.3863626;-6.2176027;-5.717835
ZINC000307631274;-5.5204396;-5.6808667;-5.490079;-5.1293545;-5.3124404
