name;01;02;03;04;05
ZINC000049753020;-6.68992;-6.493387;-6.226616;-6.356412;-6.412815
ZINC000061714953;-6.7475333;-6.6343966;-6.3087387;-6.466236;-6.542773
ZINC000011891844;-6.8091593;-6.16417;-6.2426004;-6.2032595;-6.071127
ZINC000075611260;-6.5830326;-6.4540353;-6.1439867;-6.2886806;-6.3721275
ZINC000004384299;-6.7450914;-6.503151;-6.0570273;-6.2345314;-6.298225
ZINC000003732452;-6.5198126;-6.385875;-6.375231;-6.35991;-6.1387844
ZINC000170609431;-6.614089;-5.898186;-6.0093093;-6.3179812;-6.357269
ZINC000006169414;-6.173953;-6.4664817;-6.151346;-5.985474;-6.0922346
ZINC000004384298;-6.117197;-6.3062687;-5.9165754;-6.1026196;-5.945138
ZINC000072220528;-6.894883;-6.741133;-6.364977;-6.652721;-6.8711357
ZINC000011891848;-6.1943684;-6.257742;-6.283439;-6.190155;-5.8530345
ZINC000006677618;-5.978925;-5.970109;-5.6464577;-5.349671;-5.5217223
ZINC000019088808;-6.0970864;-6.2950726;-5.955173;-6.0308356;-6.2360086
ZINC000006677799;-6.7874155;-6.759015;-6.422584;-6.6192613;-6.4794936
ZINC000006420380;-6.3232226;-6.3095303;-6.1408463;-6.637955;-6.6398544
ZINC000019427635;-5.9468822;-5.7121267;-5.5344152;-5.8106537;-5.412676
ZINC000011729460;-7.1504574;-6.6674385;-6.2373857;-6.385629;-6.333346
ZINC000011888266;-6.538278;-5.8721027;-5.892187;-5.809997;-5.777373
ZINC000011888270;-5.955227;-6.361674;-5.839842;-5.6330194;-5.525411
ZINC000011891199;-6.6970487;-6.315593;-6.298489;-6.0418806;-5.8599205
ZINC000011891204;-6.902031;-6.5382686;-6.189435;-6.2479486;-5.9573326
ZINC000011953450;-5.9648614;-6.0756793;-5.9692993;-6.3406806;-5.83442
ZINC000015423802;-6.7107954;-6.5422835;-5.8660994;-6.292534;-6.1202908
ZINC000012382564;-6.4489655;-6.497003;-6.180093;-6.099282;-6.194
ZINC000012397765;-6.870671;-6.3067036;-6.1282525;-6.3717694;-6.3376226
ZINC000012404778;-6.426567;-6.5781636;-6.353661;-6.2985916;-5.9395094
ZINC000012954954;-6.995661;-6.6607027;-6.8405514;-6.8112307;-7.0473995
ZINC000012954959;-6.920081;-6.596469;-6.324949;-6.725366;-6.613235
ZINC000019686832;-6.776204;-6.755184;-6.51397;-6.874489;-6.865371
ZINC000019686834;-6.7208424;-6.760232;-6.547787;-7.0314136;-6.845507
ZINC000013483671;-6.3004813;-6.12797;-5.7047663;-6.2679014;-5.612688
ZINC000013536007;-6.232833;-6.6169252;-5.987196;-6.162547;-6.1156793
ZINC000019735121;-6.187166;-6.5715446;-5.8676724;-6.1199903;-6.4044776
ZINC000019735121;-6.484271;-6.587311;-6.1706686;-6.122113;-5.956094
ZINC000013536012;-6.032093;-6.6941175;-5.9277916;-6.007549;-6.0818787
ZINC000068893612;-6.7069154;-6.855352;-6.276986;-6.2156386;-6.4373503
ZINC000014629107;-5.5313773;-5.2598386;-5.231415;-5.0579605;-5.1096983
ZINC000020521624;-7.21218;-6.9046373;-6.201251;-6.3639297;-6.5443144
ZINC000095079624;-5.6074004;-5.7517505;-6.2471604;-6.102926;-5.7395086
ZINC000015635557;-6.1857476;-5.96683;-5.770605;-5.9826994;-5.8888893
ZINC000019089479;-6.417625;-6.563108;-6.134263;-6.1434064;-6.4457097
ZINC000019089482;-6.3611913;-6.6071677;-6.355571;-6.3991923;-6.32691
ZINC000019091519;-5.8254933;-6.077108;-5.76729;-5.754743;-5.737088
ZINC000019091852;-5.647043;-5.150573;-5.3149877;-5.616008;-5.519267
ZINC000032445494;-6.177597;-5.759297;-5.6632414;-6.1651707;-5.452902
ZINC000019088963;-6.7995687;-6.7229695;-6.723276;-6.5344524;-6.4168916
ZINC000019088966;-6.3994594;-6.367101;-6.5403485;-6.2074556;-6.1970353
ZINC000019263725;-6.030694;-5.9659395;-5.5754495;-5.4255533;-5.38969
ZINC000019262116;-6.0717225;-5.908184;-5.6593895;-5.752616;-5.6124706
ZINC000019369328;-7.187955;-7.3508997;-6.810284;-6.890747;-6.72249
ZINC000070637051;-6.471811;-6.6924725;-6.68166;-6.4129496;-6.7763624
ZINC000070637050;-6.2853317;-6.7918634;-6.5809383;-6.3762784;-6.7375073
ZINC000070637053;-6.7299814;-6.393417;-6.305232;-6.5647144;-6.6693153
ZINC000019391887;-6.6712456;-5.9380975;-6.243389;-5.5971637;-5.609931
ZINC000070637048;-7.013222;-6.3176126;-6.2978973;-6.5612216;-6.5801992
ZINC000068893614;-6.706403;-6.2302647;-5.826803;-6.2718534;-6.0299335
ZINC000095079623;-5.6291614;-5.7551484;-6.2549334;-6.1049337;-5.718968
ZINC000019432587;-5.738215;-5.5915594;-5.340018;-5.725129;-5.5685244
ZINC000019473717;-7.2137384;-6.754513;-6.7787895;-6.5352488;-6.749247
ZINC000019488792;-5.9741755;-5.3734455;-5.4078665;-5.649528;-5.361104
ZINC000019512209;-6.6974044;-6.114429;-6.1490707;-6.516474;-6.4271827
ZINC000019512209;-6.263783;-5.8385334;-6.0689793;-6.537772;-6.2692814
ZINC000019514019;-5.917303;-6.119689;-6.336827;-6.294035;-5.7506156
ZINC000019512211;-6.261907;-5.8377333;-6.0699244;-6.5382442;-6.268909
ZINC000019512211;-6.6966515;-6.114219;-6.1493254;-6.5159087;-6.4266863
ZINC000019685443;-5.816229;-6.39202;-5.294991;-5.9876037;-5.59287
ZINC000019685443;-6.202107;-6.563328;-5.3535566;-5.9804864;-5.6630716
ZINC000019732668;-7.296867;-7.5893145;-6.9188657;-7.023418;-6.8948402
ZINC000019736982;-6.4797173;-6.2108407;-6.393718;-6.406781;-6.029366
ZINC000019736981;-6.439537;-6.5484843;-6.2503266;-6.1978273;-6.185041
ZINC000019779200;-6.5184093;-6.5044;-6.1263423;-6.087159;-6.0691633
ZINC000019802523;-6.589403;-6.305565;-5.957282;-6.107841;-6.279676
ZINC000019961636;-4.977586;-5.1349964;-5.1239033;-5.0558043;-5.1829123
ZINC000038202338;-6.862007;-6.6825347;-6.33693;-6.729366;-6.8771524
