name;01;02;03;04;05
ZINC000002505000;-4.925107;-5.386592;-5.4698567;-5.52295;-5.646408
ZINC000002173192;-5.1422553;-5.283479;-5.0547423;-4.8017917;-5.058512
ZINC000149881974;-4.781209;-4.805743;-4.7179747;-4.69677;-4.975544
ZINC000005923136;-4.6734324;-4.75236;-4.5449705;-4.651219;-5.004781
ZINC000004100647;-4.992194;-5.3726397;-5.1679907;-4.9460993;-5.0353975
ZINC000005004316;-5.508365;-5.762023;-5.279711;-5.111678;-5.564741
ZINC000005178463;-5.3983636;-5.2603526;-5.598738;-5.6981993;-5.95125
ZINC000059917552;-4.9912267;-5.1039395;-5.0003777;-4.9983907;-5.1752763
ZINC000005844322;-5.123878;-5.109251;-4.829886;-4.9305096;-5.0025787
ZINC000008602593;-4.7225933;-5.5094543;-5.1660786;-5.29661;-5.2039824
ZINC000006661085;-5.086904;-5.365387;-5.1887846;-5.224925;-5.5289035
ZINC000013571074;-5.3689604;-5.146575;-5.087666;-5.123313;-5.2648196
ZINC000044126816;-5.034252;-4.9285665;-4.9447904;-5.1512756;-5.232183
ZINC000145002146;-4.8744526;-4.7916784;-4.7300887;-4.728606;-4.9039183
ZINC000013537376;-5.0662427;-5.0870385;-4.8514066;-5.1863976;-5.090988
ZINC000013646261;-6.169515;-5.9019194;-5.897814;-5.976022;-6.088603
ZINC000020218523;-4.4635997;-4.5615153;-4.4263153;-4.3707333;-4.5676174
ZINC000030678222;-5.1431646;-4.8661118;-4.960819;-5.0059757;-5.2105193
ZINC000001705075;-5.8906226;-5.5647745;-5.751956;-5.7926865;-5.703144
ZINC000005183621;-6.1647453;-5.885454;-5.675645;-5.9169517;-5.558303
ZINC000034567987;-4.989724;-5.4815264;-5.3559346;-5.4049997;-5.4491296
ZINC000035269935;-5.2901654;-4.928331;-5.2495666;-5.1148763;-5.1108055
ZINC000044126820;-5.278737;-5.1662045;-5.1418424;-5.501124;-5.012236
ZINC000030677896;-4.4822044;-4.659406;-4.7394867;-4.4442883;-4.6285515
ZINC000057937731;-4.9169173;-5.3766565;-5.2148447;-5.1661453;-5.1726575
ZINC000032202025;-5.532375;-5.4605193;-5.3162413;-5.327309;-5.1759872
ZINC000059880486;-4.8971004;-4.5318713;-4.6452994;-4.745708;-5.068791
ZINC000064038022;-5.4528675;-5.7401295;-5.3710318;-5.7300067;-5.4344964
ZINC000071769491;-5.3557816;-4.862746;-4.724418;-4.724775;-5.1389904
ZINC000035874450;-5.3948827;-5.121757;-5.1652684;-5.3820524;-5.06202
ZINC000003995305;-5.2870274;-5.1886783;-5.319103;-5.0114064;-5.3576236
ZINC000098073685;-4.5545573;-4.602338;-4.5465355;-4.587382;-4.459493
ZINC000521398351;-5.204734;-5.1246004;-5.197902;-5.60584;-5.356146
ZINC000002379148;-4.565603;-4.5256166;-4.408595;-4.380165;-4.5264688
ZINC000057937729;-4.8780127;-5.2953434;-5.0797048;-5.184561;-5.0311375
