name;01;02;03;04;05
ZINC000608347731;-4.5977273;-4.8414793;-4.541607;-4.9302773;-4.8156414
ZINC000141173080;-3.9472985;-4.024998;-3.8971283;-4.046803;-4.0856423
ZINC000082367784;-3.4888182;-3.5307126;-3.6507218;-3.6067696;-3.6453948
ZINC000681019344;-4.6730328;-4.6069746;-4.757293;-4.956864;-4.646734
ZINC000005543586;-4.5502563;-4.3479247;-4.5227466;-4.2499104;-4.418858
ZINC000002512168;-5.3717475;-5.3483486;-5.268181;-5.5865784;-5.4843025
ZINC000082367785;-3.4888175;-3.5307803;-3.6507025;-3.6067088;-3.6454344
ZINC000082367658;-3.6722615;-3.2783563;-3.508722;-3.4821272;-3.4231188
ZINC000306838085;-4.7689605;-4.9713826;-5.062372;-5.0570717;-5.1742625
ZINC000082367659;-3.7610965;-3.4827359;-3.8097138;-3.6304855;-3.6504006
ZINC000306838086;-4.7743006;-4.93821;-5.0373697;-5.0336685;-5.195991
ZINC000082339318;-5.9005675;-5.447652;-5.5883436;-5.8816547;-5.9177027
ZINC000082375811;-2.8537066;-3.0284545;-3.0713081;-3.0570788;-2.8556292
ZINC000142341920;-4.56924;-5.06778;-5.045096;-5.0459166;-4.8102555
ZINC000037932804;-4.211239;-4.115201;-4.21721;-4.1644325;-4.2126083
ZINC000196057968;-4.5739007;-4.2908177;-4.5576363;-4.622114;-4.5897036
ZINC000200804864;-4.522496;-4.6008;-4.406006;-4.367549;-4.518409
ZINC000820238088;-4.9933515;-4.8037605;-4.907143;-4.8686657;-4.7365813
ZINC000820238089;-5.195872;-4.9454947;-4.8592978;-5.066598;-5.154685
ZINC000820238087;-5.000596;-4.772371;-4.942664;-4.9510064;-4.7792234
ZINC000820238086;-5.2784753;-4.9547396;-4.8454742;-5.002131;-4.9686046
ZINC000095711405;-4.697737;-4.6303267;-4.6710024;-4.6149054;-4.8785243
ZINC000008732770;-4.5384536;-4.521999;-4.118654;-4.4529333;-4.3235683
ZINC000820403812;-5.552082;-5.39529;-5.2266026;-5.191405;-5.330744
ZINC000074214881;-4.7420225;-4.9491043;-4.552672;-4.5307355;-4.9133625
ZINC000042448435;-4.970578;-5.026682;-4.603703;-4.8555794;-4.8865004
ZINC000042448433;-4.676354;-4.938898;-4.83096;-4.541588;-4.85714
ZINC000211534590;-5.1188383;-5.4143333;-5.4953628;-5.5746565;-5.096136
ZINC000211534661;-5.137847;-5.4131336;-5.500124;-5.587659;-5.1049166
ZINC000211531925;-5.2237945;-5.4876165;-5.0863023;-5.1034966;-5.074868
ZINC000211530278;-5.1880784;-5.4888453;-5.3098173;-5.3270693;-5.0976
ZINC000211531831;-5.0398026;-5.5436954;-5.1804967;-5.0469546;-5.1041536
ZINC000211530322;-5.1603904;-5.333001;-5.292905;-5.301087;-5.0571866
ZINC000075907928;-5.0515957;-5.112706;-5.1904616;-5.3497963;-5.183194
ZINC000035433023;-4.836955;-5.183551;-4.9979515;-4.6770673;-4.5379496
ZINC000083648040;-5.124853;-4.9463053;-4.7899036;-4.644292;-4.6811924
ZINC000144197243;-5.0246954;-4.9443173;-4.9500318;-4.991554;-5.089554
ZINC000005155175;-5.2115064;-4.578887;-5.1214647;-5.0980244;-4.7636786
ZINC000082190381;-5.7399225;-5.4996758;-5.396633;-5.110144;-5.344396
ZINC000006320736;-4.7242684;-4.5569654;-4.479864;-4.356962;-4.614028
ZINC000006320736;-4.7491517;-4.5558367;-4.553245;-4.4114285;-4.677101
ZINC000006320736;-4.6794567;-4.4488254;-4.412769;-4.3284793;-4.5561647
ZINC000032179603;-3.6946394;-3.513466;-3.4445918;-3.6308634;-3.7368708
ZINC000082432228;-4.156349;-4.2534833;-4.237066;-4.0552034;-4.2671485
ZINC000095347816;-3.646529;-3.4923165;-3.6183503;-3.5347233;-3.616133
ZINC000082432229;-4.0879087;-4.2261915;-4.1211095;-3.9978771;-4.188154
ZINC000082432226;-4.2582703;-4.1028137;-4.0195036;-3.9874458;-4.095238
ZINC000082432127;-3.8926146;-4.2380114;-4.199773;-3.9275358;-4.3451686
ZINC000034076257;-5.153062;-5.1408086;-4.997361;-5.077145;-5.2759156
ZINC000082432227;-4.0232487;-4.291195;-4.0834346;-4.2232547;-4.337893
ZINC000306151085;-4.5307045;-4.5145783;-4.5989957;-4.703216;-4.743819
ZINC000827449648;-4.123322;-4.149168;-4.3370547;-4.3355765;-4.254018
ZINC000827449647;-4.1360636;-4.4308443;-4.526522;-4.33881;-4.4603148
ZINC000019840476;-4.657817;-4.78169;-4.5811496;-4.7419143;-4.6159754
ZINC000829184601;-5.356737;-5.2994523;-5.4826665;-5.45676;-5.471014
ZINC000717379283;-3.93315;-4.1287217;-4.1120286;-4.1553383;-4.274172
ZINC000102411712;-4.662926;-4.5680246;-4.544815;-4.504485;-4.5877585
ZINC000032179606;-3.6945062;-3.5133846;-3.4445848;-3.6307924;-3.7368112
ZINC000720489558;-4.406149;-4.464273;-4.6561933;-4.536676;-4.4593363
ZINC000720495206;-4.291712;-4.2342763;-4.628271;-4.203722;-4.1610956
ZINC000150019499;-5.608996;-5.327867;-5.2606354;-5.450821;-5.513708
ZINC000832365197;-5.247257;-5.1265774;-4.721079;-5.205554;-5.1922393
ZINC000832365195;-5.247063;-5.125161;-4.7195163;-5.2047257;-5.1925817
ZINC000615220329;-5.4255733;-4.83218;-5.2349424;-5.1042304;-5.2464533
ZINC000615220307;-5.3109655;-4.886961;-5.3742414;-5.283919;-5.3505216
ZINC000833204413;-3.1305413;-3.1402647;-3.5587583;-2.8607516;-3.4744232
ZINC000833204412;-3.319911;-3.2350736;-3.5015566;-2.7804291;-3.263607
ZINC000833655148;-4.45676;-4.774578;-4.839853;-4.6660924;-4.824217
ZINC000833655149;-4.458464;-4.701218;-4.671799;-4.6543007;-4.532723
ZINC000833655150;-4.537;-4.7485776;-4.7740955;-4.706183;-4.7747073
ZINC000833512876;-4.8900332;-5.5454273;-4.782426;-5.1896706;-5.746367
ZINC000833655151;-4.3401856;-4.680932;-4.765979;-4.6573787;-4.605015
ZINC000833512878;-4.951229;-5.5227036;-4.7750187;-5.1253448;-5.6650543
ZINC000826524905;-5.416009;-5.01926;-5.1202765;-5.662609;-5.296144
ZINC000037081339;-4.6112986;-4.6669707;-4.381046;-4.2832427;-4.628598
ZINC000034579609;-3.94881;-3.7198603;-3.903337;-3.9371982;-3.878025
ZINC000034579609;-3.9378998;-3.730443;-3.908427;-3.9478211;-3.880336
ZINC000026577365;-5.13013;-5.077506;-4.9780326;-5.015729;-5.193476
ZINC000054523456;-4.9674416;-5.537303;-4.9559;-4.631425;-5.0264106
ZINC000306330671;-4.5848236;-4.5273123;-4.8670263;-4.585024;-4.8409286
ZINC000054523455;-4.641485;-5.0676813;-5.1808147;-4.802489;-5.1210527
ZINC000036903559;-4.680619;-4.838967;-4.4661064;-4.536062;-4.7995973
ZINC000306330678;-4.5876937;-4.529924;-4.871538;-4.589851;-4.841265
ZINC000082757991;-5.0945745;-5.0763326;-5.0885735;-5.063981;-4.7146072
ZINC000082757989;-5.1016054;-5.130838;-5.260977;-5.365763;-5.342432
ZINC000307539029;-5.755854;-5.5339375;-5.907909;-5.6557207;-5.758928
ZINC000032209343;-4.7508636;-4.284667;-4.5866985;-4.431226;-4.6326694
