name;01;02;03;04;05
ZINC000053301892;-6.1366262;-6.1973696;-5.826038;-6.063946;-6.139302
ZINC000053301907;-7.1041765;-6.772805;-6.5166483;-7.1573772;-6.97316
ZINC000001725108;-5.1393104;-5.1213756;-5.4353166;-5.16263;-4.972256
ZINC000002568348;-6.819748;-6.670832;-6.260291;-6.737261;-6.5999913
ZINC000003163559;-5.8789825;-5.9307094;-5.782387;-5.9839487;-5.9210963
ZINC000006068526;-5.827585;-5.6413956;-5.6914477;-5.875488;-5.6007085
ZINC000004521203;-4.4665356;-4.345232;-4.5465584;-4.373394;-4.482612
ZINC000004690061;-5.107232;-5.6231985;-5.653711;-5.4737616;-5.7303123
ZINC000004690059;-5.5461354;-5.7957;-5.608457;-5.560385;-5.832488
ZINC000004690060;-5.3901877;-5.472204;-5.6230993;-5.227913;-5.532585
ZINC000006469479;-5.283089;-4.716972;-5.2511344;-5.0536666;-5.251069
ZINC000095919615;-5.9246216;-5.915382;-5.7254863;-5.8382707;-5.749852
ZINC000006941003;-3.960677;-3.613647;-3.6972466;-3.5945103;-4.013868
ZINC000035014570;-7.0414224;-6.469005;-6.2404265;-6.428813;-6.425297
ZINC000000161980;-6.196168;-6.2963448;-5.913504;-6.538618;-6.4579644
ZINC000008535134;-7.0996075;-6.4875274;-6.432973;-6.7164254;-6.6651297
ZINC000020567122;-6.5769176;-6.096759;-6.329928;-6.623327;-6.512044
ZINC000067801438;-6.14385;-5.7469077;-5.7752943;-5.7872205;-5.933223
ZINC000000161979;-6.8584075;-6.7259936;-6.2635694;-6.8429832;-6.884998
ZINC000001577505;-5.943683;-5.835558;-5.646243;-5.7044754;-6.0301805
ZINC000001696214;-3.8267324;-3.7451742;-3.714795;-3.6674078;-3.6583228
ZINC000083964204;-6.9423685;-6.3523235;-6.4256735;-6.4717507;-6.5434127
ZINC000083964205;-7.0211554;-6.5089254;-6.5163636;-6.5987678;-6.512143
ZINC000013686846;-6.205454;-6.0405035;-6.221533;-6.4490547;-6.525202
ZINC000004218277;-7.0520697;-7.2001214;-6.6464844;-7.3179727;-6.9494376
ZINC000026897740;-6.3812647;-6.276579;-6.0372906;-6.4373374;-6.4739017
ZINC000004206900;-3.7497208;-3.5904772;-3.7970772;-4.089246;-3.8187985
ZINC000004218278;-7.0492105;-7.1990542;-6.649671;-7.3130302;-6.951155
ZINC000033947409;-5.942599;-6.068166;-6.045858;-6.0885334;-5.9807386
ZINC000000493081;-5.5023;-5.594657;-5.3356647;-5.3182497;-5.2812033
ZINC000000493082;-5.503175;-5.593293;-5.3367333;-5.316831;-5.2795553
ZINC000021950123;-6.0507503;-6.0870004;-5.86571;-6.2187104;-5.9303975
ZINC000021950312;-6.962078;-7.0862865;-6.5626464;-6.6104712;-6.6520634
ZINC000022016706;-4.4973016;-4.5168767;-4.499686;-4.5806613;-4.778332
ZINC000001424230;-5.2932596;-5.3813534;-5.5407877;-5.163873;-5.4365244
ZINC000001646411;-4.1972938;-4.4631524;-4.373015;-4.1150284;-4.5036674
ZINC000015781993;-4.361918;-4.695864;-4.605313;-4.503316;-4.5703077
