name;01;02;03;04;05
ZINC000002519236;-5.6759143;-5.5406704;-5.3224583;-5.5417485;-5.626125
ZINC000141692371;-5.2052975;-5.4480767;-4.994176;-5.160069;-5.3764687
ZINC000005760824;-5.903661;-5.61777;-5.5430794;-6.0318274;-5.650126
ZINC000307409161;-4.654659;-4.5603485;-4.29943;-4.3334637;-4.7696004
ZINC000196782046;-5.3810453;-5.1619477;-5.336507;-5.3292456;-5.3806686
ZINC000006072175;-4.632958;-4.9201446;-4.5721164;-5.0463696;-4.843755
ZINC000142691219;-5.20767;-5.2104664;-5.0917463;-5.4888434;-5.3851285
ZINC000608896438;-5.3646736;-5.279149;-5.2594185;-5.081749;-5.7969866
ZINC000609090453;-5.384637;-5.5459332;-5.680136;-5.848119;-5.555318
ZINC000142960199;-5.516654;-5.3316593;-5.2697535;-5.7604237;-5.5862355
ZINC000609090452;-5.3847113;-5.544807;-5.6794114;-5.8479843;-5.5553565
ZINC000609342489;-5.8923197;-5.8063617;-5.7289248;-5.3508925;-5.750061
ZINC000019776788;-6.649217;-6.3236465;-6.2311196;-6.6446557;-6.7660165
ZINC000609586151;-5.0406103;-5.1872864;-5.2375402;-5.334279;-5.3167634
ZINC000609586154;-5.3507023;-4.834963;-5.295077;-4.927223;-5.205125
ZINC000609669086;-5.283324;-5.185031;-5.0820365;-5.00521;-5.23352
ZINC000006513772;-5.411039;-5.440461;-5.415038;-5.4929504;-5.1967764
ZINC000610166970;-5.954419;-5.2369027;-5.328377;-5.2433853;-4.8808994
ZINC000610167350;-5.3048854;-4.9209533;-4.854108;-5.2643127;-5.1541233
ZINC000610283901;-5.757049;-5.675046;-5.3424196;-5.365096;-5.4104023
ZINC000820585901;-5.2264795;-5.0079927;-5.032897;-5.5808806;-5.3195567
ZINC000820586332;-5.6229124;-5.2921696;-5.134342;-5.4909143;-5.399798
ZINC000610430742;-5.7431946;-5.5102344;-5.195233;-5.1906505;-5.2443085
ZINC000307611113;-5.786234;-5.577046;-5.0882025;-5.7208915;-5.607445
ZINC000144347383;-5.3513966;-5.106211;-5.208256;-5.4421062;-5.3378205
ZINC000144358657;-5.8034825;-5.2901645;-5.5919714;-5.6541276;-5.6173987
ZINC000307638022;-5.3209887;-5.5789733;-4.9604397;-5.553535;-5.6662974
ZINC000013683708;-6.1110044;-5.9961147;-6.0859056;-6.2240257;-6.16361
ZINC000013683730;-6.1093884;-5.9988527;-6.0870566;-6.226497;-6.162489
ZINC000014985689;-5.639729;-5.637761;-5.636112;-5.5565686;-5.4468503
ZINC000610675315;-5.2087364;-5.027958;-4.9003205;-5.231932;-5.10881
ZINC000307415669;-5.2438636;-5.2672324;-5.0751524;-4.9871693;-5.1044273
ZINC000610725996;-5.3174276;-5.436299;-5.5590053;-5.438684;-5.5458694
