name;01;02;03;04;05
ZINC000001683675;-5.054986;-4.840048;-4.872515;-4.902391;-4.9577174
ZINC000021059700;-5.4999948;-5.4124355;-5.204941;-5.178588;-5.1092124
ZINC000002019194;-4.705432;-4.5498233;-4.493825;-4.587362;-4.697534
ZINC000002018046;-4.6408463;-4.5435224;-4.5346246;-4.6217685;-4.6956344
ZINC000004460104;-7.8776155;-7.4297385;-7.1196094;-7.697225;-7.437514
ZINC000002799762;-4.6839786;-4.6125;-4.47028;-4.4731846;-4.408693
ZINC000005925899;-4.803192;-4.8608193;-4.9074273;-4.919698;-5.118384
ZINC000004262606;-3.82645;-3.9597044;-3.941376;-4.0023994;-3.8494582
ZINC000097096745;-4.8752275;-4.8258147;-4.5083604;-4.717206;-4.652901
ZINC000002558535;-4.0159893;-3.8285787;-4.2022204;-4.2909136;-4.170081
ZINC000006070738;-4.3233113;-4.412909;-4.1559753;-4.392827;-4.3024845
ZINC000114540602;-3.9477823;-4.0300593;-3.9996898;-4.1201186;-3.932742
ZINC000008699897;-4.882752;-4.5483394;-4.5343857;-4.9805574;-4.6210165
ZINC000012428350;-6.8370814;-6.808699;-6.7344327;-6.505802;-6.7084794
ZINC000010337164;-5.1330724;-5.1487384;-5.178986;-5.086155;-4.9419317
ZINC000000161280;-5.187964;-5.4029365;-5.18466;-5.234976;-5.344066
ZINC000013376178;-4.3253536;-4.3700595;-4.143129;-4.2999983;-4.3188663
ZINC000012359032;-4.052684;-4.065279;-4.1088014;-4.125227;-3.946477
ZINC000015443479;-4.764349;-4.6778173;-4.6028852;-4.750923;-4.7360706
ZINC000013512198;-4.3136063;-4.452466;-4.255471;-4.370554;-4.3797727
ZINC000146108372;-4.2278237;-4.420413;-4.517962;-4.4157267;-4.5691004
ZINC000015635704;-5.0921144;-4.9052386;-4.8792877;-4.709211;-4.87766
ZINC000016957773;-4.488361;-4.2523828;-4.58763;-4.668655;-4.688708
ZINC000002512959;-4.3048887;-4.3514113;-4.305362;-4.2647743;-4.413576
ZINC000019093505;-4.297776;-4.427768;-4.6059747;-4.643209;-4.5882263
ZINC000019735582;-4.900125;-5.326437;-5.3557463;-5.2185073;-5.3723125
ZINC000238264727;-4.6648035;-4.8472753;-4.611481;-4.904002;-4.8987503
ZINC000071773610;-4.3971195;-3.8621166;-4.0834765;-3.8765273;-3.9192114
ZINC000020217902;-4.651575;-4.754625;-4.6306477;-4.6358314;-4.887633
ZINC000020209047;-4.968053;-4.962488;-4.9327765;-4.8843317;-5.1297984
ZINC000020221042;-4.6439204;-4.9264655;-4.5725484;-4.675256;-4.5162225
ZINC000021948965;-4.1553054;-4.18139;-4.1091075;-4.205198;-4.069377
ZINC000039234682;-5.005145;-4.8802695;-4.8458776;-4.9039536;-4.8795033
ZINC000000058222;-4.74562;-4.779212;-4.7864957;-4.894049;-4.9046
ZINC000005318933;-4.7675743;-4.6018114;-4.5913963;-4.635825;-4.3334446
ZINC000038055854;-4.2743983;-4.260031;-4.4530263;-4.2200613;-4.102458
ZINC000001575717;-4.468408;-4.486947;-4.697449;-4.3170385;-4.274383
ZINC000035360343;-4.3594823;-4.6195574;-4.2115016;-4.382198;-4.348958
ZINC000020374327;-4.145916;-4.4685655;-4.230875;-4.31106;-4.2468395
ZINC000058518064;-4.8904867;-4.8468547;-4.9520907;-4.9956117;-5.0819507
ZINC000021990912;-4.529077;-4.579218;-4.6775284;-4.159332;-4.570381
ZINC000002243618;-4.3841577;-4.3942437;-4.3740416;-4.2645082;-4.4692054
ZINC000095348407;-4.7231774;-4.7417526;-4.7865977;-4.562195;-4.540312
ZINC000104190211;-5.416458;-5.4206395;-5.169873;-5.4920454;-5.6126723
ZINC000000197951;-5.199073;-5.1273646;-5.2303777;-5.25316;-5.037439
ZINC000000197947;-5.199073;-5.1273646;-5.2303777;-5.25316;-5.037439
ZINC000095348408;-4.7241244;-4.7418222;-4.788162;-4.5619197;-4.534202
ZINC000034925588;-5.429228;-5.521408;-5.428934;-5.400002;-5.4141774
ZINC000039471571;-4.1125855;-4.3345547;-4.4895296;-4.4245358;-4.563152
ZINC000098179755;-4.418635;-4.7290373;-4.4279737;-4.7019787;-4.6402326
ZINC000035323615;-5.4162474;-5.607683;-5.4181156;-5.7756176;-5.558549
ZINC000000115816;-3.8896093;-4.001725;-4.1576285;-3.9579542;-4.1005573
ZINC000138823147;-5.070183;-5.22442;-5.018825;-5.291415;-5.4282885
ZINC000039241148;-3.9692059;-4.1228304;-4.192993;-3.9204292;-4.1761165
ZINC000004039359;-3.9524908;-4.441455;-4.297126;-4.369691;-4.2494326
ZINC000096029620;-4.8744392;-4.635486;-4.6664453;-4.697881;-4.737704
ZINC000035764345;-3.8899307;-4.0778594;-4.102799;-3.9980483;-4.189261
ZINC000000105318;-3.740268;-4.282586;-4.144988;-4.0475173;-4.2396564
ZINC000034238057;-4.3516426;-4.3223677;-4.2961907;-4.550325;-4.4796677
ZINC000051943298;-4.640077;-4.55878;-4.6754694;-4.487631;-4.409599
ZINC000095908470;-4.3029184;-4.4885945;-4.2373276;-4.4359426;-4.5020695
ZINC000020374539;-3.8054473;-3.658659;-3.990619;-4.0187764;-3.8669934
ZINC000022162408;-4.4963217;-4.590999;-4.4923825;-4.5691967;-4.673398
ZINC000003075591;-3.7713814;-4.0079503;-4.009828;-4.0473757;-4.06552
ZINC000036949601;-5.244752;-5.4206715;-5.149638;-5.502138;-5.4652557
ZINC000014630125;-4.1062207;-4.1110573;-4.168691;-3.9937997;-4.01102
ZINC000037080592;-3.8894315;-3.984654;-4.08475;-4.24195;-3.95997
ZINC000063063538;-4.2899303;-4.483284;-4.4614015;-4.41956;-4.651003
ZINC000033606249;-4.080516;-4.2730303;-4.282761;-4.257461;-4.2268414
ZINC000019262910;-4.2837896;-4.2271357;-4.0485845;-3.9719565;-4.009538
ZINC000002030300;-4.1423755;-4.2542267;-4.2074175;-4.0552917;-4.0704756
ZINC000034978299;-4.7977667;-5.0570025;-4.725502;-4.6171403;-4.844987
ZINC000000080614;-4.6051764;-4.5521736;-4.74273;-4.7657194;-4.5897627
ZINC000039281356;-4.120658;-4.1261244;-3.8500643;-3.7833374;-3.7891972
ZINC000216711536;-4.2087264;-4.5485177;-4.4144025;-4.4359117;-4.7734942
ZINC000011920100;-4.7618055;-4.850666;-5.1217756;-4.939521;-5.0457172
ZINC000006678015;-4.1987267;-4.362559;-4.3389196;-4.2758026;-4.3097534
ZINC000019727520;-4.569716;-4.787161;-4.8988137;-4.8225574;-5.018345
ZINC000020256813;-4.420768;-4.1864395;-4.5931115;-4.6072993;-4.58664
ZINC000022141431;-4.952699;-4.7061787;-4.948703;-4.9684677;-4.8836603
ZINC000020267234;-4.759915;-4.748704;-5.141694;-5.139923;-5.2330604
ZINC000020267236;-5.1375504;-4.783971;-5.2189565;-5.3627634;-5.1666923
ZINC000020267237;-5.1492796;-4.803702;-5.2202086;-5.4185367;-5.212198
ZINC000022141429;-4.9463096;-4.7135396;-4.969609;-5.019602;-4.891342
ZINC000035774374;-4.885516;-4.6839504;-4.6795416;-4.698232;-4.6161876
ZINC000035774372;-4.8866706;-4.6804233;-4.668315;-4.6978445;-4.6138115
ZINC000006678013;-4.1999154;-4.363642;-4.3376822;-4.2748227;-4.310065
ZINC000000404661;-4.199804;-4.106158;-4.361769;-4.1712766;-4.1338573
ZINC000003981827;-5.051875;-5.119473;-4.752448;-5.080132;-5.288193
ZINC000022204322;-3.9984045;-3.857521;-3.8539374;-3.8910038;-3.73802
ZINC000039233636;-5.9164457;-6.129565;-6.067319;-6.177767;-6.3006387
ZINC000095908683;-4.5590634;-4.632915;-4.702613;-4.7933264;-4.69025
ZINC000000047331;-3.8661566;-4.073542;-3.9179275;-3.9240105;-3.9206226
ZINC000005736217;-4.077442;-4.2435255;-4.0206914;-3.9305139;-3.8155696
ZINC000085955977;-4.727608;-4.775673;-4.694728;-4.4677143;-4.577708
ZINC000001593019;-4.5203485;-4.498186;-4.351842;-4.579071;-4.4586186
ZINC000095908684;-4.551893;-4.670568;-4.6887164;-4.782092;-4.809926
ZINC000039125666;-5.2349224;-5.386324;-4.9570365;-5.284916;-5.475139
ZINC000005764269;-4.149125;-4.3933277;-4.161089;-3.9272351;-3.854647
ZINC000005736216;-4.235517;-4.3112955;-4.070707;-3.7090344;-4.126789
ZINC000082846351;-5.793147;-5.7797265;-5.5210457;-5.7298355;-5.8323374
ZINC000002038228;-5.0890627;-4.8431454;-5.0044627;-5.058341;-4.8911896
ZINC000013511222;-4.3885217;-3.9442387;-4.311094;-4.265057;-4.182918
ZINC000037666355;-5.0554843;-5.3052607;-5.0123324;-4.8699837;-4.867342
ZINC000033952505;-4.7847;-4.615691;-4.8179307;-4.7750616;-4.756937
ZINC000013339773;-5.215251;-5.227353;-5.11546;-5.167513;-5.1991143
