name;01;02;03;04;05
ZINC000817953442;-5.65516;-6.1879463;-5.7552423;-6.097987;-5.78711
ZINC000817969623;-5.9713397;-6.0461946;-5.7152023;-5.994482;-5.76565
ZINC000817965945;-5.557098;-5.5393257;-5.5019946;-5.6583157;-5.4563603
ZINC000817953443;-5.731599;-6.020925;-5.9637365;-6.0870814;-5.850528
ZINC000083551561;-5.3687105;-5.447352;-5.0603986;-5.457936;-5.4304094
ZINC000328590468;-5.453816;-5.3832583;-4.612617;-5.115841;-5.1714087
ZINC000328590469;-5.1561904;-5.612282;-4.693812;-5.1388946;-5.1641755
ZINC000014724198;-5.225639;-5.4059296;-5.3932796;-5.4075522;-5.396026
ZINC000023508892;-6.318319;-6.607574;-6.135929;-6.111023;-6.3251343
ZINC000824533716;-5.5611377;-5.430727;-5.4863324;-5.4657087;-5.516895
ZINC000082851559;-5.248214;-5.6005974;-5.540893;-5.869896;-5.6358557
ZINC000825256590;-6.3134522;-6.3831615;-5.709463;-5.9939756;-5.913865
ZINC000717576851;-5.6912575;-5.6524696;-5.528395;-5.727419;-5.42031
ZINC000717576852;-5.892664;-5.6070323;-5.628713;-5.9673553;-5.498825
ZINC000082851560;-5.3293834;-5.490953;-5.4279256;-5.7970066;-5.6481996
ZINC000162952854;-5.8427653;-5.5855107;-5.4678946;-5.517232;-5.555079
ZINC000162955548;-5.4659734;-5.555973;-5.355519;-5.355048;-5.2254663
ZINC000162955430;-5.515783;-5.6165376;-5.3030863;-5.3504553;-5.2228913
ZINC000019480328;-5.254406;-5.511486;-5.2120047;-5.218298;-5.0610447
ZINC000019726700;-5.309369;-5.7736883;-5.3468814;-5.6399684;-5.151284
ZINC000037712495;-5.828304;-5.6682267;-5.1685305;-5.295293;-5.4744196
ZINC000032009007;-4.8634763;-4.8630643;-4.653042;-4.8079247;-4.77569
ZINC000020084361;-5.52437;-5.4764857;-5.079461;-5.127067;-5.10275
ZINC000020194715;-5.7123294;-5.7445455;-5.3699584;-5.482781;-5.4285026
ZINC000020194712;-5.9269085;-6.1863513;-5.4523716;-5.6199465;-5.5084357
ZINC000020384001;-4.889813;-5.092078;-4.977419;-5.064055;-5.021578
ZINC000035361357;-5.0497885;-5.201958;-4.598359;-4.803854;-4.909836
ZINC000841060153;-6.3831625;-6.6804767;-5.950174;-6.1685524;-5.838744
ZINC000841063520;-6.2622566;-6.6575975;-6.204942;-6.113746;-5.9772205
ZINC000841059889;-5.90934;-6.324587;-5.7538066;-5.9350395;-5.8122168
ZINC000841100031;-5.6888328;-6.285891;-5.6054764;-5.0578504;-5.3843603
ZINC000841034796;-5.8972373;-6.3814297;-5.9853716;-5.83764;-5.880269
ZINC000841063856;-6.1723866;-6.5171933;-5.7613535;-6.0062575;-5.761602
ZINC000306695742;-4.9430213;-5.1141634;-5.0500107;-4.8179545;-5.0458546
ZINC000843125653;-5.962333;-5.8976064;-5.484592;-5.581999;-5.2880607
ZINC000035602021;-6.0296545;-5.941218;-6.1477327;-5.85471;-5.5113907
ZINC000035602019;-5.986013;-5.9605384;-5.522189;-5.86794;-5.451045
ZINC000035602020;-5.836354;-5.779046;-5.6813583;-5.906509;-5.362056
ZINC000035603377;-6.037796;-5.668287;-5.565046;-5.920285;-5.5399904
ZINC000035603373;-5.767379;-5.284528;-5.177388;-5.515812;-5.2949424
ZINC000020083165;-5.5528355;-5.3510075;-5.3127193;-5.23088;-5.178033
ZINC000040407413;-5.991264;-5.9608607;-5.5617766;-5.624956;-5.488726
ZINC000020142266;-5.3119082;-5.2627273;-5.2117376;-5.088555;-5.218479
ZINC000095663326;-5.2237935;-5.197029;-5.352643;-5.5350785;-5.320547
ZINC000096811503;-6.0088296;-5.9183607;-5.4624815;-5.8654623;-5.5897565
ZINC000096811502;-5.984418;-5.7185307;-5.392361;-5.8505836;-5.7232656
ZINC000037712990;-6.157817;-6.4883676;-6.135988;-6.1187468;-5.8350053
ZINC000019881337;-5.736791;-5.4528103;-5.697875;-5.608927;-5.2315817
ZINC000083342287;-5.6027412;-5.560287;-5.049604;-5.0864363;-5.1323647
ZINC000070954595;-5.6241217;-5.466339;-4.9699554;-5.132216;-5.124831
ZINC000019881335;-5.4590697;-5.390212;-5.309057;-5.5988326;-5.274049
ZINC000020085553;-5.6406198;-5.7931757;-5.324662;-5.495468;-5.6814055
ZINC000107801808;-5.789663;-6.145997;-5.6233234;-5.558824;-5.5678144
ZINC000037632590;-5.292343;-5.337197;-5.234089;-5.299653;-5.3071146
ZINC000019904495;-5.4559784;-5.771828;-5.179203;-5.3519397;-5.372477
ZINC000037712660;-5.8093414;-5.9676614;-5.9842668;-5.908053;-5.7012253
ZINC000037712496;-6.1850157;-5.8255806;-5.083281;-5.238393;-5.576677
ZINC000850417528;-6.5413623;-6.402819;-6.0195932;-5.8538904;-5.970148
ZINC000019904497;-5.3823113;-5.839061;-5.0921917;-5.428938;-5.455383
ZINC000039104017;-6.0166154;-5.673157;-5.5343175;-5.906962;-5.6257267
ZINC000157489788;-5.1002383;-5.1946926;-4.7291913;-4.83468;-4.9352818
ZINC000853249469;-6.121838;-6.2235594;-5.5597715;-5.547244;-5.9505243
ZINC000853249470;-5.9870715;-6.653532;-5.7740045;-6.0009933;-5.970144
ZINC000308518549;-5.574267;-6.07759;-5.518529;-5.0893517;-5.143014
ZINC000308518550;-6.026113;-5.762655;-5.016484;-5.3575478;-5.6717834
ZINC000308524691;-5.5328813;-5.1686697;-4.847997;-4.867722;-5.027815
ZINC000164513653;-5.549828;-6.0938134;-6.357319;-5.6901374;-6.0351357
ZINC000164514477;-6.522698;-6.4073443;-6.5134244;-6.4171743;-6.607894
ZINC000164514602;-6.2412143;-6.670842;-6.866158;-6.575623;-6.6505795
ZINC000164514267;-6.2355604;-6.6688166;-6.8610525;-6.5684867;-6.645893
ZINC000164513534;-5.749723;-5.863058;-5.7701316;-5.5591564;-6.142179
ZINC000164514363;-6.5153165;-6.385415;-6.458998;-6.4189515;-6.586614
ZINC000035052720;-5.863098;-6.1240463;-5.6793213;-5.906627;-5.621385
ZINC000113750551;-4.5973973;-5.105729;-4.775402;-4.992493;-5.0563736
ZINC000020239521;-5.486375;-5.360825;-5.358227;-5.121975;-5.2779903
ZINC000020239321;-5.588948;-5.730165;-5.788979;-5.191835;-5.164885
ZINC000020239518;-5.256436;-5.7193193;-5.259238;-5.027607;-5.3056836
ZINC000019880577;-5.6269855;-5.8254204;-5.1905313;-5.610801;-5.4913173
ZINC000037362289;-5.8560195;-5.798518;-5.4910417;-5.564952;-5.700175
ZINC000001503014;-5.8553104;-5.780238;-5.5647297;-5.5302253;-5.4609585
ZINC000023508890;-6.3184466;-6.6076565;-6.1368175;-6.1111555;-6.325699
ZINC000301029750;-5.405403;-6.5114737;-6.47228;-5.9732447;-5.9570127
ZINC000301029752;-5.387664;-6.1259413;-6.3771515;-5.7488065;-5.687667
