name;01;02;03;04;05
ZINC000307268884;-5.5678005;-5.518196;-5.4134574;-5.524928;-5.230051
ZINC000001683617;-4.417677;-4.4774585;-4.571836;-4.251413;-4.198886
ZINC000001769286;-5.4489274;-5.8753037;-5.1425834;-5.539672;-5.2562804
ZINC000001853000;-6.5031447;-6.590254;-6.1001396;-6.3754344;-6.5676894
ZINC000005477515;-4.300329;-4.5636096;-4.5841103;-4.2289762;-4.4452744
ZINC000005469524;-5.3293567;-5.7064266;-5.3950973;-5.4187236;-4.903433
ZINC000005469801;-5.3423495;-5.641294;-5.3623066;-5.3628983;-4.865088
ZINC000002032759;-4.5216393;-4.966735;-4.463494;-4.703728;-4.7161746
ZINC000002242709;-4.460207;-4.6728296;-4.3825417;-4.6045594;-4.5911436
ZINC000002380327;-5.7643576;-5.8582034;-5.32075;-5.600885;-5.379065
ZINC000005599514;-3.212328;-2.9059324;-3.054597;-2.8340888;-2.9724894
ZINC000002386896;-3.4020605;-4.0708;-4.3462906;-3.9799871;-3.8868735
ZINC000002510455;-4.1802297;-4.264433;-4.160733;-4.369089;-3.869178
ZINC000002528052;-4.9464483;-5.41559;-4.856742;-5.256735;-5.042253
ZINC000002548481;-5.5182405;-5.6290126;-5.186618;-4.8547964;-4.80065
ZINC000002559175;-3.598096;-3.7749612;-3.7126215;-3.545865;-3.554085
ZINC000004206181;-5.9003553;-6.0314527;-5.832139;-5.549475;-5.7555346
ZINC000004083425;-4.52521;-4.7991967;-4.531842;-4.387829;-4.859094
ZINC000004255647;-4.7283807;-4.7381983;-4.783251;-4.3946056;-4.5351405
ZINC000169685117;-5.1282907;-5.1966243;-5.2069893;-5.030522;-5.1202345
ZINC000019798217;-5.152099;-5.67702;-5.353873;-5.148712;-5.4516263
ZINC000102994732;-4.9470387;-5.4027843;-5.5396156;-5.2841477;-5.1585264
ZINC000019798216;-4.92187;-5.693772;-5.56991;-5.414594;-5.4569974
ZINC000019594814;-5.8053513;-5.858868;-5.6231394;-5.505924;-5.520008
ZINC000002003762;-4.5342383;-4.595773;-4.344689;-3.8844886;-4.231924
ZINC000002140860;-4.8818;-5.703061;-5.5730314;-5.02881;-4.9645467
ZINC000166787779;-5.6855493;-5.907166;-5.400111;-5.3800545;-5.320515
ZINC000002567982;-4.5878677;-4.6689095;-4.8734426;-4.6683183;-4.3866525
ZINC000072231486;-5.0352993;-5.466189;-5.093233;-4.882311;-4.966235
ZINC000000062927;-5.061319;-5.2727833;-5.086714;-5.3023396;-5.295418
ZINC000019276429;-5.645043;-5.712743;-5.371588;-5.5749273;-5.7239323
ZINC000001829890;-4.1272798;-3.9951077;-4.081265;-4.133544;-4.0106335
ZINC000067174034;-5.0419855;-4.669108;-4.5784845;-4.5066156;-4.3818793
ZINC000027204239;-3.983198;-3.9273245;-3.9107447;-4.030358;-3.7515216
ZINC000027204233;-3.9876294;-4.086885;-3.9119034;-4.1132936;-3.9343095
ZINC000041635669;-4.8009825;-4.8727937;-4.668083;-4.799321;-4.664399
ZINC000053084618;-4.75324;-4.701931;-4.755622;-4.6266003;-4.5896997
ZINC000007787359;-4.0144553;-4.073534;-3.9915338;-3.5956197;-3.6930912
ZINC000042211294;-4.7287445;-4.6761627;-4.8208385;-4.7603955;-4.547544
ZINC000070904771;-5.502206;-5.1435227;-5.1592073;-5.2791643;-5.266237
ZINC000008299269;-3.4718568;-4.210741;-3.7509022;-4.0465035;-4.090556
ZINC000008376898;-5.43111;-5.6137714;-5.4754057;-5.48822;-5.413517
ZINC000006481831;-5.902568;-5.9789352;-5.45439;-5.889574;-6.080954
ZINC000020282628;-5.655359;-5.644192;-5.2512965;-5.456336;-5.703176
ZINC000059015853;-5.366503;-5.293989;-4.8297954;-4.9301257;-5.0565014
ZINC000019594772;-3.7079768;-3.32277;-3.6903234;-3.693531;-3.5041745
ZINC000020247155;-4.505158;-4.3061175;-4.1625314;-3.9987621;-4.148181
ZINC000041635689;-4.7087655;-4.8552613;-4.581354;-4.5201263;-4.5447187
ZINC000006658026;-5.528747;-5.511562;-5.593924;-5.531587;-5.895522
ZINC000006658027;-5.347368;-5.4584913;-5.585743;-5.576164;-5.666456
ZINC000002193161;-4.897273;-5.070152;-5.0304775;-4.9350705;-4.8528557
ZINC000008514695;-4.7266383;-4.8277373;-4.894512;-4.4115868;-4.7788787
ZINC000002509936;-4.158701;-3.9454281;-4.1905236;-4.111768;-3.8404603
ZINC000036466087;-4.949356;-5.590856;-4.8708496;-5.0835876;-4.9597635
ZINC000003639353;-5.9310718;-5.5430684;-5.508561;-5.4709854;-5.609293
ZINC000019874304;-5.7195354;-5.737145;-5.5973024;-5.396409;-5.358165
ZINC000011728781;-5.848583;-5.533859;-5.603552;-5.4657187;-5.206181
ZINC000019874300;-6.014557;-5.6411486;-5.5204835;-5.451623;-5.585014
ZINC000054958183;-5.290856;-5.0027432;-5.139538;-5.136389;-4.7504587
ZINC000011863532;-5.0992556;-5.1353474;-4.970943;-4.940974;-5.375367
ZINC000054958181;-5.6759048;-5.1399364;-5.291764;-4.9774046;-4.8567405
ZINC000020246156;-6.0814996;-5.9077406;-5.768108;-5.821209;-5.8522644
ZINC000011950166;-5.5916543;-5.313844;-5.495264;-5.300026;-5.636078
