name;01;02;03;04;05
ZINC000001688181;-5.3885593;-5.499919;-5.1050286;-5.08875;-4.936917
ZINC000005339665;-4.693553;-4.748531;-5.022416;-4.916409;-4.9323826
ZINC000005414723;-5.178933;-5.0738964;-5.107032;-4.9673524;-5.0747075
ZINC000001733670;-5.3019133;-5.237751;-5.112974;-5.0678067;-5.278085
ZINC000005439668;-4.8485293;-4.6463614;-4.7435937;-5.0636625;-4.88091
ZINC000002019379;-5.082516;-5.200964;-5.066612;-4.980734;-5.295116
ZINC000005547581;-5.4085374;-5.1374044;-5.1421514;-4.9351506;-4.993737
ZINC000005546224;-5.336735;-5.22046;-4.928153;-5.1592674;-5.140881
ZINC000005546226;-5.420352;-5.433632;-5.141624;-5.2072935;-5.1352377
ZINC000004742629;-4.8653226;-4.7301636;-4.777434;-4.8460975;-4.8606653
ZINC000034408053;-4.2419734;-4.5936284;-4.4566755;-4.4126635;-4.2971997
ZINC000096509244;-4.5228972;-4.9820895;-4.786882;-4.2904186;-4.6874843
ZINC000142990456;-5.0132704;-4.931303;-4.759349;-4.891567;-4.8592525
ZINC000008320504;-5.1542215;-5.328903;-5.01225;-5.1869917;-5.395026
ZINC000005841032;-3.8164127;-3.7441328;-3.6824903;-3.4153926;-3.527987
ZINC000006343864;-5.6010857;-5.424685;-5.1558995;-5.066099;-5.6159325
ZINC000143689706;-4.484039;-4.71488;-4.6301875;-4.7117667;-4.5419254
ZINC000010336047;-4.2853355;-4.225314;-4.1262584;-4.2909746;-4.4567366
ZINC000050907793;-4.666908;-4.366585;-4.002278;-4.5218554;-4.6987386
ZINC000054188354;-4.535054;-4.542265;-4.5105805;-4.528521;-4.6567307
ZINC000013509322;-5.169191;-5.326455;-4.842159;-5.177566;-5.185625
ZINC000050912918;-4.620415;-4.669151;-4.5296707;-4.552575;-4.7454743
ZINC000054528416;-4.8492384;-4.771253;-4.720518;-4.5578985;-4.727692
ZINC000085656711;-4.730358;-4.918704;-4.5946064;-4.7518225;-4.9239335
ZINC000070994444;-4.6505084;-4.6330447;-4.4829097;-4.413922;-4.7457304
ZINC000037729680;-4.9823656;-4.968585;-4.7434783;-4.7033796;-4.79207
ZINC000082516691;-4.7940416;-4.4279404;-4.467064;-4.588811;-4.584626
ZINC000069976702;-4.81656;-5.0506115;-4.5871487;-4.8008456;-5.0047517
ZINC000017147385;-5.7474055;-5.8956213;-5.603582;-5.4730215;-5.376001
ZINC000012417629;-5.2177563;-5.211196;-5.3484516;-5.289438;-5.311474
ZINC000017147384;-4.9904866;-5.0933313;-4.9692388;-5.1425996;-5.1333656
ZINC000017149620;-4.832329;-4.942282;-5.0611496;-4.774196;-5.023634
ZINC000016982765;-5.290236;-5.672633;-5.4334936;-5.7477713;-5.2488585
ZINC000017354012;-5.968813;-5.391314;-5.4373403;-5.702795;-5.6224256
ZINC000017354013;-5.968813;-5.391314;-5.4373403;-5.702795;-5.6224256
ZINC000019075457;-5.0654283;-4.874651;-4.9339952;-4.806225;-4.868453
ZINC000019385425;-5.0943885;-4.9556785;-4.8663526;-4.8773723;-4.9654236
ZINC000078404527;-5.1556034;-5.3684635;-5.0693593;-4.960716;-5.034779
ZINC000078405430;-4.5202675;-4.6844587;-4.6832986;-4.790516;-4.669103
