name;01;02;03;04;05
ZINC000306139279;-5.784522;-5.5231185;-5.4789004;-6.17491;-5.507277
ZINC000001703149;-3.1090825;-3.030656;-2.9341862;-2.827385;-2.9836693
ZINC000001714061;-4.5320005;-4.946084;-4.6002707;-4.7493587;-4.749954
ZINC000001717672;-4.853838;-4.8017206;-4.8189573;-4.783306;-4.9139047
ZINC000001717425;-4.505421;-5.095306;-5.104007;-4.6760497;-4.824169
ZINC000001712164;-4.350957;-3.9564064;-3.966033;-4.247837;-4.1634464
ZINC000001707066;-2.9912083;-2.9826238;-3.1108084;-3.0116959;-3.0565617
ZINC000001717426;-4.4922633;-5.1110177;-5.106398;-4.6560717;-4.8046103
ZINC000001727266;-4.976545;-4.3650703;-5.1801248;-4.3954196;-4.995363
ZINC000001723776;-4.4454823;-4.258404;-4.5463824;-4.633663;-4.560562
ZINC000001718964;-5.470683;-5.3473783;-5.4414845;-5.265958;-4.929423
ZINC000141102868;-4.8881826;-4.7491646;-4.6781816;-4.9730735;-4.700966
ZINC000141102678;-4.6873007;-4.5345955;-4.7206297;-4.6333423;-4.432317
ZINC000005501497;-4.952318;-5.234849;-4.9745584;-5.1204944;-4.921059
ZINC000005538134;-4.5918984;-4.671192;-4.820082;-4.8838954;-4.3960147
ZINC000141315862;-4.3612084;-4.2391243;-4.142207;-4.142788;-4.202463
ZINC000005688686;-4.607809;-4.9302273;-4.473866;-5.0218654;-5.0325255
ZINC000005727772;-5.197187;-5.322754;-5.0154033;-5.253524;-5.2924595
ZINC000002577767;-5.4114103;-5.697425;-5.0280085;-5.016239;-4.9027605
ZINC000005887812;-5.2366323;-5.600358;-4.9870815;-5.0494814;-4.839076
ZINC000005909852;-4.542182;-4.4718175;-4.424544;-4.576803;-4.264549
ZINC000005909089;-4.3829465;-4.455043;-4.3951244;-4.4578233;-4.1366186
ZINC000039953765;-4.769841;-5.024217;-4.9307165;-4.8649507;-4.96085
ZINC000004543149;-3.9870234;-4.272234;-4.2972465;-4.284316;-4.188135
ZINC000022078334;-4.6221375;-4.849422;-4.330018;-4.1658535;-4.551778
ZINC000031636653;-4.642932;-4.983977;-5.0294976;-4.607219;-4.890555
ZINC000004775673;-5.369461;-5.505664;-5.0476513;-5.4348288;-5.257251
ZINC000004775672;-5.0143547;-5.3494263;-5.1480074;-5.2779837;-4.799204
ZINC000004775727;-4.4377503;-4.782447;-4.530745;-4.5849423;-4.4319897
ZINC000006374921;-5.2000785;-4.618948;-4.944368;-5.332807;-4.922922
ZINC000004995589;-5.618527;-5.8861666;-5.676284;-5.6146655;-5.5288615
ZINC000005112329;-4.605516;-4.933524;-4.7437267;-4.6984763;-4.62328
ZINC000004917713;-5.2315927;-4.982927;-5.0150003;-5.3501844;-4.713915
ZINC000005007449;-3.808054;-3.885875;-3.8361244;-3.7801385;-3.809657
ZINC000005119121;-4.6181936;-5.6977496;-4.909473;-5.050331;-4.7796307
ZINC000005119122;-4.6352944;-5.094044;-4.7045345;-4.717464;-4.686706
ZINC000005339197;-4.6092086;-4.620575;-4.9215026;-4.5398073;-4.729828
ZINC000005688692;-3.6994262;-3.6951518;-3.728319;-3.606772;-3.59711
ZINC000022049251;-5.1129007;-5.0987334;-5.120149;-5.029172;-4.9724226
ZINC000022049257;-4.9534936;-4.9888325;-4.9595156;-4.9695044;-4.931898
ZINC000042011946;-3.657688;-3.4219804;-3.5053399;-3.5881186;-3.3808825
ZINC000006582040;-5.6649723;-5.5971265;-5.698301;-5.44875;-5.4665112
ZINC000019400431;-5.658579;-5.6325502;-5.3160777;-5.556278;-5.5597997
ZINC000007538691;-5.5743036;-5.46057;-5.449927;-5.2871313;-5.006563
ZINC000007260942;-4.7791085;-4.5081344;-4.671392;-4.2565317;-4.2232594
ZINC000011565437;-5.5044665;-5.21655;-5.308047;-5.349097;-5.319861
ZINC000011535741;-4.8581953;-4.787878;-4.358933;-4.461426;-4.353542
ZINC000007261209;-4.41962;-4.2665567;-4.5772467;-4.176175;-4.13682
ZINC000001684533;-4.065782;-4.3646703;-4.321894;-4.08444;-3.6438136
ZINC000006412293;-4.342592;-4.21382;-4.0303497;-4.0299287;-3.8819406
ZINC000085396696;-4.6235733;-4.9515467;-4.870549;-4.501337;-4.5557895
ZINC000085396648;-4.7141767;-5.2114477;-4.870847;-4.601078;-4.7058115
ZINC000019875402;-4.977577;-5.0244493;-4.9274287;-4.763829;-4.6863317
ZINC000012495215;-5.592676;-5.2536583;-5.3052616;-5.4350147;-5.1316934
ZINC000012433176;-4.223448;-4.0501475;-4.456518;-4.216946;-4.2208347
ZINC000001685524;-4.3425093;-4.213818;-4.0303698;-4.0299244;-3.881945
ZINC000016082993;-5.5428777;-5.729839;-5.552967;-5.9013124;-5.777706
ZINC000016952694;-4.6255198;-4.778627;-4.8890643;-4.3912473;-4.6359596
ZINC000017013554;-5.2315927;-4.982927;-5.0150003;-5.3501844;-4.713915
ZINC000051074937;-4.458744;-4.578218;-4.2099423;-4.006444;-4.0965176
ZINC000051074939;-4.4587593;-4.5782266;-4.2098813;-4.006539;-4.0964513
ZINC000013015869;-3.524291;-3.347929;-3.8255155;-3.1519203;-3.6245887
ZINC000012173526;-5.3888135;-4.9278593;-5.065548;-5.119326;-4.973297
ZINC000003164422;-4.1038632;-3.9282987;-4.148052;-3.9390419;-3.9871168
ZINC000003176003;-4.171998;-4.2278137;-4.284329;-4.175639;-4.37989
ZINC000001744024;-3.5489626;-3.4618258;-3.5841513;-3.2009773;-3.2685037
ZINC000019405485;-5.651917;-5.6628165;-5.4894214;-5.499574;-5.368799
ZINC000013404936;-5.269259;-5.4664583;-5.1372676;-5.221498;-4.892212
ZINC000005368608;-4.6379642;-4.6589136;-4.5727277;-4.6141934;-4.50437
ZINC000031613426;-3.9301734;-3.97051;-3.9115002;-3.9314299;-3.7958636
ZINC000005551991;-4.609776;-4.712448;-4.6989884;-4.5845633;-4.9790173
ZINC000085399457;-5.285311;-5.5689874;-5.353504;-5.3160825;-5.2480884
ZINC000083825176;-5.2415667;-5.2747912;-5.1816516;-5.1183214;-4.8563666
ZINC000085399470;-5.4418263;-5.1030035;-4.80354;-5.044329;-4.99736
ZINC000083945085;-5.467783;-5.4932594;-5.2370744;-5.1224017;-4.878668
ZINC000085399481;-5.1922865;-5.1557674;-5.036427;-4.974765;-4.6392007
ZINC000085399451;-6.097804;-6.206366;-5.915274;-6.119616;-6.1297054
ZINC000083946680;-5.299899;-5.197927;-5.020489;-5.116768;-5.1093574
ZINC000038972950;-5.2126584;-5.386488;-4.902153;-5.085285;-5.0776305
ZINC000083945086;-5.546975;-5.789277;-5.336967;-5.468414;-5.377225
ZINC000083944724;-5.3472633;-4.5770164;-4.7402134;-4.809135;-4.8161197
ZINC000085399466;-6.894193;-6.851576;-6.2607956;-6.5592303;-6.5284553
ZINC000034621879;-5.301743;-5.4563866;-5.1948047;-5.189814;-5.061256
ZINC000038948843;-5.1173096;-5.1266346;-4.891825;-4.9224033;-4.8281517
ZINC000038972937;-5.5447254;-5.3742914;-5.024437;-5.005665;-4.937446
ZINC000083944812;-5.6850863;-5.4910545;-5.376276;-5.3616114;-5.1200213
ZINC000039147453;-5.577255;-5.7204185;-5.293478;-5.4464464;-5.252204
ZINC000083947012;-5.136666;-4.84575;-4.672367;-4.835302;-4.8691397
ZINC000085399462;-5.73944;-5.824592;-5.435341;-5.5830193;-5.515256
ZINC000083944996;-4.628744;-5.095952;-4.8004694;-5.11507;-4.6815605
ZINC000203820988;-5.41094;-5.3682537;-5.2996936;-5.213493;-5.200015
ZINC000203820967;-5.2882357;-5.1270328;-5.371945;-5.11867;-4.924448
ZINC000054822649;-5.9981365;-5.931371;-5.7326307;-5.5731;-5.5474916
ZINC000054822647;-6.0442324;-6.10871;-5.7851124;-5.5914984;-5.4228415
ZINC000015781538;-4.729339;-4.6854773;-4.559269;-4.544606;-4.2858152
ZINC000096509824;-5.7008276;-6.1939793;-5.8716545;-5.810546;-5.5567474
ZINC000016929861;-4.0344043;-4.4376607;-4.304023;-4.2743354;-4.3400283
ZINC000016957343;-4.5993085;-4.867591;-4.3198857;-4.614511;-4.3929124
ZINC000096509823;-6.1031537;-6.3801236;-6.6279583;-6.107522;-5.930418
ZINC000016957576;-5.013712;-4.6857033;-4.461379;-4.797415;-4.688012
ZINC000000287791;-5.2339807;-5.587034;-5.1430917;-5.2614903;-5.3433785
ZINC000017196982;-4.6320944;-4.847727;-4.4868402;-4.606368;-4.414589
ZINC000017210622;-5.0457683;-4.666497;-4.461479;-4.791658;-4.6951737
ZINC000017198628;-5.3878145;-5.3410325;-5.279477;-5.307428;-5.3087444
ZINC000017780515;-5.289186;-5.3529468;-5.0467777;-5.2731853;-5.287536
ZINC000018024759;-5.0811954;-5.1794386;-5.011505;-5.376673;-5.1113706
ZINC000018008725;-4.8795595;-5.173803;-4.8219137;-4.946285;-4.965799
ZINC000018024036;-4.2737966;-4.463387;-4.131068;-4.349787;-4.4826875
ZINC000018114195;-4.4367037;-4.2981596;-4.284512;-4.456232;-4.41223
ZINC000031719572;-4.9000397;-4.662327;-4.422807;-4.66295;-4.441236
ZINC000068604003;-4.629531;-5.17492;-4.845247;-4.728024;-4.608752
ZINC000261304310;-5.115899;-4.74481;-4.7979345;-4.769185;-5.1041784
ZINC000104210259;-4.446928;-4.1954656;-4.787939;-4.7836747;-4.261051
ZINC000001585053;-4.975202;-5.0489993;-4.705576;-4.9387984;-5.06363
ZINC000019257858;-4.1062903;-4.095357;-4.163777;-3.7841651;-3.7606018
ZINC000019257856;-3.9417014;-3.839268;-4.086375;-3.6159577;-3.5769336
ZINC000017122841;-4.3344903;-4.76457;-4.6540017;-4.892533;-4.3512464
ZINC000019278841;-4.2124147;-3.9222474;-3.976203;-4.2287173;-3.9991605
ZINC000019278839;-4.0928626;-3.9199224;-3.9786568;-4.1651583;-3.9125082
