name;01;02;03;04;05
ZINC000041923132;-4.5155077;-4.6449304;-4.804239;-4.5945582;-4.424788
ZINC000001685215;-3.4674551;-3.298825;-3.4679656;-3.4489703;-3.407526
ZINC000041923134;-4.5155883;-4.6449227;-4.8043485;-4.5947723;-4.424868
ZINC000001693142;-4.470768;-4.7434454;-4.5448046;-4.7058907;-4.7706175
ZINC000001706845;-3.777221;-3.9163606;-3.9719925;-3.9496405;-4.273587
ZINC000005352392;-5.1805897;-5.1517463;-4.811179;-4.6695414;-4.7288904
ZINC000140773012;-4.3978996;-4.7003536;-4.695587;-4.670492;-4.488408
ZINC000005360273;-4.5276337;-4.6270657;-4.4918323;-4.9937315;-4.4709005
ZINC000002017352;-4.5005383;-4.4089823;-4.5049715;-4.568345;-4.717714
ZINC000001997953;-5.222301;-5.3396454;-5.385872;-5.203949;-5.4168434
ZINC000005566939;-5.0470247;-4.950065;-5.1114597;-4.6036606;-5.716993
ZINC000002540227;-4.160922;-4.1192703;-4.0438786;-4.193718;-4.297546
ZINC000005761170;-5.2733765;-5.139296;-5.263548;-5.3883696;-5.2302365
ZINC000005761640;-5.236591;-4.9128795;-5.0379353;-5.081626;-5.0464377
ZINC000005766986;-4.721277;-5.08255;-4.960903;-4.894491;-4.945748
ZINC000005766939;-4.8401246;-4.9838567;-4.853089;-4.717504;-4.867812
ZINC000036644069;-4.934914;-4.6936126;-5.145313;-4.9156857;-5.072136
ZINC000039615316;-5.1312623;-5.2074547;-4.755289;-5.3959985;-4.8705935
ZINC000004244885;-5.084016;-5.1267633;-5.227301;-5.2518744;-4.881932
ZINC000006090444;-4.742084;-4.93535;-4.8398438;-4.924789;-4.9199505
ZINC000142700503;-5.3318453;-5.055849;-4.943296;-5.0666647;-5.070036
ZINC000006413393;-5.128969;-5.007379;-5.0920086;-4.961588;-5.2370386
ZINC000085393266;-4.735641;-4.75443;-4.621898;-4.808289;-4.6973643
ZINC000008730758;-5.096984;-5.2772665;-5.381552;-5.282744;-5.232442
ZINC000008730773;-4.78232;-4.8236666;-4.7932014;-4.959625;-4.7868013
ZINC000095732468;-5.2587514;-4.8912706;-4.740493;-4.857898;-4.821743
ZINC000037729609;-4.5363264;-4.6854777;-4.5229816;-4.6512275;-4.8252573
ZINC000143036643;-4.6380677;-4.743654;-4.618523;-4.778867;-4.8091707
ZINC000020440015;-5.134757;-5.2241964;-5.3512344;-5.410989;-5.3383656
ZINC000042227770;-5.2250805;-4.9309244;-4.8270655;-5.081873;-4.910215
ZINC000218310513;-5.78056;-5.2022896;-5.359097;-5.5042763;-5.1146545
ZINC000008300482;-5.036776;-5.195641;-5.178781;-5.2112703;-5.1186876
ZINC000036193813;-4.9511614;-4.785543;-4.7808843;-4.8762326;-4.9554615
ZINC000008618556;-5.178076;-5.094615;-4.907523;-5.1210713;-5.055652
ZINC000095730515;-4.3298187;-4.325856;-4.362214;-4.3428903;-4.4509883
ZINC000002512361;-4.563333;-4.5925174;-4.4449997;-4.743936;-4.6245103
ZINC000002385996;-4.6287436;-4.541157;-4.4637575;-4.6177173;-4.6790476
ZINC000031892986;-4.592163;-4.4922442;-4.71922;-4.5394554;-4.6374
ZINC000037235149;-4.301587;-4.157093;-4.3256903;-4.3355837;-4.312642
ZINC000095732484;-5.23529;-4.8491945;-5.0527887;-5.2287917;-5.1396213
ZINC000008702729;-5.178789;-5.468898;-5.14574;-5.161016;-5.3329244
ZINC000008702730;-5.581764;-5.5369596;-5.289607;-5.4307203;-5.332735
ZINC000008702717;-4.8840322;-5.10438;-5.006496;-5.2907186;-5.135985
ZINC000008702714;-4.9211993;-5.256003;-5.1717377;-5.067891;-5.0265803
ZINC000008702715;-4.7997837;-5.117233;-5.1672754;-5.047112;-5.0644774
ZINC000008702718;-5.0158544;-5.3099155;-5.3773394;-5.065532;-5.131878
ZINC000008702686;-4.979664;-5.199401;-4.93577;-5.2074995;-5.056734
ZINC000008702733;-5.1382756;-5.3595476;-5.133832;-5.256844;-5.460767
ZINC000008730609;-4.8517694;-5.0398297;-4.944264;-4.9995427;-5.041453
ZINC000006485125;-4.461582;-4.423983;-4.4335985;-4.3713226;-4.4534025
ZINC000008730571;-4.9334216;-5.206127;-5.102659;-5.114661;-4.969421
ZINC000008731362;-5.0063753;-4.6980095;-4.5634046;-4.909458;-4.891493
ZINC000008730605;-4.964408;-5.157506;-5.0316563;-4.9240327;-5.162109
ZINC000008730607;-5.1775537;-5.250007;-5.086443;-5.187185;-5.2329607
ZINC000008730585;-4.7757697;-5.1033063;-5.2835083;-5.098392;-5.1390634
ZINC000008730606;-5.277847;-5.25828;-5.0567355;-5.266008;-5.2268205
ZINC000008730608;-4.9841595;-5.0541806;-4.941875;-5.048691;-5.0777917
ZINC000006756614;-5.027729;-5.254823;-5.024151;-5.117752;-5.2392955
ZINC000083822694;-4.673465;-4.409952;-4.5780683;-4.762168;-4.8654995
ZINC000011628739;-4.827004;-4.6893783;-4.9736786;-5.010868;-4.8175716
ZINC000045237146;-4.949743;-4.9497356;-4.785798;-4.857495;-4.865752
ZINC000002243849;-4.478662;-4.685305;-4.54978;-4.503654;-4.4131722
ZINC000161200575;-4.6720634;-4.696796;-4.977342;-4.683946;-4.7925816
ZINC000011976749;-4.830365;-4.9693756;-4.8349986;-4.9632897;-4.910635
ZINC000011976736;-5.082989;-5.34387;-5.211433;-5.0542407;-5.052807
ZINC000011976445;-5.4056787;-5.64832;-5.3266897;-5.5428195;-5.4752936
ZINC000011976659;-4.822995;-4.9901958;-4.9312696;-4.910744;-4.9089174
ZINC000011976442;-5.448325;-5.516901;-5.2881246;-5.533818;-5.363443
ZINC000011976746;-4.8843865;-5.0587068;-5.072532;-5.042487;-4.911064
ZINC000011976662;-4.627493;-4.9408164;-4.7827253;-5.1273665;-5.0103846
ZINC000145584507;-4.295052;-4.2774677;-4.3683176;-4.334479;-4.307966
ZINC000078404916;-5.005488;-4.937335;-4.883955;-4.906627;-4.8009553
ZINC000020232609;-3.8500068;-3.7427406;-3.7248983;-3.7616305;-3.6572485
ZINC000033820244;-4.618874;-4.7718496;-4.5084314;-4.6719165;-4.5536547
ZINC000020259918;-4.9515853;-5.331568;-5.2655525;-5.16338;-5.197129
ZINC000020392092;-4.8252754;-5.048846;-4.969409;-5.0960765;-5.134391
ZINC000014001417;-5.2743344;-5.3595085;-5.332877;-5.1696987;-5.20918
ZINC000016638360;-4.327478;-4.521218;-4.3965597;-4.2790055;-4.144605
ZINC000026441714;-4.93275;-4.6515846;-4.958806;-4.756913;-4.9400897
ZINC000017147656;-4.940589;-5.0576787;-4.9421477;-4.8119617;-5.1294837
ZINC000071869472;-4.7931204;-5.007194;-4.8997197;-4.837694;-5.1256495
ZINC000017301896;-4.9076824;-4.6263742;-4.897744;-4.4748554;-4.7397246
ZINC000040071221;-4.8951597;-5.0161123;-4.966912;-4.7052307;-5.1998625
ZINC000030731335;-4.310406;-4.3354535;-4.42888;-4.407747;-4.342616
ZINC000005502675;-4.7847013;-4.950396;-4.8393173;-4.9206805;-4.887928
ZINC000001593844;-4.9371624;-5.038845;-5.030908;-4.9849334;-5.05415
ZINC000008702779;-5.0435324;-5.200425;-5.230443;-5.3053994;-5.5503325
ZINC000033820274;-4.3444457;-4.602916;-4.518677;-4.5030503;-4.447851
ZINC000034200223;-5.1832304;-5.4769664;-5.1681814;-5.361188;-5.220001
ZINC000034307600;-5.5494475;-5.354155;-5.516161;-5.5314302;-5.4460797
ZINC000148611949;-4.5235376;-4.624748;-4.522404;-4.444275;-4.7035527
ZINC000034615733;-4.758135;-5.2105107;-5.310489;-4.620633;-4.996722
ZINC000161200449;-4.7426925;-4.522411;-4.718963;-4.616005;-4.7031546
ZINC000263611683;-5.209067;-5.2686453;-5.199348;-5.375729;-5.374172
ZINC000005412851;-5.292505;-4.9984016;-5.0472;-5.33437;-5.3891644
ZINC000036533694;-4.212952;-4.0544634;-4.085637;-4.2285733;-4.2508354
ZINC000015022285;-4.898224;-5.2575417;-4.9726114;-5.1792603;-5.2528205
ZINC000008618580;-5.16526;-5.1139755;-4.9913507;-5.1814976;-5.3106856
ZINC000149100627;-4.8377643;-4.716711;-4.4765925;-4.667737;-4.8894124
ZINC000001719545;-4.9901705;-4.854096;-4.996351;-4.852499;-4.582155
ZINC000149286263;-4.942596;-5.1500616;-5.264719;-5.0953903;-5.214118
ZINC000002570845;-4.2648544;-4.388067;-4.440602;-4.4320736;-4.6590858
ZINC000005840786;-4.3327703;-4.5283766;-4.5019894;-4.455287;-4.461473
ZINC000003848131;-5.048934;-4.855587;-4.7296324;-4.9435062;-5.048801
ZINC000020133711;-4.752802;-4.9542637;-4.925608;-5.234836;-4.823713
ZINC000017355272;-5.2219424;-5.073063;-5.176134;-5.439325;-5.4220424
ZINC000020133723;-4.8694105;-5.0889874;-5.18097;-5.26661;-4.8579373
ZINC000004901041;-5.0333495;-5.2974825;-5.2026153;-5.3499007;-5.398862
ZINC000020222849;-5.082746;-5.3235273;-5.0031066;-5.125112;-5.4248915
ZINC000020232368;-4.3470993;-4.454836;-4.396202;-4.490406;-4.543721
ZINC000030731330;-4.4624705;-4.4570403;-4.3840055;-4.4823766;-4.537599
ZINC000020392019;-5.220529;-5.2921505;-5.3643622;-5.299115;-5.264885
