name;01;02;03;04;05
ZINC000001688683;-5.2762957;-5.474615;-5.3595495;-5.3237047;-5.424021
ZINC000001688697;-5.0555997;-5.241907;-5.0201635;-5.3326654;-5.191936
ZINC000001691224;-5.7231174;-5.644411;-5.5880833;-5.586308;-5.6287303
ZINC000001706148;-4.330233;-4.7576704;-4.4805913;-4.8586235;-5.124156
ZINC000001706149;-4.721591;-4.9060435;-4.6534343;-4.9652143;-4.88102
ZINC000001847588;-4.309077;-4.5636177;-4.4141097;-4.888524;-5.0532675
ZINC000001847552;-5.2806;-5.5033703;-5.0452585;-5.417818;-5.3418407
ZINC000001847554;-5.114638;-5.193682;-5.05492;-5.1825113;-5.1787305
ZINC000085210669;-6.193004;-6.026329;-5.919839;-5.9124336;-6.0491066
ZINC000002001154;-5.595955;-5.6534567;-5.4118233;-5.352709;-5.5145903
ZINC000002020609;-4.9269347;-5.5327005;-5.4788;-4.9287252;-5.4326253
ZINC000002244070;-4.9768243;-5.242503;-5.033961;-5.3674293;-5.220843
ZINC000004774648;-4.8668494;-5.046053;-4.7625475;-5.2636147;-5.2615385
ZINC000002244087;-4.8268075;-5.173792;-4.9213986;-5.230178;-5.139001
ZINC000005688603;-5.4871297;-5.5079923;-5.435989;-5.760938;-5.565783
ZINC000002565581;-4.741515;-4.857746;-4.7513137;-4.9936323;-4.9015317
ZINC000035367406;-5.729026;-5.576654;-5.4577312;-5.7653103;-5.754081
ZINC000004019959;-5.776762;-5.9362173;-5.4564996;-5.6896343;-5.745814
ZINC000142013369;-5.4778275;-5.6763496;-5.5846744;-5.505358;-5.347977
ZINC000003876062;-5.5320635;-5.818463;-5.611034;-5.5950227;-6.028649
ZINC000004110201;-5.317616;-5.652677;-5.22977;-5.745319;-5.6521873
ZINC000196598955;-5.6814656;-5.4909625;-5.436552;-5.640932;-5.6493573
ZINC000142400468;-5.32542;-5.357562;-5.189082;-5.4823594;-5.37453
ZINC000196875987;-5.233785;-5.1899357;-5.3936563;-5.3165226;-5.2730436
ZINC000004342893;-5.8744674;-5.63349;-5.79365;-6.0389905;-6.0476456
ZINC000004887441;-5.8047204;-5.501007;-5.721335;-5.6115904;-5.6713634
ZINC000005162090;-5.2868223;-5.4622927;-5.2939854;-5.69419;-5.60906
ZINC000005162170;-5.4722357;-5.5651345;-5.6033735;-5.6095247;-5.650354
ZINC000005224550;-5.58892;-5.5534906;-5.50889;-5.5331273;-5.697656
ZINC000006995780;-5.4002876;-5.1648836;-5.484486;-5.9223866;-5.3972816
ZINC000002584491;-5.322322;-5.237277;-5.0862637;-5.342045;-5.167741
ZINC000006731762;-5.113479;-5.5085683;-5.111135;-5.4221444;-5.478678
ZINC000001695861;-5.427262;-5.744898;-5.4613175;-5.587939;-5.504609
ZINC000005836686;-5.9933705;-5.644319;-5.540838;-5.8987913;-5.6789503
ZINC000008762653;-5.4709435;-5.77503;-5.4324203;-5.648512;-5.55045
ZINC000008698302;-4.1277647;-4.4174747;-4.4646163;-5.0151606;-5.029513
ZINC000261493568;-5.6479435;-5.156065;-5.2566414;-5.1936445;-5.155236
ZINC000014007802;-5.6859307;-5.7913227;-5.3429766;-5.9570274;-5.7340016
ZINC000014985810;-5.294876;-5.71863;-5.272111;-5.536872;-5.532642
ZINC000014985640;-5.58001;-5.6678805;-5.580804;-5.4210253;-5.7219195
ZINC000014983194;-5.4920664;-5.660205;-5.4489646;-5.682072;-5.6332474
ZINC000012394932;-5.8041463;-5.548721;-6.0643716;-5.608866;-5.630281
ZINC000012396770;-6.250619;-6.1073933;-5.490216;-5.6359186;-5.88268
ZINC000016159749;-5.1205745;-5.298441;-5.189288;-5.594616;-5.3327913
ZINC000016158176;-4.800262;-4.9874954;-4.77713;-5.1414742;-5.3298078
