name;01;02;03;04;05
ZINC000001715560;-5.6991477;-5.826249;-5.8518066;-6.038107;-5.863034
ZINC000005415140;-4.6297607;-4.872774;-4.985034;-5.199852;-5.2804575
ZINC000005523633;-4.654419;-4.447252;-4.372882;-4.5776424;-4.745947
ZINC000014982717;-5.56208;-5.3736258;-5.521433;-5.403275;-5.509036
ZINC000004403783;-4.9141107;-5.2743716;-5.1502905;-5.4607415;-5.3723817
ZINC000095738756;-4.4500494;-4.5425177;-4.646374;-4.439945;-4.5700064
ZINC000095738757;-4.197628;-4.3738966;-4.3653026;-4.220642;-4.184395
ZINC000095738754;-4.6422057;-4.6849813;-4.656176;-4.421405;-4.4076347
ZINC000005566768;-4.6674542;-4.935258;-5.2695327;-4.8630776;-5.3296747
ZINC000007023231;-5.1201415;-5.183388;-5.135068;-5.364164;-5.08898
ZINC000007023226;-5.12026;-5.142337;-4.8788447;-5.1427712;-5.155376
ZINC000095732650;-4.26509;-3.8583088;-4.12977;-4.0910783;-4.02722
ZINC000095732635;-4.351352;-4.2045836;-4.3217;-4.329242;-4.4599376
ZINC000095730545;-4.314561;-3.989624;-3.9816828;-4.1530695;-4.1634245
ZINC000095732530;-4.122684;-3.8568919;-3.9160252;-4.099726;-4.002338
ZINC000095730553;-3.9990304;-3.845227;-3.9643726;-3.8464026;-4.0161295
ZINC000039220717;-4.0078783;-3.986681;-4.044777;-4.014103;-4.0035567
ZINC000095732618;-4.3979125;-4.1153736;-4.178467;-4.0387487;-4.177866
ZINC000008731363;-5.0402036;-4.912294;-4.591688;-5.0066905;-4.9100647
ZINC000078274149;-4.307005;-4.0606127;-4.08702;-4.2427454;-4.1452694
ZINC000079757247;-4.3509293;-4.264774;-4.3811865;-4.3724556;-4.315742
ZINC000011628744;-5.3870506;-5.3147893;-5.427386;-5.419288;-5.2094746
ZINC000011628745;-5.4025993;-5.315134;-5.4060507;-5.445074;-5.213306
ZINC000041202695;-4.6144676;-4.654841;-4.880306;-4.9229503;-4.8880763
ZINC000011976732;-5.1554713;-5.113554;-5.287787;-5.148799;-5.300104
ZINC000002579158;-4.9925327;-5.0871;-5.2933884;-5.1759644;-5.093898
ZINC000012462690;-4.833355;-4.8650184;-4.86168;-4.8417516;-4.8048034
ZINC000146209432;-5.2013826;-5.3591166;-5.1322794;-5.387743;-5.27728
ZINC000014614420;-4.5085564;-4.4533067;-4.518544;-4.4989023;-4.5749035
ZINC000021982539;-4.738598;-4.740178;-4.71446;-4.688181;-4.799668
ZINC000022114822;-4.8431053;-4.7742734;-4.7703433;-4.774506;-4.811998
ZINC000072274727;-5.182763;-5.3789916;-5.2155037;-5.1866207;-5.566755
ZINC000017158210;-5.243227;-5.10936;-5.2586;-5.104101;-5.23462
ZINC000017146955;-4.833156;-4.9379687;-4.906146;-4.684057;-4.905795
ZINC000076581374;-5.424229;-5.6494284;-5.3807235;-5.193848;-5.507817
ZINC000148173583;-5.4177656;-5.621476;-5.406304;-5.2760053;-5.0470195
ZINC000148174187;-5.361771;-5.4984555;-5.2426853;-5.3697186;-4.9961863
