name;01;02;03;04;05
ZINC000019505207;-5.2982655;-5.27073;-5.087796;-5.244521;-5.166952
ZINC000037746241;-6.0047545;-6.0268416;-5.7699013;-5.7980638;-5.8901095
ZINC000019807382;-5.5821476;-5.7197647;-5.4562097;-5.636804;-5.3928337
ZINC000019427647;-5.4834046;-5.248888;-5.098666;-5.1307836;-4.9965677
ZINC000052898050;-5.536983;-5.3542743;-4.9661293;-4.97965;-5.1658363
ZINC000019807411;-5.578019;-5.931563;-5.5640078;-5.61687;-5.3480864
ZINC000019477896;-5.6822214;-5.322893;-5.2879357;-4.958015;-5.1069417
ZINC000019807419;-5.483233;-5.5667224;-5.307551;-5.1750035;-5.3379474
ZINC000019504443;-5.3794756;-5.2979403;-5.0908875;-5.12783;-5.300378
ZINC000019807429;-6.0690217;-6.098653;-5.817535;-6.0630426;-5.872453
ZINC000019807436;-5.868757;-5.9828763;-5.881375;-5.5707493;-5.691768
ZINC000019505081;-5.609089;-5.6204295;-5.340696;-5.604158;-5.322105
ZINC000005310159;-6.2376432;-5.913727;-5.863893;-5.927253;-5.7350335
ZINC000005309825;-6.2385907;-5.9149065;-5.8637843;-5.9278903;-5.7348166
ZINC000019807380;-5.7813163;-5.9558654;-5.62393;-5.6722345;-5.537143
ZINC000019807433;-5.9286547;-5.7315145;-6.1584034;-5.5368886;-5.4524612
ZINC000019807431;-5.669567;-5.7839847;-5.5153646;-5.5082674;-5.448042
ZINC000005440847;-5.3186417;-5.3564825;-5.220254;-4.9744225;-5.1401415
ZINC000019809460;-5.972914;-6.087692;-5.7889147;-6.034555;-5.875086
ZINC000034115959;-5.7305126;-5.38421;-5.465477;-5.4159546;-5.4227443
ZINC000005739598;-6.736547;-6.594116;-6.598755;-6.775934;-6.7247424
ZINC000005751953;-6.2837057;-6.5976696;-6.322834;-6.3937936;-6.3738737
ZINC000005753012;-6.329254;-6.1925635;-5.9703145;-6.188508;-6.0342393
ZINC000005751986;-6.8236856;-6.676505;-6.888768;-7.02222;-6.879772
ZINC000002582660;-5.9774265;-6.270281;-5.9462223;-6.142138;-6.3943586
ZINC000005907920;-6.06876;-6.1966248;-5.5501213;-5.933477;-5.866785
ZINC000003734919;-6.014614;-6.35262;-6.037554;-6.256028;-6.3804936
ZINC000005973592;-5.5302587;-5.494174;-5.3337073;-5.5554767;-5.5025253
ZINC000006245754;-5.1081524;-5.196317;-5.045513;-4.815772;-4.915192
ZINC000006359150;-5.133281;-4.9169087;-4.973851;-4.882893;-5.0494623
ZINC000004977753;-5.444351;-5.6872396;-5.4118586;-5.2248774;-5.4449024
ZINC000004990143;-5.310601;-5.6565266;-5.6454315;-5.3417993;-5.5388594
ZINC000008377392;-6.3033504;-6.608114;-6.2127037;-6.345466;-6.536958
ZINC000005217546;-4.6666956;-4.5878763;-4.4028335;-4.6679287;-4.6504865
ZINC000005308567;-6.2242336;-5.964695;-5.752694;-5.9100866;-5.9156427
ZINC000006883985;-6.6871357;-6.5084963;-6.176423;-6.146001;-6.410565
ZINC000007261605;-6.523828;-6.0947046;-5.745463;-6.259912;-5.9864125
ZINC000007261391;-6.0012817;-5.742757;-5.930928;-5.63687;-5.990018
ZINC000007261302;-6.0080576;-6.012774;-5.594883;-5.5745935;-5.916422
ZINC000007262374;-5.838036;-6.219018;-5.61513;-5.776827;-5.6294765
ZINC000007261374;-5.994174;-5.8381743;-6.149797;-5.8557544;-5.990573
ZINC000007261375;-6.0880384;-5.608389;-6.14709;-5.663672;-5.8589854
ZINC000007261392;-5.889386;-5.6532135;-5.981878;-5.6938224;-5.905507
ZINC000007261372;-5.889476;-5.653219;-5.9820447;-5.693868;-5.9055552
ZINC000007261351;-5.6805067;-5.651916;-5.277733;-5.4594126;-5.6692915
ZINC000038051775;-6.764967;-6.7545476;-6.6034484;-6.759885;-6.906102
ZINC000087690099;-5.9952793;-5.818772;-5.787469;-5.39367;-5.2067623
ZINC000008337997;-5.9858255;-6.066929;-5.5722933;-5.8541327;-5.847304
ZINC000008326788;-5.8663597;-5.768459;-5.502589;-5.67992;-5.78109
ZINC000008337992;-5.9859385;-6.066812;-5.573697;-5.854259;-5.847481
ZINC000008337945;-5.647405;-5.7986956;-5.783683;-5.780044;-5.8685036
ZINC000008326603;-6.394274;-6.3453245;-6.0158663;-6.2115426;-6.120823
ZINC000008326762;-6.4483676;-6.137103;-5.7555633;-5.984172;-6.2323074
ZINC000005997593;-6.1388154;-6.4747167;-5.863695;-5.954991;-5.988342
ZINC000012359699;-6.3675013;-5.957934;-5.6633167;-6.1273513;-5.759529
ZINC000019427645;-5.4214573;-5.2592564;-5.1090574;-5.1076803;-4.9579225
ZINC000010474016;-6.252576;-6.110544;-5.7388077;-5.8255787;-5.9817505
ZINC000010474019;-6.2529387;-6.109049;-5.740105;-5.8212905;-5.98029
ZINC000003734444;-6.021591;-6.3778086;-6.3845606;-6.3262053;-6.218257
ZINC000039932626;-5.2773466;-5.0610466;-5.283661;-5.358034;-5.2746124
ZINC000002577404;-6.0211;-6.3790655;-6.385206;-6.326975;-6.2175264
ZINC000002577406;-5.9584894;-6.3678126;-6.284489;-6.2712317;-6.260117
ZINC000003734445;-6.3427734;-6.567865;-6.7207584;-6.508727;-6.652897
ZINC000011884028;-5.9719014;-6.2602706;-6.278961;-5.8530545;-5.846063
ZINC000011884427;-6.2985415;-6.408692;-6.524725;-6.1226873;-6.209151
ZINC000012284802;-5.261825;-6.1359487;-5.792628;-5.6390452;-5.7114205
ZINC000002577405;-6.343547;-6.574038;-6.7191963;-6.510973;-6.653116
ZINC000004234866;-5.9504013;-6.3290644;-6.3227906;-6.274104;-6.252903
ZINC000020139564;-5.7176456;-6.0020666;-5.8172493;-5.578401;-5.670181
ZINC000016362684;-6.071552;-6.3002043;-5.810878;-6.2113047;-6.2020035
ZINC000072266609;-6.160639;-6.1893954;-6.2385435;-6.0262804;-5.7995
ZINC000019093391;-6.20033;-6.0524054;-6.0600686;-6.203105;-6.1414843
ZINC000125464806;-5.7352133;-6.231429;-5.4078403;-5.7130337;-5.589317
ZINC000019093393;-6.4133406;-6.262253;-6.0204725;-6.0632873;-6.0625954
ZINC000021960464;-6.2580757;-6.5138426;-6.5474243;-6.092849;-6.2525654
ZINC000002508328;-6.4024405;-6.3884087;-5.925346;-6.024396;-6.0981064
ZINC000125466063;-6.1057434;-6.2828584;-5.811906;-6.0311346;-6.0422325
ZINC000072266610;-6.227366;-6.0168395;-5.900174;-6.03874;-5.759799
ZINC000019091329;-6.5962973;-6.6071277;-5.930207;-6.304565;-6.087899
ZINC000022141185;-6.20744;-6.654497;-6.1608543;-6.2040224;-6.3958
ZINC000019949471;-6.283069;-6.239955;-5.579742;-5.8011065;-5.480114
ZINC000011757532;-6.320179;-5.832381;-5.811033;-6.0438423;-5.8723664
ZINC000019880768;-5.8011794;-5.8979335;-5.57467;-5.561264;-5.569303
ZINC000013718404;-5.9938884;-6.036269;-6.3324413;-5.627223;-5.811975
ZINC000019883150;-6.3237915;-5.828349;-5.7468433;-5.8972793;-5.9588504
ZINC000013717808;-5.3970413;-5.7862678;-5.970838;-5.6077833;-5.766778
ZINC000019880765;-5.8372307;-5.923752;-5.5432787;-5.6315007;-5.410493
ZINC000019883149;-5.9331303;-5.8599606;-5.88387;-5.9729233;-5.7450013
ZINC000013717807;-6.103447;-6.1281395;-5.708139;-5.8056784;-5.8970337
ZINC000013717866;-5.107972;-5.366037;-5.699214;-5.571354;-5.309213
ZINC000013718578;-6.1833777;-6.1566195;-6.0608206;-6.211984;-5.9278936
ZINC000019968912;-5.2427893;-5.2788854;-5.172922;-5.273426;-5.037469
ZINC000035117221;-5.6632113;-5.6658216;-5.3724623;-5.86256;-5.757252
ZINC000020305366;-6.0406427;-6.0890894;-5.8421755;-5.6929727;-6.0177546
ZINC000020305365;-5.935309;-6.0220165;-5.7671704;-5.445412;-5.714616
ZINC000038078586;-5.764717;-5.920864;-5.6622076;-5.6178784;-5.5911226
ZINC000035464149;-5.576792;-5.792197;-5.4424734;-5.7313523;-5.6401806
ZINC000146439165;-5.3704753;-5.0757937;-4.937014;-5.006718;-5.1490293
ZINC000035014554;-6.523492;-6.790609;-6.8828554;-6.676827;-6.6630054
ZINC000035014550;-6.356992;-6.668732;-6.590222;-6.8017735;-6.639969
ZINC000024718443;-3.977993;-4.231887;-4.435343;-4.68283;-4.522111
ZINC000019506065;-5.9310436;-5.506486;-5.3366485;-5.4846897;-5.4739037
ZINC000026516136;-5.8711824;-5.8566947;-5.278107;-5.392497;-5.5171127
ZINC000017287562;-6.0035586;-6.0651603;-5.840408;-5.800164;-5.8577414
ZINC000019421303;-5.9878926;-5.997022;-5.7221966;-5.8480773;-5.7746267
ZINC000072266608;-6.155827;-6.185369;-6.2347465;-6.0235453;-5.80346
ZINC000082562570;-5.123802;-4.8648505;-4.8645372;-4.6848745;-4.492767
ZINC000019091351;-5.5323324;-5.7406716;-5.4266243;-5.887945;-5.197908
ZINC000072266607;-6.2344337;-6.0063853;-5.9423294;-6.033181;-5.7952275
ZINC000082562571;-5.005693;-4.982271;-4.587309;-4.812552;-4.3036814
ZINC000082562568;-5.0421333;-4.9935694;-4.6009607;-4.857254;-4.334912
ZINC000019093846;-5.7909675;-5.5861545;-5.422721;-5.3400106;-5.3196955
ZINC000019093844;-5.856443;-6.4657454;-6.4432445;-6.5201135;-6.325598
ZINC000019093842;-5.640508;-5.714089;-5.6890497;-5.930084;-5.5935993
ZINC000082562569;-5.148811;-4.812492;-4.801652;-4.6197157;-4.4342937
ZINC000019093838;-5.6848383;-5.645493;-5.978863;-5.816373;-5.825834
ZINC000019093832;-6.0587363;-6.1945596;-6.230451;-6.687005;-6.405066
ZINC000021960469;-6.289239;-6.492728;-6.5219936;-6.0887313;-6.31065
ZINC000019259110;-6.0658317;-6.222966;-5.921107;-6.050686;-5.852402
ZINC000002508327;-6.3374715;-6.408472;-5.9237823;-6.0381336;-6.1085963
ZINC000019267374;-5.7276177;-6.1842747;-5.851448;-5.742445;-5.639212
ZINC000019261347;-5.537849;-5.9304013;-5.363921;-5.6219306;-5.2789
ZINC000019267372;-5.8292546;-6.2037115;-6.0829253;-5.667477;-5.6091666
ZINC000022141188;-6.202999;-6.6527343;-6.163096;-6.204117;-6.396931
ZINC000019398125;-5.4043984;-5.1870646;-5.0835114;-5.1769867;-4.864482
ZINC000019389258;-5.8627667;-6.242909;-6.031278;-5.683998;-5.499987
ZINC000011757533;-6.139081;-5.9932766;-5.7343907;-6.0386896;-5.918168
ZINC000019389261;-5.8516965;-6.216501;-5.7953854;-5.732723;-5.4202976
ZINC000004955771;-5.820194;-5.558229;-5.395024;-5.4223814;-5.1756053
ZINC000019414272;-6.632212;-6.551258;-6.3166246;-6.585361;-6.366206
ZINC000019414224;-5.8525004;-5.624934;-5.976144;-5.7546206;-5.6450834
ZINC000019414274;-6.5806184;-6.588873;-6.3312845;-6.5901423;-6.3684716
ZINC000019414222;-6.205968;-5.636467;-5.8672214;-5.826132;-5.6418314
ZINC000019421138;-5.9188766;-6.0384045;-5.886146;-5.835236;-5.752179
ZINC000019421140;-6.3513384;-6.054377;-6.210597;-5.951075;-5.898168
ZINC000035014552;-6.471937;-6.787902;-6.892642;-6.6947803;-6.62984
ZINC000035464146;-5.7768273;-5.7783833;-5.509817;-5.905618;-5.5515003
ZINC000035117223;-5.804394;-6.009693;-5.9635134;-5.8383613;-5.7972264
ZINC000038078585;-5.7881904;-5.8194466;-5.5576925;-5.649448;-5.50503
ZINC000019504442;-5.377522;-5.301015;-5.09307;-5.1323256;-5.303078
ZINC000019505080;-5.75684;-5.6748934;-5.3492074;-5.4595165;-5.3962836
ZINC000035014556;-6.3569546;-6.6686254;-6.5902205;-6.801737;-6.639878
ZINC000019673385;-5.7774;-6.232548;-6.0855584;-5.625992;-5.8692317
ZINC000019726141;-6.151272;-6.0070715;-6.411959;-6.174226;-5.8805084
ZINC000019726142;-6.1835814;-5.98447;-6.4561744;-6.097512;-5.8874435
