name;01;02;03;04;05
ZINC000005284831;-4.9687614;-4.9491515;-4.875986;-4.953826;-4.9049044
ZINC000001686402;-5.160585;-5.3681397;-5.415464;-5.511166;-5.204541
ZINC000005284989;-4.8929625;-5.171197;-4.9601383;-4.837693;-4.8478103
ZINC000001693270;-3.964215;-3.7449727;-3.8351026;-3.7379386;-3.8896663
ZINC000001690979;-3.0759025;-3.0370703;-3.1196733;-2.957805;-3.1290555
ZINC000005337290;-4.705234;-4.722403;-4.493142;-4.6491194;-4.549441
ZINC000001718165;-4.5555964;-4.657297;-4.4756904;-4.4828005;-4.4922395
ZINC000001718619;-5.8317537;-5.6445475;-5.84018;-5.66751;-5.8501625
ZINC000001744968;-5.3604417;-5.537423;-5.4077563;-5.3401365;-5.641926
ZINC000001850492;-4.7696323;-4.621286;-4.602206;-4.616357;-4.352004
ZINC000001841277;-3.37131;-3.2147264;-3.3123856;-3.3166924;-3.0869756
ZINC000001841276;-3.4363775;-3.2304826;-3.3818436;-3.250413;-3.1921906
ZINC000002023235;-4.3217716;-4.170643;-4.3390484;-4.264091;-4.13317
ZINC000002031407;-4.23798;-4.0576844;-4.257273;-4.1556535;-4.199466
ZINC000002040169;-4.190726;-4.0586224;-4.127476;-4.030059;-4.2068996
ZINC000002163469;-4.725426;-4.9056907;-4.83069;-4.800968;-4.5205417
ZINC000002162323;-4.785331;-4.9895782;-4.681;-4.8893776;-4.9540596
ZINC000002168243;-4.233668;-3.9981313;-4.187952;-4.2783785;-4.0786047
ZINC000002514094;-5.451311;-5.3262644;-5.475934;-5.275973;-5.3676763
ZINC000036954563;-4.705616;-4.822823;-4.7369394;-4.7489433;-4.7427835
ZINC000002527801;-4.654649;-4.604329;-4.3775063;-4.4663067;-4.6603723
ZINC000005762318;-5.3241396;-5.16847;-5.212329;-5.2512746;-5.237057
ZINC000005762338;-5.2702136;-5.1142406;-5.34209;-5.5020604;-5.23118
ZINC000002571855;-5.0568123;-5.046567;-4.8877583;-4.960365;-4.973625
ZINC000003164876;-5.6503773;-5.403076;-5.584283;-5.3156624;-5.48155
ZINC000005820406;-4.0279207;-3.8675382;-3.920625;-3.9818196;-3.9631252
ZINC000067802839;-4.3757744;-4.437236;-4.284135;-4.4109235;-4.5220757
ZINC000003860898;-5.5690575;-5.713082;-5.436025;-5.4894423;-5.5488586
ZINC000004280963;-5.638106;-5.85158;-5.6488266;-5.6779585;-5.7323365
ZINC000004299210;-5.3458776;-5.4147744;-5.2711754;-5.2819967;-5.497482
ZINC000004467398;-4.4315434;-4.766661;-4.603719;-4.7201233;-5.210189
ZINC000004342428;-5.945733;-5.996706;-5.7635026;-5.8350973;-5.9712954
ZINC000004798279;-5.4030666;-5.438972;-5.5599227;-5.55344;-5.584613
ZINC000006396524;-4.8691473;-4.7371306;-5.033048;-4.8574123;-5.1028457
ZINC000003091468;-4.0394435;-4.2844753;-4.5383205;-4.049859;-4.113615
ZINC000002031157;-3.5055597;-3.335741;-3.488373;-3.3310816;-3.3506067
ZINC000040448401;-4.377747;-4.262011;-4.340825;-4.026431;-4.138865
ZINC000005515464;-5.654654;-5.734118;-5.6999693;-5.760557;-5.893199
ZINC000008221195;-4.9386635;-4.794026;-4.8243704;-4.708073;-4.8089786
ZINC000036198484;-4.695189;-4.486064;-4.5814834;-4.5577297;-4.6086154
ZINC000005761883;-4.4809656;-4.13415;-4.2294297;-4.1573358;-4.145541
ZINC000008550406;-4.9532743;-4.8407946;-5.2679677;-4.9222345;-4.7738113
ZINC000005934590;-5.758512;-5.688477;-5.4846506;-5.567452;-5.7152333
ZINC000012358644;-3.5498304;-3.284172;-3.4122303;-3.1915104;-3.236842
ZINC000012370408;-5.419172;-5.6248116;-5.5890226;-5.60833;-5.6868844
ZINC000012375958;-5.641275;-5.5437713;-5.6680136;-5.5829372;-5.6703653
ZINC000012375959;-5.5011964;-5.530987;-5.6475782;-5.5646524;-5.6239405
ZINC000002566249;-4.9107475;-4.7732787;-4.8342648;-4.629875;-4.7483444
ZINC000012583035;-4.26135;-4.288632;-4.29912;-4.2657194;-4.271585
ZINC000012579001;-4.4259233;-4.5537114;-4.561741;-4.4852734;-4.583362
ZINC000041634744;-4.2900286;-4.3383265;-4.2408175;-4.2282844;-4.3544865
ZINC000016892320;-4.418676;-4.351283;-4.2939143;-4.357304;-4.4211326
ZINC000017146036;-5.40916;-5.312404;-5.473337;-5.3626366;-5.4021378
ZINC000017210574;-4.604562;-4.930005;-4.773213;-4.64577;-4.596419
ZINC000017004078;-4.759804;-4.7559686;-4.642831;-4.7356563;-4.924428
ZINC000017322474;-5.327716;-5.4705014;-5.332503;-5.461351;-5.2534285
ZINC000019870138;-4.742018;-4.810008;-4.5754786;-4.547515;-4.6412883
ZINC000019922398;-5.427159;-5.4693594;-5.4952364;-5.449035;-5.699102
ZINC000020476558;-4.707672;-4.909637;-4.98015;-5.0736213;-5.120838
ZINC000002011653;-5.4883857;-5.1961575;-5.0939255;-5.1277366;-5.1769257
ZINC000002555807;-4.6614075;-4.275183;-4.4227552;-4.4814396;-4.334115
ZINC000002555806;-4.7985845;-4.576236;-4.723107;-4.684581;-4.435788
ZINC000002555798;-4.6661706;-4.84879;-4.7427187;-4.6547112;-4.6515794
ZINC000002513051;-5.3308654;-5.4934726;-5.4753857;-5.2206187;-5.219283
