name;01;02;03;04;05
ZINC000001678364;-5.553286;-5.746812;-5.7924604;-5.6077666;-5.779617
ZINC000001713852;-4.728079;-4.955128;-5.0872555;-5.073898;-4.983902
ZINC000002572827;-5.255037;-4.8532553;-4.9917564;-4.964901;-5.04133
ZINC000003847504;-4.760623;-4.761654;-4.936692;-4.988949;-5.1199226
ZINC000016947492;-5.099255;-5.000512;-4.9110327;-5.073344;-5.1522636
ZINC000000968249;-5.257699;-5.2152987;-4.988697;-5.1762815;-5.3269095
ZINC000075841574;-5.397974;-5.746591;-5.5114594;-5.701003;-5.9285655
ZINC000001575722;-5.0127587;-5.272852;-5.0108137;-5.0459948;-5.2282877
ZINC000001672038;-5.5100613;-5.6106396;-5.6709657;-5.6716356;-5.7401175
ZINC000000406200;-5.160892;-5.058923;-4.924881;-5.022335;-5.054725
ZINC000071766911;-5.2431154;-5.3727884;-5.454944;-5.295923;-5.411913
ZINC000002038950;-5.0724974;-5.2649884;-5.0360794;-5.117856;-5.2831707
ZINC000001694409;-5.204689;-5.195176;-5.013152;-5.2003646;-5.2664323
ZINC000001512320;-5.0811486;-5.2996554;-5.003524;-5.1359234;-5.2774463
ZINC000002038946;-5.5158777;-5.510556;-5.371459;-5.5189924;-5.5902033
ZINC000003140987;-5.5980835;-5.5250134;-5.6614356;-5.409414;-5.4099107
ZINC000146510348;-5.657391;-6.1450205;-5.95989;-6.009566;-6.034666
ZINC000001000252;-5.4596233;-5.230771;-5.519159;-5.3430796;-5.425252
ZINC000019231862;-5.013182;-5.151656;-5.509441;-5.325828;-5.4329596
ZINC000008383851;-5.5388594;-5.6938143;-5.5114655;-5.6209106;-5.548326
ZINC000067734066;-4.9329443;-4.738318;-4.8197794;-4.8268223;-4.7901983
ZINC000169829299;-3.7873511;-4.456464;-3.9545481;-3.2302804;-4.1604266
ZINC000019772328;-4.6167955;-5.031598;-5.3673234;-5.1858454;-5.3071065
ZINC000019900897;-5.319181;-5.412322;-5.481208;-5.3278327;-5.791058
ZINC000019907301;-4.9840455;-5.3766394;-5.340901;-5.1514945;-5.204837
ZINC000095611764;-4.46911;-4.3435483;-4.175703;-4.204146;-4.1578803
ZINC000001715802;-5.5917625;-5.6101294;-5.565013;-5.5903225;-5.7957497
ZINC000019865569;-4.925963;-5.237501;-5.5397305;-5.2440386;-5.1495204
ZINC000049538675;-5.2203503;-5.1993628;-5.3208685;-5.5145082;-5.2386446
ZINC000038141450;-4.871455;-4.6084757;-4.5687823;-5.052106;-5.271022
ZINC000071786545;-5.259558;-5.7110863;-5.760237;-5.7557178;-5.8115706
ZINC000049952250;-5.694577;-6.1014986;-5.678357;-5.7762113;-5.727261
ZINC000049942695;-6.417146;-6.188961;-6.367094;-6.1995077;-6.1625667
ZINC000049942696;-6.41724;-6.190467;-6.367736;-6.200994;-6.1624517
ZINC000049952249;-5.5877905;-6.0933223;-5.756608;-5.738785;-5.674291
ZINC000002140838;-5.6828165;-6.150578;-5.6935887;-5.142697;-5.641829
ZINC000049942694;-6.3621783;-6.184551;-6.3132696;-6.176656;-6.179283
ZINC000003075455;-5.755804;-5.716236;-6.0569725;-5.6901064;-5.824587
ZINC000022007829;-5.3108964;-5.6263666;-5.572365;-5.529588;-5.61476
ZINC000057988192;-4.6659184;-4.6389494;-4.4259133;-4.716589;-4.8572855
ZINC000003075456;-5.6146884;-5.770017;-5.98687;-5.7227335;-5.807662
ZINC000049952230;-4.7388625;-4.973094;-4.7931166;-4.7481623;-5.208026
ZINC000059848459;-5.3960724;-4.7922664;-5.235978;-5.074288;-4.9750004
ZINC000049538674;-5.0820537;-4.860396;-5.1328497;-5.174535;-4.8464427
ZINC000002162351;-5.148784;-5.4405117;-5.3155193;-5.651757;-5.5378323
ZINC000002040664;-5.754025;-5.826316;-6.2635136;-6.103746;-5.987978
ZINC000001689826;-5.532283;-5.9326687;-5.812981;-5.851319;-5.997397
ZINC000071787049;-4.8796043;-4.8360143;-5.5305033;-5.0951853;-4.988632
ZINC000105126158;-5.6332283;-5.8687935;-5.8828745;-6.0760846;-6.162911
ZINC000105126162;-5.5314093;-5.774944;-5.92415;-5.9986763;-6.1015058
ZINC000071785250;-6.111022;-6.090512;-6.1756883;-6.1880703;-6.4757123
ZINC000113320641;-5.9369574;-6.2278695;-6.073256;-5.9346647;-6.159632
ZINC000001701495;-5.6814218;-5.994376;-5.8821087;-6.0545025;-6.248174
ZINC000071785249;-6.111058;-6.0904546;-6.1755342;-6.1880846;-6.475715
ZINC000071788884;-6.01016;-6.0391693;-6.063044;-6.251783;-6.316278
ZINC000071775085;-5.7640395;-5.9954047;-6.0453877;-5.8317184;-6.072615
ZINC000071785251;-6.1855383;-6.492326;-6.1828237;-6.1362057;-6.4254093
ZINC000253495711;-5.9131103;-5.956691;-6.180579;-5.8592362;-6.2615376
ZINC000002145696;-5.6107874;-5.4793496;-5.4088664;-5.5902133;-5.6895237
ZINC000003107405;-5.792945;-5.7944484;-5.870913;-5.920385;-5.994264
ZINC000071782840;-4.293103;-4.8779993;-4.87619;-4.583237;-4.2525625
ZINC000095611758;-4.8231597;-4.658456;-4.707787;-4.600222;-5.0980897
ZINC000095611657;-5.071904;-5.203917;-4.8499374;-5.0372744;-5.0487175
ZINC000095611656;-5.277609;-5.4563465;-5.294345;-5.3973665;-5.0423656
ZINC000095611749;-5.7445426;-5.585536;-5.6124296;-5.594158;-5.552677
ZINC000095611662;-5.049957;-5.1248302;-4.829775;-5.0032725;-4.9744916
ZINC000095611760;-5.2069664;-5.2765093;-5.08912;-5.157554;-5.1439314
ZINC000002600051;-4.5351934;-4.9650946;-4.8198557;-4.5665226;-4.641587
ZINC000002168203;-5.341894;-5.3722444;-5.571926;-5.39199;-5.448105
ZINC000002173547;-5.641496;-5.458004;-5.507616;-5.5655637;-5.490891
ZINC000169827504;-4.4515824;-4.693732;-4.471572;-4.0971794;-4.0480747
ZINC000196043513;-4.751854;-4.0162306;-4.291441;-3.3488772;-4.28695
ZINC000039222891;-5.0142794;-5.048748;-4.8510246;-4.8614235;-4.982165
ZINC000001605993;-5.392246;-5.5665874;-5.5614843;-5.362836;-5.5436063
ZINC000001599359;-5.2217155;-5.112232;-5.2460628;-5.2281485;-5.205551
ZINC000001706898;-5.217163;-5.0308814;-5.205111;-5.295564;-5.1554904
ZINC000002042359;-5.1978765;-5.115914;-5.2500024;-5.351033;-5.165111
ZINC000044069371;-5.617382;-5.590649;-5.296758;-5.5040755;-5.696676
ZINC000049952240;-5.0417604;-5.330625;-5.155479;-5.079482;-5.2971067
ZINC000049952236;-4.1528225;-4.650051;-4.4998245;-4.2766466;-4.412426
ZINC000001044398;-5.31573;-5.3091445;-5.220359;-5.243063;-5.42473
ZINC000001506386;-5.6188927;-5.5179367;-5.478134;-5.579773;-5.793053
ZINC000001482032;-5.099228;-5.0993958;-5.0646935;-5.2195034;-5.3589396
ZINC000039075050;-5.2623215;-5.168759;-5.0639057;-5.323842;-5.2025313
ZINC000002019583;-5.191075;-5.4931827;-5.5001287;-5.4152217;-5.478312
ZINC000143945814;-5.048753;-5.0533056;-4.9963675;-5.0568614;-5.105016
ZINC000003123019;-5.8721766;-5.902299;-5.90198;-5.7914634;-5.7967286
ZINC000005161344;-5.4337845;-5.5213027;-5.3799086;-5.5272365;-5.6565485
ZINC000059340493;-5.910636;-5.8786798;-5.911033;-5.9779944;-5.9966583
ZINC000002568341;-5.4146194;-5.24253;-5.509509;-5.387833;-5.019959
ZINC000068571777;-5.0023212;-4.4621367;-4.713845;-4.4914365;-3.8582363
ZINC000057988318;-5.4102035;-5.238968;-5.506402;-5.3839703;-5.019683
ZINC000669380785;-5.483322;-5.3266544;-5.3220143;-5.4241047;-5.3837166
ZINC000006119218;-4.7765007;-4.7056074;-4.586202;-4.779154;-5.032538
ZINC000196430207;-5.145326;-5.1161046;-5.5341477;-5.5068865;-5.423724
ZINC000039250318;-5.558167;-5.396242;-5.440657;-5.34651;-5.516274
ZINC000000968669;-4.9377084;-5.263681;-5.3970428;-5.15942;-5.166749
ZINC000001764611;-5.04113;-5.060024;-5.21395;-5.023917;-5.216964
ZINC000019231861;-5.018318;-5.1527224;-5.50827;-5.324974;-5.430124
ZINC000019735549;-5.046475;-4.7823668;-4.6145754;-4.762517;-5.056381
ZINC000019772327;-4.622782;-5.031021;-5.3686485;-5.1877747;-5.305515
ZINC000019900896;-5.3209295;-5.410535;-5.484681;-5.326526;-5.788476
ZINC000063767559;-5.353535;-5.573595;-5.1150675;-5.1735263;-5.702633
ZINC000066323194;-4.970625;-5.0622954;-4.899767;-4.761012;-4.5836997
ZINC000066377805;-5.6869497;-5.7025304;-5.5201306;-5.684066;-5.827711
ZINC000068568425;-5.615249;-5.5987597;-5.6379027;-5.164778;-5.735971
ZINC000003881381;-5.783551;-5.901067;-6.0534525;-5.70607;-5.641969
ZINC000071775457;-5.063727;-5.3468604;-5.482933;-5.0852036;-5.0929875
ZINC000002162310;-5.1954703;-5.348769;-5.096565;-5.0768228;-5.2286854
ZINC000000480725;-5.1295557;-5.052961;-5.153468;-4.951872;-5.2033377
ZINC000004023519;-5.282407;-5.1657157;-4.9036703;-4.956418;-5.4049554
ZINC000032135224;-5.52709;-5.6299806;-5.5820947;-5.51735;-5.27274
ZINC000038251613;-5.0590334;-5.1271744;-5.142971;-4.965085;-5.225217
ZINC000019907300;-4.827671;-5.3978624;-5.327378;-5.122018;-5.2346783
ZINC000071241979;-4.950323;-5.194458;-5.1372547;-5.1645775;-5.356246
ZINC000071773693;-4.7091136;-4.8228207;-4.7793884;-4.700019;-4.561124
ZINC000071785749;-4.949706;-4.907527;-5.284853;-5.261047;-5.2007613
ZINC000071785752;-5.0529566;-4.872093;-5.26553;-4.91372;-5.423313
ZINC000071785756;-4.836109;-5.1509504;-5.107592;-5.3426633;-5.1528287
ZINC000075841576;-5.843154;-5.652935;-5.882539;-5.6632147;-5.8801885
ZINC000077011962;-4.7085924;-4.566346;-4.789874;-4.634465;-4.7557716
ZINC000002162305;-5.022537;-5.3306756;-4.990579;-5.0549507;-5.110445
ZINC000082171881;-5.5327125;-5.6427674;-5.5589905;-5.4549828;-5.610272
ZINC000001825278;-5.541533;-5.5742273;-5.6834784;-5.926015;-5.8238277
ZINC000071775456;-5.0617123;-5.347471;-5.479826;-5.081615;-5.0873685
ZINC000002162307;-5.0224247;-5.33047;-4.990471;-5.054938;-5.110379
ZINC000170153681;-4.4061947;-3.9860778;-4.7255683;-3.79787;-4.449016
ZINC000169829268;-4.5616117;-4.62893;-4.6251;-4.253078;-4.6737566
ZINC000002037042;-5.4310985;-5.4552355;-5.206189;-5.284384;-5.2533116
ZINC000095611752;-4.391659;-4.293626;-4.502676;-4.6202464;-4.2085867
ZINC000088613667;-5.730553;-5.553173;-5.402147;-5.58866;-5.6343164
ZINC000169827507;-4.385245;-4.2379994;-4.248794;-3.8047044;-4.0764017
ZINC000095611778;-4.7501907;-4.64496;-4.728923;-4.5745683;-4.8483434
ZINC000095611754;-4.494616;-4.189825;-4.24704;-4.2203774;-3.9952953
ZINC000095611766;-5.3326693;-5.0215826;-5.145322;-5.184578;-4.987396
ZINC000095611643;-4.398097;-4.2209644;-4.3546095;-4.3879247;-3.9248633
ZINC000095611767;-5.3495474;-5.0404344;-5.2047024;-5.1700716;-4.972213
ZINC000169827636;-4.8703337;-4.329699;-4.6977262;-4.0651464;-4.325697
ZINC000169827954;-5.1408906;-4.7529697;-4.5893984;-4.132554;-4.0526366
ZINC000169827953;-5.231927;-4.7134;-4.5909486;-4.031762;-3.9991088
ZINC000169827587;-3.910031;-4.469538;-3.51543;-3.357055;-3.5832422
ZINC000169827635;-4.8698287;-4.3288774;-4.698453;-4.0643864;-4.325861
ZINC000169828817;-4.4756227;-4.775258;-5.0702147;-4.0852623;-4.9013557
ZINC000096194520;-5.1181855;-5.3484187;-5.7512336;-5.47768;-5.566296
ZINC000001574341;-4.9560184;-4.8636746;-5.206703;-5.3729286;-5.403657
ZINC000003122079;-5.0124917;-5.0601997;-4.9250793;-4.6751995;-4.9684024
ZINC000004336859;-5.432683;-5.6610856;-5.964644;-5.6703587;-5.636772
ZINC000169748300;-3.1605568;-3.9731853;-3.672802;-3.3076384;-3.772743
ZINC000114638305;-4.8403234;-4.8698497;-4.75883;-4.731882;-4.8152003
ZINC000115207371;-4.323222;-4.695961;-4.6368437;-4.152693;-4.399704
ZINC000118442468;-5.818248;-5.876951;-5.8230143;-5.6385984;-6.025011
ZINC000078413655;-5.347531;-5.396121;-5.3211703;-5.1848297;-5.369492
ZINC000066323202;-4.695456;-4.756814;-4.693288;-4.3696933;-4.682605
ZINC000049952237;-4.0770845;-4.6460276;-4.4345646;-4.2832823;-4.390307
ZINC000115207373;-4.2546377;-4.457645;-4.49805;-4.093917;-4.4096084
ZINC000002564096;-3.7740583;-3.826631;-4.0406046;-3.6649141;-3.8160746
ZINC000095611756;-4.469554;-4.2691116;-4.4079666;-4.4307933;-4.3725786
ZINC000002040263;-3.9869132;-4.118596;-4.1914253;-3.83146;-3.6529398
ZINC000002381218;-5.6118736;-5.8720174;-5.8994837;-5.730021;-5.7050967
ZINC000002167285;-3.8873181;-3.8395884;-3.99895;-3.768401;-3.8811374
ZINC000075840459;-5.358951;-5.471341;-5.244872;-5.359404;-5.37086
ZINC000075840576;-5.55276;-5.3899407;-5.2382846;-5.307074;-5.302567
