name;01;02;03;04;05
ZINC001250226849;-3.954872;-3.7909353;-3.855495;-3.881504;-3.6525028
ZINC001250227846;-4.013336;-4.6306567;-4.034245;-4.5058475;-4.431783
ZINC000141780531;-3.9805856;-3.941492;-4.0928545;-3.9909844;-3.740997
ZINC001250259178;-4.5871162;-4.6376295;-4.6404796;-4.713695;-4.786044
ZINC001250259209;-4.7080245;-4.8587675;-4.7544947;-4.7159276;-4.7506557
ZINC000142373632;-4.7064285;-4.790852;-4.531786;-4.855208;-4.8805075
ZINC000142373432;-4.7302012;-4.8584137;-4.584016;-4.888591;-4.893492
ZINC001250260040;-4.8010526;-4.8291655;-4.801325;-4.8528895;-4.95655
ZINC001250261689;-4.8533726;-4.762374;-4.6578507;-4.616005;-4.6902494
ZINC001242249874;-5.6961384;-5.7355347;-5.746097;-5.7573195;-5.726263
ZINC000393662803;-4.0837274;-4.1807265;-4.0279713;-4.0496707;-3.9991975
ZINC000393662799;-4.158162;-4.222413;-4.209773;-4.090465;-3.9710598
ZINC001242251641;-5.1470666;-5.1850524;-5.4072523;-5.332103;-5.7205515
ZINC000034562694;-5.194823;-5.1236587;-5.0797954;-5.123021;-5.3263235
ZINC001242251036;-5.804807;-5.5905046;-5.7370725;-5.6792517;-5.767455
ZINC001242254490;-5.895451;-5.6040215;-5.796373;-5.5110235;-5.5931344
ZINC001242253137;-5.3016486;-5.1700473;-5.3352923;-5.4205537;-5.477457
ZINC001242254410;-5.6908655;-5.5479193;-5.540923;-5.4765973;-5.387932
ZINC001242253773;-5.822413;-5.2830515;-5.5724697;-5.583619;-5.3898735
ZINC001242254589;-5.659286;-5.247057;-5.5181723;-5.4757113;-5.4409895
ZINC001242254082;-5.23991;-5.011452;-5.2835855;-4.9876013;-4.9839735
ZINC001242253953;-4.567664;-4.3970156;-4.5368166;-4.431427;-4.43508
ZINC001242254833;-5.6851845;-5.4996853;-5.7239323;-5.592779;-5.462303
ZINC001242254915;-5.7765813;-5.3378453;-5.560772;-5.443932;-5.4812546
ZINC001242253769;-5.5166388;-5.4443502;-5.7315674;-5.7748346;-5.6370115
ZINC001242254373;-5.685779;-5.5302935;-5.768359;-5.6977825;-5.569439
ZINC001242253761;-5.9232464;-5.63563;-5.8516307;-5.742288;-5.6500463
ZINC001242254283;-5.5777144;-5.4182343;-5.549564;-5.5571666;-5.436358
ZINC001242254566;-4.8671365;-4.535342;-4.5676775;-4.693157;-4.7864466
ZINC001242254488;-5.659438;-5.2399435;-5.6360188;-5.601287;-5.498992
ZINC001242254394;-5.688397;-5.456357;-5.613771;-5.6266932;-5.566265
ZINC001242254457;-5.600424;-5.329969;-5.825614;-5.8233023;-5.6465425
ZINC001242254550;-5.693353;-5.3324394;-5.6543036;-5.5943103;-5.5841947
ZINC001242254791;-5.4884834;-5.263708;-5.5199413;-5.500389;-5.4930544
ZINC001242254863;-5.542552;-5.367495;-5.4926834;-5.5447254;-5.521941
ZINC001242255336;-4.9080687;-4.709574;-5.027726;-4.822446;-4.737352
ZINC001242255028;-5.5484033;-5.2768764;-5.4669847;-5.4113398;-5.3848696
ZINC001242255980;-5.8298106;-5.53022;-5.662236;-5.4590364;-5.2399316
ZINC001242254993;-5.553015;-5.230553;-5.3907375;-5.3289733;-5.334717
ZINC001205969729;-4.6209364;-4.6999135;-4.5321884;-4.8542814;-4.692004
ZINC001242255098;-5.639844;-5.533384;-5.551357;-5.465685;-5.5445085
ZINC001205971815;-5.4921656;-5.3786716;-5.383793;-5.640029;-5.576294
ZINC001242255324;-5.5951943;-5.5459476;-5.343807;-5.5307326;-5.5962505
ZINC001205971812;-5.3066955;-5.7335043;-5.6380982;-5.891788;-5.623225
ZINC001205971779;-5.272704;-5.6594543;-5.522538;-5.9131136;-5.512102
ZINC001205971773;-5.35431;-5.6863313;-5.4968643;-6.034594;-5.528781
ZINC001242255305;-5.677432;-5.402956;-5.650506;-5.4863777;-5.3305383
ZINC001205971663;-5.594446;-5.6884418;-5.626333;-5.9787855;-5.7778625
ZINC001205971777;-5.308804;-5.3404245;-5.3868103;-5.579391;-5.381902
ZINC001242255037;-6.092899;-5.614357;-5.671549;-5.512931;-5.2649026
ZINC001205971811;-5.492289;-5.3787804;-5.383885;-5.640154;-5.5763493
ZINC001205971664;-5.472765;-5.4022684;-5.42009;-5.7566648;-5.479913
ZINC001205971052;-4.388818;-4.398737;-4.614343;-4.717251;-4.649811
ZINC001205976706;-5.5192065;-5.8088646;-5.5633535;-5.6856575;-5.5599494
ZINC001205971190;-5.4686136;-5.7699094;-5.511272;-5.9338074;-5.55857
ZINC001205971775;-5.2504044;-5.2996297;-5.4113574;-5.551686;-5.360908
ZINC001205969731;-4.569615;-4.763774;-4.5605392;-4.783883;-4.682807
ZINC001205971661;-5.682227;-5.6861835;-5.605969;-5.9971824;-5.7976
ZINC001205971659;-5.5098095;-5.3566008;-5.448808;-5.7636313;-5.4601116
ZINC001242402454;-5.324504;-5.4608755;-5.4504547;-5.4880934;-5.4757013
ZINC001242407987;-5.2361016;-5.233427;-5.2461915;-5.3834205;-5.3548136
ZINC001242405900;-5.1018963;-5.273902;-5.1461883;-5.2916756;-5.444341
ZINC001205976705;-5.4063854;-5.700439;-5.426297;-5.7306743;-5.726875
ZINC001205971056;-4.499198;-4.534394;-4.5676875;-4.657151;-4.790118
ZINC001250353098;-5.1257257;-4.950425;-5.3307543;-4.9254227;-5.1136146
ZINC000306149212;-5.278696;-5.4337707;-5.392331;-5.0177355;-5.2059712
ZINC001206042461;-5.459957;-5.642464;-5.552931;-5.574576;-5.775245
ZINC000147360919;-5.153928;-5.2802715;-5.2847505;-5.1736226;-5.0629916
ZINC001242758344;-4.7626953;-4.3036537;-4.539734;-4.5081177;-4.7351894
ZINC001242757756;-4.348289;-4.5260167;-4.448477;-4.5137367;-4.464452
ZINC001242758411;-5.586192;-5.3748956;-5.366455;-5.254833;-5.411017
ZINC001250410995;-5.393828;-5.6410565;-5.6942663;-5.272815;-5.4809337
ZINC001242758714;-4.323447;-4.0441566;-4.3771415;-4.280544;-4.384386
ZINC000306342336;-5.2810917;-5.520548;-5.198518;-5.2881203;-5.04509
ZINC001242758929;-4.2292547;-4.1796865;-4.25714;-4.15205;-4.2012954
ZINC001242758587;-4.608758;-4.5458922;-4.60089;-4.467552;-4.4850297
ZINC001242758781;-5.0403457;-5.088456;-5.2922454;-5.1893635;-5.168805
ZINC001242758903;-4.8813744;-4.7288117;-4.6539702;-4.7637;-4.667021
ZINC001242759010;-5.037728;-5.0003614;-5.046533;-5.117406;-5.254235
ZINC001242759022;-5.1453915;-5.0886016;-5.088315;-5.0127087;-5.316822
ZINC001206165041;-5.33396;-5.538406;-4.970362;-5.252606;-5.1769023
ZINC001242760324;-4.506499;-4.3792787;-4.6396065;-4.5166864;-4.679657
ZINC001242760850;-5.2037644;-5.12936;-5.00479;-5.0903735;-5.172119
ZINC001242759569;-4.366208;-4.306253;-4.6617064;-4.562296;-4.5258975
ZINC001242759850;-4.5949426;-4.666715;-4.6460304;-4.698862;-4.7086487
ZINC001242760032;-4.9066005;-4.9453273;-5.067635;-4.9949307;-5.1120176
ZINC001242759352;-4.9226966;-4.929594;-5.0324364;-5.1609535;-5.14328
ZINC001242759612;-4.600629;-4.6929116;-4.6713285;-4.7843533;-4.678165
ZINC001242760119;-4.5814266;-4.5356402;-4.759161;-4.536106;-4.6564584
ZINC001242759370;-5.5667853;-5.20488;-5.12315;-5.158683;-5.2502604
ZINC001206177295;-4.9550533;-5.4859037;-5.020538;-5.376797;-5.0903926
ZINC001206175521;-5.2890368;-5.20652;-4.8729944;-5.2481146;-4.904224
ZINC001206177992;-5.074832;-5.716148;-5.0555587;-5.2663054;-5.14227
ZINC001206175519;-5.494549;-5.347885;-4.7364254;-5.3627543;-5.0978646
ZINC001206175834;-5.6171846;-5.677177;-5.1040874;-5.264862;-5.3664193
ZINC001206177995;-5.1331167;-5.518905;-5.1582365;-5.2025385;-5.1662145
ZINC001206175522;-5.21763;-5.1814756;-4.991689;-5.037297;-5.09747
ZINC000032183952;-4.9044347;-4.845208;-4.472625;-4.6162963;-4.6220083
ZINC001206175837;-5.580416;-5.581481;-4.9681516;-5.3231;-5.41692
ZINC001206175261;-4.9816236;-5.239127;-4.8410525;-5.0977216;-4.9370317
ZINC001206176369;-5.674224;-5.634373;-5.055265;-5.4966784;-5.4529305
ZINC001206177994;-5.2724533;-5.4506783;-5.0572877;-5.297437;-5.174373
ZINC001206175457;-5.37584;-5.1679864;-4.847146;-5.176441;-5.15016
ZINC001206175807;-5.3302383;-4.983617;-5.076107;-5.083895;-5.0271215
ZINC001206175520;-5.3256006;-5.154685;-4.8052773;-5.0553293;-5.082886
ZINC001206177993;-5.428749;-5.480482;-5.018822;-5.1782627;-5.1378956
ZINC001206175838;-5.447384;-5.4886713;-4.9425535;-5.3667207;-5.372238
ZINC001206175832;-5.6852818;-5.700079;-5.081932;-5.3194222;-5.3045435
ZINC001206177294;-5.4694924;-5.3380156;-4.8561363;-5.2361994;-5.1042147
ZINC001206175260;-5.137847;-4.9897857;-4.7508087;-4.9324613;-4.9163523
ZINC001206175459;-5.022287;-5.480975;-4.8887906;-5.4283013;-5.0649233
ZINC001206175809;-5.684866;-5.264463;-5.072173;-5.1972675;-5.2307363
ZINC001206176367;-5.6747637;-5.484051;-5.190641;-5.590926;-5.586684
ZINC001206189879;-5.5589685;-5.3563957;-4.768998;-5.45387;-5.0318856
ZINC001206189874;-5.4461403;-5.3122377;-5.03117;-5.593401;-5.1082788
ZINC001243061530;-5.5489154;-5.2312994;-5.2533484;-5.341996;-5.133327
ZINC001206189877;-5.458726;-5.0447206;-4.788241;-5.345958;-5.22195
ZINC001243062792;-5.4399033;-5.3521633;-5.348036;-5.2126393;-5.3206635
ZINC001243061434;-5.1550965;-5.058474;-5.1516;-5.303527;-5.270568
ZINC000306172337;-4.49723;-4.9139347;-4.5972137;-4.5367374;-4.590842
ZINC000306172339;-4.5317945;-4.8634367;-4.5718727;-4.539593;-4.6006103
ZINC001206189881;-5.080071;-5.3536377;-5.192291;-5.449072;-5.274724
ZINC001243065305;-5.317815;-4.960511;-5.2476873;-5.2643423;-5.2816515
ZINC001243066181;-5.6217093;-5.0913877;-5.0313153;-5.2075057;-5.2256927
ZINC001243064872;-5.54521;-5.2296705;-5.0400033;-5.2547903;-5.3769064
ZINC000307699551;-4.4828453;-4.501519;-4.4983063;-4.336292;-4.5634937
ZINC000307699550;-4.482496;-4.501446;-4.4967217;-4.336429;-4.562983
ZINC001250553732;-5.5026407;-5.617665;-5.6580667;-5.4181337;-5.597517
ZINC001243066179;-5.4125333;-5.3375187;-5.332535;-5.27646;-5.0382805
ZINC001250543372;-5.2992268;-5.6186066;-5.3743525;-5.3117747;-5.606609
ZINC001250562494;-5.3055935;-5.33115;-5.3436294;-5.292938;-5.5014925
ZINC001250597091;-5.4611;-5.5480156;-5.637206;-5.8155813;-5.2712517
ZINC001250592761;-4.757415;-4.868226;-4.5583153;-4.826356;-4.996232
ZINC001250640453;-5.734682;-5.526479;-5.700724;-5.6587834;-5.4856095
ZINC000002029580;-5.7253165;-5.8651304;-5.961424;-5.928492;-5.915884
ZINC001222708674;-5.6173687;-5.513105;-5.4820337;-5.369657;-5.439127
ZINC001222707326;-5.5481772;-5.659147;-5.304872;-5.663109;-5.5127907
ZINC001222707935;-5.578623;-5.666218;-5.176427;-5.4545465;-5.4271746
ZINC001222707759;-5.351997;-5.442445;-5.191392;-5.4467773;-5.5459547
ZINC001222701650;-4.273188;-4.2810116;-4.384014;-4.3366957;-4.47075
ZINC001222709185;-5.4230967;-5.608553;-5.221645;-5.3946385;-5.204805
ZINC001222701649;-4.257215;-4.2179856;-4.3592978;-4.319262;-4.529128
ZINC001222709186;-5.376338;-5.594492;-5.2271132;-5.6082616;-5.466682
ZINC001222708678;-5.701146;-5.6036844;-5.5372186;-5.69573;-5.7754846
ZINC001222707339;-5.8394823;-5.8971105;-5.60353;-5.6892557;-5.621026
ZINC001222701651;-4.378704;-4.36745;-4.529942;-4.570503;-4.5984383
ZINC001222707760;-5.644321;-5.55812;-5.3891172;-5.6599746;-5.731761
ZINC001222707934;-5.3970017;-5.5935445;-5.094442;-5.388419;-5.310326
ZINC001222701652;-4.39541;-4.3609943;-4.372344;-4.540144;-4.4113245
ZINC001222708193;-5.498949;-5.594316;-5.20751;-5.215527;-5.4597597
ZINC000307533643;-5.6529045;-5.7307205;-5.5523763;-5.5869884;-5.767274
ZINC000307533646;-5.8126297;-5.8098965;-5.6102357;-5.630099;-5.774618
ZINC000307533648;-5.935378;-5.862376;-5.5983496;-5.621605;-5.6162243
ZINC000307533644;-5.7548175;-5.856731;-5.5519724;-5.5079365;-5.6386185
ZINC000032137251;-4.453761;-4.2934117;-4.4502482;-4.374099;-4.367117
ZINC000032226617;-5.2454653;-5.476337;-5.006617;-4.933181;-4.982889
ZINC000032226492;-5.027861;-5.038288;-4.8455667;-4.8336554;-4.756515
ZINC000150083009;-4.790795;-4.8764153;-5.1306067;-4.876481;-4.977347
ZINC000306224239;-4.5926833;-4.874623;-4.8407784;-4.4403934;-4.5266285
ZINC000306224240;-4.5928245;-4.850255;-4.8168583;-4.3460684;-4.492085
ZINC000307607381;-4.726981;-5.1207666;-4.8952155;-4.6967907;-4.8004313
ZINC000307607383;-4.4115496;-4.7497196;-4.4447;-4.6428957;-4.776706
ZINC000307308871;-4.8295374;-4.9088297;-5.1865234;-4.8921084;-4.6263204
ZINC000307308872;-4.795027;-4.7680445;-4.934178;-4.8138156;-4.620539
ZINC000306712796;-5.0260983;-5.311141;-5.392359;-5.254916;-5.397781
ZINC000307446370;-4.866331;-4.8410378;-4.762098;-4.446175;-4.7387285
ZINC000037625590;-4.7380123;-4.947442;-4.851591;-4.8684974;-4.9964237
ZINC000037625591;-4.7391734;-4.9502697;-4.852806;-4.8704295;-4.9948864
ZINC000306291178;-4.7281256;-4.724023;-4.9258394;-4.752463;-4.499547
ZINC000306291179;-4.8826413;-4.8863606;-4.7611666;-4.892757;-4.8122907
ZINC001224313878;-5.210876;-5.8755994;-5.75523;-5.6522813;-5.4048986
ZINC001224313885;-5.161606;-5.835712;-5.64347;-5.7585096;-5.3971696
ZINC001224314259;-5.229037;-5.9067693;-5.7632084;-5.487015;-5.2885084
ZINC000306308836;-4.9872723;-5.2920556;-5.0819206;-4.9995956;-5.142767
ZINC000306308838;-5.0237427;-5.1694307;-5.099787;-5.1224103;-5.130774
ZINC000307757104;-4.2282405;-4.137703;-4.3325796;-4.256607;-4.4126654
ZINC000038819653;-5.438109;-5.339686;-5.2936687;-5.1868014;-5.1223416
ZINC000306325437;-5.3420954;-5.2945824;-5.440025;-5.2707753;-5.424539
ZINC000039212364;-4.7676125;-4.717371;-4.80435;-4.8322873;-4.7966385
ZINC000307748532;-5.1975055;-5.11054;-4.980564;-4.844811;-5.0650783
ZINC000307748531;-5.235127;-5.1841483;-5.1394253;-4.7467103;-5.1396236
ZINC001224662087;-5.074808;-5.3310666;-4.8813896;-5.1425753;-5.044274
ZINC001224661634;-4.4360704;-4.4757085;-4.5761423;-4.4858937;-4.4741416
ZINC001224659903;-5.345686;-5.180208;-5.007688;-5.2851524;-5.1134996
ZINC001224659879;-5.5135603;-5.531367;-5.280567;-5.7847524;-5.3528166
