name;01;02;03;04;05
ZINC000071772991;-4.357607;-4.7633753;-4.0559797;-3.9849179;-4.1096087
ZINC000001065733;-5.4846907;-5.1822166;-4.876001;-5.1697726;-5.1903715
ZINC000019793983;-6.0196886;-6.0667777;-5.903402;-5.8106484;-5.97938
ZINC000238900512;-4.9971747;-4.8389797;-5.0362134;-4.191235;-4.7973757
ZINC000088375393;-6.2625623;-6.158519;-5.6220603;-5.458266;-5.7137275
ZINC000088375391;-6.315716;-6.176492;-5.557393;-5.3524036;-5.8078213
ZINC000003830728;-4.9437685;-4.9377036;-5.309606;-4.780864;-4.730547
ZINC000003830726;-4.307814;-4.775823;-4.5835533;-4.638549;-4.694955
ZINC000003830725;-4.2518764;-4.773449;-4.824744;-4.716734;-4.727345
ZINC000003830727;-4.588685;-5.0195823;-4.834279;-4.808233;-5.044547
ZINC000003865792;-5.8653226;-5.602075;-5.3500977;-5.728261;-5.7272096
ZINC000003865791;-6.119813;-5.6295853;-5.3508215;-5.680905;-5.7896714
ZINC000004029831;-6.361455;-6.1644735;-6.226757;-6.212866;-6.1374784
ZINC000004008783;-5.0810266;-5.4301605;-5.2216325;-5.448284;-5.912465
ZINC000004008784;-4.249583;-4.8757176;-4.610385;-4.700947;-5.0404677
ZINC000077010557;-4.816379;-5.0129404;-4.6266627;-4.6243687;-4.583559
ZINC000077010553;-4.821017;-4.998655;-4.6164026;-4.641041;-4.547928
ZINC000004218575;-5.7574205;-4.9522767;-5.3184557;-4.902223;-5.3720455
ZINC000004228241;-6.0776834;-6.0115924;-5.51326;-5.830354;-5.7551064
ZINC000004324703;-5.040241;-5.4669304;-5.8865895;-5.419817;-5.518728
ZINC000004324704;-5.1064982;-5.2998548;-5.3165045;-4.864711;-5.127753
ZINC000101190944;-4.174563;-4.305845;-4.1311727;-3.953692;-4.236322
ZINC000017283847;-4.677073;-4.6739163;-5.0916214;-4.8332405;-4.998187
ZINC000004704321;-4.926621;-5.1602945;-4.794652;-4.9449863;-4.878006
ZINC000584879885;-4.6339355;-4.823786;-4.8586607;-4.86946;-4.540865
ZINC000004899454;-5.4592037;-5.351333;-5.679503;-5.8214984;-5.9426484
ZINC000002086385;-5.308154;-5.37645;-5.4846716;-5.3897266;-5.696126
ZINC000020244718;-5.0483336;-4.696754;-4.50615;-4.341078;-4.4975395
ZINC000001768908;-5.860977;-5.88616;-5.6849966;-6.199538;-5.7615466
ZINC000005273553;-5.370352;-5.3422527;-5.5914974;-5.8494635;-6.062627
ZINC000005273554;-5.841618;-5.8853626;-5.9097185;-5.9620123;-5.967184
ZINC000002095024;-4.5848513;-4.9229736;-4.998825;-4.7789807;-5.0504375
ZINC000005829542;-4.837528;-5.0531197;-4.9099817;-4.9650774;-5.2655234
ZINC000004110719;-4.660997;-4.389736;-5.301682;-4.50022;-4.3342104
ZINC000002385478;-5.297806;-5.549453;-5.219274;-5.2713675;-5.276241
ZINC000001266331;-5.553324;-5.4350815;-5.499539;-5.4485164;-5.3237567
ZINC000002473650;-5.559209;-5.362446;-5.732279;-5.260702;-5.461532
ZINC000002371866;-4.5802727;-4.367817;-4.753017;-4.3571873;-4.1837735
ZINC000002271797;-5.1905613;-5.3390846;-5.8302765;-5.102209;-5.305814
ZINC000003768506;-5.659253;-5.736017;-5.3863997;-5.7345476;-5.7027483
ZINC000101041790;-5.0713;-5.517117;-5.668446;-5.5943346;-5.368579
ZINC000004009632;-6.336135;-5.6474376;-5.412833;-5.5419436;-5.7151
ZINC000225391689;-5.324718;-5.504796;-4.9814725;-5.248928;-5.185638
ZINC000004484374;-4.9907746;-4.7635164;-4.8536673;-4.9669304;-4.8902974
ZINC000008076668;-5.148907;-5.6303167;-5.457979;-5.604617;-5.626894
ZINC000225502501;-4.936202;-5.62967;-5.51678;-5.141597;-5.068648
ZINC000008699056;-4.84666;-4.5849195;-4.8911657;-4.466972;-4.646364
ZINC000074942190;-4.973319;-4.913371;-5.0722437;-4.793259;-5.0458
ZINC000001750764;-5.110066;-5.021927;-5.4861465;-5.8198175;-5.302645
ZINC000102959273;-5.4519663;-5.685672;-5.53317;-5.7053475;-6.0397825
ZINC000102959277;-5.4519663;-5.685672;-5.53317;-5.7053475;-6.0397825
ZINC000020185001;-5.623827;-5.5239973;-5.1790333;-5.7351775;-5.553893
ZINC000041072534;-5.479553;-6.020835;-5.6626787;-5.864183;-5.7024755
ZINC000002567176;-5.548991;-5.194725;-4.8262987;-5.3612185;-5.1345663
ZINC000005426136;-6.0731664;-6.1213493;-5.1208935;-5.5825486;-5.53762
ZINC000015636573;-6.7549987;-6.598061;-6.36512;-6.9428067;-6.8257127
ZINC000001042130;-5.1683497;-4.9615335;-5.5445395;-4.9337835;-5.0864077
ZINC000017146007;-5.3513346;-5.925297;-5.6921797;-5.7006164;-5.5187287
ZINC000004763081;-6.178199;-6.0168114;-6.000479;-6.00423;-6.117271
ZINC000004763075;-6.1309657;-6.003937;-5.9306803;-6.0024953;-5.98456
ZINC000004763089;-6.1488085;-6.0079823;-5.8796186;-6.1286044;-6.0050726
ZINC000004763084;-6.1790843;-6.0205727;-5.8370614;-6.0754094;-6.090894
ZINC000020213407;-5.836544;-6.269656;-5.645098;-6.0430813;-5.383176
ZINC000004593521;-4.896557;-5.2378545;-4.9828863;-4.8712144;-5.290804
ZINC000014943670;-5.915368;-5.363696;-5.208115;-5.099188;-5.78762
ZINC000004593523;-5.445545;-5.073867;-5.207678;-5.362773;-5.732574
ZINC000100649541;-5.067675;-4.517322;-5.114329;-4.6051702;-5.3037233
ZINC000005960801;-4.7367764;-5.1451516;-4.8499775;-4.8517146;-5.145752
ZINC000013545782;-4.7210665;-4.725377;-4.800291;-4.8276067;-4.8829985
ZINC000032627252;-5.144987;-4.8003917;-4.4592733;-4.9596763;-4.567452
ZINC000002473610;-5.462991;-5.6019297;-5.426614;-5.6055984;-5.3920445
ZINC000088346543;-6.1589193;-5.908767;-5.937366;-5.892453;-6.309004
ZINC000000139197;-5.2348223;-5.1955504;-5.4075727;-5.247954;-5.3620443
ZINC000004556685;-5.190464;-5.1495366;-5.233635;-5.2952585;-5.4033484
ZINC000002528807;-5.2821627;-5.6602945;-5.016064;-5.4367433;-5.2612915
ZINC000019470860;-5.692253;-5.5796623;-5.6067667;-5.9309883;-6.1308074
ZINC000019470858;-6.0905423;-5.6439824;-5.779241;-5.9636006;-6.12225
ZINC000003394329;-4.8901367;-4.703863;-5.332048;-5.0039;-4.4599648
ZINC000003394332;-5.0291176;-4.778931;-5.4445124;-5.0803814;-4.5734453
ZINC000002127851;-5.1975017;-5.26713;-5.432831;-5.0118847;-5.4421673
ZINC000000139199;-5.231068;-5.191033;-5.4078054;-5.246056;-5.3620877
ZINC000262600245;-6.1327;-6.149269;-5.5889773;-5.958375;-5.91968
ZINC000262600216;-6.356866;-5.974248;-5.927612;-6.092182;-5.911242
ZINC000262600241;-6.1863165;-5.8207216;-6.0735292;-6.0471115;-6.007546
ZINC000262600244;-5.836253;-5.9666715;-5.6565228;-5.929073;-6.2204514
ZINC000004955570;-6.1347065;-5.6777706;-6.116297;-5.551138;-5.209292
ZINC000000392599;-5.2740116;-5.2921476;-5.4429045;-5.4388075;-5.4928923
ZINC000042278892;-5.595029;-5.179062;-5.1031246;-5.1545835;-5.4629135
ZINC000026421513;-5.4551816;-4.877522;-4.5793686;-4.903815;-4.7393737
ZINC000000182880;-5.566618;-5.4743032;-5.6385274;-6.0303493;-6.344779
ZINC000035287475;-4.2020726;-4.6876993;-4.3071284;-4.2386456;-4.144576
ZINC000071790447;-5.63202;-5.7419815;-5.3828216;-6.0127754;-5.3043156
ZINC000578132595;-5.917927;-5.643876;-5.8193274;-5.56017;-5.8740106
ZINC000002472023;-5.1969585;-4.894961;-5.6555357;-5.006971;-5.2606483
ZINC000019790612;-5.6312227;-4.8792953;-5.186618;-5.3701468;-5.4871883
ZINC000035651612;-5.5388217;-5.154745;-5.030975;-5.1905966;-4.674948
ZINC000142577822;-5.5445566;-5.430706;-5.5702815;-5.7482233;-5.589454
ZINC000020283657;-5.467547;-4.8355455;-5.2017164;-5.297808;-5.2839403
ZINC000001907383;-5.341592;-5.248226;-5.1044393;-5.230458;-5.2588577
ZINC000012363420;-5.2685847;-5.9559107;-6.303101;-6.409485;-5.657117
ZINC000012363418;-5.4948034;-5.7738304;-5.5248938;-5.874622;-5.8068285
ZINC000033434936;-5.692363;-5.329434;-5.9751515;-5.959247;-5.6495695
ZINC000036378397;-6.0220513;-5.4662704;-5.415735;-5.8151593;-5.863285
ZINC000036378396;-6.02225;-5.446722;-5.5752125;-5.750778;-5.9142346
ZINC000033434937;-5.674831;-5.112014;-5.939075;-5.7266984;-5.671971
ZINC000000182882;-5.566268;-5.495336;-5.5752482;-5.909571;-6.2533183
ZINC000077010906;-5.135848;-4.751992;-4.531594;-4.4400253;-4.4988446
ZINC000077010886;-4.382848;-4.191192;-4.1670494;-3.821611;-3.99931
ZINC000077010911;-5.052367;-4.984269;-4.7437725;-4.426872;-4.461431
ZINC000662877495;-4.887007;-5.1592712;-5.2674885;-5.1987123;-5.1237907
ZINC000006506349;-5.919697;-5.7022777;-5.7551622;-5.742404;-6.077997
ZINC000037393652;-6.73873;-6.0523424;-5.584233;-5.8505435;-5.71308
ZINC000257345585;-4.491243;-4.865697;-4.8056197;-4.241039;-4.541658
ZINC000003768462;-5.807755;-6.0895553;-5.524875;-5.9933662;-5.8141384
ZINC000002567986;-7.3834887;-7.573881;-7.087189;-7.0685225;-7.292985
ZINC000000349179;-5.580925;-5.407833;-5.499379;-5.034426;-5.289303
ZINC000032107182;-4.277424;-4.863838;-4.383468;-4.299782;-4.381899
ZINC000038590366;-4.7083116;-4.2759066;-4.615915;-4.1783304;-4.548708
ZINC000095549036;-5.190766;-5.527544;-5.662106;-5.3013496;-5.482196
ZINC000101135571;-4.56867;-4.615658;-4.8565416;-4.4347925;-4.314293
ZINC000101190950;-4.357903;-4.6557803;-4.3363533;-3.9359992;-4.4452195
ZINC000001919729;-6.269088;-5.425109;-5.779011;-6.039209;-5.9384117
ZINC000002738766;-5.383242;-5.3001113;-5.8113027;-5.532465;-5.7371407
ZINC000169318147;-4.9936814;-5.04434;-5.0380187;-4.8489304;-4.930875
ZINC000003995565;-5.6770363;-6.121215;-5.705881;-6.0382137;-5.857791
ZINC000005187731;-5.7212977;-5.511022;-5.4262376;-5.6307106;-5.237749
ZINC000126726281;-4.8957157;-5.121925;-5.0640926;-5.1112304;-4.956265
ZINC000126726606;-4.9627557;-4.8944902;-5.0594077;-5.4191456;-4.9856215
ZINC000077010890;-4.393974;-4.195711;-4.1689396;-3.8245842;-3.9997475
ZINC000006090930;-5.169568;-5.364284;-5.1440744;-5.516137;-5.590292
