name;01;02;03;04;05
ZINC000819324810;-5.739715;-5.6477556;-5.4065657;-5.6235104;-5.9946384
ZINC000819324804;-5.921552;-5.789964;-5.483011;-5.5788045;-5.9575973
ZINC000737754229;-5.2388473;-5.3110514;-5.477085;-5.5200553;-5.2594414
ZINC000739826246;-5.2868633;-5.092183;-5.159238;-5.1468554;-5.0819736
ZINC000820845347;-5.1329236;-5.0144267;-4.757834;-4.9913106;-5.1907387
ZINC000739847448;-4.813818;-5.0904336;-4.7981596;-4.799939;-4.8361597
ZINC000739489040;-5.0596366;-5.0993967;-4.937657;-5.1043215;-5.020082
ZINC000662207044;-6.1032987;-5.600465;-5.5914464;-5.539318;-5.549812
ZINC000662207049;-6.3219986;-6.1487803;-5.575874;-6.0617995;-5.8039308
ZINC000737223256;-4.740628;-4.8573813;-5.133854;-5.3755703;-5.5980053
ZINC000737988807;-5.3514333;-5.209747;-5.437335;-5.546117;-5.726768
ZINC000738158565;-6.0014343;-5.636106;-5.850901;-5.8256197;-5.928582
ZINC000738158566;-5.976001;-5.506597;-5.709911;-5.576561;-5.6708927
ZINC000738158567;-6.2588487;-5.862056;-6.0650024;-6.047123;-6.1090865
ZINC000738158564;-5.357643;-5.103098;-5.8040123;-5.4391856;-5.609301
ZINC000820411510;-6.6693053;-5.957616;-6.320005;-6.0855727;-6.3378577
ZINC000570282568;-5.572811;-5.1504116;-4.682162;-4.958115;-4.874289
ZINC000570282569;-5.623511;-5.138421;-4.769971;-5.041714;-5.1059575
ZINC000843259668;-5.305505;-5.87718;-5.4239655;-5.2882714;-5.6557193
ZINC000843326361;-5.472874;-5.639279;-5.5759025;-5.3372416;-5.392509
ZINC000843326362;-5.4658747;-5.5076885;-5.546302;-5.302965;-5.3064795
ZINC000739989439;-5.080369;-6.030744;-5.356;-4.9868836;-5.345873
ZINC000821512661;-5.4681425;-5.4615235;-5.30589;-5.3743176;-5.5154905
ZINC000821512663;-5.533096;-5.753909;-5.3584366;-5.397824;-5.683238
ZINC000821525388;-6.0576143;-6.2785296;-6.216931;-5.990856;-6.1295085
ZINC000821556974;-5.8624663;-5.628151;-5.7062407;-5.706992;-5.7487607
ZINC000821556975;-5.8438816;-5.56828;-5.6463256;-5.6951027;-5.7717113
ZINC000740595576;-5.644847;-6.0641885;-5.663725;-5.752372;-6.1471004
ZINC000740582610;-6.1174355;-5.8316402;-5.767539;-5.9207726;-6.1603394
ZINC000739023837;-5.462613;-5.0446267;-5.7533917;-5.8387737;-5.8429337
ZINC000739843059;-5.5047283;-4.9922495;-5.606594;-5.800072;-5.702372
ZINC000739029280;-5.566096;-6.049715;-5.852908;-6.0160117;-5.822474
ZINC000126104049;-5.8145723;-6.4295793;-5.9354057;-5.9635115;-6.0733895
ZINC000082502855;-5.024331;-5.3353086;-4.242392;-4.687578;-4.340339
ZINC000845714018;-4.880866;-5.01365;-4.7601876;-4.692402;-5.0935726
ZINC000126189001;-5.2556887;-5.976807;-5.643331;-5.5421166;-5.3822913
ZINC000166492292;-5.179455;-5.101184;-5.7023063;-5.4363027;-5.9006586
ZINC000166507732;-5.1283875;-5.032624;-4.942788;-4.8783393;-4.96747
ZINC000166507851;-5.057956;-4.8347354;-5.482496;-5.0787644;-5.1573167
ZINC000166492171;-4.512962;-4.83109;-4.9795184;-4.7331157;-4.891097
ZINC000846496618;-5.49996;-5.203535;-5.509521;-5.3441567;-5.4050913
ZINC000044928480;-5.776639;-5.587021;-6.427283;-5.664895;-6.2817974
ZINC000044928481;-6.5645046;-6.1820126;-6.681247;-6.3055525;-6.27981
ZINC000044928483;-5.885358;-5.7227025;-6.7993855;-5.9764333;-6.5618877
ZINC000044928482;-6.60498;-6.095415;-6.6324906;-6.313401;-6.291427
ZINC000843325429;-4.696212;-4.998998;-4.891829;-4.9342165;-4.573266
ZINC000843325060;-5.264034;-5.4338675;-4.866733;-5.106585;-5.085186
ZINC000824961249;-5.7506685;-5.5344186;-5.556539;-5.801433;-6.269767
ZINC000824961250;-5.7863116;-5.7267036;-5.681997;-5.6971154;-6.1039877
ZINC000262565120;-5.178917;-5.5967116;-5.444772;-5.7984247;-5.4882135
ZINC000825186103;-5.6369696;-5.517803;-5.3756533;-4.999753;-5.3958616
ZINC000825186110;-5.6371155;-5.5185575;-5.375202;-4.9986854;-5.3953905
ZINC000740452827;-5.9513865;-6.0738325;-6.4645796;-5.6195273;-6.116722
ZINC000740452826;-5.957835;-5.860475;-6.340469;-5.6000223;-5.973539
ZINC000739673171;-5.3199215;-5.788457;-5.42101;-5.6125546;-5.7681675
ZINC000262888431;-5.1886106;-5.565863;-5.3971453;-5.6783466;-5.484905
ZINC000739029276;-5.660241;-6.058145;-5.9409776;-5.996476;-5.8377
ZINC000863954803;-5.1244526;-4.825406;-5.9177194;-5.3614216;-5.671258
ZINC000863965142;-5.5061474;-5.031808;-5.399074;-5.5895996;-5.6738544
ZINC000863954902;-5.296746;-4.8153105;-4.949956;-5.2060766;-5.274663
ZINC000863962434;-5.3673286;-5.3066454;-6.313256;-5.8526263;-6.0867767
ZINC000863955404;-5.416355;-5.05282;-5.1596828;-5.2546945;-5.1535525
ZINC000863954193;-4.841872;-4.7884264;-4.8630457;-5.22075;-5.1226597
ZINC000662898037;-6.283891;-6.2999163;-5.6339016;-5.7910438;-5.9136257
ZINC000662898039;-6.023391;-6.2570524;-5.373142;-5.430645;-5.9574847
ZINC000662898038;-6.3250933;-6.295633;-5.341262;-5.786572;-5.870675
