name;01;02;03;04;05
ZINC000336692206;-5.864513;-5.527427;-5.248383;-5.7877216;-5.5086236
ZINC000336692198;-5.6193323;-5.8374257;-5.417598;-5.8254337;-5.2218094
ZINC000336692205;-5.663877;-5.8485627;-5.4748077;-5.771128;-5.2327456
ZINC000336692207;-5.9169974;-5.522741;-5.278022;-5.614463;-5.4500885
ZINC000662165466;-4.393031;-4.3106937;-4.6140003;-4.6291237;-4.4185953
ZINC000662164080;-5.376722;-5.276564;-5.032121;-4.943953;-4.889673
ZINC000852874905;-5.9535747;-5.5575314;-5.7043552;-6.0448427;-5.7639484
ZINC000852874902;-5.913858;-5.5257115;-5.624038;-5.928833;-5.7871065
ZINC001031905978;-6.010538;-6.2836995;-5.6800284;-6.2430544;-6.154954
ZINC000908619325;-5.119117;-4.942235;-5.5364895;-5.140294;-5.055627
ZINC000908619284;-4.212032;-4.643309;-4.984078;-4.510463;-4.180885
ZINC000908619328;-4.941855;-4.9117994;-5.2719684;-4.961793;-5.126457
ZINC000908619322;-4.7635975;-4.563205;-4.91523;-4.541108;-4.6587768
ZINC000908622842;-5.7023816;-5.494194;-5.0370345;-5.710584;-5.270142
ZINC000908622841;-5.6698775;-5.293006;-4.9221025;-5.688261;-5.208299
ZINC000908622839;-5.6116714;-5.792252;-5.146467;-5.783182;-5.459984
ZINC000908622840;-5.5683007;-5.6570873;-5.086873;-5.815298;-5.44599
ZINC000491617485;-5.769088;-5.4353094;-4.940679;-4.9902253;-5.2997055
ZINC000491617471;-5.7905335;-5.3314466;-4.933803;-4.963328;-5.096903
ZINC000310418784;-5.965999;-5.386949;-4.969182;-5.406804;-5.6539626
ZINC000230996879;-4.1483293;-4.4350166;-4.271857;-4.4925327;-4.4991517
ZINC000310418782;-5.5974965;-5.4868083;-5.3647547;-5.3042984;-5.386905
ZINC000570738766;-5.1950746;-5.4578443;-5.068241;-4.9423375;-5.157287
ZINC000703486306;-5.985095;-6.059798;-5.557039;-5.1891527;-5.70735
ZINC000912450543;-5.6042;-4.9965305;-5.4384856;-5.239579;-5.133078
ZINC000599039206;-4.8663363;-4.6900177;-4.7811565;-4.7361736;-4.842639
ZINC000860156116;-5.4771194;-5.400957;-5.4069223;-5.3922963;-5.340757
ZINC000566804213;-5.429545;-5.165184;-5.3023033;-5.0689654;-4.837196
