name;01;02;03;04;05
ZINC000736380664;-6.1969795;-6.1701064;-6.271698;-5.560222;-5.8011417
ZINC000736380664;-6.202376;-6.1400247;-6.2749577;-5.5524287;-5.783979
ZINC000736380671;-6.521125;-6.3054247;-6.2364035;-5.5079336;-5.8900304
ZINC000736380671;-6.530241;-6.287111;-6.2418947;-5.5064626;-5.884236
ZINC000736428142;-6.8248787;-5.5911374;-6.1510015;-6.0110083;-6.5399156
ZINC000736428142;-6.8293514;-5.5727096;-6.146867;-6.008127;-6.539979
ZINC000736428141;-6.7837706;-5.5901427;-6.1390276;-6.0492826;-6.5566983
ZINC000736428141;-6.788287;-5.571172;-6.1345744;-6.0455937;-6.5572076
ZINC000082644025;-5.1995544;-5.3530507;-5.406938;-5.325816;-5.4351606
ZINC000820586389;-5.1853914;-4.862429;-4.8460817;-5.0335946;-4.984411
ZINC000906005304;-4.4983234;-4.2933917;-4.334398;-4.337145;-4.431257
ZINC000906005303;-4.3461857;-4.3872547;-4.3968377;-4.3895383;-4.358933
ZINC000740659535;-6.045251;-5.4504876;-5.7839026;-5.414573;-5.8721547
ZINC000737375636;-5.801078;-5.3137918;-6.024756;-5.4630036;-5.631049
ZINC000737427332;-5.985625;-6.0521336;-6.3133025;-5.639396;-5.8167534
ZINC000737433604;-6.3216147;-5.847826;-6.165654;-5.840894;-5.8568134
ZINC000737433604;-6.3194866;-5.8449764;-6.159426;-5.835237;-5.8387036
ZINC000740484713;-6.023107;-6.4637713;-6.15183;-6.6079197;-6.470159
ZINC000647458544;-5.749514;-5.845075;-5.8145704;-6.0599236;-6.082259
ZINC000820388388;-6.024993;-5.9032507;-5.8834467;-5.891236;-6.1788144
ZINC000738734685;-5.0631847;-6.0102305;-5.7931237;-5.349947;-5.727559
ZINC000738737088;-5.5858293;-5.7375083;-5.5958767;-5.0814466;-5.725789
ZINC000738737088;-5.591817;-5.7231827;-5.5853195;-5.0756044;-5.714224
ZINC000740579286;-6.790956;-6.224235;-6.440263;-6.399371;-6.5282383
ZINC000740579286;-6.792424;-6.2213135;-6.441346;-6.3986635;-6.5168586
ZINC000740579289;-6.570825;-6.32016;-5.938583;-5.899445;-6.6263895
ZINC000740579289;-6.5585318;-6.2911706;-5.933846;-5.9047003;-6.6103706
ZINC000740579284;-6.751694;-6.242713;-5.947588;-5.9361353;-6.696356
ZINC000740579284;-6.746778;-6.224653;-5.9474096;-5.943928;-6.682529
