name;01;02;03;04;05
ZINC000286139681;-5.7437763;-5.5167036;-5.3116693;-5.4703383;-5.3760853
ZINC000884658190;-4.781763;-4.980966;-4.838752;-4.868284;-5.073909
ZINC000021967052;-5.8178444;-5.5549717;-5.871269;-5.755062;-5.622178
ZINC000794382509;-5.3642445;-6.079595;-5.31726;-5.63427;-5.4651856
ZINC000842570937;-5.5270314;-5.438411;-5.5461206;-5.5508885;-5.474287
ZINC000842570936;-5.462336;-5.383913;-5.564405;-5.540221;-5.574585
ZINC000842615397;-5.8826895;-6.195727;-6.059255;-5.950994;-5.9312854
ZINC000873469297;-4.716484;-5.5410323;-5.5396886;-5.302549;-5.5541115
ZINC000794762482;-5.5501995;-4.9545894;-5.58801;-5.5033665;-5.319345
ZINC000702400324;-5.502224;-5.8931117;-4.9657173;-5.5885615;-5.2540646
ZINC000897906804;-6.5424542;-6.43954;-5.9740705;-6.209395;-6.1533985
ZINC000873828767;-5.3750696;-5.0989633;-5.3103237;-5.3320346;-5.381066
ZINC000389415512;-5.698638;-6.378041;-5.6832423;-5.9171042;-5.9779477
ZINC000860063225;-5.2900276;-5.508315;-5.5654945;-5.521112;-5.41907
ZINC000163282798;-5.037497;-5.0616207;-5.186482;-5.079035;-5.224
ZINC000115633666;-5.945623;-5.5081816;-5.50454;-5.54121;-5.41117
ZINC000795854669;-5.8939075;-5.479986;-5.176859;-5.396989;-5.2322774
ZINC000795961890;-5.887022;-5.5546236;-5.6372437;-5.437802;-5.2228565
ZINC000860381795;-4.9637885;-5.1384687;-4.8817325;-4.9512987;-5.2657566
ZINC000874250876;-5.1256227;-5.1049967;-5.18765;-4.9210615;-5.4608192
ZINC000234852008;-5.025934;-5.2092357;-5.2635245;-5.18239;-5.4463243
ZINC000741464580;-5.6018176;-5.002548;-5.2546616;-5.4139557;-6.0257373
ZINC000743060919;-5.2671113;-5.0053406;-4.801636;-5.167306;-5.214106
ZINC000047549805;-5.055542;-5.648659;-5.7048817;-5.119227;-5.365748
ZINC000364441006;-6.1557903;-5.400644;-6.0582776;-5.6779385;-5.676135
ZINC000822537250;-5.203517;-5.5068345;-5.665348;-5.430831;-5.219995
ZINC000748349287;-6.2184916;-6.1770635;-5.9224157;-5.9573727;-5.8218555
ZINC000899336347;-5.2596264;-4.838465;-4.7942924;-5.2509427;-5.7364
ZINC000749023374;-5.8471775;-5.501236;-5.486246;-5.390194;-5.4301343
ZINC000922958611;-5.5133634;-6.325256;-5.720525;-5.540016;-5.6186643
ZINC000922958605;-5.6799846;-6.383071;-5.6878386;-5.5822463;-5.6908536
ZINC000306653233;-5.531217;-5.561641;-5.3489876;-5.5994325;-5.4733143
ZINC000922996194;-5.7012954;-5.961331;-5.891201;-6.1398945;-6.0624456
ZINC000922996195;-5.70129;-5.9612827;-5.8912163;-6.139951;-6.062561
ZINC000095724981;-5.407976;-5.398228;-5.099926;-5.502426;-5.665741
ZINC000845254614;-4.573656;-5.5803037;-5.919698;-5.852743;-5.064613
ZINC000800792094;-5.195726;-4.761537;-4.7842784;-5.1647725;-5.496204
ZINC000152977030;-5.5219684;-5.668073;-5.972025;-5.882024;-5.438312
ZINC000751527005;-5.3301053;-4.7613063;-4.8169136;-4.82454;-5.6381626
ZINC000862761226;-6.2225666;-6.188522;-6.1170883;-6.067452;-5.8592443
ZINC000126193409;-5.408152;-5.3994327;-5.005376;-5.1545377;-5.4291406
ZINC000048392305;-4.622274;-4.4410014;-4.933433;-4.584634;-5.081447
ZINC000126361287;-5.5362077;-5.499872;-5.0849023;-5.0960984;-5.8138914
ZINC000163282060;-5.576454;-5.3059826;-5.1163473;-5.2294865;-5.422534
ZINC000126261742;-5.7222996;-5.7014675;-5.5870285;-5.266292;-5.52095
ZINC000867417044;-6.366559;-5.377269;-5.1846395;-5.4567103;-5.521143
