name;01;02;03;04;05
ZINC000216475240;-5.298008;-5.302292;-4.8628125;-4.9807878;-5.319537
ZINC000058415026;-5.3646326;-5.6354294;-5.6809254;-5.3442698;-5.59753
ZINC000068587369;-6.4374166;-6.247402;-6.556019;-6.7016478;-6.5324883
ZINC000068593516;-6.7804585;-5.903478;-6.2965937;-5.467295;-6.5201306
ZINC000068593516;-7.0210524;-6.779044;-6.3098283;-6.036106;-6.2496734
ZINC000077470930;-6.494978;-6.7403035;-7.0582185;-7.1314087;-6.4889064
ZINC000239309953;-5.8005724;-6.7198195;-5.603459;-6.350315;-5.319928
ZINC000075906092;-6.635238;-6.7497745;-6.5858016;-6.5250187;-6.3500595
ZINC000077010613;-7.424906;-7.6423945;-6.9127564;-7.2597294;-7.6763573
ZINC000503944056;-7.223615;-7.823109;-7.9290466;-6.9645557;-6.952934
ZINC000503944055;-7.5311584;-7.2517405;-6.7577777;-7.289334;-6.6344137
ZINC000127274711;-6.34459;-6.3689733;-6.5041885;-6.4813128;-6.599139
ZINC000022036175;-5.1964226;-5.426409;-5.714999;-5.6044345;-5.272149
ZINC000022036175;-4.9849515;-5.044729;-5.6946993;-6.654748;-6.1392565
ZINC000022036175;-5.0540643;-5.113134;-5.529836;-6.037692;-5.6292095
ZINC000022036175;-6.1885986;-5.342883;-6.642739;-6.2471213;-6.1393957
ZINC000022036175;-5.0540643;-5.113134;-5.529836;-6.037692;-5.6292095
ZINC000127274476;-6.368428;-6.5323358;-6.452279;-6.5716543;-6.6188164
ZINC000020217471;-6.458398;-6.7493606;-6.2999372;-6.0851746;-6.645768
ZINC000021951582;-6.8559084;-6.563947;-7.0001817;-7.061921;-6.7439933
ZINC000021952247;-7.150293;-7.748248;-7.080255;-7.357713;-7.2868304
ZINC000021952245;-7.2238655;-7.405241;-7.15625;-6.931072;-6.7330604
ZINC000008765366;-5.517889;-6.019487;-5.7895527;-5.3534045;-5.644408
ZINC000100789013;-5.5092735;-6.0192327;-5.8024125;-5.3576117;-5.648511
ZINC000041124026;-5.8200793;-6.26986;-6.6091456;-6.398862;-6.1175046
ZINC000041124026;-6.247679;-6.127374;-6.7370725;-6.6891065;-6.190166
ZINC000041124026;-6.1405997;-6.2562575;-6.168146;-6.284826;-6.5644393
ZINC000041124026;-6.247679;-6.127374;-6.7370725;-6.6891065;-6.190166
ZINC000584889749;-6.25647;-6.4135365;-6.6908693;-5.969056;-5.9999647
ZINC000584889749;-6.25647;-6.4135365;-6.6908693;-5.969056;-5.9999647
ZINC000068593526;-7.0714355;-6.850794;-6.279012;-6.052456;-6.25513
ZINC000068593526;-6.8736153;-5.918729;-6.271158;-5.4923396;-6.5045314
ZINC000068593522;-7.076235;-6.0962453;-6.4944506;-5.823835;-6.604067
ZINC000068593522;-7.5096855;-7.0063705;-6.5556693;-6.53189;-6.6685824
ZINC000127418979;-6.4125767;-6.852097;-6.9387536;-6.525201;-6.580019
ZINC000584897044;-7.1599035;-7.571468;-6.626449;-7.0095844;-6.88524
ZINC000584897044;-6.55799;-7.305436;-6.553148;-6.9172187;-6.520595
ZINC000584897043;-6.557636;-7.305425;-6.5532255;-6.9171047;-6.52024
ZINC000584897043;-7.1595;-7.571615;-6.626408;-7.009651;-6.8848667
ZINC000584897442;-6.1605854;-5.6202507;-5.3859334;-5.367521;-5.7306805
ZINC000584897443;-6.4009314;-5.6126914;-5.397556;-5.526631;-5.8221774
ZINC000426420456;-5.8467774;-6.3394637;-6.1114693;-5.943051;-6.1365666
ZINC000426420447;-5.777958;-6.4783435;-6.1898513;-6.014323;-6.1277537
ZINC000108523326;-7.272607;-7.082487;-6.583914;-6.8306346;-7.072374
ZINC000069626572;-7.0691075;-6.2003193;-5.9284396;-6.1168566;-5.8984056
ZINC000004253968;-7.0084867;-6.8698673;-6.5489902;-6.5063267;-6.8789644
ZINC000091304162;-6.2584825;-5.868009;-6.5291815;-6.4109797;-6.322106
ZINC000091304162;-6.2115707;-6.379505;-6.299771;-5.994396;-6.4350986
ZINC000069626573;-6.8262644;-6.4639797;-6.3432474;-6.3715343;-5.7297573
ZINC000022924036;-5.3584337;-5.686021;-5.7029104;-5.7274632;-5.38151
ZINC000036908692;-6.0770903;-6.5081253;-6.298813;-6.38298;-6.1858907
ZINC000036908692;-6.449259;-6.4075346;-6.210119;-6.6537137;-6.5478334
ZINC000106897046;-6.7208056;-6.7662888;-6.4652095;-6.2591915;-6.3067102
ZINC000106897046;-6.6001673;-6.4428644;-6.8791943;-6.8119483;-6.4598737
ZINC000036908693;-6.7924924;-7.057256;-6.3952255;-6.9625597;-6.785133
ZINC000036908693;-6.7924924;-7.057256;-6.3952255;-6.9625597;-6.785133
ZINC000106897049;-6.9742165;-7.1276827;-6.8911786;-6.87222;-6.7206836
ZINC000106897049;-6.9742165;-7.1276827;-6.8911786;-6.87222;-6.7206836
ZINC000098063899;-7.1334047;-6.354712;-6.5336356;-6.763338;-6.729251
ZINC000105789069;-6.168324;-5.7117596;-6.109975;-6.5088267;-5.885081
ZINC000105789069;-5.892124;-5.880861;-5.6182413;-6.351028;-6.0097246
ZINC000105789069;-6.2666826;-6.145876;-6.7368355;-6.678752;-6.1724215
ZINC000105789069;-6.277872;-6.4561424;-6.901768;-6.7935457;-6.9328547
ZINC000041124024;-6.4904776;-6.3857403;-6.95298;-6.903885;-6.602119
ZINC000041124024;-5.963752;-6.3816466;-6.2767262;-6.4378443;-6.125823
ZINC000041124024;-6.176094;-6.4782367;-6.2923017;-6.2025485;-6.4490232
ZINC000041124024;-6.49082;-6.385891;-6.953038;-6.903777;-6.6020837
ZINC000023282917;-6.4222693;-6.135046;-5.878556;-6.3400874;-6.7551875
ZINC000055145243;-7.5776114;-7.3036733;-6.8381257;-7.5502625;-7.25573
ZINC000002583930;-7.0451827;-7.1091585;-7.3585553;-7.101992;-6.9939203
ZINC000019878781;-6.7788253;-6.9168053;-6.0574026;-6.898026;-6.626186
ZINC000020284005;-6.8356347;-6.809018;-6.8282065;-7.0366664;-6.8046875
ZINC000024540826;-5.622162;-5.631897;-5.8372626;-5.572256;-5.93736
ZINC000057176057;-5.930347;-5.8599195;-6.133619;-6.0622764;-5.6664157
ZINC000057176058;-5.9255548;-5.8644376;-6.1315556;-6.0702033;-5.6593146
ZINC000052043195;-6.891126;-5.5886135;-5.7308674;-5.968133;-5.6296816
ZINC000040720694;-6.652474;-6.166891;-5.919321;-6.2345624;-6.366005
ZINC000013733155;-6.5023627;-6.0938597;-6.325385;-6.3747215;-6.334123
ZINC000013732751;-7.153975;-6.715047;-6.4939566;-6.7553434;-6.5078597
ZINC000013732707;-6.8430724;-6.5570564;-6.4777255;-6.514346;-6.5527277
ZINC000013732748;-6.5959377;-6.6006765;-6.1141124;-6.4262056;-6.155374
ZINC000036378401;-6.322916;-6.505489;-6.1199384;-6.2322664;-6.404929
ZINC000019283112;-5.7489805;-6.6680245;-6.353427;-6.2851;-6.6778526
ZINC000021951304;-6.9071164;-7.067538;-6.642493;-6.6624317;-6.9460917
ZINC000020130171;-6.6013703;-6.812669;-6.501893;-6.3149395;-6.566383
ZINC000020230873;-6.6702538;-6.8671207;-6.401233;-6.5648685;-6.4536324
ZINC000218378311;-7.0587006;-6.709763;-6.121514;-6.865054;-6.6611066
ZINC000218378438;-6.8780956;-6.8081365;-6.398012;-6.21204;-6.2591486
ZINC000019795714;-5.8976946;-6.305957;-5.688883;-6.1400075;-6.230491
ZINC000019702339;-6.4999113;-6.6407886;-6.225899;-6.359646;-6.5264344
ZINC000019795715;-6.0927415;-6.9456167;-5.5166783;-6.2494674;-6.4813137
ZINC000025720495;-6.261095;-6.689906;-6.0319195;-5.5169277;-5.4294524
ZINC000019702341;-5.836709;-6.829472;-6.2173934;-6.160909;-6.34376
