name;01;02;03;04;05
ZINC000079606819;-5.247751;-5.0346932;-5.3595333;-4.993337;-4.6967463
ZINC000634189618;-4.9330916;-5.039113;-5.2533083;-5.270252;-5.453854
ZINC000331262891;-4.9654384;-4.9304395;-4.824629;-4.964538;-4.6993065
ZINC000273671345;-5.4372997;-5.2610884;-5.4432316;-5.714581;-5.6033573
ZINC000859089592;-4.8516383;-4.928062;-5.106245;-4.835886;-4.899951
ZINC000278430805;-5.4063263;-5.1695905;-5.263238;-5.0321918;-5.0007725
ZINC000124664890;-5.18966;-5.266915;-5.5792084;-5.8478136;-5.260824
ZINC000168353507;-5.6699467;-5.5415373;-6.159947;-5.6613827;-5.945082
ZINC000345116062;-5.1001887;-5.100848;-5.241051;-5.406493;-4.9891768
ZINC000176416576;-6.1365776;-5.9558816;-6.142351;-5.9669805;-6.2516007
ZINC000579734331;-5.3693104;-5.7251315;-4.6275873;-5.551357;-5.3161964
ZINC000792320053;-5.5171647;-5.3438854;-5.295514;-5.883186;-5.713888
ZINC000309662954;-4.736407;-4.7524433;-5.079151;-4.9748473;-4.851687
ZINC000864064414;-5.169232;-5.380579;-5.399014;-5.5325136;-5.5439477
ZINC000541942861;-6.6103425;-6.2847085;-6.2668247;-6.4463015;-6.4305167
ZINC000566126766;-5.5964046;-5.8691225;-5.538622;-5.629324;-5.6699514
ZINC000338434999;-4.418584;-4.3222904;-4.80629;-4.5725946;-4.380046
ZINC000171670279;-4.6816497;-4.6509595;-4.929406;-4.6604695;-4.5419893
ZINC000297880597;-5.9640536;-5.223449;-5.2362146;-5.4524045;-5.5388346
ZINC000561333293;-5.177669;-5.242834;-5.2860794;-5.3764553;-5.4318175
ZINC000922477433;-5.8832016;-5.6206956;-6.002166;-5.8265915;-5.806445
ZINC000057922502;-5.643646;-5.4947853;-5.1701655;-5.233968;-5.022029
ZINC000150833918;-5.8736978;-5.5978055;-5.8883705;-5.6654396;-5.9171667
ZINC000074087655;-5.4982085;-5.5218935;-5.4836364;-5.0386925;-5.3695498
ZINC000662136112;-6.0717406;-5.848654;-5.57075;-5.7659507;-5.5568566
ZINC000792311944;-5.335336;-5.325347;-5.0256476;-5.6473484;-5.596291
ZINC000331264640;-5.1900887;-4.607684;-5.2856493;-5.1978903;-4.865856
ZINC000888320286;-5.552177;-5.2914424;-4.8605037;-4.614983;-5.2108235
ZINC000634189603;-5.865053;-5.737774;-5.400206;-5.468032;-5.9086027
ZINC000341945480;-5.8277884;-5.7513194;-5.3541946;-5.8018303;-5.433835
ZINC000331262131;-5.316393;-5.3984084;-5.3529477;-4.928813;-5.126981
ZINC000842100071;-3.9986482;-4.422769;-4.469028;-4.507408;-4.3978996
ZINC000338426926;-4.988427;-5.118849;-4.774502;-4.401204;-4.2979484
ZINC000612670348;-4.7528195;-5.0849347;-4.7731028;-4.9334664;-4.9305844
ZINC000792363215;-5.054516;-5.439259;-5.1173797;-4.58908;-5.173342
ZINC000634189206;-5.6121287;-5.581938;-5.8233457;-5.1675057;-5.7529035
ZINC000345112687;-5.4910107;-5.3199444;-5.6949306;-5.6932592;-5.768327
ZINC000286144277;-4.938157;-4.8221674;-5.336731;-4.9062095;-4.7643514
ZINC000792364395;-5.3345585;-5.378261;-4.8147597;-4.451102;-4.749839
ZINC000792352914;-5.106979;-5.7194686;-5.2199774;-4.849271;-5.2768188
ZINC000294344289;-6.3036213;-5.9662395;-6.3765354;-5.941484;-6.0919533
ZINC000372286758;-5.4431167;-5.665468;-5.5115967;-5.6860785;-5.519386
ZINC000819869293;-5.9088883;-5.793399;-5.614407;-5.890576;-5.880696
ZINC000842100068;-4.146568;-4.329905;-4.466833;-4.526742;-4.4184523
ZINC000171670194;-4.816473;-4.673179;-4.705928;-4.5452228;-4.88279
ZINC000139773846;-5.6834636;-5.4753075;-5.808654;-5.56685;-5.6068854
ZINC000182221114;-5.8275757;-5.0352583;-5.6212516;-5.6758504;-5.5714936
ZINC000280060073;-5.009423;-4.820628;-5.0168934;-5.2750964;-5.5044923
ZINC000662136109;-5.9668155;-5.795103;-5.4897213;-5.701598;-5.6780825
ZINC000577578108;-5.032206;-5.3058505;-5.35785;-5.3019705;-5.690104
ZINC000864058495;-5.3298683;-5.983654;-5.8134336;-5.30786;-5.786967
ZINC000908528270;-5.9317737;-5.99522;-5.640977;-5.311633;-5.638737
ZINC000842100922;-4.74245;-5.024776;-4.302368;-5.2642584;-5.1456614
ZINC000345114848;-5.430598;-5.3422728;-5.20193;-4.8459134;-4.803068
ZINC000664621219;-6.6031504;-6.3779035;-5.9927998;-5.805824;-5.7625384
ZINC000792356855;-5.0939775;-5.287862;-4.675462;-4.5113435;-4.798779
ZINC000266242442;-5.793367;-5.3069096;-5.52628;-5.6356716;-5.732524
ZINC000428153285;-6.0319242;-6.2622876;-5.736679;-5.4883876;-5.731448
ZINC000859089090;-4.8766913;-4.915638;-4.801536;-4.9905863;-4.955945
ZINC000923740547;-5.1081343;-5.1992474;-5.6073775;-5.5263295;-5.3453407
ZINC000351488756;-5.2751646;-4.620152;-4.6955886;-4.6618032;-4.5278
ZINC000295257884;-5.6165776;-5.779994;-5.2209077;-5.177726;-5.6378827
ZINC000286139222;-5.6788707;-5.5520034;-5.4040203;-5.6652412;-5.3431034
ZINC000351489313;-5.8995695;-5.830877;-5.9515605;-6.1174464;-6.2634287
ZINC000864064412;-5.793857;-5.6752257;-5.362915;-5.7641706;-5.7153683
ZINC000792364297;-5.193526;-5.3516273;-4.946973;-5.0045795;-5.035301
ZINC000908528439;-5.4804955;-5.9804707;-5.5464892;-5.3847294;-5.8542705
ZINC000189383505;-4.1196337;-4.579873;-5.0366573;-4.527439;-5.1033587
ZINC000171670307;-4.7154;-4.735192;-5.406126;-4.7838993;-4.6699476
ZINC000922479159;-5.412019;-5.691939;-5.6661015;-5.1123757;-5.6754537
ZINC000842100555;-5.475142;-5.522512;-5.372054;-5.812777;-5.396768
ZINC000700595596;-4.753992;-4.3683534;-4.3048697;-4.41214;-4.3736506
ZINC000634189357;-4.90208;-4.7118297;-4.6941214;-5.082028;-5.0377793
ZINC000116961821;-4.6156635;-5.206348;-4.984705;-4.624231;-4.8843
ZINC000351913276;-5.418571;-5.1078906;-5.7076845;-5.8193936;-6.1287885
ZINC000566127038;-5.6228476;-5.487906;-5.2350874;-5.378231;-5.4385815
ZINC000346579137;-4.7702956;-4.0538206;-4.4248614;-4.670253;-4.4266367
ZINC000354810204;-5.7494993;-6.804592;-6.1975408;-6.205001;-6.3894835
ZINC000601025130;-5.166987;-5.109251;-5.3499694;-5.1435266;-4.9647346
ZINC000177410872;-5.6375413;-5.678408;-5.488875;-5.2106657;-5.446185
ZINC000924168855;-5.6939416;-5.2703;-4.9940753;-5.91208;-5.3070593
ZINC000792355209;-5.752919;-6.257196;-5.421539;-5.2298994;-5.427656
ZINC000189381128;-6.104215;-5.7517014;-5.37701;-5.70878;-5.598328
ZINC000287667253;-6.0567017;-5.214864;-5.5587916;-5.679106;-5.4953747
ZINC000351487667;-5.2042317;-5.1579857;-5.4954534;-5.030204;-4.875081
ZINC000596325975;-5.5896287;-5.962933;-5.371335;-5.181529;-5.549178
ZINC000792364292;-5.1775665;-5.490678;-5.0166025;-4.989169;-5.1124806
ZINC000332463434;-5.7281647;-5.4719195;-5.793855;-5.80501;-5.8141155
ZINC000157877084;-5.926548;-5.5444593;-5.8568788;-5.788347;-5.9808826
ZINC000700595839;-4.9492335;-5.0121784;-4.880021;-4.6797457;-5.00994
ZINC000469726947;-6.102043;-5.6261387;-6.176785;-6.145026;-5.8892097
ZINC000351913855;-5.6619697;-5.755302;-5.72421;-5.7626963;-5.9127336
ZINC000525894733;-4.601222;-4.726328;-4.667981;-4.128617;-4.5080547
ZINC000404451664;-5.307055;-5.532196;-5.0544515;-5.2983484;-5.3407464
ZINC000331308424;-5.1715975;-4.9296927;-5.0887794;-5.2650785;-4.881075
ZINC000489189497;-4.6960363;-4.6547675;-4.8880835;-4.573495;-4.7577486
ZINC000864064415;-5.5439434;-5.4630632;-5.1951904;-5.576727;-5.4044843
ZINC000792353667;-4.929159;-5.3955603;-4.8470297;-4.2762547;-4.9000025
ZINC000842100920;-5.0324774;-4.740518;-4.34468;-5.07726;-5.2213483
ZINC000864058496;-5.397029;-5.831336;-5.5741277;-5.6169477;-5.7206616
ZINC000626639879;-5.822829;-6.0878835;-5.7959123;-5.6322527;-5.795296
ZINC000267214587;-5.257936;-5.4255843;-4.9778657;-5.3778267;-5.424465
ZINC000792353679;-4.6202106;-4.5487037;-4.416323;-4.0535355;-4.5657325
ZINC000384892293;-5.4459176;-4.532547;-5.3794527;-5.0924854;-5.02893
ZINC000042434204;-5.7957006;-5.687208;-5.8664956;-6.1379523;-6.132625
ZINC000490643008;-4.8759813;-5.1876335;-4.5929465;-4.538927;-4.7971826
ZINC000340221784;-5.6454277;-5.604497;-5.1720867;-5.076485;-5.406551
ZINC000792364313;-5.023628;-4.958637;-4.9861617;-5.0281363;-5.1741176
ZINC000341946487;-6.227764;-6.2578707;-5.284815;-5.844347;-5.943139
ZINC000574759804;-4.408347;-4.57704;-4.4916034;-4.715189;-4.584919
ZINC000331265803;-5.77003;-5.729898;-5.6511154;-5.8190064;-5.686534
ZINC000792356516;-5.1740074;-4.8223715;-4.641243;-4.74403;-5.1027293
ZINC000682607586;-6.375016;-5.951176;-5.735903;-5.973352;-5.96731
ZINC000930947157;-5.087557;-4.8273063;-4.542018;-4.590771;-4.791997
ZINC000051244154;-5.878277;-4.9873166;-5.647492;-5.5339065;-5.225495
ZINC000128338021;-5.4248285;-5.410358;-5.292004;-4.78305;-4.910718
ZINC000355920864;-4.9653406;-5.2587876;-5.2288737;-4.9236326;-5.4355454
ZINC000664618903;-7.02337;-6.613556;-6.261636;-6.4282737;-6.573791
ZINC000381398249;-5.398059;-4.878224;-5.364066;-5.0335784;-5.125833
ZINC000180626223;-6.3397493;-5.8350697;-5.7667294;-6.1512012;-6.201316
ZINC000388775966;-6.0135593;-5.86399;-5.996624;-5.7288823;-5.726651
