name;01;02;03;04;05
ZINC000004215762;-4.6228223;-5.23738;-4.5427613;-4.9967327;-5.680285
ZINC000001703033;-6.6644893;-6.6643524;-6.2791834;-6.8872995;-6.943472
ZINC000005606451;-6.0563326;-6.038135;-5.93051;-6.1561947;-6.0812974
ZINC000005594062;-5.6929893;-5.292556;-5.2069335;-5.565236;-5.529781
ZINC000017061909;-6.2775025;-6.2737784;-6.1050563;-6.313742;-6.249779
ZINC000001730377;-4.8599463;-4.7552924;-4.9750032;-5.1637983;-5.2735553
ZINC000000033068;-5.915952;-5.8151345;-5.719881;-6.2210765;-5.8098035
ZINC000057339929;-6.11808;-5.6767387;-5.959528;-5.9968743;-5.6553435
ZINC000006505052;-6.2621937;-5.9086833;-5.8229465;-6.3327694;-6.6607213
ZINC000032403391;-5.6250744;-5.5499797;-5.59374;-5.705305;-5.8305526
ZINC000004783365;-5.792307;-6.1816235;-5.9105835;-5.9173965;-5.967863
ZINC000089201833;-5.336027;-5.672184;-5.5811377;-5.7105045;-5.7942405
ZINC000001730375;-4.9025187;-5.121698;-4.9707904;-4.9643884;-5.146139
ZINC000096527774;-5.5355625;-5.3443956;-5.0773106;-5.366167;-5.332638
ZINC000014984861;-5.457073;-5.786808;-5.7321;-5.652595;-5.6206713
ZINC000000327227;-6.9447746;-6.0567427;-6.0913014;-6.378024;-6.048804
ZINC000008375419;-6.7462993;-6.134863;-6.5413957;-6.6691465;-6.6913385
ZINC000072196208;-6.8424134;-6.951648;-6.9238477;-6.8279595;-6.853048
ZINC000002022221;-5.923506;-5.6448154;-6.0243425;-5.7636156;-5.6408477
ZINC000076750279;-6.095158;-6.1186175;-5.816204;-6.3608966;-6.299206
ZINC000076750275;-6.0502486;-6.170648;-5.9541183;-6.2686768;-6.1899586
ZINC000066111171;-5.8222265;-5.6805453;-5.523327;-5.4990873;-5.772689
ZINC000001607781;-6.0143175;-5.623463;-5.5607595;-5.945029;-5.7779064
ZINC000095095244;-5.6885858;-5.997028;-6.2688885;-6.2835045;-6.017848
ZINC000095095243;-4.6929035;-5.053576;-5.5795927;-5.6542764;-5.2356143
ZINC000095095242;-4.8592086;-5.124938;-5.701022;-5.794776;-5.3467956
ZINC000238850440;-5.9773617;-6.1454306;-5.070756;-5.343394;-5.827985
ZINC000013212539;-5.3763995;-5.575049;-5.7535253;-5.5829315;-5.8907814
ZINC000008627791;-5.6683426;-5.7236757;-5.8519044;-6.089617;-5.7683263
ZINC000000055440;-6.5625772;-6.518137;-6.2279305;-6.617515;-6.349551
ZINC000076556607;-5.9351077;-5.3849955;-5.2801075;-5.6980443;-5.7317095
ZINC000077032113;-5.145126;-5.483162;-5.0084925;-5.381336;-5.3702006
ZINC000144326256;-6.7904854;-6.7147036;-6.4366097;-6.4566584;-6.45787
ZINC000142131264;-6.0414767;-6.0003996;-5.6422358;-6.02493;-6.309153
ZINC000100958923;-6.7607403;-6.425894;-6.372725;-6.345021;-6.8919067
ZINC000000339067;-7.0929623;-6.2378664;-6.3846154;-6.716629;-6.307906
ZINC000095760979;-5.9828024;-6.1465616;-6.0941734;-6.2124677;-6.1089354
ZINC000062262882;-6.7749033;-6.470998;-6.3924828;-6.5720954;-6.9446974
ZINC000005495688;-5.7206025;-5.788046;-5.7287407;-5.687557;-5.6580644
ZINC000001854833;-6.1028867;-6.2582207;-6.211276;-6.5215774;-6.0405016
ZINC000005495687;-5.9274416;-6.0272636;-5.936515;-5.8816533;-5.8078585
ZINC000021983972;-5.1781106;-5.909401;-5.6240788;-5.5520177;-5.652703
ZINC000072232681;-5.847695;-6.1735926;-5.554422;-5.8752036;-5.657864
ZINC000005733824;-5.76332;-6.0831485;-5.8150406;-5.865217;-5.9260163
ZINC000057340017;-5.475751;-5.355887;-5.762748;-5.7317953;-5.7240458
ZINC000001686056;-6.676776;-6.84566;-6.844;-7.056362;-6.8032475
ZINC000001684151;-6.0525107;-5.9420443;-6.102972;-6.27841;-6.04723
ZINC000001681732;-6.2488713;-6.039151;-5.980895;-6.073885;-6.0857806
ZINC000059474465;-6.1003194;-6.750991;-6.516805;-6.7561255;-6.3367805
ZINC000071254866;-4.682668;-4.89367;-4.8684998;-5.4726524;-4.991418
ZINC000001699648;-4.7489424;-4.744799;-5.0302653;-5.473883;-5.1321263
ZINC000026508457;-6.6333175;-6.2023535;-6.6228137;-6.788851;-6.475156
ZINC000016429318;-6.2968874;-6.3258553;-6.396644;-6.8237076;-7.0883627
ZINC000016428606;-5.9245243;-5.714361;-5.867018;-6.0650053;-5.955614
ZINC000077336632;-7.076741;-6.9481654;-6.222801;-6.7607365;-6.8477817
ZINC000001700840;-5.1638684;-5.5317516;-4.921299;-5.518851;-4.916416
ZINC000001701998;-6.1028686;-5.9977336;-5.7870274;-6.0063434;-6.141018
ZINC000001702943;-5.3177156;-5.4745026;-4.85408;-5.525049;-4.736237
ZINC000005275219;-5.248782;-5.2032847;-5.0648284;-5.31994;-5.1607933
ZINC000005276045;-5.2323728;-5.196289;-5.038788;-5.3113117;-5.139632
ZINC000013207415;-5.6711287;-6.001103;-5.486337;-5.4996986;-5.8334856
ZINC000013283656;-5.8922663;-6.0363097;-5.846107;-5.536023;-5.8463902
ZINC000017107141;-6.454964;-6.3641605;-6.1725283;-6.473172;-6.457055
ZINC000076494854;-5.6123996;-5.5821753;-5.510338;-5.7711487;-5.925521
ZINC000004241630;-7.297436;-6.6742997;-6.344109;-6.6722803;-6.990575
ZINC000004241637;-7.3060675;-6.4076514;-6.1049557;-6.772724;-6.8777657
ZINC000005579972;-5.862627;-5.7394896;-5.5539875;-6.08361;-5.9571824
ZINC000059488306;-6.5041313;-6.551174;-6.2374763;-6.439846;-6.436282
