name;01;02;03;04;05
ZINC000100361456;-5.3458858;-5.2804894;-5.129007;-5.082879;-5.1115775
ZINC000003210182;-5.5762463;-5.3048773;-5.136422;-5.532531;-5.19197
ZINC000071773042;-4.8500566;-5.533111;-5.4783897;-5.587987;-5.5629735
ZINC000108212438;-6.5670595;-6.442257;-6.161215;-6.6669054;-6.225746
ZINC000225423203;-6.5326552;-7.082133;-5.9316454;-6.706002;-7.43341
ZINC000021959717;-5.1201563;-5.3729396;-4.9434967;-5.2115774;-5.134463
ZINC000022221999;-6.014277;-6.126699;-5.970758;-6.134585;-6.0515018
ZINC000010591672;-5.859233;-6.0723405;-6.1014137;-6.092464;-6.072557
ZINC000006372885;-5.0589113;-5.2868953;-5.306216;-5.306607;-5.648055
ZINC000033534962;-5.0589113;-5.2868953;-5.306216;-5.306607;-5.648055
ZINC000008444209;-5.3078003;-5.4354553;-5.2191267;-5.2520843;-5.410806
ZINC000008444212;-5.3078003;-5.4354553;-5.2191267;-5.2520843;-5.410806
ZINC000098210237;-5.632072;-5.881916;-5.823838;-5.7957573;-5.638609
ZINC000100218739;-5.617093;-5.840658;-5.0812745;-6.2046475;-5.469076
ZINC000039931446;-5.000115;-5.358438;-5.381874;-5.0560308;-5.197635
ZINC000004521191;-5.5197124;-5.541062;-5.5246363;-5.535647;-5.553305
ZINC000019816802;-5.6963515;-5.854536;-5.739372;-5.6039166;-5.417506
ZINC000090677651;-5.6029735;-5.644853;-5.7753596;-5.621394;-5.4179177
ZINC000020154958;-5.622812;-5.5758343;-5.4469023;-5.444762;-5.4834037
ZINC000001638344;-5.3605537;-5.830011;-5.762914;-5.9398093;-5.811796
ZINC000022152750;-5.6590834;-5.801638;-5.5255847;-5.6482787;-5.773679
ZINC000000020255;-6.2315984;-6.008152;-5.8925653;-5.881113;-5.691159
ZINC000021507737;-5.516385;-4.888831;-5.124302;-5.1684284;-5.0150995
ZINC000100361462;-5.22164;-5.755868;-5.015361;-5.0527596;-5.2546363
ZINC000002511796;-5.8688154;-6.102026;-6.001875;-6.070111;-5.9287157
ZINC000000502343;-5.7972636;-5.999958;-5.9630547;-6.0427265;-6.0390735
ZINC000000522431;-5.10515;-5.076491;-4.9395404;-4.9620905;-4.928833
ZINC000018212202;-5.540787;-5.5567417;-5.276922;-5.790826;-5.31731
ZINC000095921753;-5.3454967;-5.506078;-5.346409;-5.67047;-5.321347
ZINC000017820748;-5.3454967;-5.506078;-5.346409;-5.67047;-5.321347
ZINC000095921755;-5.540787;-5.5567417;-5.276922;-5.790826;-5.31731
ZINC000034100754;-5.4278355;-5.3107357;-5.151326;-5.214564;-5.349537
ZINC000015990283;-6.481662;-6.1406417;-6.3325157;-6.053259;-6.3464394
ZINC000029763437;-4.482817;-4.5353436;-4.713972;-4.9010005;-4.657483
ZINC000002732259;-5.5095816;-5.371456;-5.344985;-5.3346305;-5.5713563
ZINC000100151392;-5.460579;-5.284554;-5.340188;-5.4901423;-5.3694935
ZINC000334160571;-5.5969315;-5.7773833;-5.8377347;-5.49789;-5.9214897
ZINC000334160573;-5.619818;-6.08256;-6.0058236;-5.677548;-6.047892
ZINC000334160574;-5.572087;-5.769183;-5.8409815;-5.4719133;-5.899058
ZINC000334160572;-5.7024136;-6.0506616;-5.94409;-5.6913753;-6.0075436
ZINC000037996280;-4.7388496;-4.3416414;-4.7237954;-4.5824633;-4.3213964
ZINC000014722982;-4.9977074;-5.6694193;-5.346941;-5.647818;-5.817853
ZINC000044123793;-4.326171;-4.5765285;-3.9103062;-4.4058766;-4.4166746
ZINC000001307446;-5.104622;-5.4541655;-5.4353466;-5.5288982;-5.4244037
ZINC000102314979;-4.228967;-4.087026;-4.2829328;-4.1209693;-4.3991256
ZINC000100916858;-4.514059;-4.587768;-4.912341;-4.7910285;-4.6799107
ZINC000006499484;-5.113106;-5.2163835;-4.9868183;-5.149495;-5.085426
ZINC000225421910;-6.59519;-6.368754;-5.5397987;-6.6308455;-6.9020224
ZINC000072171731;-5.699273;-5.771454;-5.738493;-5.9952073;-5.769604
ZINC000019982861;-5.075614;-4.6730514;-4.59344;-4.45764;-4.5662932
ZINC000000175690;-5.4633937;-5.1909237;-5.295439;-5.168451;-5.3610425
ZINC000000175688;-5.475752;-5.1871743;-5.3127375;-5.161957;-5.3734016
ZINC000034927009;-5.476929;-5.934854;-5.171528;-5.5717993;-5.6132984
ZINC000034927008;-5.644908;-6.0221777;-5.312041;-5.625834;-5.7425027
ZINC000001319162;-4.143148;-4.502644;-4.1980844;-4.1487947;-4.5848446
ZINC000096191907;-5.1601477;-5.3343096;-5.4287114;-5.4417863;-5.6283402
ZINC000031829439;-4.648299;-4.814175;-4.6055036;-4.6540756;-4.686789
ZINC000011692214;-4.2608767;-3.9815707;-4.119704;-4.1388645;-4.402046
