name;01;02;03;04;05
ZINC000071773441;-5.5352645;-5.602111;-5.5322967;-5.4892707;-5.5653243
ZINC000071774204;-5.321129;-5.0730286;-4.968962;-4.9616785;-4.908174
ZINC000006678576;-6.069131;-6.398767;-6.415603;-6.2108355;-6.484274
ZINC000221512466;-5.6769805;-5.0302835;-5.3043604;-5.0100937;-5.4041862
ZINC000000080850;-4.824382;-5.2100835;-4.9925594;-5.0545607;-5.0517
ZINC000072266121;-5.291436;-5.2681956;-5.009679;-4.8573065;-5.463883
ZINC000000080853;-4.6773195;-5.036696;-5.0665154;-5.303995;-4.964095
ZINC000003132550;-4.934216;-5.3678803;-5.7993283;-5.3764563;-5.381716
ZINC000004837167;-6.2142835;-5.934206;-5.1299124;-5.96514;-5.4813128
ZINC000004837166;-6.7221622;-6.051754;-5.7966537;-6.166535;-5.8998246
ZINC000004837165;-6.6731777;-6.0341935;-5.732166;-6.0808587;-5.855943
ZINC000006442692;-5.584366;-5.7453165;-5.668519;-5.931753;-6.0634537
ZINC000003529769;-5.2593045;-5.2985115;-5.132178;-5.298173;-5.275975
ZINC000004832602;-5.9081526;-5.7156467;-5.692493;-5.704033;-5.9032154
ZINC000058173206;-5.5538216;-6.259888;-5.8017454;-5.749095;-5.872645
ZINC000034936199;-5.5106406;-5.230754;-5.478112;-5.5241637;-5.503188
ZINC000000333419;-5.0816584;-5.3876357;-5.186227;-5.3058867;-5.580309
ZINC000003681410;-5.3735495;-5.4390783;-5.442095;-5.629536;-5.2827706
ZINC000003132548;-5.363168;-5.3845153;-5.455647;-5.4576263;-5.7869406
ZINC000002510198;-4.8769236;-5.5516787;-5.7879744;-5.5579553;-5.710504
ZINC000001596326;-5.92266;-5.664241;-5.6189275;-5.8085895;-5.789908
ZINC000003886848;-3.825786;-3.8776355;-4.3759923;-4.1577516;-4.1427236
ZINC000003886849;-3.93857;-4.1752415;-4.39507;-3.922389;-3.9650774
ZINC000003995848;-5.342139;-5.749973;-5.17661;-5.4302607;-5.094146
ZINC000000333421;-5.251059;-5.355712;-5.3700233;-5.5507793;-5.6890945
ZINC000004728587;-5.3649106;-5.570726;-5.5260034;-5.7756977;-5.81016
ZINC000004728585;-5.415958;-5.465556;-5.4716277;-5.5364413;-5.3144627
ZINC000001591863;-4.915975;-5.230112;-5.313158;-5.258963;-5.3963113
ZINC000036075273;-5.4852996;-5.371849;-5.656619;-5.5182295;-5.6853733
ZINC000038194592;-5.027225;-5.235213;-5.236652;-5.381978;-5.5544515
ZINC000005358452;-5.1172338;-5.034807;-5.035827;-5.325649;-5.4953814
ZINC000000108984;-5.709743;-5.660645;-5.425382;-5.4537354;-5.6992464
ZINC000012369023;-5.431395;-5.478233;-5.131405;-5.402848;-5.3906918
ZINC000004300835;-5.920687;-5.631607;-5.3790812;-5.2209272;-5.496648
ZINC000004336269;-6.356871;-6.2135696;-6.18404;-6.6632814;-6.4373465
ZINC000004759603;-5.4659977;-5.3065743;-5.0805902;-5.1683545;-5.4745045
ZINC000004972521;-4.4289465;-4.44232;-4.700343;-4.6353307;-4.4862275
ZINC000036456426;-5.1476855;-5.273749;-5.231363;-5.1868396;-5.1769533
