name;01;02;03;04;05
ZINC000042411243;-5.990819;-5.8424125;-5.921259;-5.850377;-6.085334
ZINC000077362486;-5.8953714;-5.7349606;-6.0591297;-5.854133;-6.0214663
ZINC000003846316;-5.5431995;-5.46234;-5.467682;-5.1717925;-5.2920423
ZINC000001700903;-5.4491625;-5.606535;-5.6414137;-5.4807715;-5.3456445
ZINC000001700901;-5.656761;-5.652155;-5.718632;-5.702639;-5.473689
ZINC000003846314;-5.045799;-5.184368;-5.3532257;-5.19949;-5.2139482
ZINC000034330397;-4.991006;-5.070547;-5.0316887;-5.056913;-4.7226505
ZINC000015440423;-5.306187;-5.560749;-5.431046;-5.5498776;-5.4783535
ZINC000042411246;-5.839226;-5.607438;-5.9582157;-5.7495646;-5.9469795
ZINC000042411252;-6.0049505;-6.0357046;-6.0344296;-6.0390763;-6.1548233
ZINC000217701223;-5.862436;-5.489728;-5.806576;-5.8634086;-5.613111
ZINC000003831574;-4.945225;-4.955397;-5.042547;-5.2043014;-5.331631
ZINC000218308854;-5.5387163;-6.036859;-5.565722;-5.6277456;-5.881067
ZINC000002506720;-5.2396917;-5.5258064;-5.6589413;-5.501082;-5.6099916
ZINC000148031701;-4.775225;-5.765805;-5.1813736;-5.1467123;-5.3835735
ZINC000022004139;-5.1757336;-5.515762;-5.5629354;-5.698012;-5.827002
ZINC000005662597;-5.468312;-5.683101;-5.6773205;-5.7486577;-5.82548
ZINC000001628957;-5.651979;-5.6319094;-5.5336823;-5.762143;-5.413416
ZINC000001678801;-5.684831;-6.042007;-5.632043;-5.939353;-5.9021378
ZINC000017310877;-5.905703;-5.699381;-5.6893034;-5.7857437;-5.631217
ZINC000005810965;-5.2346745;-5.4219465;-5.442566;-5.5019217;-5.350347
ZINC000004329289;-3.2929652;-3.0827034;-3.3465075;-3.0300827;-3.139632
ZINC000016851428;-5.2611027;-5.280881;-5.2843695;-5.4568844;-5.593213
ZINC000004537586;-5.1964784;-5.3759747;-5.284231;-5.5226398;-5.4245615
ZINC000004536709;-5.816364;-6.1764555;-5.6326656;-5.964138;-5.877137
ZINC000004565672;-5.644632;-5.824371;-5.863404;-5.1225095;-5.6337385
ZINC000217714428;-5.7796903;-5.7870917;-5.8127384;-5.823124;-6.261328
ZINC000001669303;-5.07937;-5.1827097;-5.10211;-4.6468015;-4.9390035
ZINC000004722719;-6.347165;-6.627281;-6.0385256;-5.9026465;-6.6906195
ZINC000005031386;-5.522695;-5.3097253;-5.766524;-5.180173;-5.1739635
ZINC000001709987;-5.136485;-5.2528687;-5.3189077;-5.3569083;-4.69262
ZINC000008627951;-5.529028;-5.62049;-5.5837727;-5.71331;-5.7282467
ZINC000001732826;-4.74447;-4.745316;-4.6807957;-3.9587808;-4.60537
ZINC000005029952;-5.6266255;-6.191972;-6.5190334;-5.5690184;-5.966232
ZINC000005014649;-4.913282;-4.941484;-4.6137977;-4.800547;-5.1745
ZINC000005725987;-5.57437;-5.4113507;-5.3333287;-5.290966;-5.2979355
ZINC000020494489;-4.7803526;-5.3146105;-5.3498197;-5.1507;-4.7330556
ZINC000005179297;-5.2167;-5.6186004;-5.419103;-5.634034;-5.4611974
ZINC000026522533;-5.6375484;-5.551445;-5.4909735;-5.4741077;-5.544315
ZINC000039258223;-5.326241;-5.4880342;-5.7176757;-5.473159;-5.622954
ZINC000039273986;-5.7244453;-5.276543;-5.819001;-5.5691156;-5.9628997
ZINC000038530090;-5.1040506;-5.16783;-4.957486;-5.123869;-5.281358
ZINC000005532152;-6.5431213;-6.1329737;-5.945145;-6.408626;-6.345036
ZINC000146199854;-5.4889145;-5.1985765;-5.0923734;-5.154434;-5.5770087
ZINC000004831595;-5.216;-5.2447;-5.714234;-5.3700547;-5.585513
ZINC000004831594;-5.221135;-5.2886634;-5.1189933;-5.3296657;-5.399596
ZINC000005376948;-5.3050976;-5.2134686;-4.9735174;-4.47853;-5.0173645
ZINC000001870287;-5.416509;-5.4019084;-5.4462748;-5.255515;-5.3744016
ZINC000075605394;-5.8164845;-5.763781;-5.8094926;-5.7779813;-5.634231
ZINC000070225158;-6.3230963;-5.867471;-5.6899223;-5.8365083;-5.8508124
ZINC000217754913;-5.9747896;-5.762987;-5.354658;-5.327301;-5.328758
ZINC000100126721;-5.5524006;-6.1116657;-6.2216644;-6.110562;-6.244671
ZINC000020153765;-5.5524006;-6.1116657;-6.2216644;-6.110562;-6.244671
ZINC000100844949;-5.5850368;-5.809322;-5.8271556;-5.5621257;-5.8928423
ZINC000004539307;-5.5850368;-5.809322;-5.8271556;-5.5621257;-5.8928423
ZINC000002524874;-5.6468563;-5.765752;-5.7333393;-5.4937344;-5.7089715
ZINC000000391863;-5.639589;-5.7359915;-5.5339136;-5.639672;-5.714019
ZINC000001651951;-4.915703;-5.42507;-5.3070197;-5.273482;-5.4429994
ZINC000082789523;-5.669531;-5.5013285;-5.4676256;-5.469364;-5.549367
ZINC000082789521;-5.3966613;-5.2019253;-5.4647965;-5.570708;-5.7168255
ZINC000057953139;-5.7112646;-5.6095924;-5.6796074;-5.663113;-5.645504
ZINC000057953141;-5.571945;-5.399141;-5.700411;-5.6044855;-5.759716
ZINC000085393967;-6.396784;-6.4882135;-5.70311;-6.175516;-6.310857
ZINC000224967406;-6.5418487;-6.273982;-6.271065;-6.063843;-6.5925527
ZINC000003209425;-5.628372;-5.853278;-5.289024;-5.548086;-5.7131677
ZINC000001656021;-6.7646937;-6.3064876;-5.9208384;-5.8832917;-5.977129
ZINC000077311440;-6.0188856;-5.901798;-5.579757;-5.9343686;-5.7690744
ZINC000085398734;-5.0668793;-5.1115403;-5.0423117;-5.6414766;-5.136321
ZINC000085398731;-4.9933586;-5.0390873;-5.0132847;-5.636707;-5.1223154
ZINC000585142240;-5.3605137;-5.273501;-5.2972097;-5.2159204;-5.286801
ZINC000585142321;-4.703165;-4.8577113;-4.9870276;-4.822234;-5.069065
ZINC000585142315;-4.9282675;-4.9719872;-5.021491;-4.906614;-5.1495185
ZINC000585142061;-5.5034895;-5.5571194;-5.1999135;-5.3577466;-5.3341255
ZINC000585142122;-5.2939806;-5.3297443;-5.291242;-5.0904655;-5.5992904
ZINC000585142603;-5.3752704;-5.2928033;-4.9430327;-5.4208493;-5.3969526
ZINC000001564619;-5.766832;-5.840291;-5.9353657;-5.712788;-5.909676
ZINC000095094161;-5.436882;-5.6102047;-5.6265216;-5.9290733;-5.725205
ZINC000004902890;-6.0044956;-6.006635;-5.9881797;-6.724805;-6.0860176
ZINC000072318096;-5.314881;-5.677709;-5.4098372;-5.021563;-5.148751
ZINC000008649498;-5.7283154;-5.5928965;-5.391174;-5.315374;-5.4280095
ZINC000005647028;-5.943573;-5.9579887;-5.870806;-5.750068;-6.0272627
ZINC000003091306;-5.4114943;-5.569702;-5.2478714;-5.128855;-5.2500935
ZINC000031350042;-5.0432253;-4.645834;-4.6805677;-4.532475;-4.456337
