name;01;02;03;04;05
ZINC000034117197;-6.5184026;-5.908124;-6.020596;-6.312381;-6.4778976
ZINC000078406333;-6.3271747;-6.608285;-6.005061;-5.8622646;-6.1359878
ZINC000169800308;-6.0382557;-6.235955;-5.9006743;-6.0156693;-5.919866
ZINC000004182325;-6.459515;-6.1652737;-6.2196746;-6.5142765;-6.463547
ZINC000036925899;-6.6370087;-6.610181;-6.4075527;-6.1920805;-6.2364454
ZINC000068604028;-5.3058023;-5.249092;-5.444418;-5.364937;-5.4500175
ZINC000001716922;-5.5132256;-5.848195;-5.606294;-5.8001275;-6.1161227
ZINC000117620303;-6.2894435;-6.457742;-6.1956143;-6.4284163;-6.4008846
ZINC000005336167;-7.150517;-6.8662753;-6.912106;-7.688699;-7.068801
ZINC000091356025;-6.899851;-5.9759026;-6.4434533;-6.346153;-6.257087
ZINC000004042120;-4.8214874;-5.7044797;-5.4454756;-4.794321;-5.3410096
ZINC000001571719;-5.055833;-5.109251;-5.207914;-5.181532;-5.1623044
ZINC000051865649;-7.043193;-6.244187;-6.398299;-7.2882924;-6.925625
ZINC000051867985;-6.775717;-6.60785;-6.821895;-6.7023883;-6.5710845
ZINC000051867983;-6.688623;-6.7105565;-6.746825;-6.534617;-6.5102544
ZINC000051865404;-6.863983;-6.1370144;-6.8031945;-6.9519453;-6.6821
ZINC000002527202;-6.9928823;-6.854505;-6.7481995;-7.2425504;-6.9243927
ZINC000005389866;-6.571725;-6.630912;-6.4742885;-6.3478947;-6.6376524
ZINC000001602615;-6.60115;-6.65859;-6.177992;-6.6101913;-6.3363132
ZINC000006883156;-6.095128;-6.4354115;-6.3301463;-6.563736;-6.304863
ZINC000062720086;-7.1244044;-7.187942;-6.8396454;-7.027396;-7.132447
ZINC000062720089;-7.1244845;-7.188;-6.839612;-7.0273266;-7.1323056
ZINC000004722269;-5.0567102;-4.774182;-5.270688;-4.8764353;-4.9302535
ZINC000004777748;-5.1105957;-5.2191286;-5.1662793;-5.2601523;-5.195608
ZINC000031669913;-6.3052316;-6.289866;-6.265361;-6.0340695;-6.127342
ZINC000031669912;-5.581373;-5.701685;-5.6093354;-6.1003146;-6.223572
ZINC000035677509;-7.273078;-7.8358216;-7.4367194;-7.437027;-7.166118
ZINC000004962470;-5.506936;-5.275101;-5.4768314;-5.416054;-5.6622276
ZINC000001724778;-6.5560455;-6.9705515;-6.991014;-6.7399044;-6.2464647
ZINC000001673645;-5.8927546;-5.9305243;-5.9352617;-6.1865983;-6.0293984
ZINC000004215584;-5.159589;-5.3426037;-5.0901613;-5.0385447;-5.125523
ZINC000001600315;-4.597012;-4.651848;-4.7459183;-4.4466867;-4.796082
ZINC000005385262;-5.6893473;-6.0037165;-5.299747;-5.491097;-5.515749
ZINC000005395489;-5.827121;-5.9390306;-5.2943516;-5.455291;-5.5442014
ZINC000036962387;-7.3951306;-7.5866704;-7.290872;-7.5025167;-6.988273
ZINC000037116540;-8.330497;-8.213279;-7.9718466;-8.125099;-7.835035
ZINC000037116539;-7.006485;-7.0539913;-6.8201528;-7.225851;-6.969944
ZINC000005017993;-5.615133;-5.708907;-5.4020557;-5.7582355;-5.749671
ZINC000035635953;-6.7044544;-6.7543526;-6.642538;-6.6360335;-6.6397743
ZINC000005940141;-4.9198365;-5.1859665;-5.1247563;-5.1294165;-4.980969
ZINC000019393915;-7.1475606;-7.443026;-6.6943665;-7.122844;-7.1893296
ZINC000019392596;-6.5878105;-6.919102;-6.1641574;-6.8370767;-6.808189
ZINC000006519725;-5.6447244;-5.414837;-5.446375;-5.43909;-5.390761
ZINC000006519786;-5.3873124;-5.4183846;-5.459094;-5.4741187;-5.280409
ZINC000035635951;-6.4428883;-6.894731;-6.665753;-6.748787;-6.6059113
ZINC000004028515;-5.40843;-5.879094;-5.415512;-5.650773;-5.882958
ZINC000003845814;-4.9448347;-5.02565;-5.2054014;-4.8940563;-4.956642
ZINC000003845813;-4.5485263;-5.0088396;-5.060328;-4.964786;-4.9527707
ZINC000057467361;-6.2595034;-6.024586;-6.7875423;-6.1870317;-6.53077
ZINC000019726918;-7.4545903;-7.384809;-7.2844253;-7.1692185;-7.0105333
ZINC000001610819;-5.2150073;-5.5799685;-5.453678;-5.594874;-5.57173
ZINC000058081624;-6.069258;-5.871719;-5.7598586;-6.156402;-5.7255964
