name;01;02;03;04;05
ZINC001224817355;-4.7378883;-4.684356;-5.6788588;-5.2786484;-4.9845915
ZINC001224817356;-4.9355397;-4.906431;-5.9744973;-5.1741343;-5.1092606
ZINC000133214744;-7.154694;-7.7634487;-6.6438856;-7.173933;-6.705369
ZINC000133214744;-7.1549497;-7.7613783;-6.6430573;-7.1727595;-6.6987033
ZINC000873253425;-8.239625;-8.500564;-7.785136;-8.254715;-7.7715425
ZINC000873253426;-8.78615;-8.41359;-7.684185;-8.351962;-7.7209525
ZINC001246564219;-7.628989;-7.4534497;-6.988371;-7.345044;-7.217505
ZINC001246564217;-7.7475233;-7.5492153;-7.2119107;-7.3010607;-7.2188535
ZINC000566226070;-7.4694405;-7.4952445;-7.2046065;-7.0201735;-7.214694
ZINC000566226070;-7.312069;-7.3307915;-6.962028;-7.1178303;-7.1893063
ZINC001246564218;-7.5697703;-7.5041265;-7.3005238;-7.1935873;-7.3434734
ZINC000050245171;-8.327944;-8.7876835;-8.072807;-8.131367;-8.029467
ZINC000050245171;-8.976614;-8.874059;-8.00653;-8.144658;-8.29167
ZINC000224197771;-8.4151125;-8.389217;-8.0445385;-8.348897;-7.9439473
ZINC000224197771;-8.480741;-8.91873;-8.243416;-8.032739;-8.107269
ZINC001246564216;-8.169445;-7.1024957;-7.2026877;-7.1719213;-7.5050297
ZINC000414782944;-7.709338;-7.6587486;-7.367576;-7.302601;-7.3316307
ZINC000414782944;-7.940054;-7.8606715;-7.3645673;-7.1802654;-7.236781
ZINC000414942976;-8.487957;-8.309408;-8.378309;-8.724069;-8.22424
ZINC000414942973;-8.1634445;-8.188251;-8.612222;-8.159714;-7.99716
ZINC000414942975;-8.344036;-8.006296;-8.502259;-8.16303;-8.0462475
ZINC000414942974;-8.645927;-8.204794;-8.230534;-8.708826;-8.288471
ZINC000224204860;-7.7609015;-7.912191;-7.413109;-7.849672;-7.2769265
ZINC000224204860;-7.717719;-7.956889;-7.6295447;-7.7342215;-7.319924
ZINC000050245424;-7.4102836;-8.19381;-7.419045;-7.829342;-7.305355
