name;01;02;03;04;05
ZINC000017242557;-5.3696003;-5.274225;-5.270048;-5.2806406;-5.369383
ZINC000071774212;-5.5275397;-5.532588;-5.0211377;-5.213849;-5.3197856
ZINC000071774212;-5.562801;-5.485212;-5.0268483;-5.1874895;-5.3199425
ZINC000004159612;-6.2356997;-5.8815966;-5.6719146;-5.90789;-5.918028
ZINC000019702864;-5.1457834;-5.121399;-5.1531034;-4.9710617;-5.2100286
ZINC000096494675;-5.9863605;-5.3044443;-5.7952967;-5.5915384;-5.758026
ZINC000018189063;-5.1078615;-5.145045;-5.0492077;-4.892608;-4.7747374
ZINC000584890378;-6.1370935;-6.2491865;-6.1673756;-6.141289;-5.9871435
ZINC000584890377;-5.8238463;-6.246144;-6.1604075;-6.3493786;-5.8125963
ZINC000075147879;-4.772652;-6.068279;-5.6635556;-5.718653;-5.623645
ZINC000000025880;-4.6081915;-4.2387514;-4.4269795;-4.461712;-4.608749
ZINC000004812997;-5.8164973;-6.021027;-5.883967;-6.0846972;-5.740686
ZINC000004812997;-5.7358184;-5.6834116;-5.7022305;-6.0010424;-5.7706227
ZINC000000256494;-5.2017403;-4.721118;-4.7802343;-5.1088037;-5.0391645
ZINC000012977310;-5.2539;-5.338759;-4.9911213;-5.043666;-5.31649
ZINC000009364224;-5.5042667;-5.4644337;-5.2908316;-5.1287107;-4.95129
ZINC000100316664;-5.4131165;-5.3064356;-5.4097257;-5.406465;-5.3895655
ZINC000252612766;-5.4394054;-5.6205897;-5.3126116;-5.300221;-5.5179844
ZINC000022996479;-5.324933;-5.2033606;-5.130232;-5.106235;-5.2219343
ZINC000043404443;-5.7195835;-5.314187;-5.582192;-5.747208;-5.7756605
ZINC000100437029;-5.836376;-5.577238;-5.876415;-5.624549;-5.837202
ZINC000043404445;-5.719831;-5.313965;-5.5817456;-5.7472534;-5.775718
ZINC000018211178;-5.980902;-6.0857587;-5.866493;-5.782408;-5.7826285
ZINC000100100485;-5.765231;-5.442446;-5.6508527;-5.6273837;-5.8776245
ZINC000100100485;-5.7799516;-5.689228;-5.6520457;-5.7365465;-5.7928343
ZINC000004002536;-6.0025024;-5.670653;-5.6495028;-5.6629286;-5.6816764
ZINC000005052444;-5.3384542;-5.2581944;-5.0868692;-5.2330375;-5.228067
ZINC000263624179;-5.5080376;-5.5138087;-5.417778;-5.323169;-5.4229517
ZINC000000170321;-5.427809;-5.2240124;-5.1897354;-5.3686223;-5.3781347
ZINC000006505196;-4.326713;-4.2491655;-4.032909;-4.257703;-4.428035
ZINC000002757968;-5.0822887;-5.2356563;-5.124747;-5.189298;-5.2419786
ZINC000004698703;-5.507065;-5.1863866;-4.8234634;-4.797371;-5.183176
ZINC000004697309;-5.858274;-5.9683037;-5.909724;-5.950908;-5.8269053
ZINC000000190894;-6.0258937;-5.7778716;-5.805931;-6.1392193;-5.9077897
ZINC000008818241;-5.8275237;-5.8930836;-5.775317;-5.775781;-5.800295
ZINC000100926106;-6.524418;-6.3702955;-6.4103804;-6.6247816;-6.3121634
ZINC000263625264;-5.270173;-5.25739;-5.25504;-5.440786;-5.7116904
ZINC000263623081;-5.516419;-5.2250443;-5.1839647;-5.3170466;-5.4526324
ZINC000031649522;-6.370902;-6.4347634;-6.2695704;-6.104471;-6.2420845
ZINC000006557273;-5.1178184;-5.5480213;-5.3813233;-5.4537177;-5.3891115
ZINC000002583730;-5.0892158;-5.0202727;-4.9562116;-4.927885;-5.1757684
ZINC000252616838;-5.947652;-5.6065197;-5.387928;-5.3684254;-5.8174586
ZINC000263623660;-5.2376785;-5.1666603;-5.3166733;-4.99465;-5.3634706
ZINC000263624798;-5.043646;-5.3692985;-5.351097;-5.3943715;-5.6726227
ZINC000005037768;-5.9530773;-6.257009;-5.700446;-5.8116193;-6.127643
ZINC000003946821;-5.695753;-5.9071884;-5.6518784;-5.5534334;-5.9318123
ZINC000225407501;-6.5466776;-6.285614;-6.0533905;-6.294619;-6.4155436
ZINC000008133017;-4.9448276;-5.2143054;-4.9167113;-4.964943;-5.060919
ZINC000013469677;-6.160733;-5.6483054;-5.5099406;-5.7407875;-5.7918468
ZINC000013130099;-5.72945;-5.699323;-5.7241454;-5.598899;-5.9061055
ZINC000070461123;-6.031354;-5.9281597;-5.8601294;-5.8086996;-6.045052
ZINC000015379217;-6.1742706;-6.4207544;-5.891574;-6.0443087;-6.0617228
ZINC000031841297;-6.1534753;-6.401969;-6.203356;-6.0215077;-6.2177343
ZINC000234030620;-5.017288;-5.3518305;-5.404448;-5.349969;-5.3119535
ZINC000100071947;-5.6776543;-5.750894;-5.7486925;-5.575128;-5.994494
ZINC000095082490;-5.819059;-5.677664;-5.636466;-5.5159717;-6.015932
ZINC000008325756;-6.866522;-6.5200663;-6.603117;-6.2646246;-6.4169507
ZINC000008325756;-6.860621;-6.510089;-6.6064095;-6.2563043;-6.4082913
ZINC000000171229;-5.5376606;-5.482978;-5.1632543;-5.3408775;-5.562212
ZINC000004150944;-6.290667;-5.821717;-5.8685536;-5.923198;-6.1478996
ZINC000255996152;-6.8023615;-6.49556;-6.257308;-6.4488897;-6.538948
ZINC000004159613;-6.3813047;-5.947364;-5.7178154;-6.167947;-6.3584914
ZINC000234245485;-4.6295543;-4.620145;-4.5480833;-4.8133783;-4.4445763
ZINC000006557125;-5.947652;-5.6065197;-5.387928;-5.3684254;-5.8174586
ZINC000101369776;-5.4469876;-5.168379;-5.3453846;-5.24846;-5.3958244
ZINC000101369776;-5.397531;-5.318901;-5.0525513;-5.151016;-5.318701
ZINC000012413078;-5.690586;-5.6407566;-5.658677;-5.6483517;-5.670805
ZINC000012341736;-5.2837424;-5.380177;-5.501156;-5.4769087;-5.3698163
ZINC000085412488;-5.404574;-5.1569715;-4.904996;-5.200096;-5.094549
ZINC000036559135;-4.7151628;-5.0301027;-4.8602786;-4.9103475;-4.994017
ZINC000007026680;-6.370902;-6.4347634;-6.2695704;-6.104471;-6.2420845
ZINC000000046534;-5.8225436;-5.45759;-5.46811;-5.427844;-5.5586166
ZINC000000046534;-5.8225436;-5.45759;-5.46811;-5.427844;-5.5586166
ZINC000002547347;-4.5035715;-4.35841;-4.491309;-4.6154604;-4.869772
ZINC000034961490;-4.559921;-4.8528633;-4.956077;-5.2137794;-5.0186567
ZINC000004287514;-4.5210695;-4.4472733;-4.6783495;-4.634094;-4.777214
ZINC000012336667;-5.357169;-5.4811735;-5.1480794;-5.3215537;-5.2477026
ZINC000034929281;-5.8123603;-5.71247;-5.6216035;-6.042556;-5.9871917
ZINC000034929279;-5.8094907;-5.71313;-5.626148;-6.044028;-5.9885654
ZINC000036235174;-5.5888805;-5.563861;-5.8445683;-5.55869;-5.4716406
ZINC000000279091;-6.084913;-6.085886;-5.626867;-5.78812;-5.952771
ZINC000029056855;-6.006277;-5.7633295;-5.8459873;-5.819588;-5.762128
ZINC000029056855;-6.0129776;-5.756854;-5.802194;-5.8274307;-5.7630205
ZINC000019703282;-5.767219;-5.568162;-5.6612973;-5.2014294;-5.5242867
ZINC000013011869;-5.814233;-5.6342797;-5.321748;-5.539879;-5.7235484
ZINC000019836524;-4.9918404;-5.1494265;-4.8624377;-4.970861;-5.1728635
ZINC000100151309;-5.633421;-5.555701;-5.138682;-5.8294873;-5.8024383
ZINC000006224360;-7.017334;-6.7158794;-6.625445;-6.981708;-7.0168505
ZINC000000046484;-6.7933865;-6.423972;-6.653905;-6.5509224;-6.6764565
ZINC000105627545;-5.814062;-5.637474;-5.933257;-5.8222857;-5.645475
ZINC000005690728;-5.8164973;-6.021027;-5.883967;-6.0846972;-5.740686
ZINC000005690728;-5.7358184;-5.6834116;-5.7022305;-6.0010424;-5.7706227
ZINC000008648789;-5.389644;-5.425489;-5.053001;-5.0925884;-5.373135
ZINC000004697556;-5.415109;-5.494159;-5.5361676;-5.6243978;-5.588619
ZINC000005598851;-5.487168;-5.489547;-6.0748034;-5.4044456;-5.8202972
ZINC000005598852;-5.3844223;-5.5301623;-6.074644;-5.4625235;-5.876247
ZINC000007991543;-5.4701524;-5.0308266;-4.9707575;-5.1428723;-5.30549
ZINC000075147881;-4.769292;-6.074879;-5.6460843;-5.7731714;-5.6680956
ZINC000002857491;-5.5410666;-5.589995;-5.808995;-5.4503574;-6.070655
ZINC000005592167;-5.688363;-5.4567394;-5.5345697;-5.1947837;-5.585554
ZINC000004091475;-6.714161;-6.6377544;-6.5252047;-6.483579;-6.64857
ZINC000003160306;-5.5801277;-5.869738;-5.9388466;-5.7435975;-6.0103216
ZINC000006794026;-5.761937;-5.3146653;-5.218628;-5.416341;-5.542251
ZINC000072293909;-6.117026;-5.533676;-5.919594;-5.646279;-5.776331
ZINC000000127733;-5.2362785;-5.037707;-5.152387;-4.844241;-4.9850926
ZINC000004929150;-5.943976;-5.7432218;-5.4853945;-5.62704;-5.605954
ZINC000004785747;-6.7237515;-7.0314317;-6.1892767;-6.800355;-6.9979715
ZINC000328594560;-5.7427254;-5.9234924;-5.537957;-5.430113;-5.370318
ZINC000013139277;-6.1975803;-5.8665223;-5.7500806;-5.9442577;-6.0386453
ZINC000012367504;-4.674356;-4.6451135;-4.5827107;-4.5672274;-4.6845245
