name;01;02;03;04;05
ZINC000006280268;-5.7225695;-5.9307013;-5.6174374;-5.9096613;-5.764135
ZINC000065740979;-5.534243;-5.3045745;-5.303064;-5.44602;-5.198614
ZINC000225863342;-5.104381;-4.789747;-4.939445;-4.8651185;-4.712168
ZINC000074993845;-5.7427664;-5.832919;-5.6390176;-5.694451;-5.282491
ZINC000074993846;-5.73611;-5.7858152;-5.528674;-5.6514454;-5.5559406
ZINC000096515814;-5.605553;-6.1011267;-5.6316605;-5.799926;-5.8559675
ZINC000072397842;-6.2881765;-6.3690186;-5.6283207;-6.054636;-6.276917
ZINC000072397828;-6.305444;-6.2289186;-5.692009;-6.1775427;-6.5236483
ZINC000049802011;-5.694783;-5.736238;-5.5049353;-5.555068;-6.012891
ZINC000003225295;-5.95255;-6.0212164;-5.6527977;-5.715353;-5.9659767
ZINC000024716719;-6.428012;-6.8647857;-6.44629;-6.619012;-6.6108093
ZINC000003226103;-5.7644258;-5.9236574;-5.365039;-5.5692816;-5.810511
ZINC000003225348;-6.2167563;-6.3277693;-5.855073;-5.940906;-6.3263125
ZINC000003225505;-6.5256014;-6.5672274;-6.2066274;-6.2355065;-6.460867
ZINC000006792277;-5.980955;-6.121317;-5.5952635;-5.7459183;-6.022135
ZINC000006452212;-6.6702876;-6.736048;-6.6543155;-6.358809;-6.2730765
ZINC000076553867;-5.1647964;-5.32916;-5.170653;-4.6612153;-5.2709484
ZINC000048065320;-5.4490857;-5.8056026;-5.4471664;-5.3438787;-5.4247127
ZINC000015260710;-6.595814;-6.490926;-6.4169683;-6.3758173;-6.456409
ZINC000245318989;-6.3791385;-6.8694673;-6.217569;-6.1815076;-6.4877386
ZINC000015260708;-6.036674;-6.1005626;-6.3077693;-6.195203;-6.3236475
ZINC000042222031;-6.608654;-6.5704174;-5.764157;-6.201638;-6.2922573
ZINC000022763314;-6.4800987;-6.682196;-6.1399097;-6.2147493;-6.4611115
ZINC000038538973;-6.0660734;-6.180618;-5.7358465;-5.658626;-5.9441423
ZINC000038538971;-6.2144194;-5.919198;-5.808896;-5.700638;-6.0314026
ZINC000079439219;-6.968383;-7.1600266;-6.562463;-6.834484;-6.7982364
ZINC000079439222;-7.1092973;-7.2373114;-6.398484;-6.754278;-6.693889
ZINC000107488373;-6.204082;-5.956067;-5.9744034;-5.687503;-5.84017
ZINC000091305018;-6.254588;-5.7148232;-5.93514;-6.0463204;-6.000894
ZINC000091305018;-6.254588;-5.7148232;-5.93514;-6.0463204;-6.000894
ZINC000306145945;-5.3191566;-5.458741;-5.5139236;-4.999058;-5.755076
ZINC000306145945;-5.3191566;-5.458741;-5.5139236;-4.999058;-5.755076
ZINC000022066118;-5.0847707;-5.442383;-5.210719;-5.17908;-5.1002812
ZINC000022066115;-5.30871;-5.6983585;-5.235759;-5.078994;-5.10926
ZINC000096184219;-6.7677855;-6.5503254;-6.72595;-6.5079703;-6.5669975
ZINC000199548523;-6.011552;-5.9522333;-5.8176336;-5.932879;-6.0821333
ZINC000199548523;-6.032278;-5.9302006;-5.812419;-5.8931894;-6.064338
ZINC000199548508;-6.011552;-5.9522333;-5.8176336;-5.932879;-6.0821333
ZINC000199548508;-6.032278;-5.9302006;-5.812419;-5.8931894;-6.064338
ZINC000091305016;-5.906366;-5.834505;-6.058487;-6.2901077;-6.0329323
ZINC000091305016;-5.906366;-5.834505;-6.058487;-6.2901077;-6.0329323
ZINC000061707922;-6.1884565;-6.1104717;-5.7321954;-5.8844547;-6.1795297
ZINC000061707922;-6.036338;-6.2234273;-5.794201;-5.854252;-6.039053
ZINC000044513195;-6.8926964;-7.366544;-6.2807984;-6.916082;-6.4740148
ZINC000048065214;-5.7937174;-5.844484;-5.6597614;-5.777331;-5.3973293
ZINC000048065214;-5.7005653;-6.1236;-5.7654037;-5.8658056;-5.711235
ZINC000016337909;-6.2237725;-6.5329523;-6.3872623;-6.601467;-6.5522013
ZINC000061707921;-6.160071;-6.281213;-5.6975675;-5.8746443;-6.157145
ZINC000061707921;-5.921738;-6.029479;-5.770613;-5.8001647;-5.8180118
ZINC000016337907;-5.82421;-6.2676444;-6.319067;-6.339264;-6.33094
ZINC000096515815;-5.729686;-6.2014403;-5.6670027;-5.6651263;-5.9318757
ZINC000095095881;-5.5888553;-6.126241;-6.2024035;-5.5105753;-5.63426
ZINC000095095887;-6.355172;-6.416771;-5.8357177;-6.1026826;-5.980295
ZINC000095095888;-6.4733987;-6.4548564;-5.8446226;-6.1225977;-6.049227
ZINC000095095880;-5.629454;-6.261567;-6.1853666;-5.801432;-5.768697
ZINC000035446852;-6.5707526;-6.3607817;-6.332819;-6.2692537;-6.429473
ZINC000035446852;-6.604747;-6.2847505;-6.2377934;-6.239266;-6.5176635
ZINC000035446852;-6.7004266;-6.315164;-6.3552613;-6.267213;-6.3642006
ZINC000242581752;-5.284119;-5.324079;-5.38464;-5.765918;-5.365593
ZINC000242581751;-5.3212776;-5.262479;-5.494874;-5.3749447;-4.8795457
ZINC000242581750;-5.32228;-5.262656;-5.4932466;-5.3734045;-4.8786154
ZINC000242581753;-5.288739;-5.32827;-5.3829474;-5.765906;-5.3654404
ZINC000195532086;-5.6686773;-5.6544194;-5.711164;-5.880383;-5.687422
ZINC000195532085;-5.563043;-5.5224175;-5.4523406;-5.740756;-5.6921554
ZINC000005343344;-5.5309153;-5.452307;-5.274941;-5.517548;-5.3712783
ZINC000062720764;-5.868396;-5.9742827;-5.516539;-5.7037616;-5.6611795
ZINC000217533604;-5.9597635;-6.014674;-5.6363373;-6.022517;-5.906699
ZINC000217533529;-5.8116703;-5.594252;-5.6304417;-5.8655024;-5.8483934
ZINC000019681318;-5.984452;-5.916585;-5.850828;-5.5904803;-6.0500093
ZINC000001565110;-5.244755;-5.3434086;-5.5149317;-5.428344;-5.2427053
ZINC000017105960;-5.301206;-4.900011;-5.247724;-5.0438733;-4.9972334
ZINC000031945976;-5.493943;-5.411749;-5.004642;-5.034712;-5.333341
ZINC000031945964;-5.815648;-5.4184346;-5.0796843;-5.378106;-5.5301056
ZINC000031945813;-5.546799;-5.585019;-5.104598;-5.1281886;-5.3312263
ZINC000031945813;-5.394695;-5.4235663;-5.102463;-5.1088815;-5.411734
ZINC000001675989;-5.7290587;-5.677968;-5.5553675;-5.618791;-5.5241404
ZINC000097227405;-5.722221;-5.7239957;-5.958114;-5.71572;-5.843588
ZINC000075061360;-6.144011;-5.8794236;-5.8037;-5.7556925;-5.948497
ZINC000100761251;-5.024148;-4.7753286;-4.610638;-4.891052;-4.8091145
ZINC000104861609;-5.6401963;-6.3443894;-6.3119993;-5.82621;-5.3047156
ZINC000104861606;-5.703516;-6.1376123;-5.9683347;-5.784521;-5.195085
ZINC000104861602;-5.927968;-6.227718;-6.207641;-5.700273;-5.469702
ZINC000104861602;-5.4096737;-6.078784;-6.0296135;-5.9856806;-5.2671523
ZINC000082363881;-5.8508134;-5.6866703;-5.8153515;-5.9568844;-5.6854997
ZINC000072397843;-6.3951664;-6.350413;-5.726056;-6.249958;-6.518655
ZINC000072397830;-5.960778;-5.9927745;-5.920248;-6.1281905;-6.2576175
ZINC000225863785;-5.472988;-4.949682;-4.810076;-5.1272693;-4.7740817
ZINC000005064108;-6.2765217;-6.1280603;-5.881717;-6.022099;-6.3933797
ZINC000001599822;-6.2110834;-6.3533044;-6.06317;-6.2805314;-5.818884
ZINC000001645640;-6.4431868;-6.4420223;-6.337216;-6.145696;-6.169999
ZINC000031862393;-6.4431868;-6.4420223;-6.337216;-6.145696;-6.169999
ZINC000017109067;-5.4573126;-5.1688275;-5.0188904;-5.289962;-5.242327
ZINC000003225496;-6.462867;-6.3492393;-6.092421;-6.037647;-6.2773604
ZINC000096511123;-5.973321;-5.7639184;-5.622541;-5.809018;-5.736142
ZINC000306145479;-5.1227646;-5.102146;-5.460525;-5.2391987;-5.6511345
ZINC000001714069;-6.177892;-5.932267;-6.293418;-5.986971;-6.120419
ZINC000001714069;-5.998733;-6.1058216;-5.901456;-5.7876673;-6.097618
ZINC000005253537;-5.255428;-5.6553817;-5.417118;-5.4706573;-5.334482
ZINC000013786511;-5.4590416;-5.5226645;-5.468551;-5.59222;-5.362281
ZINC000005253532;-5.30394;-5.360583;-5.5328784;-5.5420575;-5.3222237
ZINC000002428609;-5.100257;-5.6305776;-5.63358;-5.7142167;-5.4227166
ZINC000033935095;-6.4931927;-6.176154;-6.063123;-6.019666;-6.3719583
ZINC000001727027;-5.824828;-5.7944317;-5.8093133;-5.5385914;-5.7964597
ZINC000001727027;-5.346028;-5.5978117;-5.5896664;-5.3812847;-5.5059752
ZINC000006828743;-5.3845105;-5.8570285;-5.869513;-5.7677507;-5.62043
ZINC000049857630;-5.6870375;-5.8421993;-5.768054;-5.752931;-5.9817204
ZINC000042222030;-5.7967143;-6.187337;-5.7794433;-6.143147;-6.1476326
ZINC000100964918;-5.482546;-5.759068;-5.4819145;-5.462734;-5.2733927
ZINC000100964918;-5.720387;-5.3935776;-5.597392;-5.5548744;-5.145429
ZINC000014152887;-6.0135436;-6.4832606;-5.97987;-6.0903025;-5.9245653
ZINC000016138009;-6.0544143;-6.381201;-6.3563128;-5.9135747;-5.6125016
ZINC000016138007;-5.73027;-6.79568;-6.297618;-5.935281;-6.2022443
ZINC000016971854;-5.5866003;-5.904262;-5.534839;-5.969367;-5.711623
ZINC000071978878;-5.3962927;-5.764539;-5.505143;-5.576838;-5.574588
ZINC000071978878;-5.6489286;-5.833335;-5.432792;-5.384471;-5.399936
ZINC000071978878;-5.353783;-5.7537622;-5.429721;-5.1957664;-5.0317526
ZINC000071978878;-5.353783;-5.7537622;-5.429721;-5.1957664;-5.0317526
ZINC000022075931;-5.664703;-5.4447846;-5.2743816;-5.5137854;-5.359216
ZINC000005080271;-5.7660103;-5.6211624;-5.7199335;-5.3494897;-5.5372176
ZINC000005080271;-5.5075893;-5.3076305;-5.398099;-5.338184;-5.5208583
ZINC000067799284;-5.5054913;-5.595852;-5.3403697;-5.220137;-5.1674585
ZINC000067799284;-5.4699283;-5.6855288;-5.399261;-5.186069;-5.4022703
ZINC000118233887;-5.831008;-6.0142565;-5.7063956;-5.73632;-5.9711456
ZINC000013786509;-5.195428;-5.6515083;-5.562898;-5.443381;-5.5058565
ZINC000005253534;-5.355739;-5.66194;-5.60025;-5.268373;-5.3764057
ZINC000005085173;-5.3460927;-5.5978265;-5.5898027;-5.3812323;-5.5058365
ZINC000005085173;-5.8249655;-5.7945004;-5.809263;-5.5386057;-5.796431
ZINC000089933147;-5.7698464;-5.723715;-5.1327605;-5.568479;-5.046566
