name;01;02;03;04;05
ZINC000040165582;-7.1429954;-7.2662787;-6.9267197;-7.036181;-6.7965183
ZINC000040165581;-7.142688;-7.265528;-6.9260406;-7.0374503;-6.7974634
ZINC000020352302;-7.391231;-7.6262274;-7.3379817;-7.583965;-7.1745615
ZINC000001641423;-7.020388;-6.8593335;-6.303723;-6.8665094;-7.0860715
ZINC000004539025;-7.353845;-7.0755343;-6.5240264;-6.6359267;-7.006177
ZINC000020352304;-7.5047073;-7.412804;-7.193135;-7.1294956;-7.0387926
ZINC000090725123;-6.3877535;-6.5767508;-5.935773;-5.807059;-5.889153
ZINC000110704347;-5.9674015;-6.576461;-6.345464;-6.058196;-5.9600215
ZINC000068947596;-6.5565577;-6.582325;-6.7291613;-6.6635447;-6.3133416
ZINC000037179868;-6.5372076;-6.8393965;-6.810358;-6.6981497;-6.317046
ZINC000022000335;-8.367419;-8.158857;-7.989621;-7.881642;-7.4235373
ZINC000082390058;-7.1793094;-7.2299256;-6.8474483;-7.2900987;-7.1786256
ZINC000104094818;-7.0106773;-6.993537;-6.6863766;-6.9075117;-6.7382135
ZINC000005763419;-6.963035;-7.310003;-7.141456;-7.419322;-7.268493
ZINC000142288725;-7.1935396;-7.5761466;-7.4070773;-7.2390366;-6.863414
ZINC000072203325;-7.5101967;-7.5144176;-6.812325;-7.6504025;-7.0722647
ZINC000048260170;-6.874736;-6.969282;-6.753619;-6.8571844;-6.5686603
ZINC000096251695;-6.2294707;-6.424255;-6.2651443;-6.414523;-6.3663387
ZINC000072203324;-7.511589;-7.513957;-6.81164;-7.6493535;-7.072033
ZINC000096523638;-8.351281;-8.475726;-7.639952;-7.724311;-7.844795
ZINC000334971421;-7.2244883;-7.509923;-6.975997;-7.011343;-6.873847
ZINC000334971420;-7.578283;-7.4016876;-7.321716;-6.74404;-6.697442
ZINC000222677718;-6.140821;-6.7736497;-6.6767836;-6.5789495;-6.539144
ZINC000222681587;-6.6494684;-6.833859;-6.865429;-6.7342935;-6.5275292
ZINC000222681506;-6.469794;-6.417767;-6.560306;-6.481257;-6.3179245
ZINC000222676388;-6.359402;-6.003232;-6.7023883;-6.4396954;-6.141614
ZINC000222690545;-6.4534907;-6.562063;-6.566434;-6.4719043;-6.134963
ZINC000222676658;-6.111368;-6.6554575;-6.526885;-6.516983;-6.259857
ZINC000222677192;-6.2957535;-6.773739;-6.4130116;-6.2986894;-6.2786427
ZINC000222677441;-6.2976713;-6.3494587;-6.5651207;-6.4075584;-6.2043824
ZINC000222686088;-6.2163277;-6.8321276;-6.6747932;-6.765847;-6.3722672
ZINC000222676923;-6.3239236;-6.66092;-6.2221384;-6.040113;-6.1386266
ZINC000038040626;-7.42524;-6.9307876;-6.7132053;-6.611581;-6.5847893
ZINC000222691568;-6.5293455;-7.1716065;-6.6242666;-6.563875;-6.2347383
ZINC000034284224;-7.2477612;-7.2731433;-7.0311112;-7.370639;-7.0328045
ZINC000019518878;-6.500713;-6.501131;-6.6453285;-6.592462;-6.2148604
ZINC000038539506;-7.053316;-7.199903;-6.3087673;-6.884029;-6.6096954
ZINC000218746574;-7.804663;-7.9471464;-8.119142;-7.493003;-7.489556
ZINC000218746628;-7.773688;-8.274639;-7.802316;-7.7032504;-7.380683
ZINC000019518879;-6.6806774;-6.7269115;-6.399947;-6.6241913;-6.387622
ZINC000218856410;-7.7676473;-8.471649;-7.9264345;-7.8779297;-7.317049
ZINC000218856575;-8.409844;-8.5760975;-7.707103;-8.319629;-7.9273276
