name;01;02;03;04;05
ZINC000000551742;-6.5114603;-6.562735;-6.152139;-6.365118;-6.6798887
ZINC000035575866;-5.1427217;-5.1695666;-5.156379;-5.084702;-5.1474032
ZINC000002526132;-6.0700808;-6.5685186;-6.059035;-6.347884;-6.1454277
ZINC000001081134;-5.5016637;-5.202647;-5.117326;-5.113383;-5.255368
ZINC000002526130;-6.1888704;-6.368944;-6.0969696;-6.4498987;-6.4021955
ZINC000035630006;-6.9250484;-7.0574765;-7.1067147;-7.1988215;-7.256039
ZINC000035636647;-5.244389;-5.6758537;-5.3741484;-5.579714;-5.5902624
ZINC000003327263;-5.8245544;-5.9425035;-5.883823;-6.257119;-6.206854
ZINC000003913765;-5.7051105;-5.938485;-5.6303144;-6.3793416;-6.0134583
ZINC000057218606;-5.410185;-5.415958;-5.555439;-5.602354;-5.4932775
ZINC000006249499;-6.0692587;-6.56893;-6.0632577;-6.3462987;-6.144529
ZINC000006249497;-6.183569;-6.3675013;-6.096332;-6.447713;-6.4009852
ZINC000019870759;-5.899847;-6.0083294;-5.883025;-5.9065185;-5.783847
ZINC000001604830;-6.1388283;-5.8745494;-5.7843328;-6.1038737;-5.835021
ZINC000003618375;-5.832055;-5.955639;-5.601002;-5.948601;-5.86359
ZINC000000314253;-5.8037486;-5.843223;-5.53062;-6.167694;-6.189364
ZINC000242688203;-5.3396597;-5.2507586;-5.227345;-5.549686;-5.4734
ZINC000085224880;-5.535919;-5.1881514;-5.0664406;-5.088351;-5.1016645
ZINC000117114442;-5.939147;-5.80744;-5.8214755;-5.855968;-5.8044114
ZINC000034520872;-6.18601;-6.1090474;-5.901013;-5.950578;-5.906402
ZINC000062152887;-5.7648163;-5.8326616;-5.460231;-5.6262956;-5.693656
ZINC000001600280;-6.0480957;-5.9941454;-5.628695;-5.744746;-6.1630507
ZINC000001602548;-6.106106;-5.7348356;-5.8455715;-6.1190834;-5.9879637
ZINC000034623969;-6.430028;-6.500548;-6.166054;-6.3830085;-6.5062656
ZINC000034623967;-6.4883175;-6.4792457;-6.2092214;-6.430064;-6.544549
ZINC000003878597;-5.944627;-5.8718996;-5.7160597;-5.734994;-5.8171415
ZINC000000790611;-6.4685063;-6.3858595;-6.3122187;-6.18462;-6.549738
ZINC000000790614;-6.2245426;-6.3805304;-6.360989;-6.1963067;-6.5246077
ZINC000000056845;-5.865073;-6.022326;-5.838452;-5.9174128;-6.1271625
ZINC000000330043;-5.6989117;-6.152671;-5.814161;-5.9668083;-6.24816
ZINC000004521064;-6.102965;-6.369131;-6.1682835;-6.288782;-6.3096247
ZINC000003896007;-5.889078;-6.0116563;-5.894505;-6.2363563;-6.245318
ZINC000725271025;-6.534855;-6.544273;-6.55446;-6.8417907;-6.717545
ZINC000001676676;-5.949897;-6.4819655;-5.964282;-6.323969;-6.4631357
ZINC000019384575;-6.0140452;-5.814001;-6.07215;-6.056659;-5.7784605
ZINC000036225935;-5.7240314;-5.9144735;-5.990201;-6.00369;-5.904418
ZINC000004529758;-5.699066;-5.8506017;-5.500873;-5.561268;-5.818743
ZINC000004789765;-6.333654;-6.21668;-6.118702;-6.2952433;-6.326616
ZINC000091366454;-4.987899;-4.916031;-4.6387076;-4.9108977;-4.7038765
ZINC000005739823;-5.545246;-6.132307;-5.752724;-6.742881;-6.286085
ZINC000001625473;-6.09676;-5.9868546;-5.7922864;-6.080412;-6.020317
ZINC000001687159;-7.0147786;-6.6742167;-6.830679;-6.702827;-6.7753973
ZINC000095494785;-5.996369;-5.977939;-5.954091;-6.0404625;-6.2401
ZINC000013276572;-5.8724914;-6.17926;-5.841555;-6.2013454;-6.229086
ZINC000019844581;-5.801004;-6.3434806;-5.866806;-6.0350165;-6.2799425
ZINC000032137092;-5.9214706;-5.8120418;-5.4922132;-5.913219;-5.944661
ZINC000026508312;-5.836344;-6.008402;-5.6933794;-6.0200295;-5.853192
ZINC000001707944;-5.926372;-5.5964746;-5.4982123;-5.7146325;-5.9190464
ZINC000041631077;-6.8929377;-6.805295;-6.723642;-6.8720965;-6.9402046
ZINC000346924422;-6.154826;-6.019759;-6.1138415;-6.165449;-5.8600454
ZINC000007023433;-5.6145983;-5.8435755;-5.564;-5.7724934;-5.9366126
ZINC000035333648;-4.964726;-5.3290615;-5.0825887;-5.2919545;-5.532677
