name;01;02;03;04;05
ZINC000019433203;-6.606955;-6.341683;-6.1595407;-6.1929655;-6.159982
ZINC000019480388;-6.8295507;-6.903549;-6.5760183;-6.926116;-6.6479683
ZINC000020474701;-5.8309326;-5.874116;-5.983515;-6.342447;-6.3140182
ZINC000019868698;-6.1933527;-6.036982;-5.9700623;-6.2863836;-6.091179
ZINC000035367396;-6.1496935;-6.4754243;-6.267281;-6.6613865;-6.547782
ZINC000019505665;-5.9373293;-6.2631874;-6.166126;-6.5352507;-6.6742725
ZINC001228240504;-6.3218527;-5.9525223;-5.85121;-6.311651;-6.283133
ZINC000019844613;-5.6858153;-5.7095995;-5.919447;-5.9379053;-5.7455225
ZINC000276287135;-6.491922;-5.943958;-6.3271356;-6.282508;-6.158062
ZINC000019870755;-5.8817225;-5.878608;-6.074878;-6.025839;-5.926438
ZINC000332045961;-6.0573797;-6.091172;-5.9475045;-6.121973;-6.1186223
ZINC000019480390;-6.9365487;-6.7592893;-6.271555;-6.8824573;-6.5077395
ZINC000019433205;-6.4432287;-6.1950555;-6.3546944;-6.1367774;-6.218251
ZINC000035367395;-6.5372753;-6.49729;-6.1789856;-6.430754;-6.1176333
ZINC000019505666;-6.390913;-6.181218;-6.0886707;-6.374414;-6.225674
ZINC000020474702;-5.9950323;-5.6328216;-5.792288;-6.113602;-5.7860804
ZINC000019868700;-5.993796;-6.0951424;-6.1179657;-6.347335;-6.549684
ZINC000070534994;-5.6602592;-6.5095153;-5.933591;-6.389846;-6.4751287
ZINC000070534995;-5.662387;-6.5057826;-5.9328003;-6.3891335;-6.4740744
ZINC000147446116;-5.9040723;-6.4079113;-6.0087414;-6.314254;-6.4047413
ZINC000037453179;-5.8672976;-5.7142487;-6.0708876;-6.051706;-5.8705344
ZINC000037453142;-6.1712937;-6.1880393;-6.1601186;-6.1559577;-6.146426
ZINC000037453143;-6.081482;-6.020084;-6.1828575;-6.237286;-6.116764
ZINC000037453167;-5.373981;-5.711447;-5.8407145;-5.947138;-5.8410416
ZINC000037453166;-5.372283;-5.7075796;-5.84154;-5.948373;-5.8369436
ZINC001226711537;-6.685523;-6.853898;-6.365281;-6.711722;-6.410816
