name;01;02;03;04;05
ZINC000096901381;-5.1875834;-5.3906026;-5.575081;-5.51287;-5.385881
ZINC000045958849;-5.497346;-5.387949;-5.4326086;-5.1350493;-5.2519317
ZINC000026509898;-5.033493;-4.8391;-5.2165904;-5.193618;-5.153679
ZINC000001717583;-6.666842;-6.7781715;-6.51477;-6.5367413;-6.545993
ZINC000019392927;-5.034037;-4.983286;-5.2444463;-5.265197;-5.307549
ZINC000041043728;-5.195397;-5.206723;-5.203395;-5.0204854;-4.912937
ZINC000096528191;-4.777687;-5.079596;-5.0687566;-5.0017405;-5.051068
ZINC000218651931;-4.9961967;-5.2298145;-5.4273143;-5.306007;-5.1784635
ZINC000221910008;-6.2922215;-6.0774693;-6.007792;-6.0932527;-6.1535063
ZINC000073639996;-5.8190365;-5.878967;-5.659255;-5.7751083;-5.753549
ZINC000256052199;-4.434215;-4.508594;-4.626965;-4.4082947;-4.492691
ZINC000256052198;-4.4378004;-4.5131235;-4.6254306;-4.3981504;-4.491419
ZINC000015134027;-6.9241343;-7.089475;-6.654401;-6.9397764;-7.0325456
ZINC000061682693;-5.9954996;-6.011888;-5.724832;-5.6792755;-5.6319404
ZINC000256049739;-5.466174;-5.876832;-5.294148;-5.497984;-5.308492
ZINC000223748667;-4.937461;-4.939042;-4.9260826;-5.1162066;-4.7804728
ZINC000008701614;-6.241596;-6.2450104;-5.847581;-6.085022;-5.7818093
ZINC000223711931;-5.621664;-6.1750746;-6.2360764;-6.0497885;-5.8376637
ZINC000008701612;-6.7987256;-6.8154407;-6.342919;-6.3464437;-6.2966223
ZINC000008701650;-5.191003;-5.47645;-5.1484814;-5.1608596;-5.0024133
ZINC000008613392;-5.1212006;-5.0566864;-5.191764;-5.127584;-5.118883
ZINC000017149629;-4.593509;-5.3255463;-5.4413023;-5.466608;-5.140724
ZINC000004903940;-7.710622;-7.2248497;-6.6699123;-7.300619;-7.147208
ZINC000101402452;-5.1971116;-5.573381;-5.008984;-5.3335876;-5.201735
ZINC000016163034;-4.690496;-4.448818;-4.6483226;-4.5008183;-4.6047926
ZINC000020154929;-5.9943056;-5.869225;-5.842205;-5.899184;-5.880168
ZINC000020155116;-6.198675;-5.91473;-6.0445275;-6.061127;-5.618849
ZINC000020155117;-6.203365;-5.944975;-6.016666;-6.08046;-5.656012
ZINC000020154931;-5.9289603;-5.8756723;-5.809529;-5.9006567;-5.8916287
ZINC000004523034;-5.8841662;-6.254284;-6.2127275;-6.098364;-6.3975477
ZINC000090760542;-6.20923;-6.54306;-6.05523;-6.337294;-6.09521
