name;01;02;03;04;05
ZINC000293792286;-4.6551723;-4.847984;-4.6591516;-4.371272;-4.5122414
ZINC000272247757;-4.567233;-4.977105;-5.0098577;-4.8217487;-4.7713327
ZINC000162859591;-5.7962933;-5.7847533;-5.409581;-5.2167993;-5.415096
ZINC000162869602;-5.9241886;-6.259502;-5.7530127;-6.008224;-5.8360105
ZINC001611454577;-7.0382695;-6.584674;-5.9401865;-6.5819144;-6.5360026
ZINC001652417049;-4.1047835;-4.5049715;-3.9865017;-4.2604246;-4.3250895
ZINC000163164346;-4.322193;-4.384075;-4.278617;-3.9593415;-4.2189045
ZINC001237946935;-4.8345175;-5.0446534;-4.6448755;-4.9381685;-4.88488
ZINC001237947919;-5.1936307;-5.1747046;-4.801956;-5.207492;-4.9014378
ZINC001237934228;-5.4286623;-5.3428164;-4.9067683;-4.844462;-4.8711767
ZINC001237938012;-5.2634788;-5.0028505;-4.781371;-4.864105;-4.7559934
ZINC000294841284;-4.6938133;-4.8475122;-4.795713;-4.9148216;-4.904064
ZINC001237947980;-5.3009744;-5.3846836;-5.261799;-5.4238625;-5.2663383
ZINC000309475962;-6.0742807;-5.406753;-5.530591;-5.5931444;-5.5079546
ZINC000309502525;-4.558371;-5.0602665;-4.9506965;-4.787585;-4.98436
ZINC001308914416;-4.300421;-4.861365;-4.30452;-4.4880934;-4.651767
ZINC001308914411;-4.3107414;-4.794201;-4.378484;-4.314008;-4.5866313
ZINC000876561274;-4.4829044;-4.9100423;-4.7183886;-4.740902;-4.5863914
ZINC000129063564;-5.681017;-5.9927483;-5.314506;-5.2815566;-5.6768494
ZINC000823564667;-5.489268;-5.504586;-5.295826;-5.5359874;-5.5367928
ZINC000823564663;-5.5146194;-5.3405647;-5.3753924;-5.4421124;-5.520446
ZINC001139685726;-4.650333;-4.9872003;-4.790136;-4.7257066;-4.805052
ZINC001139685725;-4.638377;-4.80828;-4.6923695;-4.7381716;-4.885073
ZINC000132773470;-5.486665;-5.605233;-5.288014;-5.2865796;-5.2251115
ZINC000132773256;-5.2966104;-5.704597;-5.3875685;-5.208045;-4.7392244
ZINC000886536190;-5.4548903;-5.6626387;-5.505123;-5.9073176;-5.7548265
ZINC000886536191;-5.57143;-6.0990067;-5.6669946;-6.0241494;-5.623382
ZINC000893961009;-5.413709;-5.0619764;-4.695759;-4.9358106;-4.742934
ZINC000753575301;-4.8878975;-5.0280833;-4.5232835;-4.903007;-4.756471
ZINC000886573913;-4.9566784;-5.382175;-4.9902906;-5.448941;-4.950301
ZINC000037418372;-6.0732036;-6.436731;-5.9341598;-5.967388;-6.0489326
ZINC000886573912;-4.9528112;-5.086917;-4.9778347;-5.3637547;-5.044057
ZINC001193208973;-5.2432265;-5.1721973;-5.3131886;-5.593355;-5.4714785
ZINC001193210447;-5.250526;-5.090567;-5.1298375;-4.988004;-5.158989
ZINC001193247265;-5.8568273;-5.6500597;-5.574745;-5.967826;-5.892788
ZINC001193236561;-5.5386643;-5.591485;-5.7549157;-5.916198;-5.7976193
ZINC001193236562;-5.545079;-5.58859;-5.7494125;-5.9137077;-5.7949824
ZINC000877168622;-4.926678;-5.1986923;-5.333999;-5.1202345;-5.0498056
ZINC000877168943;-5.765018;-5.649004;-5.4887753;-5.23972;-5.3306417
ZINC001472898963;-5.7882752;-6.091724;-5.6362886;-5.529639;-5.655698
ZINC001175198535;-5.146392;-5.109656;-5.2332387;-5.1169343;-5.1620293
ZINC000825103504;-5.303064;-5.6993093;-5.259905;-5.452141;-5.482834
ZINC001175202289;-4.919929;-5.082957;-4.8508515;-5.1577992;-4.9339185
ZINC001139685571;-4.854677;-4.850217;-4.659657;-4.785454;-4.6789484
ZINC001139685736;-4.438134;-4.913457;-4.633303;-4.6426406;-4.667492
ZINC000877555936;-4.858781;-4.9736075;-5.0096855;-5.1791663;-4.8025694
ZINC000226562457;-5.3450046;-5.5320206;-5.547986;-5.5241985;-5.692928
ZINC000226562462;-5.6084056;-5.680414;-5.7307525;-5.527887;-5.4377785
ZINC001462273381;-4.51558;-4.7151537;-4.486676;-4.6385746;-4.703166
ZINC000877488536;-4.96918;-4.9525533;-4.7892466;-4.9871607;-4.5946064
ZINC000276517550;-4.896306;-4.950115;-5.1537867;-5.450909;-5.124971
ZINC000890758319;-5.37905;-5.62177;-5.6537375;-5.296118;-5.6497035
ZINC000890758380;-5.7007456;-5.899021;-5.7829866;-5.7862015;-6.1314197
ZINC000890757509;-5.731787;-5.9815054;-6.060932;-5.7454615;-5.9472265
ZINC001142509131;-4.539344;-4.8086042;-4.8952093;-4.9205723;-4.858962
ZINC000890758215;-5.4470983;-5.7085133;-5.3292646;-5.3204145;-5.423751
ZINC000890758839;-6.275093;-6.482128;-6.169488;-6.1916976;-6.479909
ZINC001142509152;-4.2998424;-4.399367;-4.277856;-4.2834635;-4.35941
ZINC001142509107;-4.484038;-4.897251;-4.7892375;-4.7838182;-4.675482
ZINC001142508801;-5.0081387;-4.579459;-4.7167654;-4.8620706;-4.5948896
ZINC001142509130;-4.5086613;-4.833268;-4.7214546;-4.82997;-4.6492877
ZINC001142509108;-4.57112;-4.926802;-4.663253;-4.905109;-4.6140566
ZINC000276737059;-5.5816646;-5.448715;-5.3043356;-5.8461256;-5.754489
ZINC001142534849;-4.611006;-4.7221837;-4.5703526;-4.4932985;-4.609453
ZINC001142534361;-4.237148;-4.200611;-4.1644454;-3.9146702;-4.041315
ZINC000006456366;-5.584622;-6.0408034;-5.397225;-5.8710427;-5.6313386
ZINC000276782920;-5.432616;-5.450829;-5.4797454;-5.5743093;-5.4325666
ZINC000877702809;-5.8211927;-6.1314573;-5.5933795;-5.9431906;-6.236062
ZINC000877702817;-5.1454773;-5.06427;-5.0998287;-5.1568046;-5.286853
ZINC000877702755;-5.894652;-5.7013526;-5.5030875;-5.928823;-5.8512526
ZINC000308504053;-4.251245;-4.629084;-4.2022023;-4.264144;-4.5106416
ZINC001603248007;-6.184036;-5.6816463;-5.8760176;-6.3205266;-6.178783
ZINC001603248008;-6.112545;-5.7945757;-5.900057;-6.3325534;-6.1658497
ZINC000309488564;-5.243256;-5.553257;-5.1377025;-5.405058;-5.256557
ZINC000390816034;-5.1941853;-5.482028;-5.012642;-5.356923;-5.2162833
ZINC001355172269;-6.238762;-6.245741;-6.1455874;-6.1774144;-6.2761755
ZINC001233074381;-4.331148;-4.922082;-4.762311;-4.7961946;-4.7350707
ZINC001142508925;-4.8796473;-5.0050035;-4.9767423;-5.3409996;-5.203436
ZINC001142508513;-4.9545016;-5.2855043;-5.093407;-5.339266;-5.155056
ZINC001613056914;-6.0055466;-5.965233;-5.687412;-5.781801;-5.9111094
ZINC001140461858;-4.9242268;-5.1270804;-4.7896323;-4.9910383;-4.9672313
ZINC000890756413;-6.1196876;-6.200062;-5.9951706;-6.015691;-6.260366
ZINC000890756419;-6.284033;-6.304661;-6.0660114;-6.1325903;-6.340547
ZINC000890756420;-6.122619;-6.1173124;-6.043674;-5.994052;-6.1854362
ZINC000890756421;-6.3018055;-6.228198;-6.147212;-6.1344566;-6.282388
ZINC000890756720;-5.8973074;-5.8157983;-5.7047453;-5.6313396;-5.848779
ZINC000890761417;-5.1796546;-5.4338603;-5.4419127;-5.113497;-5.4974976
ZINC000890761431;-5.546604;-5.3310766;-5.254587;-5.410785;-5.7753525
ZINC000890760728;-6.146414;-6.3149023;-6.2815366;-6.1915607;-6.225371
ZINC000890759584;-5.677908;-5.880085;-5.904555;-5.805744;-6.0524945
ZINC000890761356;-5.623354;-5.715842;-5.5491543;-5.5281267;-5.7325478
ZINC000890760843;-6.0770874;-6.0150385;-5.787927;-5.8315735;-6.2582917
ZINC000894870601;-4.670014;-4.744612;-4.9404025;-4.9134326;-4.8334417
ZINC001352519155;-6.043027;-5.855573;-5.612979;-5.6647463;-6.018018
ZINC001233331888;-4.610695;-4.4940286;-4.2760987;-4.264912;-4.4715414
ZINC001233332608;-4.7878385;-5.3403435;-5.142354;-5.2159357;-5.0201025
ZINC001233332031;-4.9857855;-5.218204;-5.167199;-5.379319;-5.126721
ZINC001233332691;-4.497427;-4.887558;-4.8179126;-4.6664977;-4.4947596
ZINC001233336466;-4.0406833;-4.3439636;-4.230974;-3.9006007;-4.077832
ZINC001233332355;-4.7608404;-4.9206023;-4.904278;-4.8323116;-4.7483263
ZINC001233336393;-4.8558373;-4.7684608;-4.5819488;-4.3807282;-4.722322
ZINC001233332704;-4.9784336;-4.7021666;-4.675065;-4.9278135;-4.7854633
ZINC001233332690;-4.6877437;-4.950685;-4.922053;-4.748468;-4.621683
ZINC001233336425;-3.8469942;-4.2778606;-4.173386;-3.7730668;-3.7386503
ZINC001233332354;-4.6772575;-4.938252;-4.8454204;-4.7735662;-4.5694118
ZINC001231450514;-5.382315;-5.618239;-6.0493264;-6.23802;-5.643589
ZINC001231450514;-5.325905;-5.5763965;-5.4190617;-5.7519555;-5.466613
ZINC001231446243;-5.240604;-5.559431;-5.54639;-5.8014603;-5.670809
ZINC001231446243;-5.3312535;-5.867285;-5.8094177;-6.215693;-5.8287544
ZINC001231448980;-6.1586566;-6.6185966;-6.5883;-6.800515;-6.291682
ZINC001231448980;-6.465415;-6.5929832;-6.2207694;-6.6631694;-6.4537883
ZINC001231448277;-6.3341465;-6.656043;-6.631747;-6.6241665;-6.457025
ZINC001231448277;-6.181673;-6.8085203;-6.264996;-6.5953774;-6.2115903
ZINC001231446451;-5.260204;-5.6469283;-5.4353166;-5.8572493;-5.2049484
ZINC001231446451;-5.2326207;-5.622159;-5.253828;-5.8530917;-5.156226
ZINC001231450513;-5.379422;-5.6956296;-5.8517423;-6.1170707;-5.4496613
ZINC001231450513;-5.3551545;-5.6277313;-5.4065604;-5.8031154;-5.565269
ZINC001231446165;-5.4980984;-6.000773;-5.799072;-5.9134603;-5.463511
ZINC001231446165;-5.4348927;-6.024521;-5.4645333;-5.460343;-5.287236
ZINC001231448979;-6.264759;-6.4389234;-6.4357305;-6.669299;-6.4028277
ZINC001231448979;-5.9796762;-6.3781514;-6.339259;-6.6654363;-6.243046
ZINC000109772748;-6.1220784;-6.1657176;-5.8264914;-5.9065394;-5.7271934
ZINC001231450394;-5.0418477;-5.6301584;-5.743414;-6.1603155;-5.5298386
ZINC001231450394;-4.9425583;-5.4803486;-5.5242133;-5.986416;-5.6552496
ZINC000109772745;-5.9521165;-6.125171;-5.6983685;-5.7186475;-5.7842817
ZINC001231450788;-5.7986603;-6.749611;-6.2737994;-6.377335;-6.3196507
ZINC001231450788;-5.9829817;-6.539609;-6.1861563;-6.181212;-6.391025
ZINC001231448275;-6.0684404;-6.647056;-6.613433;-6.796654;-6.33764
ZINC001231448275;-6.461878;-6.5861235;-6.488605;-6.5224566;-6.266301
ZINC001231452210;-6.168551;-6.507489;-6.2946157;-6.433994;-6.2834644
ZINC001231452210;-5.8709497;-6.3437634;-5.9739227;-6.2243023;-6.0847645
ZINC001231452433;-6.3843513;-6.4838037;-5.915843;-6.0472813;-5.8433805
ZINC001231452433;-6.1264224;-6.582872;-6.220787;-6.4762754;-6.165399
ZINC001609921090;-6.0821943;-5.8812866;-5.679093;-6.229806;-6.0160675
ZINC001609921105;-6.0134506;-6.006457;-5.727468;-6.221437;-6.00099
ZINC001140337962;-5.0650954;-4.98368;-4.4831867;-4.749571;-4.824642
ZINC001140338037;-4.6827426;-4.9324946;-4.6465125;-4.8134723;-5.1227546
ZINC000127301936;-5.582816;-6.283614;-5.9369507;-5.775556;-5.7380238
ZINC001231559892;-5.725715;-6.00534;-5.3837767;-5.3256965;-5.342237
ZINC001231559892;-5.551827;-5.806382;-5.6413;-5.904954;-5.748591
ZINC001231559850;-5.612785;-5.818141;-5.5010743;-5.73417;-5.647624
ZINC001231559850;-5.475285;-5.548907;-5.9458127;-6.026476;-5.941891
ZINC001231566359;-6.0187006;-6.5412264;-6.312869;-6.1801825;-6.4412794
ZINC001231566359;-5.958809;-6.3210783;-6.4078083;-6.380067;-6.4078655
ZINC001231565367;-6.653457;-6.343377;-6.3233643;-6.4460135;-6.3424797
ZINC001231565367;-6.437411;-6.5368447;-6.3609877;-6.4330463;-6.444368
ZINC001231563028;-5.5412097;-5.6094675;-5.9194345;-6.11808;-5.7987385
ZINC001231563028;-5.5352187;-5.605928;-5.934078;-6.162232;-5.7951975
ZINC001231565087;-6.232012;-6.4830513;-6.424919;-6.554964;-6.6043215
ZINC001231565087;-6.317093;-6.4102683;-6.38863;-6.597433;-6.5460587
ZINC001231564121;-5.518455;-5.5362844;-5.4234247;-5.5730734;-5.633448
ZINC001231564121;-5.627315;-5.8905535;-5.942249;-6.1636996;-5.800839
ZINC001231564119;-5.3566465;-5.3604345;-5.7588253;-5.998183;-5.573188
ZINC001231564119;-5.4823284;-5.616699;-6.16978;-6.067767;-5.7888107
ZINC001231562026;-5.678234;-5.9696856;-5.4109077;-5.4254036;-5.4500985
