name;01;02;03;04;05
ZINC000005579600;-5.250413;-5.4458523;-5.007904;-5.273625;-5.338273
ZINC000013137084;-5.942745;-5.463811;-5.2446356;-5.5309324;-5.6593595
ZINC000004085377;-5.729514;-5.734971;-5.412542;-5.77902;-5.77285
ZINC000001406658;-5.646306;-5.6701975;-5.3064437;-5.6627936;-5.7359176
ZINC000004085378;-5.8277645;-5.8393326;-5.5791206;-5.9182525;-5.7349916
ZINC000001406659;-5.8956885;-5.7184267;-5.389307;-5.796934;-5.684779
ZINC000000097835;-6.1506677;-5.623254;-5.7000136;-6.045218;-5.6566687
ZINC000062793617;-5.247842;-5.3383994;-5.2370996;-5.055297;-5.391079
ZINC000096417921;-4.5925894;-4.501457;-4.536667;-4.6199975;-4.416997
ZINC000096492202;-4.94701;-5.06891;-4.9594746;-4.7077885;-5.067507
ZINC000252610575;-6.9161987;-6.8060513;-6.2918634;-6.893536;-6.886411
ZINC000076089542;-5.2826033;-5.4807034;-5.032796;-5.125195;-4.97511
ZINC000039650532;-6.017328;-5.693958;-5.5586233;-5.5383286;-5.822029
ZINC000053442701;-4.866012;-5.226327;-4.7950916;-5.116307;-4.9912596
ZINC000002521044;-5.8179016;-5.6390686;-5.4995184;-5.5245557;-5.5570536
ZINC000100647449;-5.50556;-5.7651033;-5.477469;-5.6037235;-5.638659
ZINC000031815683;-5.4269595;-5.437656;-5.340588;-5.412308;-5.3254266
ZINC000019481556;-4.8373384;-4.4582176;-4.6496353;-4.7811384;-5.099282
ZINC000040566677;-5.271625;-5.133516;-5.2039905;-5.1812067;-5.4066424
ZINC000004377276;-4.9645343;-4.7079997;-5.0146437;-4.7242446;-5.0784965
ZINC000185426752;-4.752859;-4.6888685;-5.316158;-4.390944;-4.880061
ZINC000056316235;-5.5565825;-5.23682;-5.570917;-5.386566;-5.116343
ZINC000254794762;-4.388965;-4.341118;-4.5304565;-4.181994;-4.217511
ZINC000005763511;-5.361158;-5.027266;-5.360165;-5.190066;-5.3568926
ZINC000004805043;-6.121826;-5.610499;-6.023183;-5.8999944;-6.1166406
ZINC000299410077;-5.7344027;-5.4353886;-5.343435;-5.2765946;-5.330299
ZINC000066900063;-5.5918255;-5.6913047;-5.4350653;-5.197839;-5.614483
ZINC000066900063;-5.5918255;-5.6913047;-5.4350653;-5.197839;-5.614483
ZINC000006667477;-5.7645745;-5.291797;-5.4245467;-5.319453;-5.6468134
ZINC000000080588;-5.180441;-5.3844047;-5.186937;-5.2335486;-5.1841717
ZINC000268191100;-4.964331;-5.6923037;-5.222046;-5.396663;-5.111252
ZINC000952874730;-6.1066146;-5.848752;-5.791459;-5.685531;-5.831881
ZINC000031814509;-5.6957407;-5.676716;-5.3192577;-5.677019;-5.6014524
ZINC000100210247;-5.899555;-5.910557;-5.6351895;-6.0615664;-5.78966
ZINC000002150948;-5.178203;-5.3843527;-5.1862;-5.232547;-5.183792
ZINC000004480487;-6.993171;-7.165084;-6.7523556;-7.1714945;-6.9276342
ZINC000006930275;-6.089095;-5.9278574;-6.1955056;-5.807478;-6.0639515
ZINC000058159012;-7.2020626;-6.924116;-6.531148;-6.92341;-6.7518578
ZINC000006932508;-6.067222;-5.906581;-6.2571144;-5.7633166;-6.04193
ZINC000012357584;-5.067853;-4.5520377;-4.6666665;-4.880067;-4.9671135
ZINC000007699139;-5.242216;-5.532509;-5.59304;-5.8040285;-5.5703945
ZINC000096450051;-5.775189;-5.8022547;-5.7927566;-5.518376;-6.229822
ZINC000096450059;-5.705742;-5.4129634;-5.4636784;-5.558657;-5.72219
ZINC000008772685;-6.0631337;-5.761924;-5.706756;-6.059037;-5.886948
ZINC000092099590;-4.8093853;-4.6834574;-4.4812775;-4.777523;-4.718302
ZINC000095215349;-5.036818;-4.919018;-4.948347;-4.989233;-4.9832873
ZINC000038478290;-5.664899;-5.730693;-5.5687013;-5.8456697;-5.716509
ZINC000038478289;-5.7478604;-5.951966;-5.658496;-5.669009;-5.4682975
ZINC000004595165;-5.461308;-5.4247656;-5.3199563;-5.506696;-5.4477654
ZINC000036398421;-5.745292;-4.959624;-5.040436;-5.1062546;-5.4868736
ZINC000040004960;-4.9243627;-5.5146275;-5.1807656;-4.938808;-5.364599
ZINC000584883178;-4.0216904;-4.123512;-4.238715;-3.8506517;-4.0076876
ZINC000252617039;-6.3356805;-6.025041;-6.1387725;-5.675309;-5.683333
ZINC000051879581;-4.6958866;-4.4813023;-4.4013977;-4.2916303;-4.5633082
ZINC000041602811;-6.144545;-6.1380544;-5.8123755;-6.220938;-6.102557
ZINC000011902820;-5.472869;-5.2190905;-4.9843388;-5.173819;-5.162581
ZINC000038478111;-5.705438;-5.342368;-5.2697515;-5.335367;-5.236541
ZINC000042338688;-5.8146834;-5.76033;-5.4311266;-5.8502865;-5.8129106
ZINC000006493690;-5.764338;-5.7769585;-5.51658;-5.9591293;-6.139203
ZINC000097113631;-4.697934;-4.9209194;-5.028754;-4.8375278;-5.0507655
ZINC000020257268;-5.1946754;-4.952848;-5.0966535;-4.7798705;-4.8676305
ZINC000000157787;-5.574371;-5.3390164;-5.4546394;-5.35605;-5.425502
ZINC000000393834;-6.2629943;-6.0745273;-5.9113812;-6.0000496;-5.638568
ZINC000005292469;-5.7297525;-5.8124447;-6.087346;-5.735282;-6.133999
ZINC000019484486;-5.1088862;-5.2020993;-5.090025;-5.1280317;-5.199516
ZINC000031817318;-5.657784;-5.317993;-5.296553;-5.4518614;-5.332536
ZINC000076325393;-5.0079403;-4.7850947;-4.894941;-4.857624;-4.692834
ZINC000004553888;-5.375598;-5.280007;-5.3500776;-5.4050345;-5.308541
ZINC000042338685;-6.14224;-5.8458323;-5.4393797;-5.6225424;-5.6133504
ZINC000585086725;-6.00685;-5.9765496;-5.539803;-6.111663;-6.1385937
ZINC000004060712;-4.7055993;-5.1508636;-4.582711;-4.9413586;-5.263319
