name;01;02;03;04;05
ZINC000016697645;-5.898188;-5.958183;-5.6172585;-5.6361403;-5.5599155
ZINC000068675226;-5.569178;-5.4707317;-5.640912;-5.6272144;-5.6748214
ZINC000604221663;-4.380202;-4.045032;-4.014645;-4.135483;-4.081134
ZINC000004451123;-6.1153326;-5.871192;-6.0349784;-6.3208895;-6.0541973
ZINC000100319164;-5.3234477;-5.5588837;-5.1789575;-5.009514;-4.6733623
ZINC000004745157;-6.2170057;-6.151962;-5.92815;-6.1510344;-6.321411
ZINC000004451121;-6.16618;-5.9759974;-6.0119147;-6.4598303;-6.0145507
ZINC000004412224;-6.044718;-5.896016;-5.872235;-5.8338256;-6.1989727
ZINC000002579791;-4.2905974;-4.3443503;-4.2400727;-4.3123546;-4.4923887
ZINC000226099351;-4.5013103;-4.2628746;-4.7336807;-4.4449196;-4.5743036
ZINC000097446546;-4.5823636;-4.772172;-4.5523834;-4.481974;-4.6608944
ZINC000019730233;-5.6960464;-5.76465;-5.609551;-5.623577;-5.7466316
ZINC000019730235;-5.5075135;-5.3287735;-5.395954;-5.359991;-5.5127788
ZINC000100220095;-6.5027885;-6.2149687;-5.9033613;-6.174454;-6.304717
ZINC000100250114;-4.997501;-5.0229735;-4.820177;-4.8954067;-5.044619
ZINC000072207272;-5.307311;-5.1658573;-5.398077;-5.100542;-4.840575
ZINC000100988224;-6.5870075;-6.593773;-6.156328;-6.567383;-6.60216
ZINC000019730234;-5.575654;-5.4483724;-5.431483;-5.432846;-5.410141
ZINC000019730232;-5.7093625;-5.7084045;-5.6353645;-5.751138;-5.886064
ZINC000223744358;-5.859963;-5.8802857;-5.608009;-5.7114363;-5.775151
ZINC000097447216;-4.1482105;-4.111247;-3.9435492;-4.119407;-4.0271735
ZINC000004692449;-5.729863;-6.0631037;-5.611422;-5.8099823;-5.670122
ZINC000096510653;-4.9872603;-4.9428663;-5.105981;-5.156312;-5.136856
ZINC000071254889;-5.9189816;-5.6833096;-5.590458;-5.7660522;-5.8385644
ZINC000238695102;-4.263703;-4.1469464;-4.073028;-4.0805035;-4.080942
ZINC000006459353;-6.0649977;-5.7505956;-5.907902;-5.7340045;-5.9762363
ZINC000096510647;-5.31189;-5.450807;-5.518285;-5.3412213;-5.6979814
ZINC000148858459;-4.8803616;-4.6923585;-4.6124578;-4.72758;-4.9012117
ZINC000001577721;-5.030661;-4.9398746;-4.991745;-5.236085;-5.0594077
ZINC000005080694;-5.6935215;-5.54331;-5.7807875;-5.736881;-5.823975
ZINC000001714647;-5.7018523;-5.54221;-5.7829466;-5.7326117;-5.8206353
ZINC000004972296;-5.655154;-5.668402;-5.433054;-5.5798516;-5.636708
ZINC000001737244;-5.802864;-6.0037384;-5.7918043;-5.994295;-6.0739465
ZINC000005328568;-5.696121;-6.010801;-5.7416115;-5.905294;-6.036755
ZINC000013483184;-5.265208;-5.518612;-5.2615805;-5.3959146;-5.322544
ZINC000068562458;-5.234477;-5.112819;-5.5230274;-5.507584;-5.297148
ZINC000100640045;-4.8357787;-4.843083;-4.658181;-4.95845;-5.0061865
ZINC000238721394;-4.9472837;-4.7757635;-4.6658645;-4.796679;-4.9012604
ZINC000026506512;-5.2608957;-5.7337685;-5.2753453;-5.360801;-5.722753
ZINC000016136421;-7.22004;-6.8865356;-7.0769;-7.037949;-7.0399303
ZINC000002522323;-5.085022;-4.879235;-4.845595;-5.071589;-5.0039916
ZINC000039738106;-5.686591;-5.388458;-5.810629;-5.7584777;-5.8014016
ZINC000004640925;-6.048007;-5.445132;-5.474676;-5.742104;-5.5603576
ZINC000004701363;-5.6588087;-5.218835;-5.3071322;-5.4566026;-4.8553004
ZINC000004701362;-5.522053;-5.121847;-5.3491087;-5.5242553;-4.849748
ZINC000008702203;-5.6785073;-5.95686;-5.6458526;-5.8713865;-5.9799995
ZINC000072226456;-4.9937754;-5.013425;-5.1592445;-5.102474;-5.0171447
ZINC000258836881;-4.8832;-5.0462;-4.681077;-4.83809;-5.0179906
ZINC000005946170;-6.152543;-6.0903683;-6.0257244;-6.0484514;-5.995247
ZINC000085390126;-5.451695;-5.555824;-5.415156;-5.2514315;-5.4252367
ZINC000254396965;-6.022463;-5.717414;-5.9440536;-5.810454;-5.8894315
ZINC000123988600;-5.080355;-5.574185;-5.3900943;-5.4390173;-5.646324
ZINC000144892789;-6.053054;-6.005942;-5.8632197;-5.8131437;-6.0426893
ZINC000104347388;-6.05476;-6.666172;-6.3297925;-6.0958037;-5.97933
ZINC000032151698;-5.4653974;-5.4092712;-5.1609974;-5.2283354;-5.324532
ZINC000078405023;-5.572837;-5.9677477;-5.6774263;-6.1882977;-5.8355246
ZINC000085392191;-6.6635866;-6.990957;-6.5733423;-6.677769;-7.074383
ZINC000026505279;-4.8008075;-4.7182307;-4.8122854;-4.79979;-4.538732
ZINC000085392446;-5.2949963;-5.492367;-5.487439;-5.602368;-5.8227267
ZINC000085396970;-5.4391346;-5.1250443;-5.220477;-5.206182;-5.130679
