name;01;02;03;04;05
ZINC000101116084;-5.4828396;-6.0975466;-5.894345;-5.915641;-5.831047
ZINC000017023746;-5.9537916;-6.2746043;-6.100157;-6.054302;-6.011105
ZINC000035571880;-6.8576393;-6.945104;-6.66606;-6.7069483;-6.8213
ZINC000016348916;-5.1223373;-4.6268444;-4.5693665;-4.7181025;-4.52032
ZINC000027028053;-5.709529;-6.1038237;-5.7423906;-5.756855;-6.0427732
ZINC000010150744;-6.451108;-6.403932;-5.9851294;-6.111493;-6.131633
ZINC000010150743;-6.405821;-6.4248533;-6.0839725;-6.1399;-6.100759
ZINC000104184922;-5.442319;-5.537565;-5.486832;-5.4381104;-5.8703613
ZINC000207433655;-4.891963;-3.8957531;-4.725624;-5.050478;-4.7491508
ZINC000027531137;-5.5994425;-5.8404927;-5.2612953;-5.2246113;-5.650438
ZINC000575415211;-5.717922;-5.7108135;-5.340864;-5.6134396;-5.2823467
ZINC000005364346;-7.5693116;-8.048708;-7.443237;-7.3985915;-7.31275
ZINC000001668282;-6.5022297;-6.4183965;-6.3089004;-6.378959;-6.39428
ZINC000001595950;-5.2467923;-5.2716885;-5.2982554;-5.3728275;-5.2501745
ZINC000001598878;-5.8595057;-6.1254454;-5.8481755;-5.9093156;-5.7254634
ZINC000005601098;-5.9634733;-5.9233627;-6.067573;-5.941773;-5.7722006
ZINC000058961048;-6.4345894;-6.557326;-6.147576;-6.175526;-6.4404306
ZINC000004355866;-7.0090733;-6.922041;-6.665553;-6.619779;-6.7248335
ZINC000096184329;-6.2574973;-5.7396803;-5.9289455;-6.0575895;-5.559792
ZINC000022051571;-5.9565415;-5.9413223;-5.607932;-5.671191;-5.5664444
ZINC000001590721;-6.2286897;-6.260334;-6.0856247;-6.335082;-5.918067
ZINC000001590719;-6.3545237;-6.0887403;-5.716483;-6.3939037;-5.9165125
ZINC000005662746;-6.185072;-6.104334;-6.1858582;-6.0133944;-5.791889
ZINC000005662745;-6.0023136;-6.0492597;-5.6130443;-6.0863357;-5.91638
ZINC000004235701;-5.4362926;-5.881449;-5.6428447;-5.705486;-5.3743978
ZINC000033373994;-5.4318247;-5.6385446;-5.725362;-5.7627654;-5.7073984
ZINC000022051560;-6.0138597;-5.6923747;-5.660099;-5.62709;-5.736986
ZINC000104306738;-5.6651464;-5.661288;-5.402812;-5.423591;-5.0885944
ZINC000112339284;-6.0770607;-5.5555315;-5.7495923;-5.4202824;-5.2241745
ZINC000109216049;-5.8074317;-5.6135435;-5.848839;-5.4856415;-5.580923
ZINC000033927952;-5.9925485;-5.6673994;-5.8376527;-5.9466214;-5.934202
ZINC000100367843;-5.8057895;-5.9856815;-5.9056473;-5.9451613;-5.57372
