name;01;02;03;04;05
ZINC000065494588;-4.9645367;-4.8595667;-4.7080417;-4.9556518;-4.8482757
ZINC000004368106;-6.364337;-6.451048;-6.2821913;-6.25097;-6.363978
ZINC000005954528;-5.0163145;-5.2737203;-4.777555;-5.092782;-5.187705
ZINC000000291348;-5.689834;-6.1886883;-6.0752087;-6.0053616;-5.972706
ZINC000002976466;-5.6846128;-5.684161;-5.7851143;-5.986141;-5.937555
ZINC000002499440;-5.9545717;-5.9827933;-5.653474;-5.933398;-5.651734
ZINC000100165135;-5.888089;-5.8273077;-5.48835;-5.67085;-5.799222
ZINC000008772688;-5.7858043;-5.768605;-5.473845;-5.6589637;-5.6582303
ZINC000008772688;-5.832205;-5.723431;-5.4881387;-5.724048;-5.7292967
ZINC000006359915;-5.6727023;-5.7643247;-6.006567;-6.122191;-5.8991337
ZINC000005912058;-5.0194626;-5.275429;-4.7782116;-5.1008687;-5.1948524
ZINC000015933443;-5.9266815;-5.7100105;-5.6604557;-5.7299204;-5.668923
ZINC000002573471;-5.12822;-4.9908853;-5.0244417;-4.9341316;-5.1211076
ZINC000005155234;-6.23164;-6.1771927;-6.362781;-6.269667;-6.2728043
ZINC000100295020;-5.1554294;-5.3007727;-5.402035;-5.347487;-5.539287
ZINC000002566404;-5.830612;-5.578269;-5.7465386;-5.7814803;-5.756968
ZINC000039297153;-5.948905;-5.952799;-5.9885592;-6.0393705;-6.0283313
ZINC000004365213;-4.9979134;-5.021022;-4.5632215;-4.9283276;-4.986219
ZINC000000117559;-5.9395385;-5.7353387;-6.010035;-5.984416;-6.0220003
ZINC000000134606;-5.8609753;-5.800364;-5.969017;-5.984419;-6.03889
ZINC000000304317;-5.924586;-5.603661;-5.9412627;-5.857259;-5.9435096
ZINC000012341773;-6.0683594;-5.979445;-5.937852;-6.076311;-5.9307485
ZINC000016957322;-5.154806;-5.048936;-5.1288514;-5.45105;-5.1953745
ZINC000090413833;-4.7416143;-4.6708026;-4.4955206;-4.607347;-4.655693
