name;01;02;03;04;05
ZINC000008731130;-7.6759005;-6.9137692;-6.6272526;-7.2060637;-6.870276
ZINC000221874523;-6.843571;-6.355809;-6.4390078;-6.1989093;-6.268276
ZINC000222107545;-7.2245274;-7.197809;-6.7177277;-6.8065853;-6.960141
ZINC000095967203;-6.6898317;-6.332928;-6.497719;-6.155651;-6.1210666
ZINC000095967110;-7.1580944;-7.0416975;-6.8046284;-6.812351;-6.87164
ZINC000248022172;-7.6886125;-7.302654;-6.5981417;-6.9766893;-7.8038254
ZINC000221874577;-6.8073974;-6.883983;-6.4645233;-6.144189;-6.4827147
ZINC000222074321;-7.3419313;-7.449227;-6.6791105;-6.9784064;-6.8758993
ZINC000095967109;-7.4360127;-7.3498907;-7.2882366;-7.112584;-7.333734
ZINC000222107612;-7.5991483;-7.450291;-6.879025;-7.0046873;-7.2840242
ZINC000095967202;-6.750357;-6.782521;-6.8648415;-6.5187154;-6.6738887
ZINC000073653945;-7.106772;-7.4374022;-7.1180983;-7.210899;-6.8631535
ZINC000004985713;-7.113846;-7.4968233;-6.6648645;-7.444289;-6.9349117
ZINC000021951776;-6.9356327;-6.6996393;-6.129991;-6.284154;-6.373845
ZINC000253429616;-6.027359;-6.384038;-6.1254907;-6.032692;-6.0721173
ZINC000068577299;-6.2315793;-6.2267666;-6.5734596;-5.882063;-6.5701504
ZINC000068577299;-6.7809362;-6.985697;-6.4594593;-6.810976;-6.7282186
ZINC000082328950;-7.482146;-7.4837284;-6.6168118;-7.117728;-7.053727
ZINC000082328950;-7.3187475;-6.465967;-6.7428145;-6.609543;-7.2169576
ZINC000253429614;-5.995858;-6.0010133;-6.090559;-6.019045;-5.782832
ZINC000426567179;-6.7413406;-6.9922314;-6.13864;-6.4962187;-6.5531044
ZINC000004234901;-6.239718;-6.361755;-6.3017273;-6.504607;-6.5227623
ZINC000000276978;-7.237131;-7.5297112;-7.0442953;-7.5864744;-6.9790754
ZINC000004234902;-6.011132;-6.147528;-6.4164276;-6.666086;-6.612314
ZINC000000236790;-6.7076893;-7.028484;-6.373609;-6.7204885;-6.674857
ZINC000000236790;-6.421541;-6.982444;-6.498167;-6.6537437;-6.5420136
ZINC000019912906;-7.452097;-7.5742373;-6.7981386;-7.58095;-7.1173067
ZINC000021951551;-7.1481504;-7.304977;-6.90977;-6.7229204;-7.0872717
ZINC000021952182;-7.117939;-6.751177;-6.875011;-6.8340034;-6.967219
ZINC000019912907;-7.2928;-7.369444;-6.9132543;-7.4082637;-7.0472746
ZINC000072147874;-7.2184153;-6.948855;-7.4206967;-6.850248;-6.7385244
ZINC000021952184;-6.815185;-6.655196;-6.7848067;-6.856311;-6.91069
ZINC000021951553;-7.0621204;-7.2973194;-6.974794;-6.8198876;-6.8678575
ZINC000072147873;-7.252586;-6.994912;-7.4570193;-7.039242;-6.6751003
ZINC000000181937;-6.189763;-6.187355;-5.976037;-6.2780156;-6.3663425
ZINC000094848918;-7.2058535;-6.8763623;-7.009074;-7.1129785;-7.378759
ZINC000037515568;-7.459428;-7.5793805;-6.9497776;-7.424313;-7.321299
ZINC000097234868;-6.4673023;-6.080161;-6.424879;-6.567258;-6.426613
ZINC000026515075;-7.188655;-7.4142604;-7.179163;-7.264921;-7.206622
ZINC000026515076;-6.5224285;-7.144859;-7.2528315;-7.063781;-7.0607896
ZINC000044534332;-7.7758203;-7.8993764;-7.567212;-7.635235;-7.5512767
ZINC000044534333;-7.5690775;-7.6988106;-7.552859;-7.5408406;-7.492584
ZINC000030678442;-6.8004966;-6.729303;-6.9167647;-6.927791;-6.608085
ZINC000044534335;-8.057949;-7.658887;-7.7374153;-7.737916;-7.614497
ZINC000044534337;-8.279908;-7.825286;-7.7251644;-7.987975;-7.6360135
ZINC000004022668;-6.3404946;-6.5621033;-6.4676504;-6.8578115;-6.532881
ZINC000005668160;-6.782207;-6.250292;-6.162114;-6.0605164;-6.379843
ZINC000097103364;-7.201142;-7.108834;-7.1550717;-7.1377993;-6.7823157
ZINC000000757797;-6.4157753;-6.5366645;-6.7076607;-6.620702;-6.5342493
ZINC000003683562;-6.2051935;-5.8020267;-5.9879136;-5.567914;-5.615782
ZINC000003683562;-6.491792;-5.7949586;-5.8389993;-5.530421;-5.780063
ZINC000020093615;-7.443891;-7.376438;-6.7540526;-7.4547048;-7.3958235
ZINC000004022666;-6.171938;-6.626708;-6.7982497;-6.867088;-6.585941
ZINC000062151979;-7.386224;-7.539346;-7.2632213;-7.4690275;-7.535757
ZINC000062151981;-7.135447;-6.9786444;-6.9603376;-7.4377685;-7.5619445
