name;01;02;03;04;05
ZINC000001456625;-5.2567034;-5.7844124;-5.5587444;-5.607832;-5.870453
ZINC000198748321;-5.8240776;-5.9353514;-5.508942;-6.25338;-6.104554
ZINC000198748321;-5.1886015;-5.4618297;-5.0350485;-5.3749013;-5.3521476
ZINC000003201463;-5.9309635;-6.0379133;-5.57986;-5.8245087;-5.6855016
ZINC000073410638;-6.079935;-5.7901797;-6.0719495;-6.119262;-5.960412
ZINC000073410641;-5.924742;-6.03478;-5.9531364;-6.211482;-5.804243
ZINC000095738803;-5.3159676;-5.530794;-5.4774256;-5.2846985;-5.2319913
ZINC000034975318;-5.014219;-5.3272457;-4.9420757;-5.2371364;-5.1883764
ZINC000035032841;-5.1109066;-5.1860476;-5.0225754;-5.07671;-5.0453806
ZINC000008435776;-5.278816;-5.382456;-5.130162;-5.223656;-5.2105
ZINC000091711176;-5.954913;-5.8815274;-5.8239107;-5.9180627;-5.915578
ZINC000043220475;-5.726455;-6.262212;-5.775609;-5.9744973;-6.1245265
ZINC000001456624;-5.6075273;-5.7462025;-5.6306825;-5.640918;-5.8411736
ZINC000258830820;-4.176487;-4.04402;-4.359668;-4.28509;-4.6201367
ZINC000256053169;-6.2233562;-5.92995;-5.8683786;-5.5233626;-5.7400546
ZINC000085395812;-5.1775556;-5.3449087;-4.912731;-4.9886737;-5.2709327
ZINC000073635984;-5.8027315;-6.058038;-6.044031;-5.7361608;-5.7875533
ZINC000100152478;-4.556702;-4.8022966;-4.8775625;-4.982785;-5.09674
ZINC000014607864;-6.289237;-6.173052;-6.3802176;-6.3176966;-6.2703447
ZINC000228917112;-4.9757686;-5.084392;-5.1719365;-5.256579;-5.082156
ZINC000035739612;-5.910548;-5.6489763;-5.4456863;-5.66725;-5.5295405
ZINC000256051511;-4.0484395;-3.9864407;-4.769233;-4.392188;-4.1975164
ZINC000052852258;-4.70927;-4.8414145;-4.6059747;-4.820839;-5.093664
ZINC000064874479;-5.6587744;-5.3080525;-5.06904;-5.261626;-5.871918
ZINC000328972154;-6.403396;-5.6732807;-5.7196064;-6.100465;-6.173426
ZINC000043220476;-5.786476;-6.3822193;-5.945555;-6.2567706;-6.2203183
ZINC000085397345;-5.1044583;-5.4860373;-5.634184;-5.626797;-5.5866675
ZINC000000472586;-5.5874925;-5.5319977;-5.413393;-5.6239986;-5.472198
ZINC000256049658;-6.185607;-5.8365555;-5.6716657;-5.8381643;-5.6387577
ZINC000062719182;-6.1616793;-5.7898536;-5.9397984;-5.9594026;-6.1759963
ZINC000062719182;-5.7653685;-6.020582;-5.7676144;-6.0063195;-6.0494537
ZINC000102003762;-5.891533;-5.44455;-5.8055277;-5.870695;-5.7485876
ZINC000102003759;-5.384824;-5.3950415;-5.4464216;-5.686378;-5.5893207
ZINC000072187765;-5.410526;-5.461764;-5.325127;-5.631676;-5.5096035
ZINC000072187764;-5.4193044;-5.4938116;-5.582572;-5.1854124;-5.231834
ZINC000003749226;-5.887617;-6.28858;-5.9790545;-6.3394976;-6.1822114
ZINC000035739613;-5.9245377;-5.653197;-5.4468675;-5.670348;-5.527747
