name;01;02;03;04;05
ZINC000002053572;-5.3491526;-5.5280585;-5.5472484;-5.8702183;-5.4809213
ZINC000012403097;-5.7498693;-5.9424534;-5.8095865;-5.9538965;-5.716036
ZINC000001079645;-6.083858;-5.1923423;-5.1297646;-5.409319;-5.086468
ZINC000008764909;-5.394741;-5.5032225;-5.5210342;-5.606987;-5.6381564
ZINC000002865681;-5.3851624;-5.2708945;-5.557905;-5.6114616;-5.548388
ZINC000001041671;-5.3779306;-5.3649516;-5.410864;-5.247248;-5.4765573
ZINC000004840381;-5.4916778;-5.3735213;-5.4490666;-5.776476;-5.418544
ZINC000003880954;-5.3632784;-5.0637546;-5.149955;-5.0717344;-5.171483
ZINC000003873991;-6.0371737;-6.043599;-6.2756977;-6.027547;-6.272188
ZINC000001041672;-5.385279;-5.3453383;-5.392078;-5.2117853;-5.483605
ZINC000004105402;-4.59893;-4.434693;-4.397155;-4.314457;-4.459602
ZINC000006207588;-5.220706;-5.060763;-5.3882585;-4.838425;-5.2464046
ZINC000002597440;-4.939004;-5.0971127;-5.0107985;-5.1298046;-4.862877
ZINC000000244540;-4.6817017;-4.698211;-4.805126;-4.9772134;-4.605597
ZINC000000244534;-4.807413;-4.7241645;-4.998338;-4.940309;-4.628456
ZINC000022216030;-4.9444866;-5.127573;-4.9481163;-4.916442;-5.2203455
ZINC000000479345;-4.951761;-5.1764784;-5.1755733;-4.9234915;-4.8975067
ZINC000000479352;-4.967078;-5.2672515;-5.117921;-4.986845;-5.0002794
ZINC000000470722;-4.754203;-5.0334244;-4.96742;-4.7863274;-4.766469
ZINC000086778024;-5.3074656;-5.3193674;-5.419572;-5.0478444;-5.3384967
ZINC000004476840;-6.424606;-5.8570504;-5.859873;-6.586236;-6.295717
ZINC000018192349;-5.4545555;-5.3305683;-5.3749857;-5.6130304;-5.605159
ZINC000001671392;-5.926227;-6.0849123;-5.902773;-6.098638;-6.251182
ZINC000004343987;-5.7693243;-5.968742;-5.777655;-5.668562;-5.840463
ZINC000005330596;-5.483053;-5.4366245;-5.408053;-5.1909947;-5.4136205
ZINC000023281852;-6.2901464;-6.4600663;-6.359333;-6.6034017;-6.639658
ZINC000000569995;-5.4281673;-5.4747086;-5.449916;-5.522487;-5.5848813
ZINC000022005628;-6.166621;-6.1840496;-5.93303;-5.9471197;-6.0214014
ZINC000000410838;-5.5024805;-5.322001;-5.5983953;-5.6443815;-5.5373306
ZINC000013119158;-5.4001265;-5.5969086;-5.546681;-5.4311247;-5.682137
ZINC000000069987;-5.636008;-6.2820415;-6.185252;-6.070718;-6.127599
ZINC000000062978;-5.231983;-5.1840577;-5.0441875;-5.094514;-5.064788
ZINC000003349481;-5.333486;-5.35106;-5.855385;-5.5903606;-5.105762
ZINC000012357657;-5.6354713;-5.2871146;-5.2268505;-5.4404206;-5.6208215
ZINC000000049027;-5.6802664;-6.1213474;-5.470629;-5.7971144;-5.526505
ZINC000009239362;-5.4250016;-5.626046;-5.379719;-5.3203964;-5.225143
ZINC000138164919;-6.0573497;-5.5153403;-5.7417407;-6.144081;-6.1138306
ZINC000001221188;-5.062835;-5.04582;-5.432719;-5.0698185;-5.391524
ZINC000003622072;-5.5116735;-5.022331;-5.373014;-5.2693954;-5.3134794
ZINC000003622074;-5.59623;-5.109212;-5.417443;-5.2673397;-5.3202124
ZINC000015446075;-5.173699;-5.131147;-5.1570005;-5.2348566;-5.1104846
ZINC000100502644;-5.5011168;-5.7038217;-5.7428775;-5.521731;-5.5648346
ZINC000000194312;-5.595304;-5.778105;-5.9469676;-5.6575975;-6.076926
ZINC000001620239;-6.1776943;-6.0862274;-5.6433616;-6.2057877;-6.1433773
ZINC000000267017;-5.6628017;-4.736709;-5.027714;-4.8703628;-4.791653
ZINC000004053738;-5.124454;-5.1479445;-5.147936;-5.2882857;-5.075904
ZINC000004053739;-5.125299;-5.1491027;-5.134985;-5.2858033;-5.0735598
ZINC000029753850;-5.1101227;-4.9282436;-5.250536;-5.2763176;-5.2691793
ZINC000019094265;-5.9983244;-6.070582;-5.714709;-5.833167;-5.6665587
ZINC000100943283;-6.0267973;-5.423479;-5.7844586;-5.941028;-5.850467
ZINC000000208955;-5.5697894;-5.520377;-5.215838;-5.3662777;-5.065604
ZINC000101044148;-5.7540054;-6.6790013;-6.5179787;-6.107421;-6.192974
ZINC000242688652;-5.276415;-5.403074;-5.0625744;-5.652285;-5.581512
ZINC000001410307;-5.303245;-5.1244936;-5.3918796;-5.1394076;-5.0916066
ZINC000206580257;-5.8929887;-6.049544;-5.927001;-5.8936663;-6.0589314
ZINC000006929880;-5.738418;-6.0819383;-5.8793273;-6.160947;-6.0639505
ZINC000006932275;-5.7359524;-6.0748806;-5.87892;-6.1607437;-6.0664506
ZINC000206580829;-5.513559;-5.747175;-6.0209074;-5.888813;-5.79323
ZINC000062611112;-4.876986;-5.3321075;-4.9166207;-4.9705114;-5.268909
ZINC000009482453;-6.171925;-6.2528553;-6.021073;-5.9501247;-6.2968073
ZINC000000228917;-5.1817884;-5.3297114;-5.3425593;-5.153107;-5.2095733
ZINC000006751215;-4.937636;-4.93536;-5.036448;-4.8279047;-4.9409256
ZINC000072168726;-5.221897;-5.484722;-5.2458887;-5.4530773;-5.546554
ZINC000004725846;-6.064281;-6.008592;-6.0032563;-6.169543;-6.2906475
ZINC000004817935;-6.309301;-5.955222;-6.006009;-6.2288647;-6.2253537
ZINC000003070020;-4.860202;-4.7557454;-4.7051907;-5.0111027;-4.86929
