name;01;02;03;04;05
ZINC000068719660;-6.0599627;-6.04494;-5.8161745;-6.2042494;-6.3477507
ZINC000031154989;-5.4901557;-5.526347;-5.2878485;-5.0791545;-4.9979606
ZINC000041258632;-6.367394;-6.047904;-5.98526;-6.29554;-6.1699815
ZINC000018036699;-6.4041114;-6.4824185;-6.1194267;-6.142535;-6.3938503
ZINC000000115172;-5.4041185;-5.372213;-5.156415;-5.239158;-5.3786917
ZINC000013118530;-6.0751305;-6.2477627;-5.7019677;-5.8206887;-6.008061
ZINC000004253943;-5.1511664;-5.613844;-4.861393;-5.009129;-4.9793034
ZINC000000092311;-5.4959226;-5.4723277;-5.083231;-5.235268;-5.3823786
ZINC000003865376;-5.110992;-5.1837707;-5.323059;-5.0805135;-5.367443
ZINC000000231377;-5.5670133;-5.2768703;-5.1793413;-5.4172373;-5.394341
ZINC000003892550;-6.1091547;-6.168337;-5.836859;-6.032058;-6.2438354
ZINC000019509531;-5.2020197;-4.954056;-5.091941;-4.8610916;-5.1093774
ZINC000042431930;-5.58562;-5.2523565;-5.5139623;-5.2926483;-5.5421557
ZINC000071785949;-5.1592956;-5.3463984;-5.3310614;-5.310196;-5.518251
ZINC000004252553;-6.7557497;-6.604932;-6.5805917;-6.589688;-6.658287
ZINC000103560347;-4.8873262;-4.751051;-4.9916167;-4.8353305;-4.751255
ZINC000004350061;-5.852029;-6.078354;-5.740641;-6.021098;-6.229162
ZINC000100396370;-6.2586393;-5.8618793;-6.01893;-6.057827;-6.078409
ZINC000004544537;-6.206056;-5.825386;-5.9071608;-6.0259514;-5.9146757
ZINC000212717392;-5.9423933;-5.635415;-5.5720453;-5.7943645;-5.6160564
ZINC000079045448;-5.145507;-4.9956245;-4.8302975;-4.9925857;-5.1883354
ZINC000008782306;-4.906773;-4.321207;-4.5381384;-4.680009;-4.795326
ZINC000012357690;-4.4715652;-4.344655;-4.14112;-4.194554;-4.253704
ZINC000006667730;-5.111923;-5.797376;-5.3577332;-5.3389115;-5.4314637
ZINC000000169102;-5.916293;-5.8780622;-5.7019005;-5.8460183;-5.7211146
ZINC000008656617;-6.1933956;-6.1379337;-6.090992;-6.1363797;-6.098172
ZINC000100496915;-4.7649302;-4.4906344;-4.7657385;-4.8871217;-5.0889797
ZINC000077027067;-4.7800446;-5.0215;-4.782463;-4.9120884;-5.136844
ZINC000011962142;-5.149596;-5.1572623;-4.993265;-4.997023;-5.2532
ZINC000006591412;-6.0405354;-6.4189997;-6.3361926;-6.3305407;-6.3657465
ZINC000004073789;-6.0748096;-6.4521475;-6.308989;-6.2899275;-6.3839755
ZINC000006591411;-5.848408;-6.117542;-6.1225505;-6.43909;-6.336963
ZINC000001658651;-5.969621;-6.0767775;-6.355655;-6.183864;-6.361028
ZINC000004024959;-5.958967;-5.622783;-5.404382;-5.5585146;-5.751807
ZINC000000167674;-5.597667;-5.668143;-5.379446;-5.4809794;-5.6422367
ZINC000002528937;-5.8987164;-5.862708;-5.516949;-5.6091485;-5.756537
ZINC000043395192;-6.0536885;-5.6069717;-5.7908854;-5.6718435;-5.871988
ZINC000002528933;-6.243103;-6.1809216;-6.056182;-6.013406;-6.175136
ZINC000031817048;-6.259745;-5.961546;-5.8693767;-5.9374743;-6.131752
ZINC000006863172;-5.6694636;-5.753337;-5.503904;-5.5573626;-5.672952
ZINC000002554008;-5.326264;-5.4463177;-5.1940756;-5.5027;-5.621942
ZINC000038764118;-6.15548;-5.736367;-5.549355;-5.70779;-5.8465414
ZINC000606355899;-5.9439406;-6.15587;-6.401266;-6.1874385;-6.1032224
ZINC000002565534;-5.3199596;-5.302809;-5.346174;-5.284809;-5.225301
ZINC000005818160;-5.5817437;-5.7038193;-5.5321813;-5.8733444;-5.5933113
ZINC000606442208;-6.1232114;-6.3149;-5.926775;-6.255495;-6.3649454
ZINC000606442209;-6.1235104;-6.150272;-5.875455;-6.3609114;-6.2310433
ZINC000002579562;-5.4248686;-5.4658155;-5.4229584;-5.647756;-5.3514533
ZINC000031812792;-5.9204607;-5.6261806;-5.4175215;-5.577382;-5.7374506
ZINC000053994628;-5.5153728;-5.427052;-5.2518725;-5.210892;-5.3560743
ZINC000100080512;-5.0906935;-5.7499304;-5.6205826;-5.5083046;-5.518709
ZINC000004252550;-6.999026;-7.0011945;-6.9030128;-6.962579;-7.1681714
ZINC000004566985;-5.7523403;-5.9719796;-5.780045;-5.910903;-5.865438
ZINC000002528940;-6.6126533;-6.5321975;-6.367599;-6.418523;-6.4920373
ZINC000001258047;-6.7181807;-6.5647807;-6.5220275;-6.606682;-6.7658157
ZINC000097994680;-6.0134816;-6.622415;-6.119094;-6.5040603;-6.1944146
ZINC000082068101;-6.453145;-6.497463;-6.2866;-6.3309207;-6.2995195
ZINC000016947558;-5.6826897;-5.653558;-5.4275303;-5.574553;-5.704316
ZINC000016947599;-6.4189863;-6.3878436;-6.2733545;-6.2041464;-6.2879453
ZINC000000405763;-5.759842;-6.0563655;-5.628645;-5.715664;-5.9400477
ZINC000014988380;-5.834359;-5.9208074;-5.9898725;-6.0243573;-6.1842237
ZINC000095396891;-5.781508;-5.204528;-5.586746;-5.5939703;-5.4705935
ZINC000585134888;-6.2170467;-6.397349;-5.691998;-6.1525617;-6.0337377
ZINC000585134889;-6.255063;-6.436902;-5.76303;-6.338263;-6.1272807
ZINC000100509221;-6.2624907;-6.3894415;-6.0861044;-6.2386813;-6.150035
ZINC000100162807;-5.3696194;-6.1434746;-5.953587;-6.0069995;-6.0838985
ZINC000100509218;-6.054816;-6.070269;-6.2575617;-6.224222;-5.9878426
ZINC000100487021;-6.462708;-6.5486054;-6.1827574;-6.462819;-6.136021
ZINC000006490275;-6.464142;-6.1720896;-5.8819704;-5.8950686;-6.2381144
ZINC000585139620;-6.1329503;-6.25205;-5.881495;-5.8781786;-6.1013746
ZINC000238569991;-4.1538277;-3.938612;-3.9489417;-4.0451965;-3.9720044
ZINC000006536155;-6.460396;-5.978191;-6.0453777;-6.3512874;-5.942889
ZINC000071777529;-5.566848;-5.2602177;-5.3072066;-5.552181;-5.6064196
ZINC000071774064;-4.9415236;-5.0177717;-4.9541693;-4.9000397;-5.1099243
ZINC000071774008;-6.351555;-6.1468706;-5.932135;-5.973419;-6.3752728
ZINC000005807833;-5.9042234;-5.539616;-5.50366;-5.7207417;-5.737297
ZINC000007779444;-6.16486;-6.171299;-6.033642;-6.1117783;-5.8550243
ZINC000016448928;-5.2749767;-4.7665086;-4.8669906;-4.996307;-4.9813795
ZINC000006225133;-6.0306044;-5.526451;-5.7034;-6.0700436;-5.8885612
ZINC000007989247;-5.6407037;-5.2233434;-5.2806406;-5.297943;-5.48525
ZINC000100701812;-5.913014;-6.0275025;-6.246041;-6.2429523;-6.2788553
ZINC000000405831;-5.913014;-6.0275025;-6.246041;-6.2429523;-6.2788553
ZINC000071784712;-6.58102;-6.322713;-5.936846;-5.9568067;-6.210081
ZINC000002507633;-5.455502;-5.6006594;-5.582947;-5.5544577;-5.2567534
ZINC000226085974;-5.6614337;-5.788765;-5.863826;-6.051738;-6.0687313
ZINC000082068100;-6.4534683;-6.4996405;-6.2843666;-6.329773;-6.2993693
ZINC000252630102;-5.9996424;-5.9956493;-5.749791;-5.888267;-6.063685
ZINC000002523184;-5.869104;-5.5415034;-5.6043124;-5.6977587;-5.5953307
ZINC000005602514;-6.563241;-6.1783175;-6.2208385;-6.089183;-6.227842
ZINC000006533669;-5.2319083;-5.2995024;-4.993546;-5.1524105;-5.1430206
ZINC000033364664;-5.7072263;-5.9142666;-5.931142;-5.785059;-5.9127884
ZINC000004980775;-5.5212145;-5.351471;-5.322994;-5.559804;-5.593051
ZINC000004099011;-5.239921;-5.3283467;-5.114607;-5.455779;-5.219529
ZINC000020074707;-5.0734854;-5.1910386;-5.0056334;-4.9546447;-5.225998
ZINC000032628043;-5.9728856;-6.520207;-5.879243;-6.0836945;-6.062122
ZINC000013130591;-6.373439;-6.3601303;-6.194741;-6.3235254;-6.45825
ZINC000002485620;-5.20203;-5.256636;-5.0991087;-5.107349;-5.284675
ZINC000252460718;-7.181903;-6.911432;-6.707611;-6.7043734;-6.886464
ZINC000000128855;-4.9834847;-4.803834;-4.900225;-4.764405;-4.943501
ZINC000000148916;-4.715973;-4.648459;-4.5357018;-4.432902;-4.6944494
ZINC000002528939;-5.9141893;-5.8837667;-5.70536;-5.9285965;-5.9693336
ZINC000008738495;-6.071065;-6.1655626;-5.958024;-6.123481;-5.743495
ZINC000012410290;-5.738984;-5.6886163;-5.5667777;-5.6134953;-5.5650134
ZINC000004648844;-6.361888;-6.2134676;-5.6815314;-6.2390456;-6.076156
ZINC000071785058;-6.4557004;-6.044976;-5.9545646;-5.8737917;-6.360349
ZINC000005378260;-6.094347;-5.876666;-6.204489;-6.1165366;-5.882101
ZINC000042689524;-5.5018816;-5.785188;-5.700013;-5.828314;-5.7957063
ZINC000038193441;-6.109637;-5.8727436;-5.653017;-5.895709;-5.9766097
ZINC000053021620;-5.349661;-5.468836;-5.0554233;-5.4838176;-5.1678286
ZINC000022203525;-5.2949214;-4.779913;-5.0479856;-5.2028403;-4.914425
ZINC000022203521;-5.3359876;-4.8164377;-5.044364;-5.176126;-4.911746
ZINC000000153577;-5.9602876;-5.9574594;-6.001343;-6.048824;-5.9461527
ZINC000004552439;-6.311597;-6.1595817;-5.8793135;-6.0246515;-6.0364294
ZINC000005601156;-6.118104;-6.083723;-5.9619207;-5.914513;-6.07281
ZINC000022995898;-4.599282;-4.33577;-4.2471995;-4.3224177;-4.6494145
ZINC000100084000;-6.109637;-5.8727436;-5.653017;-5.895709;-5.9766097
ZINC000103612313;-5.869134;-5.9019127;-5.5516324;-5.545421;-5.7124457
ZINC000036805530;-4.013967;-3.9103816;-3.9086957;-3.958468;-4.090417
ZINC000040162800;-5.251177;-5.0341096;-5.197625;-5.3212056;-5.3717346
ZINC000002579545;-4.4117336;-4.474154;-4.527192;-4.558399;-4.405747
ZINC000002579554;-5.3882155;-5.204528;-5.2149234;-5.1965337;-5.1461916
ZINC000001671060;-4.9015875;-4.848042;-4.928834;-4.746618;-4.7545233
ZINC000100244391;-5.3979597;-5.274167;-5.264812;-5.0936117;-5.1338615
ZINC000002024000;-5.3081603;-5.0829782;-5.0290794;-4.879484;-5.0420065
ZINC000036107992;-7.181903;-6.911432;-6.707611;-6.7043734;-6.886464
ZINC000080053616;-5.369968;-5.3106565;-5.292981;-5.4598308;-5.5028896
ZINC000012358665;-7.108797;-6.5689507;-6.452098;-6.8082814;-6.569042
ZINC000002521034;-6.044264;-5.923816;-5.614798;-5.706067;-5.8957415
ZINC000002289049;-5.3641634;-5.581231;-5.56037;-5.5719004;-5.3984194
ZINC000002289048;-5.365289;-5.5820026;-5.5614405;-5.571926;-5.398507
ZINC000012505205;-5.9439406;-6.15587;-6.401266;-6.1874385;-6.1032224
ZINC000053994934;-5.1441345;-4.921555;-5.054614;-4.9825993;-4.8839316
ZINC000002579544;-4.7768507;-4.7236834;-4.686424;-4.6572456;-4.4380293
ZINC000004015174;-5.345228;-5.5971994;-5.4182177;-5.5230865;-5.569394
ZINC000097164164;-6.5287247;-6.514468;-5.9228597;-5.9199834;-6.232876
ZINC000096416216;-6.175431;-6.6548567;-6.483848;-6.2786036;-5.792984
ZINC000000196122;-5.4741187;-5.9254656;-5.9630013;-5.801283;-5.7525525
ZINC000000196126;-5.4741945;-5.925887;-5.959944;-5.7982755;-5.749238
ZINC000387834865;-4.9415236;-5.0177717;-4.9541693;-4.9000397;-5.1099243
ZINC000100163456;-5.646014;-6.1281223;-5.86782;-6.1207657;-6.2476025
ZINC000013153820;-5.4365315;-4.9286284;-5.2956;-5.350126;-5.199075
ZINC000039213523;-6.057165;-6.027794;-5.921767;-5.9951744;-5.952876
ZINC001529596294;-5.212507;-5.333362;-5.223006;-5.1982255;-5.0751314
ZINC000003909662;-6.643111;-6.9501143;-6.660417;-6.6087594;-6.7489433
ZINC000003909660;-5.99276;-6.110863;-5.737099;-5.994486;-5.9490104
ZINC000000118669;-5.874193;-5.552619;-5.6199765;-5.524173;-5.8487115
ZINC000011905637;-6.153033;-6.2513666;-6.1284175;-6.221728;-6.19921
ZINC000082049687;-5.8014617;-5.9260454;-5.695893;-5.8342896;-5.7251368
