name;01;02;03;04;05
ZINC000003847106;-5.830346;-5.639816;-5.769043;-5.822154;-5.9766784
ZINC000017040047;-6.461946;-6.629026;-6.5855265;-6.600187;-6.4789443
ZINC000045958912;-5.7211986;-5.498933;-5.4520626;-5.694003;-5.628202
ZINC000003647376;-5.771265;-5.4697857;-5.491315;-5.542645;-5.668486
ZINC000085221326;-5.6227636;-5.4776254;-5.279608;-5.0157423;-5.104933
ZINC000021986080;-6.370773;-6.176132;-6.069958;-6.2501965;-6.4305787
ZINC000000039953;-5.945636;-6.037813;-5.763506;-6.0731115;-6.1094117
ZINC000212141243;-6.5567327;-6.1342225;-6.2742224;-6.3691735;-6.188329
ZINC000008569607;-6.2697954;-6.1862144;-6.140154;-6.513756;-6.5141697
ZINC000013223064;-6.397537;-5.993539;-6.180838;-6.402159;-6.1317415
ZINC000013208301;-5.202344;-5.3932433;-5.2073646;-5.359824;-5.444317
ZINC000001690484;-6.239888;-6.228081;-6.180525;-6.330682;-6.3169255
ZINC000013283755;-5.320769;-5.0824842;-5.288517;-5.1401734;-5.298938
ZINC000013281475;-5.164821;-5.3308005;-5.212337;-5.205097;-5.3151994
ZINC000003844872;-6.1675987;-6.131913;-6.059734;-6.233447;-6.4515452
ZINC000261508988;-6.495928;-6.3343406;-6.2734213;-6.5106354;-6.2035975
ZINC000013283292;-5.9853005;-5.839064;-5.9028277;-6.652389;-5.803291
ZINC000021982633;-5.35659;-5.607915;-5.495409;-5.6909842;-5.765716
ZINC000014651267;-5.9163275;-5.9852095;-5.852483;-5.6827044;-6.05995
ZINC000001648210;-7.1604757;-7.1207476;-7.061747;-7.131815;-7.229677
ZINC000064220104;-5.432705;-5.701624;-5.4113183;-5.5389366;-5.6888556
ZINC000021992997;-6.4590836;-6.0865116;-6.370397;-6.5215187;-6.319627
ZINC000205221595;-6.021409;-5.618585;-5.84499;-5.8879476;-5.771154
ZINC000001656029;-6.5343323;-6.3155003;-6.6232977;-6.4467435;-6.3977566
ZINC000005125119;-5.479601;-5.840499;-5.743789;-5.623363;-5.799236
ZINC000165873535;-5.95936;-5.9223228;-5.829542;-6.148085;-5.9436746
ZINC000165863449;-5.737663;-5.8579483;-5.683681;-6.0651827;-6.0669527
ZINC000165861447;-5.8499193;-5.8424716;-5.7354803;-6.062958;-5.9291635
ZINC000008627959;-5.87644;-5.761281;-5.648091;-5.9364443;-5.857717
ZINC000008627962;-5.793768;-5.765433;-5.5960183;-5.865774;-5.9598193
ZINC000007277793;-5.2320867;-5.3563533;-5.4147825;-5.325897;-5.3162026
ZINC000005977661;-6.155646;-6.6668377;-5.9562454;-6.1067314;-6.0459876
ZINC000001749018;-6.236726;-6.725388;-6.4220424;-6.8945723;-6.5417256
ZINC000001749038;-7.0986056;-7.5842495;-7.1608024;-7.508368;-7.43396
ZINC000001728003;-6.6986465;-6.608318;-6.618304;-7.070076;-6.9031696
ZINC000001683336;-5.6840744;-5.556346;-5.570274;-5.5475407;-5.6286073
ZINC000090613201;-5.5260334;-5.815978;-5.509965;-5.6058707;-5.706927
ZINC000042415202;-6.392435;-6.032224;-6.308977;-6.336447;-6.0605693
ZINC000031622516;-5.8213725;-5.5656366;-5.6063614;-6.0697865;-5.8628407
ZINC000001556592;-7.011405;-6.7967453;-6.5028415;-6.8466187;-6.7721195
ZINC000040176419;-6.751166;-6.5669055;-6.582901;-6.7589335;-6.352225
ZINC000001558974;-6.587979;-6.794812;-6.5689707;-6.649164;-6.3633013
ZINC000072228410;-6.5281634;-6.3571377;-6.332831;-6.4783173;-6.2166414
ZINC000072228408;-6.5274773;-6.441141;-6.0038247;-6.2001915;-6.332831
ZINC000071256278;-6.029;-5.5971074;-6.1973825;-5.9649916;-5.78537
ZINC000001688079;-6.041978;-6.170642;-5.782961;-5.9127545;-5.692245
ZINC000104143557;-6.2158937;-6.3910866;-5.8911576;-6.54696;-6.217582
ZINC000020473687;-6.1132803;-6.3422318;-6.2656307;-6.47203;-6.2340565
ZINC000217546159;-6.0713463;-5.686695;-5.9159718;-6.3534083;-6.14388
ZINC000256051581;-6.032033;-6.024205;-5.3947096;-5.995618;-6.2919173
ZINC000060383283;-6.212943;-6.439914;-6.542654;-6.480443;-6.4011617
ZINC000005824408;-6.402224;-6.1543927;-6.345953;-6.437213;-6.1562634
ZINC000004824927;-5.9293523;-6.104165;-5.820524;-5.8863144;-5.9375496
ZINC000020474745;-5.9701633;-6.2640085;-6.4974356;-6.6724257;-6.371837
ZINC000085391194;-5.6053734;-5.693588;-5.872005;-5.7547264;-5.962498
ZINC000085386145;-6.062498;-6.074643;-5.906153;-6.2875404;-6.196949
ZINC000217546076;-6.0712457;-5.686781;-5.9158993;-6.3534856;-6.14386
ZINC000001694075;-6.7093897;-6.6220837;-6.617766;-7.087902;-6.922738
ZINC000004748040;-6.7347007;-6.5165896;-6.424833;-6.4178834;-6.2637734
ZINC000001577043;-5.8968544;-5.730089;-5.7489805;-5.6741667;-6.005635
ZINC000001705852;-7.426364;-7.6824465;-7.7120004;-7.8215885;-7.407488
ZINC000001705857;-6.4907994;-6.9142747;-6.845851;-7.141776;-6.569693
ZINC000021988745;-5.876031;-5.8265305;-5.5866957;-5.764471;-5.8432384
ZINC000036559051;-5.3488617;-5.5299864;-5.5393057;-5.621574;-5.7813053
ZINC000001719098;-6.4249163;-6.7616;-6.31485;-6.883964;-6.8455
ZINC000001719805;-5.7841406;-5.7051115;-5.477968;-5.71395;-5.8261585
ZINC000017313056;-6.2280664;-5.9366355;-5.7580957;-6.2605205;-6.0717235
ZINC000001719976;-6.123246;-6.565573;-6.4211783;-6.515773;-6.1352777
ZINC000008306542;-6.284142;-6.1876316;-6.307392;-6.3822556;-6.3850083
ZINC000000028149;-6.1873875;-6.1421623;-6.104859;-6.1692667;-6.1084895
ZINC000001721159;-6.1220717;-6.1142793;-5.7826095;-6.295035;-6.129786
ZINC000001722442;-6.3941;-6.4052634;-6.650012;-6.445928;-6.519875
ZINC000036617326;-6.301637;-6.105569;-6.3166533;-6.2183604;-6.197972
ZINC000225394332;-6.6307745;-6.1518517;-6.4686613;-6.5100727;-6.271251
ZINC000034590061;-5.6676803;-5.749046;-5.4750676;-5.9992003;-5.779614
ZINC000001728002;-6.613022;-6.554467;-6.231999;-6.609579;-6.5493927
ZINC000001728004;-6.620622;-6.484204;-6.3242354;-6.5774493;-6.451706
ZINC000005331443;-6.1238723;-6.0114803;-5.9993024;-6.1236186;-6.2038264
ZINC000067800727;-5.682973;-5.21791;-5.5947;-6.0319343;-5.43993
ZINC000098181688;-4.5730367;-4.9444633;-5.1797786;-5.2836404;-5.310482
ZINC000100090070;-5.271401;-5.4845357;-5.2002945;-5.266219;-5.360013
ZINC000005379281;-5.6063128;-5.7562866;-5.9269676;-5.8966465;-5.969684
ZINC000004773457;-6.1638904;-6.33401;-6.3283744;-6.2404227;-6.2918115
ZINC000261507461;-5.699895;-5.843545;-5.678759;-5.6196494;-5.912843
ZINC000031308446;-6.769019;-6.735136;-6.8181033;-6.7148933;-7.008297
ZINC000006575805;-6.378681;-6.5023594;-6.5556273;-6.57311;-6.3348684
ZINC000001646585;-6.1861334;-6.00943;-5.9724298;-5.92534;-6.0187955
ZINC000044069502;-5.720406;-5.929624;-5.8190856;-5.951942;-5.9386735
ZINC000001561336;-5.0297146;-5.0048094;-5.09577;-5.2243757;-5.3613205
ZINC000001561147;-5.1496024;-5.0667124;-5.0609584;-5.208231;-5.3829594
ZINC000097526696;-6.1624217;-6.236335;-6.2918634;-6.4182467;-6.310483
ZINC000034226824;-4.565597;-4.7127066;-4.557116;-4.740096;-4.648594
ZINC000045886328;-5.981493;-6.0646667;-6.1346073;-6.0474887;-5.8975463
ZINC000057366729;-5.8974924;-6.1649594;-6.2194104;-6.230138;-6.4500847
ZINC000057366731;-5.822843;-6.0963597;-6.482459;-6.021512;-6.3215466
ZINC000057366732;-5.822136;-6.1024303;-6.4817023;-6.023797;-6.322933
ZINC000076495135;-6.0147;-6.236182;-6.205388;-5.979253;-6.1848917
ZINC000005510795;-4.8604717;-5.0578938;-4.9302387;-5.5178413;-5.355279
ZINC000001719096;-6.5313187;-6.620284;-6.4720907;-6.8569627;-6.796964
ZINC000070462091;-6.287669;-6.5320015;-6.398372;-6.3063507;-6.431845
ZINC000062616094;-6.710391;-6.586232;-6.6618056;-6.8876514;-6.6770835
ZINC000020154451;-5.844449;-6.095935;-5.887007;-6.1252856;-5.855309
ZINC000062616091;-6.705134;-6.5916233;-6.664624;-6.886443;-6.6762414
ZINC000034610474;-4.630877;-4.6648307;-4.5402308;-4.8469696;-4.6670313
ZINC000216767188;-6.9405885;-6.7344646;-6.2758727;-6.603831;-6.5107217
ZINC000216767232;-6.6523166;-6.4974356;-6.614414;-6.5180736;-6.158307
ZINC000216766514;-6.4620495;-6.3367257;-6.5388336;-5.9967103;-6.4237976
ZINC000216766605;-6.4546356;-6.3359027;-6.546511;-5.9896927;-6.4138775
ZINC000216767142;-6.7450824;-6.5117154;-6.6791186;-6.443638;-6.1536226
ZINC000216766562;-6.4280777;-6.3122044;-6.4484243;-6.1517463;-6.5558352
ZINC000034362648;-6.723562;-6.2629595;-6.482104;-6.611861;-6.4803476
ZINC000141933973;-4.886673;-5.1381025;-5.2185493;-5.234532;-5.3113155
ZINC000079387502;-4.940128;-4.961579;-4.8626804;-5.1008377;-5.050144
ZINC000001561131;-5.896372;-5.5470743;-5.7877116;-5.5147934;-5.386841
ZINC000054268888;-6.790831;-6.12877;-6.0687957;-6.8877897;-6.582752
ZINC000054269327;-6.05078;-5.9117703;-5.609772;-6.115242;-6.139296
ZINC000001847504;-5.2272043;-5.404461;-4.897095;-5.1188946;-5.273364
ZINC000067800670;-5.211134;-4.8237286;-5.609363;-5.8325047;-5.4059687
ZINC000072482118;-5.1759415;-5.362959;-5.797928;-5.6283245;-5.4707694
ZINC000034423255;-6.2470784;-6.279441;-6.2208443;-6.283386;-5.941107
ZINC000034467445;-6.9222584;-6.6462607;-6.4281974;-6.584827;-6.5889053
ZINC000015443563;-5.7831616;-6.040366;-5.6707277;-5.8749056;-5.888247
ZINC000000133349;-6.530827;-6.417163;-6.33544;-6.4249516;-6.6673346
ZINC000034624304;-5.8166695;-6.043117;-5.9445105;-5.913967;-6.2948003
ZINC000001577087;-6.264588;-6.000836;-6.1016765;-6.250282;-6.2261176
ZINC000002513834;-6.649473;-6.328616;-6.331378;-6.568386;-6.4109993
ZINC000076494929;-5.763533;-6.219771;-5.9421835;-5.876972;-5.94856
ZINC000032255850;-5.9517307;-6.248976;-6.1011076;-5.9672647;-6.058709
ZINC000076495132;-5.858882;-6.218793;-5.9948893;-5.8317327;-5.9626136
ZINC000045886365;-6.4927835;-6.4349885;-6.2779875;-6.2711973;-6.3961115
ZINC000045886362;-6.4537697;-6.095889;-6.3263545;-6.188352;-6.258299
ZINC000045886369;-6.7986994;-6.5537763;-6.696788;-6.5259323;-6.442854
ZINC000045957779;-6.7468905;-6.715125;-6.2574534;-6.338486;-6.481085
ZINC000045957771;-6.313728;-6.2748723;-6.1288433;-5.8325434;-6.1328034
ZINC000001666558;-6.2290792;-6.0929446;-6.011679;-6.183861;-6.273082
ZINC000001688636;-6.127313;-6.117047;-5.9642444;-6.251858;-6.2735963
ZINC000035904781;-5.608091;-5.587781;-5.5062704;-5.629472;-5.69761
ZINC000094568757;-5.581098;-5.778132;-5.439848;-5.9358606;-5.8924274
ZINC000071256280;-6.466593;-6.497338;-6.6668153;-6.638056;-6.845758
ZINC000016228302;-5.5440683;-5.6147885;-5.5221577;-5.5277524;-5.7375946
ZINC000016228298;-5.7628846;-5.7264094;-5.7124357;-5.5535345;-5.773903
ZINC000005824155;-5.9980135;-6.089633;-6.45366;-5.9113073;-6.11687
ZINC000076495128;-6.09733;-6.117614;-6.1035967;-5.973077;-6.162363
ZINC000032233426;-5.609444;-5.783264;-6.02518;-5.6227417;-5.7232137
ZINC000005124926;-6.087662;-5.8971367;-5.877212;-5.8778105;-6.065035
ZINC000076495101;-5.8606353;-5.956278;-6.033122;-5.762889;-6.023989
ZINC000080450242;-5.9290175;-5.919854;-5.676141;-5.935872;-5.992295
ZINC000141063157;-5.8014665;-5.8719664;-5.608737;-5.746973;-6.2383404
ZINC000044138684;-5.800079;-6.1868916;-6.106431;-6.198765;-5.9579906
ZINC000033854453;-6.4493585;-6.3662558;-6.466949;-6.5641146;-6.324307
ZINC000149884417;-5.866483;-5.9879146;-5.7289624;-5.9601574;-6.0615764
ZINC000095628899;-6.173126;-5.655773;-5.6112776;-5.5314536;-6.007327
ZINC000111506788;-5.858263;-5.9515476;-5.8043876;-6.0800314;-5.9507856
